milliseconds,ADPi,ATPi,Cri,PCri,PCr,ADP,ATP,Cr,P_ii,P_i,tmito
0,37.98995143117574,5624.599792167698,9762.004156674115,5726.669098379987,5750.634997781405,63.064310170229774,5601.44859366969,9834.609415956069,870.9991988509296,900.4596263504395,0.0
100,50.44219361640404,5613.336280381261,9858.750223568832,5632.223521481869,5653.059141775238,84.4559218913341,5581.683807403401,9889.493908588562,1007.7684196691843,1054.6374048456144,0.0
200,50.508867461626764,5615.156754432262,9957.477202205386,5500.925170843454,5544.462145920042,86.44640229805667,5575.13733021415,9973.740856917717,1085.761983988797,1141.625590372438,0.0
300,52.53494851994848,5613.380300152817,10142.345618375643,5401.111347510889,5346.5321172814565,91.42404983220243,5576.714491584901,10154.867721114617,1214.618584181817,1281.9724135498484,0.0
400,53.90361436394025,5612.7479217662885,10228.39852355159,5254.9525612131565,5330.709718977809,93.76036752719229,5571.998601419001,10214.19843878455,1371.2877171529258,1391.879919238587,0.0
500,52.29262779609743,5610.890174585555,10271.753299389546,5190.0711293944805,5173.797042100652,93.42314842037138,5570.853115725596,10294.214360939803,1467.686540766546,1517.9648676772429,0.0
600,52.73558050725298,5609.56112169119,10368.787679149316,5093.287435696022,5110.562349947366,95.93356120527818,5570.43925724469,10450.593646579582,1591.1636675644236,1587.5748638391196,0.0
700,54.104609615665446,5609.752995118654,10493.426222027489,4970.482817646324,4970.842999821497,97.13922937368424,5565.229696815679,10501.017514243345,1644.8225570182428,1624.3990294990392,0.0
800,57.77502889817543,5608.430555775853,10566.983627612473,4911.179046478721,4901.856482568177,98.71567831606777,5566.059128606812,10589.39386204486,1747.3622857431042,1735.2768887844575,0.0
900,57.18459267087342,5606.42946457156,10681.547480577876,4844.515344466732,4832.241486574381,102.65420889460663,5563.689249287093,10731.453581352687,1868.4460498066792,1883.2558809558216,0.0
1000,58.480355759811104,5607.517676610792,10772.867634780552,4751.650294370724,4724.850345702408,106.02538439840436,5558.407649228921,10825.740113360298,1938.0350339462536,1933.5617799155689,0.0
