miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,4.9997509843515935e-08,1.29993316838332e-07,-6.660969066379005e-14,2.1997549268177305e-07,-1.0374337767764407e-11,1.300586378547971e-07,-2.4018497398313947e-11,2.1356541740718168e-13
100,4.9884926131771826e-08,1.2983043431459352e-07,1.1845549936320187e-10,2.198582611490654e-07,5.333709846730887e-12,1.2997561521337367e-07,5.106864757775896e-12,2.4275959536579102e-11
200,4.979756980078989e-08,1.2979574680517166e-07,2.0737782118679358e-10,2.1982282881024872e-07,3.771060320584927e-11,1.2986136217730302e-07,5.919816501551044e-11,4.903672012502443e-11
300,4.971773574321036e-08,1.2963848045866035e-07,2.768590168827603e-10,2.1971965756612102e-07,1.0883213434303461e-10,1.29981917807934e-07,8.333800972021647e-11,9.329089589399392e-11
400,4.966662890594194e-08,1.2947405924788286e-07,3.304778659116921e-10,2.1969998113689386e-07,1.5193546688432166e-10,1.2985178666127185e-07,3.21374499661426e-11,1.0085402982813762e-10
500,4.962084397181427e-08,1.2930778542399825e-07,3.7861048742713423e-10,2.1960875525728428e-07,1.9180647636625426e-10,1.298145197422506e-07,1.2369758973387078e-10,1.234996266588522e-10
600,4.9589799507751956e-08,1.292978672615903e-07,4.110648155650384e-10,2.194934816755049e-07,2.566819795568772e-10,1.2977738782629775e-07,6.263652515208992e-11,1.7375401216846607e-10
700,4.955886642272975e-08,1.291297754308336e-07,4.3540007141129267e-10,2.1940238551622162e-07,3.3011119804578733e-10,1.296232864646282e-07,9.268922378242269e-11,1.8913501077665658e-10
800,4.954008376039988e-08,1.2892381457675774e-07,4.5849215352594923e-10,2.19290806121391e-07,3.656656433174153e-10,1.2963106737206492e-07,1.2360843045284004e-10,2.1107563399680663e-10
900,4.9522311687828494e-08,1.2888558868075624e-07,4.780847948792703e-10,2.1920051588572273e-07,4.3155648315951467e-10,1.2956093293627475e-07,2.269918189431932e-10,2.2663290431039145e-10
