milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,4.9994731835782056e-08,1.299739026623341e-07,-1.43747402085969e-12,2.2007252208795794e-07,1.3605347500001612e-11,1.300355787962183e-07,-2.0696292985005086e-11,1.0600327886814464e-11
100,4.988691704838195e-08,1.299264033114275e-07,1.1674589762541894e-10,2.198582287258948e-07,1.9346265334390408e-11,1.3005105457686315e-07,3.344630493777055e-11,3.664770431190656e-11
200,4.979362273721341e-08,1.2975846045273804e-07,2.0914064481845967e-10,2.1997749048228043e-07,5.982580207337795e-11,1.2986061630570738e-07,-2.4235562294729188e-11,4.539705752663601e-11
300,4.97281672515866e-08,1.296344199505899e-07,2.769719609144049e-10,2.197987859477352e-07,8.75405637913261e-11,1.2984928381031656e-07,-1.7818992525658376e-11,8.572569325244968e-11
400,4.9666560984501944e-08,1.2946991059934635e-07,3.304267737858143e-10,2.1970012481708492e-07,1.6141105828076944e-10,1.298398831529452e-07,4.874511983998292e-11,1.0898273171057665e-10
500,4.962731663110332e-08,1.293091832672487e-07,3.822997968791722e-10,2.196500094136465e-07,2.1745604620063953e-10,1.297357612887131e-07,1.1312190918126566e-10,1.305170415353025e-10
600,4.958522555755112e-08,1.2916512257323852e-07,4.0980987308957366e-10,2.194734498344208e-07,2.516052499729479e-10,1.29763080788688e-07,1.060598532338896e-10,1.7338693433475414e-10
700,4.9567502301458216e-08,1.292024001395388e-07,4.358160579809339e-10,2.1934841060887372e-07,3.2999958799812483e-10,1.2976889127641888e-07,1.4838901168562488e-10,1.964650654523412e-10
800,4.954295060184661e-08,1.2907656094486518e-07,4.593740456866651e-10,2.1919312535962642e-07,3.882466722506182e-10,1.295594433459082e-07,1.9177452372180484e-10,2.1624631650469435e-10
900,4.9523056044795825e-08,1.2887022798920954e-07,4.756729684884718e-10,2.192051468417131e-07,4.2980651650075727e-10,1.29605945044152e-07,1.8206486542173573e-10,2.4433794946055124e-10
1000,4.951208170559046e-08,1.286727905859081e-07,4.884092724918477e-10,2.189991842873497e-07,4.738647927487513e-10,1.2940505122473072e-07,3.4180688233642514e-10,2.546799937960111e-10
1100,4.9498177548768054e-08,1.28684170699393e-07,4.914383429411555e-10,2.1883527916085756e-07,5.276267715470474e-10,1.2929908293176123e-07,3.664780954577176e-10,2.851298089860727e-10
1200,4.949412032875469e-08,1.2846151275385194e-07,5.086687401106481e-10,2.1874008263295484e-07,5.634421824058073e-10,1.2928887593565002e-07,4.806279987663565e-10,2.9685103410467834e-10
1300,4.9487328869667855e-08,1.283922739583343e-07,5.081678667649301e-10,2.1863510042088174e-07,6.071312736697963e-10,1.291908148944873e-07,4.23178673761574e-10,3.3656934566019775e-10
1400,4.94873894592569e-08,1.2819508631154294e-07,5.11635424220238e-10,2.184681667747078e-07,6.538164696335577e-10,1.2915222279211655e-07,6.082768451846288e-10,3.512027321026034e-10
1500,4.948208986865615e-08,1.2816897887495085e-07,5.208373868776795e-10,2.1823644681858302e-07,6.69124849372659e-10,1.2898083293989866e-07,6.514541206870107e-10,3.672057525873046e-10
1600,4.947509161334198e-08,1.2810353369798916e-07,5.26476901168468e-10,2.182179145298456e-07,6.970325176874452e-10,1.2884819991017322e-07,7.380331925850376e-10,3.8357067679052597e-10
1700,4.9475451396391566e-08,1.2789977839725693e-07,5.267719761106916e-10,2.1799517403766418e-07,7.3135593910748e-10,1.287636473937048e-07,8.213641316598675e-10,4.0790904241795833e-10
1800,4.9478970881461686e-08,1.277204516839862e-07,5.265890713453468e-10,2.1784448495494628e-07,7.472422418836114e-10,1.2865726907614628e-07,8.694350224436911e-10,4.2306000345586975e-10
1900,4.94756298802457e-08,1.276686384123729e-07,5.303987875119093e-10,2.1785549700472305e-07,7.739199587570812e-10,1.2857414760251145e-07,1.0656168052812267e-09,4.5224124230687947e-10
2000,4.947314947729049e-08,1.2761491299890486e-07,5.245668907287612e-10,2.1760444048167484e-07,7.964027370038898e-10,1.2835738895128843e-07,1.0882237541113868e-09,4.693865888419069e-10
2100,4.947540513718555e-08,1.2747606023442206e-07,5.279573069238779e-10,2.1753025167787772e-07,8.173213746824723e-10,1.2821802743466722e-07,1.1633279211311943e-09,4.964454421736224e-10
2200,4.947236990084287e-08,1.273059658974698e-07,5.332964201974073e-10,2.1738961174243114e-07,8.338046113799277e-10,1.2814376191607505e-07,1.2671612315666217e-09,4.955386165348078e-10
2300,4.9468511466836244e-08,1.2714451234774993e-07,5.243438506024536e-10,2.171785833984555e-07,8.387264749916086e-10,1.2814250375116743e-07,1.3775897863483387e-09,5.246679232492284e-10
2400,4.9473336270664346e-08,1.270807610776216e-07,5.285517714252996e-10,2.1702576065615524e-07,8.394405674871638e-10,1.2791580870004312e-07,1.5316238000859289e-09,5.431661380063227e-10
2500,4.947542761525914e-08,1.2706018185727447e-07,5.339290431341863e-10,2.1688254363202886e-07,8.653224088960527e-10,1.2776750244563113e-07,1.676681114150623e-09,5.528202855017058e-10
2600,4.947014678306547e-08,1.2691650772861013e-07,5.280477732111036e-10,2.1684368412750315e-07,8.529909167699716e-10,1.2772806622808159e-07,1.7480782198591346e-09,5.706233159131021e-10
2700,4.94710208488358e-08,1.2669289839236825e-07,5.32148643417898e-10,2.1676051790996272e-07,8.795781968712486e-10,1.2753111106121103e-07,1.8791260939273916e-09,5.88306488937939e-10
2800,4.946602859424923e-08,1.2665055297762584e-07,5.281728184968504e-10,2.164880582544896e-07,8.850121341170753e-10,1.2747406177466706e-07,1.9203995072768e-09,6.06120843220425e-10
2900,4.946957707055003e-08,1.264303169484347e-07,5.340861615898438e-10,2.1643823254538568e-07,8.772873443472242e-10,1.2736419891940654e-07,2.007777739332592e-09,6.306946930753313e-10
3000,4.9467107422495336e-08,1.2641399376278492e-07,5.282917786133154e-10,2.163445220492151e-07,8.880373850541601e-10,1.2720200029278803e-07,2.1953868926869906e-09,6.378635777524949e-10
3100,4.946682989345848e-08,1.262752065314999e-07,5.305804560863432e-10,2.1621026048999833e-07,9.076831532917439e-10,1.269965018795627e-07,2.231731152494765e-09,6.506785960629635e-10
3200,4.946699000405445e-08,1.2617610622275454e-07,5.267824766062514e-10,2.1602410536120774e-07,9.226080541781148e-10,1.268808717613819e-07,2.38473056840451e-09,6.665118599929114e-10
