miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,4.9996788976424244e-08,1.2999375010247988e-07,-4.835516751450512e-12,2.1997793503705228e-07,1.3372209033005442e-11,1.300648967982426e-07,-1.5400751693609135e-11,-9.427374355472824e-12
100,4.9885992393133e-08,1.2985634822443772e-07,1.1895278506197246e-10,2.2001063724964483e-07,1.2997148128027287e-11,1.3004316331683657e-07,-2.4180138527474487e-11,3.6263939286813405e-11
200,4.979003285832664e-08,1.2982040385474575e-07,2.0110928781104307e-10,2.1995902071372617e-07,6.41233160029926e-11,1.2992239855727574e-07,-3.342980546828621e-11,5.5684039494006706e-11
300,4.97174886609628e-08,1.296725495510289e-07,2.7315725140694744e-10,2.1971572773611914e-07,9.774061483976444e-11,1.299749364823479e-07,5.333483215859734e-11,9.446865128682786e-11
400,4.9666016596577734e-08,1.2942081557871355e-07,3.365006485422519e-10,2.1963283908099908e-07,1.3785052934005352e-10,1.2981295116627456e-07,8.909637774952078e-11,1.0488108370870103e-10
500,4.962044598331229e-08,1.2942430017098653e-07,3.7915913252599676e-10,2.1952315047162214e-07,2.1873644394898232e-10,1.298079053430091e-07,1.2376657966579046e-10,1.4849751758197283e-10
600,4.9589918555896556e-08,1.2919009369309707e-07,4.11508707611595e-10,2.1948889566502802e-07,2.6055345407725974e-10,1.2977727883015845e-07,9.277419221101793e-11,1.58530560902536e-10
700,4.956024098132561e-08,1.2916557240435803e-07,4.384160649415883e-10,2.1945999385805555e-07,3.358601606995403e-10,1.2974519114923736e-07,1.1853517637119517e-10,1.8804141945718557e-10
800,4.9544269451070826e-08,1.2894210052895247e-07,4.558666484545732e-10,2.1921723993511968e-07,3.909249499762543e-10,1.2953890078588354e-07,2.2263336229915558e-10,2.1354364600432235e-10
900,4.95212737101027e-08,1.2878834842523904e-07,4.719062537590001e-10,2.190406146242874e-07,4.425583711083722e-10,1.2953312168268327e-07,1.8619396704911708e-10,2.2285179990882752e-10
1000,4.9517260916069146e-08,1.2874455661223842e-07,4.84968865611079e-10,2.190694631509828e-07,4.785870061258617e-10,1.294462529739937e-07,2.7967849470394325e-10,2.523305896739709e-10
1100,4.950581609051898e-08,1.2862613127311998e-07,5.012145541287038e-10,2.1877084026714172e-07,5.333651955932253e-10,1.2945982036101431e-07,2.743441753068183e-10,2.6839681798394177e-10
1200,4.949599397801131e-08,1.2844650815478108e-07,5.033688873632845e-10,2.1863705274409156e-07,5.794352958083363e-10,1.292509098866325e-07,4.119280479396325e-10,2.9913215112898195e-10
1300,4.949211941069021e-08,1.2833010365837178e-07,5.134126084322173e-10,2.1860571130380825e-07,6.092139913137259e-10,1.292345390311991e-07,4.516945050817062e-10,3.221058734743593e-10
1400,4.948251337715503e-08,1.282404253626084e-07,5.190693843481221e-10,2.1841060629009474e-07,6.540347004166945e-10,1.2904274912573012e-07,5.138023941434148e-10,3.5452058280706257e-10
