miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,5.0002663030147666e-08,1.3007633734660708e-07,-4.447247362506104e-12,2.199223148080698e-07,5.172993423955782e-12,1.3005840096927326e-07,3.296351810538598e-11,1.3630099917629371e-12
100,4.988316456446382e-08,1.2993993157855884e-07,1.1277610787156524e-10,2.199190645012273e-07,5.65365722333453e-12,1.2996732018072047e-07,4.3678983062039753e-11,3.115732022601607e-11
200,4.9797550898104245e-08,1.2968428450664138e-07,2.0340002866731476e-10,2.1995993378994066e-07,6.299185907601679e-11,1.2999382385314398e-07,-9.744705188655604e-12,4.903967399541982e-11
300,4.972274616571731e-08,1.2959582573724945e-07,2.7451611077551656e-10,2.197339501197518e-07,1.081644620437752e-10,1.2994270731387064e-07,2.659757487666171e-11,7.542039985347698e-11
400,4.966557312729002e-08,1.2954900392624702e-07,3.3724264194984786e-10,2.1963722912808412e-07,1.6060569318192516e-10,1.2992477169962098e-07,-3.931438493397617e-11,1.0498035641883662e-10
500,4.962316170325952e-08,1.293701673564419e-07,3.778238132748709e-10,2.196946500679114e-07,1.9454487947942855e-10,1.2982044873705e-07,2.6125694877093483e-11,1.479568310024799e-10
600,4.958799691299694e-08,1.291772421068674e-07,4.083123876768542e-10,2.1941757566494774e-07,2.5530705025620364e-10,1.2972076368686263e-07,1.0800262314596596e-10,1.5357749794306344e-10
700,4.95628561406034e-08,1.290967085357934e-07,4.4248515695868176e-10,2.192917729995257e-07,3.2795651900750267e-10,1.2972315063320188e-07,1.8865581825552475e-10,1.9069592756670633e-10
800,4.95398182898083e-08,1.2891660022810493e-07,4.5924911497276795e-10,2.1920798226807296e-07,3.7125838927223733e-10,1.2969081884300943e-07,1.368753742164947e-10,2.1490048250260208e-10
900,4.9523525631955603e-08,1.2882541762501605e-07,4.799627108625913e-10,2.1902922354057427e-07,4.3497807534275184e-10,1.295830403944831e-07,2.781937973637108e-10,2.3478328936300813e-10
1000,4.9508418937695684e-08,1.28723227424132e-07,4.916186851746097e-10,2.1889262932830547e-07,4.873860684650117e-10,1.294732548332613e-07,2.894850571381056e-10,2.7002355481281723e-10
1100,4.950704191662396e-08,1.2867599129830052e-07,4.951173938880385e-10,2.189218754471801e-07,5.27235403349027e-10,1.29393740436892e-07,2.858690394118832e-10,2.886405381977933e-10
1200,4.9494156645761326e-08,1.2845760636202447e-07,5.069510580097042e-10,2.186321156640124e-07,5.763810954159825e-10,1.2928681530941685e-07,4.0931470519129464e-10,3.1047255963278495e-10
1300,4.949173673266383e-08,1.2834325073940297e-07,5.101612954995401e-10,2.1863618070035754e-07,5.9335640072961e-10,1.2919646545188258e-07,4.216569081269414e-10,3.2651693578454154e-10
1400,4.9485676666003994e-08,1.2828203440432702e-07,5.126640228039931e-10,2.1839189516274807e-07,6.354797009684435e-10,1.2902957092999362e-07,5.41919100310616e-10,3.529328456055651e-10
1500,4.948598146761592e-08,1.282376663758234e-07,5.213707678617622e-10,2.1828003964532722e-07,6.660315890961004e-10,1.290535375704017e-07,6.515808088938612e-10,3.6454066270126945e-10
1600,4.947919400444947e-08,1.2798592929052076e-07,5.190445675293828e-10,2.180966556122811e-07,6.974411513930622e-10,1.2881914353774845e-07,7.791963066706895e-10,3.927516129289605e-10
1700,4.9472681007721814e-08,1.2798696872928924e-07,5.249385491408937e-10,2.1809075471610299e-07,7.182411429146571e-10,1.2877202639739003e-07,7.912288611776999e-10,4.1902960446563377e-10
1800,4.947959540584623e-08,1.277861617190561e-07,5.23687380359336e-10,2.1781499584579324e-07,7.521660391538334e-10,1.286752716328729e-07,9.661340890901028e-10,4.2267171244480997e-10
1900,4.946935640548342e-08,1.276897377089475e-07,5.217055956431898e-10,2.1768380782295142e-07,7.761039312624374e-10,1.286113177581626e-07,1.0356823290346773e-09,4.3496153327719183e-10
2000,4.9467666825979946e-08,1.2753327099752808e-07,5.31478942673129e-10,2.1766172719725001e-07,7.948555243198065e-10,1.2833816279809369e-07,1.0649925251273528e-09,4.676527934706643e-10
2100,4.9470154115420536e-08,1.2749868473787096e-07,5.254289941935676e-10,2.17497610719358e-07,8.043616863463962e-10,1.2832213635758745e-07,1.2173375831095318e-09,4.920056755357758e-10
2200,4.947367175671941e-08,1.273503504592114e-07,5.314350262080993e-10,2.174026808331317e-07,8.211630949068628e-10,1.2825421427089118e-07,1.3045025644917775e-09,4.960099300320448e-10
2300,4.946637465785276e-08,1.2715117377555156e-07,5.341968343189542e-10,2.1728737982026245e-07,8.346158143937128e-10,1.2801709006651245e-07,1.3907770505545722e-09,5.251012390136344e-10
2400,4.947115967744511e-08,1.2711267557254239e-07,5.277216801658259e-10,2.171709865026251e-07,8.539888416221069e-10,1.2800565199236188e-07,1.4554483292426818e-09,5.310956257158286e-10
2500,4.946606729040934e-08,1.2690455336979066e-07,5.254759577322536e-10,2.1697666087939777e-07,8.687049962086015e-10,1.2780055980740243e-07,1.5714929526514659e-09,5.638277876618764e-10
2600,4.947588094037946e-08,1.2692735270297968e-07,5.283234246582109e-10,2.1685026161325088e-07,8.765603599410976e-10,1.2774609762976385e-07,1.7141173853969951e-09,5.812477831072882e-10
2700,4.9464920359294536e-08,1.2680237420868068e-07,5.329487833638214e-10,2.166847903058099e-07,8.779894590993158e-10,1.2756758224333418e-07,1.894516655140441e-09,5.968525813452131e-10
2800,4.9467904869380005e-08,1.2669046766228376e-07,5.326284554166188e-10,2.1655990085146887e-07,8.773737622406348e-10,1.2740641863261188e-07,1.9042277552118e-09,5.958199367560568e-10
2900,4.9473657204314e-08,1.2659678641661564e-07,5.28029986319606e-10,2.1650343528221786e-07,8.876401895854888e-10,1.2737412986214683e-07,2.077333508546643e-09,6.061063405869811e-10
3000,4.947411152084835e-08,1.263310688977986e-07,5.342745868816938e-10,2.1623803936836962e-07,8.871392293187623e-10,1.272567021333973e-07,2.2146234697475336e-09,6.360299653085374e-10
3100,4.947499610007779e-08,1.2634799080052896e-07,5.345230828676728e-10,2.1624603171321897e-07,8.906408985183382e-10,1.269964871594855e-07,2.3372830832350278e-09,6.486300460252727e-10
3200,4.947145141583328e-08,1.2612784974586694e-07,5.26978702629163e-10,2.1599823265168867e-07,8.983486484682997e-10,1.2701490696224344e-07,2.4569205754658723e-09,6.635225480691625e-10
3300,4.946870765732825e-08,1.2598933079825214e-07,5.2964515913944e-10,2.1592638704388292e-07,9.217443916073088e-10,1.2688189826896159e-07,2.5173857133067056e-09,6.80672256348915e-10
3400,4.94726097386563e-08,1.2587361990738802e-07,5.32088487647457e-10,2.1573007116985746e-07,9.054233460976761e-10,1.2676703998198578e-07,2.571759774259074e-09,6.887822335699767e-10
3500,4.947288832080934e-08,1.2583563975800084e-07,5.316851138236211e-10,2.1560961888031774e-07,9.343378112734233e-10,1.2663118876823867e-07,2.6933105763157472e-09,7.016411335664534e-10
3600,4.947110253430444e-08,1.2574662387545067e-07,5.239565906858827e-10,2.1546353086684237e-07,9.421160559508027e-10,1.2648301884092663e-07,2.8138152857630804e-09,7.099965457210913e-10
3700,4.947033109438948e-08,1.2553953894421528e-07,5.257208314779672e-10,2.153823182657338e-07,9.2048858078954e-10,1.2634121712213702e-07,2.967769657940274e-09,7.323197915031961e-10
3800,4.947700883543297e-08,1.2538671900052378e-07,5.268657385622704e-10,2.1529315260546372e-07,9.405268934145307e-10,1.2616198402115016e-07,3.1174335653194043e-09,7.320217848988295e-10
3900,4.9474092149513875e-08,1.2538828297377375e-07,5.315457500878862e-10,2.1514749593249112e-07,9.463842271013786e-10,1.261250930009212e-07,3.231841441342532e-09,7.429072965904947e-10
4000,4.9475649545348494e-08,1.2517373443240303e-07,5.227328535760533e-10,2.1510073971497916e-07,9.360120438966015e-10,1.2591940871524688e-07,3.2751407007987758e-09,7.592613803185409e-10
4100,4.9468352330668656e-08,1.2517859668494216e-07,5.313269803096213e-10,2.1480983473052982e-07,9.342747933255264e-10,1.258129446322379e-07,3.4213705300862727e-09,7.76581306168888e-10
4200,4.946688655271166e-08,1.2506378778510585e-07,5.268788144193036e-10,2.1475757301247834e-07,9.628625574381393e-10,1.257069553925623e-07,3.551084258284335e-09,7.914865009101882e-10
4300,4.947173756215163e-08,1.2498387893070433e-07,5.31670920711958e-10,2.145884122835567e-07,9.591630361777559e-10,1.2559996367646194e-07,3.5751133671000313e-09,7.970053262853519e-10
4400,4.947648438383511e-08,1.2474253048518797e-07,5.243907618259068e-10,2.1441020783324196e-07,9.64104011338689e-10,1.253939965970496e-07,3.737588597612901e-09,8.075518348387815e-10
4500,4.9472037651605787e-08,1.2465971698024307e-07,5.27624628756419e-10,2.1445758991045967e-07,9.648321911716202e-10,1.2528084918232337e-07,3.868393214750343e-09,8.101519654321491e-10
4600,4.947566485382625e-08,1.2449483040653926e-07,5.225105541098114e-10,2.142119297670417e-07,9.631024861218696e-10,1.2523107665218223e-07,3.99945873936625e-09,8.319908536168933e-10
4700,4.947285521087727e-08,1.2443345680717372e-07,5.300923624297115e-10,2.140302491920955e-07,9.614284034128388e-10,1.2508544826214078e-07,4.0431459917988264e-09,8.495096608377257e-10
4800,4.947367504042478e-08,1.243985537568661e-07,5.22898103028388e-10,2.1408478942745153e-07,9.627918751168561e-10,1.2496809297021446e-07,4.136410620590421e-09,8.476281515390645e-10
4900,4.9475440045192046e-08,1.242011748503105e-07,5.301608801487275e-10,2.1384942700934596e-07,9.579387348301314e-10,1.2482755116896147e-07,4.347353508906814e-09,8.527327903551323e-10
5000,4.947563543005003e-08,1.2405574165804282e-07,5.297664058766521e-10,2.1378921204139798e-07,9.812914785879504e-10,1.2478460384524913e-07,4.44254945202465e-09,8.684491115942267e-10
