milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,5.0001402322982684e-08,1.3004701975954674e-07,-5.189692571206669e-12,2.1991944625609983e-07,6.50516245326903e-12,1.300808659890123e-07,-1.0051367452928797e-11,-1.096338929085563e-12
100,4.988245458608697e-08,1.2990662529830038e-07,1.1522561359734049e-10,2.1986816446869761e-07,1.6614161031609385e-11,1.3002377478753598e-07,-6.609713861138625e-11,1.571781727462025e-11
200,4.978974732901731e-08,1.2975108026881332e-07,2.050721196928543e-10,2.1986769343764103e-07,5.5474211713203504e-11,1.298865873547586e-07,4.698948714880491e-11,4.753508522267981e-11
300,4.9724182780533086e-08,1.2958576086088634e-07,2.8118858906370637e-10,2.197121612120386e-07,1.0592879008543197e-10,1.298462335696493e-07,-3.629266104580283e-11,8.025629421450503e-11
400,4.966895464100999e-08,1.2952584393441732e-07,3.330957095807327e-10,2.1968251078138783e-07,1.5619711748970263e-10,1.2989779724684062e-07,-2.629994619769993e-11,1.0011543283800645e-10
500,4.961985248157253e-08,1.2940870499794923e-07,3.7281224134681457e-10,2.1957782004495936e-07,2.0944761580669175e-10,1.2974222011423857e-07,1.9005775232252462e-11,1.386794185701241e-10
600,4.959389314737633e-08,1.292187328767268e-07,4.1243358649019585e-10,2.1942345962225437e-07,2.783685543183254e-10,1.2972191712854844e-07,1.0839498576889354e-10,1.5475387979876952e-10
700,4.9567282808701266e-08,1.2917947188025708e-07,4.3735779056380264e-10,2.1930577001567888e-07,3.090175980447658e-10,1.2972816198976386e-07,1.59638176456867e-10,1.9477768004031397e-10
800,4.954501780927292e-08,1.2907458696821431e-07,4.5369351798942945e-10,2.1918116856191897e-07,3.8192082754279023e-10,1.296932799216723e-07,1.935547400872753e-10,2.111406303583687e-10
900,4.952156851976381e-08,1.289397531007697e-07,4.755027328224241e-10,2.1905731928916058e-07,4.442199162750936e-10,1.2949252221833361e-07,1.7679878042715704e-10,2.3693111266102794e-10
1000,4.9508771419140284e-08,1.287009746070501e-07,4.880286489901443e-10,2.1898397949275236e-07,4.736276602921384e-10,1.2953887296167734e-07,3.007230920597252e-10,2.543374585382696e-10
1100,4.950785635392092e-08,1.2860164564388415e-07,4.943342896106696e-10,2.1884467733305827e-07,5.214215325463011e-10,1.292953116796512e-07,4.111392835236751e-10,2.7583587714135443e-10
1200,4.949440062553529e-08,1.2848291056610816e-07,5.030267650269124e-10,2.1864007630918313e-07,5.563260274147915e-10,1.2929024170789973e-07,3.894750477086571e-10,2.9583229889467976e-10
1300,4.948729198705482e-08,1.284835945085057e-07,5.120226453273499e-10,2.1863844309582091e-07,6.127998981418762e-10,1.2914958434419408e-07,4.4362892813777763e-10,3.265794145750093e-10
1400,4.948061259718371e-08,1.2821856623105103e-07,5.127264598612935e-10,2.184944238733901e-07,6.519639345832277e-10,1.290753026554902e-07,5.809190612269788e-10,3.50628587275853e-10
1500,4.9485965975723566e-08,1.280888760782169e-07,5.173794592577645e-10,2.1834913116314163e-07,6.800473655551406e-10,1.290514186805488e-07,5.952948789756601e-10,3.7761279993019735e-10
1600,4.948007778743397e-08,1.2808699569096012e-07,5.210818033741818e-10,2.182281613545806e-07,7.114475836998771e-10,1.2881652668486855e-07,6.908121951888428e-10,3.7951289248742595e-10
1700,4.947234839925409e-08,1.2783669735061144e-07,5.223637462890123e-10,2.1796896217015945e-07,7.411808638064022e-10,1.287556637101541e-07,8.223793567135643e-10,4.0916527768316503e-10
1800,4.947098243439639e-08,1.2776067124312794e-07,5.229041232413483e-10,2.1795263844509324e-07,7.444728838904578e-10,1.2869486166829298e-07,9.00683535602693e-10,4.2067425398885327e-10
1900,4.9476059309083634e-08,1.2769456956240487e-07,5.295259618710944e-10,2.1770724069720402e-07,7.780510986555069e-10,1.2860438157285525e-07,9.886478077056068e-10,4.414153884488362e-10
2000,4.9471114759093606e-08,1.2748408991926142e-07,5.313725554419632e-10,2.175851892067854e-07,7.816715607898794e-10,1.2843863803443646e-07,1.1845845988905836e-09,4.702947686581938e-10
2100,4.947510123184816e-08,1.2737867625673215e-07,5.312933531703103e-10,2.175244725697526e-07,8.079844334536723e-10,1.2838274374367755e-07,1.2523083699122194e-09,4.845890044391237e-10
2200,4.947517557667874e-08,1.27305293606179e-07,5.273805792516415e-10,2.1731085125414434e-07,8.09566686301503e-10,1.2812699805284015e-07,1.3086476419298114e-09,5.066749378944809e-10
2300,4.9470447545106484e-08,1.272662539264861e-07,5.343100325222007e-10,2.172267711096001e-07,8.203715616719023e-10,1.2805589095404194e-07,1.3785495110371673e-09,5.187358584753101e-10
2400,4.946840357242297e-08,1.271232245826059e-07,5.34691888580343e-10,2.1701840161262456e-07,8.431614208345506e-10,1.2787566766922708e-07,1.494131072015835e-09,5.409187316047246e-10
2500,4.9473713937509944e-08,1.2696661553509065e-07,5.323281749928549e-10,2.169527598739836e-07,8.455372074211132e-10,1.278153504621473e-07,1.5738430747528034e-09,5.532908723943257e-10
2600,4.9469261448535555e-08,1.2689735069603223e-07,5.296534502293921e-10,2.169085166040868e-07,8.554433746700407e-10,1.2770755564726184e-07,1.7499685131803772e-09,5.691291601680433e-10
2700,4.9467282656225375e-08,1.2682552685262622e-07,5.323388824024737e-10,2.16756954208118e-07,8.752037864700757e-10,1.275993708532142e-07,1.795698802101339e-09,5.819987795995826e-10
2800,4.947428760104097e-08,1.265763072410345e-07,5.242691475534381e-10,2.1648923747598173e-07,8.915995100155473e-10,1.274210645038986e-07,1.9700611995191526e-09,5.951303095486135e-10
