milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,5.000028767172223e-08,1.2985497670691457e-07,-5.837179946697469e-13,2.1999263468877363e-07,6.22761931139557e-12,1.2712032553092277e-07,-3.413325615241389e-11,-4.013887367615609e-12,8.804813249309468e-08,-2.3347828341749575e-11,9.113354062138431e-10
100,4.9946442864027517e-08,1.2980023867740489e-07,5.4092174585195877e-11,2.0954211990116184e-07,7.082076695900648e-11,1.2707232517719734e-07,2.5669260054784975e-12,2.2298668091363155e-11,7.88438085017505e-08,-5.108996488806673e-11,1.0778439978118517e-08
200,4.993803710680526e-08,1.2973922275349963e-07,6.013097710094122e-11,2.0471934622207283e-07,1.7129992387610835e-10,1.2679350426252962e-07,-3.5805541216344813e-13,4.3844458643473746e-11,7.175504630935182e-08,1.1330607351126736e-10,1.561617329732588e-08
300,4.993622985949888e-08,1.297675344575172e-07,6.345184416320804e-11,1.9582034980718916e-07,2.5605697882657087e-10,1.2694867847891744e-07,1.8994690591225395e-11,8.583065490436133e-11,6.673686477287919e-08,1.4566572019331483e-10,2.4054306371879558e-08
400,4.993254914401216e-08,1.2934458399855247e-07,6.74958109003102e-11,1.8926693778254717e-07,3.6078011115342353e-10,1.268346698166493e-07,3.8752471656130234e-11,8.455431710844263e-11,6.053999840896032e-08,8.936868433066373e-11,2.8169543206130844e-08
500,4.993200194424156e-08,1.2932602277945984e-07,6.950716520512281e-11,1.8559595095884383e-07,4.58472805493826e-10,1.265711568922211e-07,6.565980513458276e-11,1.160569053965836e-10,5.6486726064900287e-08,-3.214463125105774e-11,3.3638014909191425e-08
600,4.9930683245774194e-08,1.2922826326576556e-07,6.945082721689367e-11,1.8036140855784937e-07,5.044886885612658e-10,1.2672447142799877e-07,9.260905617933101e-11,1.3509972378660488e-10,4.9636126607071454e-08,3.475756083580708e-11,4.0116866849443674e-08
700,4.992892896224787e-08,1.2898712813359478e-07,7.061815826476807e-11,1.760149147058072e-07,5.555064980837439e-10,1.2650737300781964e-07,7.244054144615949e-11,1.719620208042803e-10,4.590839648063383e-08,2.46493306686742e-10,4.398517056878532e-08
800,4.992657158451292e-08,1.2909455674306242e-07,7.432543499761973e-11,1.7178381374263554e-07,6.172980552581219e-10,1.2636651936024204e-07,1.4271501149361147e-10,1.9280165888202562e-10,4.366410399017005e-08,1.6626115452837672e-10,4.5994562272485604e-08
900,4.992645436439705e-08,1.289146417772195e-07,7.583027667473703e-11,1.6667576392254637e-07,6.89016878832902e-10,1.264422220467161e-07,1.5460535170187093e-10,1.9690319636706964e-10,3.8987745395689026e-08,2.8670338320298355e-10,5.076525136185756e-08
1000,4.992555644799319e-08,1.2866852067290394e-07,7.61191113618762e-11,1.6577258440200412e-07,7.01917605755614e-10,1.264403472514729e-07,1.6328635495220784e-10,2.0534336959708061e-10,3.6732265234374304e-08,2.502943532165231e-10,5.111096519686846e-08
1100,4.9922072697107016e-08,1.285476288877992e-07,7.819145431765363e-11,1.6145024241430617e-07,7.577643892812826e-10,1.2622464872563735e-07,1.8501040079494315e-10,2.3233412876733678e-10,3.4268018916518784e-08,4.843963976820236e-10,5.7006334750017084e-08
1200,4.992172120634065e-08,1.284059302445815e-07,7.776616942413943e-11,1.5965040941776867e-07,7.888232911344507e-10,1.2606132876438636e-07,2.391741860161087e-10,2.601446216806515e-10,3.1296821481796984e-08,5.3966986296233e-10,5.843271429991454e-08
1300,4.9922075115243514e-08,1.282976210279369e-07,7.93280311250042e-11,1.586482122985072e-07,7.847638843315257e-10,1.258002556129974e-07,2.45830719326457e-10,2.547801076841057e-10,3.159495752253998e-08,5.033157925229438e-10,6.002417897136262e-08
1400,4.9920356047789547e-08,1.2812656273012617e-07,8.025653373617216e-11,1.5613470170500068e-07,8.226156439266197e-10,1.2576929413590636e-07,2.526433887057739e-10,2.643753019721361e-10,2.943591483314654e-08,7.508645456686122e-10,6.06734133007858e-08
1500,4.9918522352958495e-08,1.2809201473770278e-07,8.141154495079346e-11,1.5408553091256483e-07,8.728758775407033e-10,1.257635311530661e-07,2.9454715275363427e-10,2.738855438628987e-10,2.6054306750283502e-08,7.889057686632979e-10,6.124984358151026e-08
1600,4.9918230533614284e-08,1.2779992449410863e-07,8.221868582231674e-11,1.5196591532276932e-07,8.555159652024283e-10,1.2545820140006237e-07,3.120336959158327e-10,3.1691516235218994e-10,2.5725157781238393e-08,7.819344604391395e-10,6.469622465599352e-08
1700,4.991740539222444e-08,1.276966259874847e-07,8.228800890427396e-11,1.5120663489548313e-07,8.799233061172579e-10,1.2561665011854266e-07,3.735988619626403e-10,3.2242345919802396e-10,2.1613003019746218e-08,8.460217962554393e-10,6.448953545315527e-08
1800,4.9917070865479656e-08,1.2758367293913242e-07,8.16918040431081e-11,1.494275197750374e-07,9.252289326292153e-10,1.2543253564907342e-07,3.905532987164012e-10,3.2049644784022613e-10,2.0751628860100806e-08,1.0330472295734338e-09,6.705707257792712e-08
1900,4.99173966754182e-08,1.2758337250969925e-07,8.316456761803281e-11,1.4945368823114093e-07,8.895175499481241e-10,1.2527613975694228e-07,3.7592745731004713e-10,3.428261243684178e-10,2.078631146746341e-08,9.742897066136515e-10,6.86000819849112e-08
2000,4.991690663852121e-08,1.2728616982797658e-07,8.339381067962524e-11,1.4759517152245506e-07,9.506564548840315e-10,1.2493814188609862e-07,4.643003692996136e-10,3.4848220239492703e-10,2.053845584835895e-08,1.198376508369607e-09,6.907497019271944e-08
2100,4.991415455158623e-08,1.27424763057815e-07,8.461742962416221e-11,1.4799363084379882e-07,9.484995159262748e-10,1.24898471631865e-07,4.4183854723634304e-10,3.7041852810523203e-10,1.7621042256551976e-08,1.2597768425620523e-09,7.031207662977937e-08
2200,4.991551563332692e-08,1.2731251070229894e-07,8.482640453824291e-11,1.4489995757103503e-07,9.378969357878638e-10,1.2481620785468711e-07,4.879919434153838e-10,3.8403033241900087e-10,1.934990430705726e-08,1.2510559630246411e-09,7.041549066543114e-08
2300,4.99143203967543e-08,1.269704271580192e-07,8.656533233000003e-11,1.457167626500605e-07,9.602054314516758e-10,1.246277699327793e-07,4.872195445431786e-10,3.8588225910303616e-10,1.8519928898153295e-08,1.399597264931095e-09,7.182944579783987e-08
2400,4.9915162043358974e-08,1.268150815713675e-07,8.752648273429514e-11,1.4598045944989905e-07,9.707159074907374e-10,1.2451861094975797e-07,5.617136513023728e-10,4.0279894785432655e-10,1.650513176016747e-08,1.4782506490554281e-09,7.153802705815984e-08
2500,4.991344814360209e-08,1.2675321191180574e-07,8.671493237611656e-11,1.4509435972028958e-07,9.64868446064358e-10,1.2439755733175772e-07,5.790574822292758e-10,3.972870986998148e-10,1.3852517339948173e-08,1.6320866962835783e-09,7.109491354965444e-08
2600,4.991303067064398e-08,1.2656702174995378e-07,8.551944173108636e-11,1.4393491964575454e-07,9.482971645289564e-10,1.243390835993663e-07,6.342462405333313e-10,4.314362757341546e-10,1.7224956524921438e-08,1.583523810869998e-09,7.47046397230405e-08
2700,4.991247338612524e-08,1.265305274048887e-07,8.662961274397849e-11,1.4265226671013343e-07,9.933059559603216e-10,1.2427259809214523e-07,6.259765493857608e-10,4.3305964482439397e-10,1.3052344582037833e-08,1.7132455459012972e-09,7.432030256633412e-08
2800,4.991224059520094e-08,1.2623434824464946e-07,8.866716480557133e-11,1.4405184705812173e-07,9.89483470256595e-10,1.2421347222362664e-07,6.451659849866778e-10,4.471328476543145e-10,1.4181595243686872e-08,1.9400577878145552e-09,7.218634395760057e-08
2900,4.991260303045765e-08,1.263291345897905e-07,8.760273931872384e-11,1.4275241196786804e-07,1.0116493391279062e-09,1.2403349346422374e-07,6.918561427722671e-10,4.581367940165552e-10,1.563769486937296e-08,1.9376922798141164e-09,7.466586190774155e-08
3000,4.991338875271672e-08,1.2612772431316757e-07,8.716409067632282e-11,1.4097881842225499e-07,9.745304403590984e-10,1.23822802054367e-07,6.860886633243676e-10,4.4716052876980393e-10,1.514490437590244e-08,2.0491577869097838e-09,7.588943016065963e-08
3100,4.991270977751921e-08,1.2606660751913375e-07,8.870301698915634e-11,1.4118510055798446e-07,9.69032125598684e-10,1.2370602854129286e-07,7.686116532465882e-10,4.546963841831885e-10,1.3606835947893795e-08,2.0870029339864054e-09,7.322950499112131e-08
3200,4.991315530167516e-08,1.2580892199665204e-07,8.694127994097909e-11,1.390552558312535e-07,9.998274196694615e-10,1.2354762973253648e-07,7.962004127334313e-10,4.822044245125014e-10,1.2596257696305069e-08,2.2279758580814912e-09,7.478467474792631e-08
3300,4.991045462749098e-08,1.2579429722432803e-07,8.818898725125288e-11,1.4024642501127936e-07,9.77138390334008e-10,1.2325810981620873e-07,7.947282949341199e-10,4.731091603556496e-10,1.3482170075435566e-08,2.226772417987212e-09,7.390815732374862e-08
3400,4.991111202607008e-08,1.2571482199534034e-07,8.746320488043188e-11,1.3867244600802658e-07,9.917428593287047e-10,1.232408448960568e-07,8.451581491483121e-10,4.952063157782748e-10,1.168530755449119e-08,2.5338264210074418e-09,7.601966208125016e-08
3500,4.991005081981539e-08,1.2566698486340893e-07,8.916226996435845e-11,1.3725523523972528e-07,9.810839811098642e-10,1.229715575269706e-07,8.615474607277978e-10,4.894738061613448e-10,1.3028838512759777e-08,2.4927438949565837e-09,7.742513062618414e-08
3600,4.991091521172833e-08,1.2536505634829836e-07,8.983778250651545e-11,1.3749421481378842e-07,9.897447450868141e-10,1.228411092519803e-07,9.008223954071495e-10,5.058353949429844e-10,1.0122549708587569e-08,2.6266908529913957e-09,7.777904045900711e-08
3700,4.9910191912381803e-08,1.2542968605681217e-07,8.819885528300065e-11,1.3985135810127158e-07,1.0083192873704154e-09,1.228059719030391e-07,8.92859240674302e-10,5.040405407484297e-10,1.199049599685635e-08,2.668332257864164e-09,7.754686048937693e-08
3800,4.9909926218842785e-08,1.252939192991001e-07,8.830555969530158e-11,1.3877561335712338e-07,1.0059126042085631e-09,1.2272667821643352e-07,9.353308741884183e-10,5.193147892775863e-10,9.080914516819498e-09,2.755099241717871e-09,7.635785984990747e-08
3900,4.991224067172805e-08,1.2502673719157606e-07,8.961173435645951e-11,1.3708059361417744e-07,1.005400913615806e-09,1.2279860850077204e-07,9.502581111054405e-10,5.095074363968756e-10,1.2236121149662285e-08,3.0068756915987287e-09,7.68113190613511e-08
4000,4.991062725400429e-08,1.2480509523286205e-07,8.782823033974882e-11,1.382019299977804e-07,1.0393960053325395e-09,1.2245746994519594e-07,9.395828846419575e-10,5.36504376766321e-10,8.754442096966517e-09,2.9827761421708248e-09,7.77239103028788e-08
4100,4.991060856265263e-08,1.2473182971889878e-07,8.859983087409858e-11,1.3642497610789593e-07,1.0181003586389607e-09,1.223025070572802e-07,9.565696287684339e-10,5.142951032540094e-10,1.109319573845399e-08,3.0559581565121147e-09,7.502086567789646e-08
4200,4.9911365825905646e-08,1.248021648936374e-07,9.04266450999732e-11,1.3790149004647732e-07,9.914259378352696e-10,1.2212787831488942e-07,9.920311463943024e-10,5.457230627894151e-10,1.1292125788265346e-08,3.140224601203689e-09,7.564641809888581e-08
4300,4.9910501776279755e-08,1.2458538807606735e-07,8.810387765670633e-11,1.3860688230412261e-07,1.0272952975582113e-09,1.2226643612662802e-07,1.049152497969787e-09,5.33695228425647e-10,9.758355940674421e-09,3.2070433740755206e-09,7.583155540545751e-08
4400,4.9910582722085756e-08,1.2461832533589454e-07,9.047867012662714e-11,1.3532945076389907e-07,1.0285244625357345e-09,1.2206781586690693e-07,1.034993536998377e-09,5.377130227533032e-10,8.849961313632809e-09,3.3156038704460796e-09,7.65509952638345e-08
4500,4.99093738214243e-08,1.243942750486054e-07,8.89234042165063e-11,1.348480172661617e-07,9.994821696574071e-10,1.2179454887525057e-07,1.0761146304803188e-09,5.616555760040829e-10,1.0847793012757043e-08,3.395462941154345e-09,7.645335872212769e-08
4600,4.991167110721938e-08,1.2415315471124903e-07,8.957987026393275e-11,1.374529868380659e-07,1.0292077171098005e-09,1.2156514340969788e-07,1.1028695792465414e-09,5.597453231650239e-10,1.11624109267482e-08,3.5576579666940157e-09,7.598342022074731e-08
4700,4.991095215421027e-08,1.2408747119211714e-07,9.023292302822346e-11,1.3465315386253138e-07,1.0160302359754e-09,1.2174002370293584e-07,1.089492328665545e-09,5.51044761776111e-10,8.074853741319841e-09,3.6973966175180312e-09,7.533783086195826e-08
4800,4.99096538043793e-08,1.241191914609884e-07,9.011226888696478e-11,1.3638860739363198e-07,1.0198564848688503e-09,1.2153263420142986e-07,1.1497076909699297e-09,5.589016959130451e-10,9.561945151047432e-09,3.899521283388589e-09,7.628246969056164e-08
4900,4.9910790819404515e-08,1.2373123348490326e-07,8.830869735618959e-11,1.359090128054786e-07,1.0300389121219065e-09,1.212450908869134e-07,1.1509121354820544e-09,5.595597242393169e-10,9.466676979140485e-09,3.846627109534761e-09,7.690924963252836e-08
5000,4.991046300026729e-08,1.2365359885266082e-07,8.847208517472195e-11,1.374194477730644e-07,1.0423076278811106e-09,1.2128835342874042e-07,1.1376050658205628e-09,5.960646131561697e-10,7.288304408684392e-09,4.070396075769897e-09,7.80810976003738e-08
