milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,5.000021750586896e-08,1.3014691545862905e-07,-1.500001708717197e-13,2.1917281090474998e-07,3.586291148451072e-12,1.2685464389710796e-07,-2.2491321666081548e-11,5.6235065468206325e-12,9.064323642811346e-08,-2.434940204948388e-11,-3.099001572843287e-10
100,4.994675699071318e-08,1.2980396692716787e-07,5.4623342765433924e-11,2.121015764300394e-07,9.804751147391547e-11,1.2700926499772683e-07,2.683759031491872e-11,3.5393862425831713e-11,8.255295726929168e-08,-4.515684678496698e-11,1.0560398756229873e-08
200,4.993784584478465e-08,1.2983175458616385e-07,6.14627461420622e-11,2.0065424503784978e-07,1.64302933599881e-10,1.269191117214516e-07,3.530732957920202e-11,5.4706630701199006e-11,7.230878542692311e-08,1.282492170017292e-10,1.7316762542510474e-08
300,4.993660978921141e-08,1.2963841717430452e-07,6.408586422122176e-11,1.9674817451990962e-07,2.80259334525182e-10,1.2678349481122174e-07,4.356921109434262e-11,9.09400930838262e-11,6.646755275913058e-08,2.2750095686580196e-11,2.4392585331037534e-08
400,4.9932488020783896e-08,1.2953451943400836e-07,6.640961200314435e-11,1.8879832591162411e-07,3.668258205476466e-10,1.2681791055552111e-07,5.35331515275586e-11,8.607083535577897e-11,6.010931903161476e-08,1.4556949587003404e-10,2.980795959960061e-08
500,4.993221874664955e-08,1.2924062515979753e-07,6.890937197591793e-11,1.8328370483968165e-07,4.684173991489436e-10,1.2673671499881874e-07,6.76111674857794e-11,1.2058755089022647e-10,5.7000257277583106e-08,6.861907974368005e-12,3.5934728587803275e-08
600,4.993076722874978e-08,1.2929648075931624e-07,7.079188503527349e-11,1.7897472712356455e-07,5.067272149123987e-10,1.2669828739734924e-07,1.120680287683578e-10,1.403496806824853e-10,5.19278118580613e-08,1.9681860422405704e-11,3.8539891559941726e-08
700,4.9929467341778075e-08,1.2896929552730242e-07,7.202281174314563e-11,1.7783607240885463e-07,5.441964020152823e-10,1.2643481229967243e-07,1.1566066840732019e-10,1.5537765573236065e-10,4.7809669261838014e-08,6.521085899236661e-11,4.431195209055831e-08
800,4.992697461050057e-08,1.290230568713692e-07,7.399641725439818e-11,1.710514304426265e-07,6.38246033716239e-10,1.2655892833155918e-07,1.6177874823137548e-10,1.778373017611948e-10,4.467173392357131e-08,2.515066728392292e-10,4.5055471894925914e-08
900,4.992643836425906e-08,1.2875088366096695e-07,7.440569079148311e-11,1.6671180222083545e-07,6.44674356612198e-10,1.262837253329299e-07,1.494872644649975e-10,2.0569428925672678e-10,4.123754744803253e-08,1.7304302642993444e-10,4.947387071847084e-08
1000,4.9922899911283606e-08,1.287003936556485e-07,7.685392661147806e-11,1.6659708855830673e-07,6.868713748071848e-10,1.2627575313778027e-07,1.97115183335838e-10,2.148747626428161e-10,3.588106157425286e-08,3.759439091128435e-10,5.160004459484977e-08
1100,4.992344354135585e-08,1.2869129599119786e-07,7.743969056108965e-11,1.6302297635826977e-07,7.695247632842658e-10,1.2605821043855104e-07,2.352787019870341e-10,2.467932033402086e-10,3.425655466895507e-08,3.4772966602388784e-10,5.486822166102522e-08
1200,4.992143862553022e-08,1.2835464283038934e-07,7.856514785407296e-11,1.60531224957636e-07,7.80590520699242e-10,1.2597537170621873e-07,2.6033325365137465e-10,2.455195885171788e-10,3.1406165367332957e-08,5.308019743757696e-10,5.7002541202417125e-08
1300,4.9922310451382555e-08,1.282217793497031e-07,7.868077432619102e-11,1.5884196890942677e-07,7.825950827701227e-10,1.257783397512279e-07,2.759715636904791e-10,2.697305219386835e-10,3.124073687591018e-08,6.036327571253567e-10,6.058809430665257e-08
1400,4.991876519492266e-08,1.2814092405611447e-07,8.075424435809398e-11,1.5801402954604265e-07,8.257341923851147e-10,1.2575317815577178e-07,2.6107036055272416e-10,2.684150561375391e-10,2.8078559648528524e-08,6.644881049730419e-10,6.206203370772062e-08
1500,4.9919879322896865e-08,1.2793763618726048e-07,8.000906793684618e-11,1.53912002543558e-07,8.297268439888988e-10,1.2566292910698538e-07,2.807051777492735e-10,2.975566449574747e-10,2.5197247177938024e-08,6.683262920122488e-10,6.222475631273755e-08
1600,4.991941654581071e-08,1.2785595551776482e-07,8.029472042213593e-11,1.5487785694376533e-07,8.529484970855327e-10,1.2564050970395786e-07,3.4549085239771807e-10,2.9730448746494417e-10,2.572787715916737e-08,7.169116128041617e-10,6.412548458601098e-08
1700,4.991797010412776e-08,1.2781069342403298e-07,8.264078910210442e-11,1.5067941541006696e-07,8.845376911105035e-10,1.2550646656358002e-07,3.570663622215064e-10,3.28862440209136e-10,2.260923764723155e-08,8.876265226248789e-10,6.702987127563604e-08
1800,4.9917602914295426e-08,1.2761592097657922e-07,8.338684659422983e-11,1.501305078467817e-07,9.217510869422975e-10,1.2526568404073058e-07,3.5469574437740234e-10,3.3364914359222597e-10,2.066062487800599e-08,8.843960280354795e-10,6.732259742803094e-08
1900,4.9915184439155885e-08,1.2759111048406053e-07,8.27194466693575e-11,1.5050988876992484e-07,9.291038078249481e-10,1.2532150092606372e-07,4.243457030920519e-10,3.303269949936954e-10,2.0507606273722695e-08,1.0334361353816183e-09,6.72855902378957e-08
2000,4.9915264374940946e-08,1.27256313488501e-07,8.322528519406095e-11,1.4986468865145273e-07,8.998221123016161e-10,1.251932351742214e-07,4.2722299804988585e-10,3.6861851066560587e-10,2.172595044667449e-08,1.1847773973239952e-09,6.904636464836098e-08
2100,4.9915379303844223e-08,1.2732202410131262e-07,8.568366120956784e-11,1.4783986475271317e-07,9.287146407813238e-10,1.2483538595646726e-07,5.025352333323932e-10,3.572804371075936e-10,1.7975314230396076e-08,1.181072980716602e-09,6.973844305729476e-08
2200,4.991487322114067e-08,1.2712102112436973e-07,8.6573574233158e-11,1.4761458728995613e-07,9.599850923074147e-10,1.2491240752882829e-07,5.097401562778995e-10,3.6535051645485157e-10,1.69379216767176e-08,1.1738894354162743e-09,6.871385079768693e-08
2300,4.9915479091679866e-08,1.2713622510034583e-07,8.490557326654766e-11,1.4395486515179885e-07,9.518629464594459e-10,1.2486942991179526e-07,5.053099369703927e-10,3.90870234821227e-10,1.6625872064429487e-08,1.3827212190103057e-09,7.263670840615201e-08
2400,4.991310554823976e-08,1.2679575999404856e-07,8.599441398746505e-11,1.4299738387498806e-07,9.642816514852959e-10,1.2460442514967049e-07,5.614201870020855e-10,3.8517614828277555e-10,1.6642039269197844e-08,1.5412783803037226e-09,7.020652988477873e-08
2500,4.991306932215965e-08,1.2683540434400167e-07,8.510456828842151e-11,1.4346943887325433e-07,9.89332225582987e-10,1.2439176733365027e-07,5.618955014407136e-10,3.9846070450948916e-10,1.5532864356498963e-08,1.5456161784698766e-09,7.41141440589029e-08
2600,4.991283620506068e-08,1.2676516216065244e-07,8.769238480575063e-11,1.4382623719745804e-07,9.670399091825148e-10,1.2447858828134011e-07,5.77629900537682e-10,4.3041383735609854e-10,1.4733628234925983e-08,1.6577879870740128e-09,7.317470201055989e-08
2700,4.991200351336486e-08,1.2665266537859984e-07,8.619281467944145e-11,1.4071305048071904e-07,9.86794231505427e-10,1.2425074622075166e-07,6.193433817091889e-10,4.1291186745615593e-10,1.3956935342802598e-08,1.7920838706025338e-09,7.400012684635059e-08
2800,4.991284533442258e-08,1.2643278953926626e-07,8.88618239575523e-11,1.4368981769110181e-07,9.910137173502548e-10,1.238821901110201e-07,6.745659732531052e-10,4.287097747327214e-10,1.60973683014292e-08,1.934832740467402e-09,7.508312773355807e-08
2900,4.9913216882873705e-08,1.261420461899148e-07,8.865182231633304e-11,1.419619830480317e-07,9.711806151980797e-10,1.2401106897707772e-07,6.586283547550651e-10,4.506877686628769e-10,1.2156129588124917e-08,2.018357116635413e-09,7.516035647131244e-08
3000,4.9912174603544155e-08,1.263126933905474e-07,8.895375277652497e-11,1.4290288818486588e-07,1.0072921082987042e-09,1.2380164274563425e-07,7.511338041066613e-10,4.542108726234298e-10,1.5184988562604127e-08,1.9966775516827664e-09,7.35151234573955e-08
3100,4.991253074327029e-08,1.260632417390491e-07,8.837256821248089e-11,1.4059233831138215e-07,1.0035840659132388e-09,1.2378180355392875e-07,7.450368150737763e-10,4.484534660670876e-10,1.3704431639977189e-08,2.2333930123473416e-09,7.628826386164222e-08
3200,4.991211980487575e-08,1.2598191541904176e-07,8.89446604692738e-11,1.3848689208426437e-07,1.0073935345918342e-09,1.2359467476350197e-07,7.720993636166457e-10,4.696321930295877e-10,1.2599846345489801e-08,2.2212695590108924e-09,7.562572687559805e-08
3300,4.991135363564789e-08,1.2585307618082747e-07,8.82185383831764e-11,1.414747017946299e-07,9.797035909934705e-10,1.2325929664677598e-07,7.642044489698319e-10,4.907211003855018e-10,1.3395204130046746e-08,2.2215213203283494e-09,7.546015337426228e-08
3400,4.991182550138689e-08,1.257798006170178e-07,8.897858336172517e-11,1.3896078435112825e-07,1.0151704472009332e-09,1.2342136336501288e-07,7.96353461878912e-10,4.763635434184211e-10,1.1166868168959565e-08,2.5099978032907403e-09,7.534250012268509e-08
3500,4.9909901835380804e-08,1.2552667871299653e-07,8.870819909491064e-11,1.4088598272266947e-07,1.0031068298641472e-09,1.2323606005707172e-07,8.364052485746863e-10,4.753301670314556e-10,9.694437858628694e-09,2.4949883315072522e-09,7.516079970090791e-08
3600,4.99115343692206e-08,1.2531060264331998e-07,8.777305856049155e-11,1.3897572650257162e-07,1.029921978780893e-09,1.23192673109877e-07,8.650643703025744e-10,4.857104709755678e-10,9.318866297238055e-09,2.6582397437842857e-09,7.55326455053421e-08
3700,4.9910342526178936e-08,1.2539515728469313e-07,8.81303113484205e-11,1.377457850521097e-07,1.0282148859963625e-09,1.2271712886395758e-07,9.038794939756284e-10,4.937889431690481e-10,1.2475603460137943e-08,2.815574014626395e-09,7.816638961154944e-08
3800,4.991018987773582e-08,1.253080007882956e-07,9.003892323171746e-11,1.3879246495387809e-07,1.0152023389521132e-09,1.2285205347746517e-07,8.851290384632769e-10,5.243472526475342e-10,1.0902239337892154e-08,2.904030217609396e-09,7.642530104723268e-08
3900,4.9910687691563907e-08,1.2516325531741055e-07,9.011694521746748e-11,1.398480317375487e-07,9.932616002773826e-10,1.227931655621443e-07,9.278744777083763e-10,5.061452962839423e-10,1.1395309510446029e-08,2.9726239863094487e-09,7.607781495461437e-08
4000,4.991101184211093e-08,1.2511241978049867e-07,9.015468069199924e-11,1.374422751728012e-07,1.029247029999745e-09,1.2259566674433264e-07,9.349587019920557e-10,5.172651825521158e-10,8.51448919634488e-09,2.9017886250960052e-09,7.68157077821528e-08
4100,4.991078083513514e-08,1.2472573680657492e-07,9.051197303010025e-11,1.3604228137326601e-07,1.0210039720882369e-09,1.2238746753373494e-07,1.0220774074218105e-09,5.416669241593972e-10,1.1371362955868109e-08,3.204671590413845e-09,7.778579832720949e-08
4200,4.991134832213919e-08,1.2485715963406685e-07,9.042398550565515e-11,1.3704537457805634e-07,9.980426386660618e-10,1.222157063439007e-07,1.0070779785010709e-09,5.396151069006934e-10,9.438018409577176e-09,3.2793980283275175e-09,7.624937201466731e-08
4300,4.991015804790604e-08,1.2442377590187664e-07,8.965760509485025e-11,1.3714318444839725e-07,1.0038197951339885e-09,1.2206253523816635e-07,1.06175158766434e-09,5.582885102339717e-10,1.1506160902825147e-08,3.3429143615755483e-09,7.845474686626406e-08
4400,4.990959288848549e-08,1.2433005479884166e-07,8.978533208550239e-11,1.3489529260083892e-07,1.0012032003117896e-09,1.2212547360138861e-07,1.0714511925574375e-09,5.588703699064504e-10,8.472779774566046e-09,3.499071314488174e-09,7.551457394907039e-08
4500,4.991112894638912e-08,1.2424333489602036e-07,8.958866302054923e-11,1.389062430395956e-07,1.0126088919070784e-09,1.2201108358985432e-07,1.0472948475831616e-09,5.396561479231412e-10,1.1145199701901103e-08,3.602449377209405e-09,7.568895117848426e-08
4600,4.991080195399854e-08,1.241018781095262e-07,8.886017153880361e-11,1.36088385660115e-07,1.035441231393545e-09,1.2155746793133896e-07,1.103966668141594e-09,5.724480391539381e-10,1.1199539200443028e-08,3.5198064017051966e-09,7.654283412167268e-08
4700,4.99110267308325e-08,1.239810886103381e-07,8.77989230143741e-11,1.3444589651890734e-07,1.0142423724092678e-09,1.2163847007552694e-07,1.092777274223859e-09,5.761042866203869e-10,9.494454251494895e-09,3.6205785489506865e-09,7.772802987348873e-08
4800,4.990935076013928e-08,1.2410501529644352e-07,8.993906754583636e-11,1.365935801628386e-07,1.0208738660980464e-09,1.2165833823411003e-07,1.1242913256680102e-09,5.827284952174168e-10,7.583202112155428e-09,3.755343696642725e-09,7.626771078773315e-08
4900,4.9909024042191957e-08,1.2395702730619992e-07,8.901514369700383e-11,1.355009022417988e-07,1.0250683998763683e-09,1.2151581116842164e-07,1.139559166851276e-09,5.700080661588585e-10,8.430005445822163e-09,3.8275538989701855e-09,7.542995483562809e-08
5000,4.990958777183134e-08,1.2362362419398138e-07,9.022490130651188e-11,1.3729664228212022e-07,1.0243457105005545e-09,1.2130191415641587e-07,1.2045274201063294e-09,5.801258449449499e-10,1.0794472035815515e-08,3.921047863174798e-09,7.514289801811835e-08
