milliseconds,P,N
0,9966.72695622677,0.5490579884052045
100,9761.234124746226,65.55872770671017
200,9682.590547882979,105.5754908283023
300,9545.40269978654,119.68336002146413
400,9331.911260868976,128.55369671349706
500,9258.592993201675,127.4885140011241
600,9148.051500533531,126.91142707259706
700,9052.772273953753,126.88541763695737
800,8721.809455552348,125.41997064224256
900,8510.936259287895,120.46106973774594
1000,8454.144078612599,119.23838657892958
1100,8306.899781292515,116.79731613015107
1200,8155.331941424759,114.74426058979319
1300,8188.192781698511,112.19514294004551
1400,8114.537984454792,111.52172573311252
1500,7840.9467764691535,109.43280329376967
1600,7792.496185868518,107.98503774238763
1700,7558.964720415405,106.29198927131687
1800,7521.579466210181,105.72939836909717
1900,7518.038556152498,103.7219368986412
2000,7458.093279904247,100.70231572117643
2100,7419.896559483949,99.3446409932279
2200,7249.209962947948,97.08261018400631
2300,7131.882607987396,96.52272536254421
2400,7116.613263364258,94.05553443135997
2500,6790.898432609767,94.68025445314288
2600,6876.901550913479,91.26938941441904
2700,6686.940264788299,92.94185010100306
2800,6565.179203853107,88.11656391345878
2900,6604.485841429002,87.58261227109531
3000,6586.851516179123,88.86378361902695
3100,6414.155492402049,85.93939567826523
3200,6375.240065182018,84.98645306627802
3300,6242.824036760425,82.10173209143117
3400,6250.471003196935,81.4765879209596
3500,6113.240795580279,83.37687921790035
3600,6079.673482808375,80.98151624873928
3700,6118.619734818748,78.41695591615468
3800,5967.806276951621,78.75425500178292
3900,5928.468290253061,79.86057165889798
4000,5816.19616361574,78.36986870350302
4100,5699.057220571932,75.811160699141
4200,5784.125530572874,75.89675534682473
4300,5574.4991585873395,74.77040038199786
4400,5654.087003208515,72.36700385845037
4500,5592.773107189219,71.73577700649082
4600,5590.185418577159,70.6873187718874
4700,5472.229174399167,70.93678594563882
4800,5364.742846309987,70.52306200497951
4900,5365.638032792597,70.97085793011728
5000,5213.823119481898,67.94524669918275
