milliseconds,P,N
0,9978.155857788768,-1.4103215872442447
100,9948.33094693899,64.74992584050048
200,9633.240933749184,101.55903193599923
300,9517.943315516928,122.01045887113862
400,9358.99151962758,124.81883441311193
500,9143.832541958462,126.82634850092892
600,9107.217874024376,125.51657405537951
700,8986.519565539294,125.52035669707473
800,8853.65127589756,122.07649362882323
900,8593.879703361055,121.76413420550625
1000,8622.8389513753,119.94653179465266
1100,8347.018710900447,116.68014580631231
1200,8255.29100885838,115.79176706129019
1300,8093.617361130936,111.66301261283213
1400,7930.460235832772,113.4854626862472
1500,7826.113446349969,109.71251732803655
1600,7914.295891494937,109.09650566198692
1700,7610.69720889243,106.80908163481183
1800,7450.29694368371,104.3596985344429
1900,7555.090627330605,100.52720153079514
2000,7474.167039431753,101.65870665268446
2100,7287.380354836759,100.34805023998783
2200,7065.092025030261,99.28958766240457
2300,7108.01832043578,95.72223215189241
2400,7086.16036462649,93.56433768360795
2500,6923.373814273032,95.42251679088247
2600,6884.255721024035,91.1481665679318
2700,6842.384977167876,92.59897000566362
2800,6741.807890162767,87.87040499922061
2900,6690.010002444078,89.20423472000859
3000,6412.311800227218,86.65645125487958
3100,6322.339918981293,86.5705089439397
3200,6386.104733809052,87.09244833435824
3300,6229.071314563422,86.17177545396912
3400,6220.170923777679,81.30093286676532
3500,6210.186955098587,82.83208155972609
3600,6127.74209101504,78.88065512513724
3700,6070.025464908301,78.59051159392638
3800,5912.251903622002,79.41578292533292
3900,5786.536834286755,77.12436577061796
4000,5734.18154588486,77.34057572869857
4100,5914.48707223047,74.4842547682745
4200,5670.5941010776805,75.42983312421056
4300,5749.718863165045,74.77389524916184
4400,5674.369213461159,73.70728174749995
4500,5620.0527227259,72.21413298184936
4600,5580.891094268295,73.09688755546738
4700,5520.197086041019,70.60115802026515
4800,5281.688236335252,69.20689104841738
4900,5275.876765337634,68.37737331601366
5000,5315.103122083749,69.67502855102903
