milliseconds,P,N
0,9867.240419876824,-0.23029026021183263
100,9899.398276628526,63.45722163970816
200,9613.214372760536,105.17507251607584
300,9512.760425502653,120.6070047753653
400,9296.812919637765,127.74799812126655
500,9287.50625183148,128.99932628635426
600,9034.366980798244,126.79959090561123
700,8946.808560978252,125.52450734650347
800,8784.750394323313,125.15324129809365
900,8771.086398575508,121.81138677590008
1000,8395.667299199187,120.81973916826267
1100,8314.323263744282,115.19642331728011
1200,8336.54637033666,113.96595373541513
1300,8117.038040201614,112.93004174415428
1400,8141.038784881188,110.80718001351319
1500,7829.676351241411,109.92255552172293
1600,7795.294234328443,109.23069068795238
1700,7710.075580906463,106.1949827424997
1800,7719.674350797678,105.45594871210294
1900,7516.1375134730515,104.33856932219057
2000,7321.96845464886,100.25167428207689
2100,7198.064274327784,99.4640764442494
2200,7283.4378006902925,98.76010279406754
2300,7124.465565573079,98.30062788636182
2400,6890.209089286766,97.4969994866252
2500,7043.6025185135795,93.02040403488417
2600,6741.646057604642,90.55711975970216
2700,6853.806488639595,91.54357954730928
2800,6616.48425630456,90.25624261113263
2900,6719.567793660847,90.49043402034592
3000,6497.211170545572,86.24092910269499
3100,6557.613604007607,86.08695308873786
3200,6300.667168293977,87.35315821046714
3300,6412.921879789645,83.7198040445913
3400,6203.053403682737,83.00452375199362
3500,6109.99350190722,80.32660993608556
3600,6061.715970075363,80.86480550656009
3700,6163.366388139918,78.99062406600387
3800,5832.0190773720615,78.83404733729449
3900,5973.185768217432,77.76152564999437
4000,5764.792007402117,77.95510796294565
4100,5915.064414142844,76.71256272294079
4200,5824.680512282751,74.88102408291452
4300,5786.514778453431,75.3032161209632
4400,5671.566606884519,72.55577809347537
4500,5561.859596387828,73.77002597081956
4600,5585.177899834284,72.75542681798046
4700,5488.965838740281,72.53695037257879
4800,5314.486193313624,69.60400142622244
4900,5323.584873573054,69.832561632759
5000,5306.824789313828,68.8537222942432
