milliseconds,P,N
0,10034.19589303085,-1.6004208077549227
100,9953.759985596633,66.28811442442895
200,9743.211852952241,104.51369212766895
300,9657.23432165776,121.29853892449775
400,9275.8400212577,125.52990662519723
500,9334.401202073312,126.28256072333903
600,9176.231471016343,125.8833630952271
700,8907.896029649393,126.37397520501212
800,8830.622039166936,122.31637745616408
900,8537.254119979638,123.22225234339837
1000,8471.367520965925,118.74128127239607
1100,8424.72808396657,118.59280820022022
1200,8210.542760887347,114.40699839448811
1300,8246.186003415816,113.20412155698426
1400,8062.919753816484,110.24096979585539
1500,7834.525491090863,111.55286213504198
1600,7755.140790309316,106.76168119988202
1700,7564.417909264887,107.88836057352945
1800,7714.320963866493,103.94781070610263
1900,7394.037937127896,102.72057191626129
2000,7432.465950506615,102.9411346716075
2100,7241.405418192587,101.67180999347231
2200,7163.2630496638185,96.54042775243553
2300,6988.1678328979315,98.8892554337817
2400,7094.964988289445,93.87952639081176
2500,6994.235879620679,92.05970058272278
2600,6863.600086530146,93.40538750649121
2700,6892.33681723517,92.19347659941677
2800,6636.9081596451715,88.38779594621697
2900,6636.369138686592,86.77858450604607
3000,6519.096003350446,88.04253425734723
3100,6370.089324957119,84.93733292974126
3200,6470.582686116891,84.32752929114105
3300,6283.830567224562,83.7042455283024
3400,6302.107781398496,81.03361273335766
3500,6150.217344808251,79.88638258642763
3600,5999.273874086369,80.5059327125323
3700,5957.267493468965,80.1354278428694
3800,5982.343488593998,77.9375500599427
3900,5853.708478633794,76.50941997549876
4000,5832.14555664257,76.02768142249417
4100,5795.80019764386,75.8077049054105
4200,5625.905191844001,73.89491217910302
4300,5707.106736940372,75.81763008563956
4400,5719.602706508535,74.36397013429539
4500,5589.134270550497,74.33056629210837
4600,5421.8994838819735,73.18640661975634
4700,5402.828297246279,72.44472881051142
4800,5438.0533885731875,71.47055207976467
4900,5391.525373980356,68.76290804431063
5000,5194.760183713411,67.55701467742837
