miliseconds,Rb,pRb,E2f,RbE2f,E1,C1,pC1,E1C1,P21,Ce,Ca,CeP21,CaP21,aPcna,iPcna,Rc,pRc,aRc,iRc,Dna,P53,Dam,Pr
0,0.003906701332368681,5.003534996423726,-0.0005578242817696981,0.0010056464655143022,-7.999607401164792e-06,-0.0002979779123696683,1.0003929335994919,-3.4608630667612393e-06,0.5998228518560842,0.49968026991949066,1.2037637758177309,-9.288073067117787e-06,0.00013116647950246765,0.49905664566362845,-0.0027128401915830526,1.0008642928765559,-0.00015803105523427217,4.0247789658804355e-07,1.8413474338783497e-05,-4.354300795341389e-09,0.00012998729084988923,3.922971400284399e-05,0.4981671346630672
100,0.027671968041542677,4.980884303168675,0.003664569287926653,0.0011586961798225508,-7.051325635673247e-06,0.005344279435999194,0.9952134998914177,-2.8558262225120093e-06,0.11295530832953227,0.4885024098993814,1.1702733419832374,0.01112161215336266,0.026394876978428367,0.0541611381204366,0.4494162481609383,0.9970387292188876,0.003584292327331931,1.1215596724766463e-07,1.918131199462804e-05,9.434165941223181e-09,0.00395206300562787,0.00010062962407778571,0.5017981177315857
200,0.044535099213661805,4.956985533589813,0.005322950018422011,-0.0016533104832083074,3.843081530120207e-06,0.00907844431174693,0.9910612644439452,1.2730931510651135e-06,0.06895222149106386,0.482100781202681,1.1635251417216035,0.015261217127176967,0.03665206844764548,0.02635010330304587,0.47991167992438394,0.9932018987894436,0.0074319433294846,6.634034530025442e-07,-8.215100684192581e-06,-6.320466437342375e-10,0.006328379368874128,0.00017597922102740964,0.5020134640079766
300,0.06739104601091021,4.93397068742546,0.00825370747515569,-0.0013224542589973854,1.4704440174813425e-05,0.012289362456249031,0.9873797795264374,2.21416794502966e-06,0.05433841321363033,0.47967216500605825,1.1452702915748083,0.017960339055332872,0.043499079941822096,0.015775690506262232,0.48417213634831274,0.9878357822336805,0.010243751780559265,7.756777256100819e-07,-8.30296450862721e-06,-1.7545551529799871e-09,0.007833356767775542,0.00035627315218554655,0.5007958685168115
400,0.08326767760137559,4.915899147777156,0.011416448732410654,-0.0007192753373809609,1.0491431048802017e-05,0.01534240910615569,0.9837559320190055,-1.0293522310071116e-06,0.03794261726914294,0.4750361075744865,1.1337902595469131,0.01969758182292936,0.047840062744291374,0.012819208888417135,0.4866103052008705,0.9850977173621456,0.015066409731392576,3.188792802744966e-07,1.2078973338445856e-05,-6.322766844740408e-09,0.008736373666241028,0.0004026746073363778,0.4992561615560637
500,0.10427960432003204,4.889563738883942,0.014813940570985805,0.0015138699174749395,9.57840972577032e-06,0.018833847114749752,0.981713754252335,3.2664646448444106e-06,0.03529780924137406,0.4740457956095038,1.1367991068598327,0.02122531085212979,0.051567301941260774,0.010443822396116166,0.4891228080605687,0.9820959999129742,0.016557536586577323,6.293122506086103e-07,1.1316937881379816e-05,-4.534155586334453e-09,0.009568623649140198,0.0004415404400517894,0.49988405675259046
600,0.11929005912171643,4.876218310013287,0.016751705970547006,0.0006524582436180106,2.1441012825405628e-05,0.020933017387186954,0.979191120900907,-1.8860827073611834e-06,0.024072803819241068,0.47063968007057494,1.124382200881659,0.022371137418578005,0.05409286209834947,0.005523696483141294,0.49554833800268083,0.9802021662046944,0.02066228933476288,9.042927696886527e-07,4.85138263931207e-05,-6.641955691588621e-09,0.009954625439359824,0.0005745326312229799,0.4968039151228524
700,0.1384549512480897,4.863523799870519,0.019260642340268447,0.001516422877338876,3.6692573108924765e-05,0.02400135252930316,0.9766748194516519,-1.8955946416054442e-06,0.02406112305938346,0.46886957338963964,1.1121718653734884,0.023454002030805512,0.05579222276066405,0.005730793186531609,0.49023735733540286,0.9770884070353092,0.024816277547371833,3.153847255120328e-07,6.102762098327159e-05,1.721502851661018e-09,0.010152237337588223,0.0007499917692481241,0.4969189830131714
800,0.14795534041958638,4.844458405289015,0.0214480197840631,0.005598496210437686,4.530675214097657e-05,0.025369821693320152,0.9747509084327477,3.0137560028185325e-06,0.02294491686803985,0.46769094631920627,1.111717974484556,0.024199381798084615,0.05737937104360064,0.009790592049121128,0.4941424556989763,0.9723641158644213,0.025947295751184245,1.0994557962964856e-06,4.790742725036706e-05,5.0908722713434226e-09,0.01035824034499148,0.0007372426870103952,0.49565771514597107
900,0.16478811804596888,4.829585331644317,0.022493911950421264,0.006831207521332863,5.3330024854384934e-05,0.027093758078905947,0.9719800427479082,8.570560156634009e-07,0.013722722957435256,0.4653136945650899,1.1010264049267606,0.02511477496762194,0.05939913452921642,0.005186790779524936,0.4911635205817227,0.9696497090318202,0.028882847344031327,7.82969677276808e-07,5.767733564721263e-05,1.237774052410991e-08,0.010527091833452882,0.0008643640958687567,0.4956642029025029
1000,0.1799787884380232,4.812285804301823,0.02488507262138293,0.007882397096517044,5.588329010608648e-05,0.030104852880479236,0.9703175181107523,1.956974935843757e-06,0.011556605620064154,0.46440291902535685,1.093767370389728,0.02553924576084759,0.05993458225010576,0.010063749853407146,0.494630381621431,0.9681002881929531,0.03315470936382868,1.4488343227955871e-06,9.821149726882415e-05,3.1328898641535217e-09,0.010661570280735586,0.0010271956736545387,0.4922309109857603
1100,0.19002550427429754,4.8040884790673,0.025706176769845445,0.007977159555747244,7.198613644659732e-05,0.03166074964669788,0.9689347820189516,6.857210118894947e-06,0.010177191891581132,0.4632509004572284,1.0750150696114373,0.026044338450838478,0.06048163943202648,0.005976742922028518,0.49020206165847763,0.9651873297194971,0.03538051118827706,1.1609452950762241e-06,9.890564896318793e-05,-3.3002540021250184e-09,0.01090202162934175,0.0011380628441165315,0.4908659596611376
1200,0.19605347165971895,4.793235174631052,0.026725848163260135,0.012064409549537148,8.173934772745478e-05,0.03259426024738293,0.9673302778284479,9.099821640748059e-06,0.016632221102844985,0.46090922503170906,1.073714291873904,0.026395544917454737,0.06131899441058954,0.007163053497630804,0.48977471800350847,0.9630082357895754,0.03807369399394909,1.1511766075290807e-06,0.00011896599586682598,-2.7278130697475223e-09,0.010915261575184214,0.0012406753683649953,0.48939058550730186
1300,0.2058840048980481,4.7764373532227165,0.028669681266786425,0.01365084815917497,9.348398142439363e-05,0.03377422067370054,0.9663746263033135,6.952224817016949e-06,0.014880941811258427,0.46076694790508493,1.0673562696829775,0.026592306206006004,0.06232546678404121,0.005898909874822997,0.48892059416792677,0.959961875021151,0.03866851903955769,1.5292111782876477e-06,0.00012041919184512801,2.152068184977684e-09,0.011177543619409386,0.0013512731580417202,0.48698689247790905
1400,0.21546023025547825,4.769257262259022,0.02939196477667525,0.015206644075552838,0.00011760378008929834,0.035520790071682004,0.9652270139324596,1.1620830534472736e-05,0.009834987869001069,0.45939898155971814,1.0536949352972433,0.0269593420383922,0.06251497356049031,0.006685229598203796,0.49313586385792607,0.9581644091108281,0.04179585996875838,2.4089126842373316e-06,0.00016411242746895423,8.217661858953079e-09,0.011171880918100252,0.0014652887261599112,0.4848757599048681
