milliseconds,Rb,pRb,E2f,RbE2f,E1,C1,pC1,E1C1,P21,Ce,Ca,CeP21,CaP21,aPcna,iPcna,Rc,pRc,aRc,iRc,Dna,P53,Dam,Pr
0,-0.002047953405256643,4.995684681114677,0.00025172265133667634,-0.0017169157741927588,-2.8795497031090857e-06,0.00018315190785587505,1.0001083128104262,8.207302701716661e-08,0.5982325032741607,0.5004826743595264,1.2031663653726588,-0.00027737078556193623,-0.0003423631395133397,0.5000468863343406,0.002197650245273231,0.999322781321856,-0.00018421840079328218,-6.250060554167354e-07,-2.061085382817557e-06,5.566525545151104e-09,9.785201850335091e-05,-6.346677754072117e-05,0.5002300866636737
100,0.02056073059207197,4.976178630256794,0.0028661591431907987,-0.0014688813470183583,4.445240876555553e-06,0.0046455878112375976,0.9952648966308194,-2.474458379269762e-06,0.11224966606667282,0.48753781114025163,1.1744769651023304,0.010897790095580276,0.025989349819609604,0.05612686366235816,0.44301408237548856,0.996756691719077,0.0043165077989716525,5.026252926055292e-07,2.1565758968344672e-05,2.5324091820967573e-09,0.003917286572108251,9.888841053010642e-05,0.49937881648709626
200,0.049928291171822604,4.9578318394684855,0.00570846467879617,-0.0005600124343477912,7.034523321957364e-06,0.00831417441362199,0.9918010325062849,1.8648536593400338e-06,0.07359832725786415,0.4820722683470024,1.156198551198309,0.01520952612799548,0.03630484705796772,0.023106928028570048,0.47880832842322685,0.9916529907939067,0.008584233314645832,3.061593753130575e-07,-9.070742056560379e-06,-7.347167672633166e-09,0.006378325011179454,0.0001358522719374948,0.5027484631600453
300,0.07136291015716398,4.932174619364889,0.008686501577259998,0.0009546826549187478,6.15558819095266e-06,0.013264756585755256,0.9881262435851562,2.981007240570915e-06,0.0548853117826196,0.4782649166928603,1.1463944425727017,0.017889017071493547,0.04337398306402224,0.013583496823801477,0.4886257932944993,0.9892558126967875,0.009999061198639615,-3.372353121616117e-07,-8.93698409768208e-06,9.352326562317165e-09,0.007730641894272645,0.00022975612492984627,0.5014027899736274
400,0.08491809900394637,4.90980975613415,0.011121979969466593,0.00036510723037192687,1.9309063683566322e-05,0.0161068477783512,0.9842851096007882,4.1776238381710734e-06,0.0421122526430598,0.4766782499436041,1.143982166456679,0.019646420266954328,0.04814489716576428,0.0069673635715709215,0.4901725038386434,0.9848607861315278,0.015420057348360763,2.7422064741336086e-08,2.641212342159028e-05,-3.261545903791264e-10,0.008932606630637168,0.00033786112836003274,0.5010951377959746
500,0.10740063200956912,4.891316397949015,0.01396947574115079,0.0010683674029305927,1.325773350548907e-05,0.018448383736645722,0.9809784385193346,4.671868758655305e-07,0.03146338540286505,0.4739921407543681,1.1365267065381413,0.02128039462469384,0.051278042441494955,0.01104206467747989,0.49023142759823457,0.981141492982334,0.016553461819486658,-4.6523226364700966e-08,3.7513553970318265e-06,5.521421074538958e-09,0.009387326722207223,0.0004938385542292217,0.4986183288890718
600,0.12068286181851696,4.8712705253578,0.017042611812033523,0.0035154791880056538,2.1563716970845537e-05,0.02111325384915375,0.9780086844275944,-1.104024786200609e-06,0.024862942171446304,0.4703132025183758,1.1182976700586802,0.02272043297851668,0.05377116280974314,0.00799408578044344,0.49267350398410525,0.9788942346223243,0.020558518605467212,3.8942451139368377e-07,1.8310132164662463e-05,1.7093412266937956e-10,0.009745168538950902,0.0006057991843435705,0.49970087975514543
700,0.1374887272009818,4.8624743240142365,0.01906885176430792,0.0019874808488599353,2.5271310256950935e-05,0.02329992629662621,0.9769164126761779,4.0697992418640495e-06,0.026621235550182934,0.4697293114492108,1.115093676193689,0.02357798302602932,0.056512436384866714,0.005734687413911872,0.49604486645038287,0.9753059571375869,0.023239799571753192,7.512767515522063e-07,3.187015123714399e-05,8.026612073207926e-10,0.010160254522492283,0.00064747647738186,0.49601914332506886
800,0.14696798520732318,4.8493295075660825,0.02093061520873522,0.004073870352535419,3.507663698401166e-05,0.025769091756333993,0.9745774344427123,-8.693232493603573e-07,0.022594967973214013,0.46665228375202716,1.1089137136269132,0.024224901186374794,0.057762500068421874,0.004058829087134689,0.4902885199372674,0.9742069733204073,0.0264732926169214,8.566750189402931e-07,3.66874857550602e-05,8.816335368184986e-09,0.010471198944532379,0.0008498340326503228,0.4943126395689072
900,0.16056137447677488,4.829832487238442,0.023015653481725667,0.004306193233172488,5.321162930239091e-05,0.027799328230831092,0.9721816085264042,2.2114288843500015e-07,0.020951107426760793,0.46487206148687554,1.0929865151546876,0.025251303471068666,0.0590598887658077,0.007770439117375259,0.4927501352798208,0.9705319666996615,0.0289661847936182,1.0306634842794042e-06,8.741481730153159e-05,5.6873782819734065e-09,0.010527406635284113,0.0008930066572584838,0.49614857314709504
