milliseconds,BLL,IL,AL,A,BL,B,DLL,D,ILL,DL,I,ALL
0,0.0,0.0,0.0,0.0,0.0,1.66057788110262e-05,0.0,0.0,0.0,0.0,0.0,0.0
100,8.735915205408682e-08,1.4051952020077209e-08,4.571614355032542e-08,1.4074439002733466e-10,1.0407899440683894e-06,2.877220154369668e-06,8.149599483102189e-09,5.798674855282506e-14,2.5711133536301996e-06,4.347560840922546e-11,1.9461726826075684e-11,3.5132700099393657e-06
200,5.3542651387478355e-08,1.0777679079638143e-08,2.800744128410168e-08,8.632091330212788e-11,6.371548025466284e-07,1.7655255841661844e-06,1.2828619217060259e-08,9.124646909956606e-14,1.9821160465020767e-06,6.842604383334509e-11,1.4812736363145854e-11,2.1566654428187148e-06
300,1.9726150720869907e-08,7.503406139199077e-09,1.0298739017877949e-08,3.1897436576921093e-11,2.3351966102486765e-07,6.538310139627011e-07,1.7507638951018326e-08,1.2450618964630707e-13,1.3931187393739536e-06,9.337647925746472e-11,1.0163745900216023e-11,8.000608756980638e-07
400,-5.565662521365704e-09,8.458434759766488e-09,-2.9630637047015116e-09,-8.95571504555848e-12,-6.935680990111961e-08,-1.8126882599089112e-07,1.341184195623478e-07,9.537282097970048e-13,1.5912840422205191e-06,7.152973210492788e-10,1.121986229394968e-11,-2.1248335580282238e-07
500,-1.4070179079739122e-09,2.4024540734917473e-08,-8.620477010636429e-10,-2.9271139855420687e-12,-2.413969871102243e-08,-6.080970632522875e-08,6.374227459100757e-07,4.532781747773568e-12,4.508880347816304e-06,3.399587246723606e-09,3.1985558720335346e-11,-3.6393458034345116e-08
600,2.751626705417909e-09,3.959064671006846e-08,1.238968302574211e-09,3.1014870744743137e-12,2.1077412479074512e-08,5.964941334043317e-08,1.1407270722578035e-06,8.111835285750117e-12,7.426476653412074e-06,6.083877172397918e-09,5.275125514672101e-11,1.3969643973413215e-07
700,6.910271318809701e-09,5.51567526852195e-08,3.3399843062120726e-09,9.130088134490696e-12,6.629452366917169e-08,1.8010853300609556e-07,1.6440313986055295e-06,1.169088882372668e-11,1.0344072959007843e-05,8.76816709807223e-09,7.351695157310667e-11,3.157863375026094e-07
800,1.1068915932201494e-08,7.072285866037042e-08,5.441000309849927e-09,1.515868919450708e-11,1.115116348592684e-07,3.00567652671757e-07,2.1473357249532553e-06,1.526994236170323e-11,1.3261669264603613e-05,1.1452457023746543e-08,9.428264799949223e-11,4.918762352710857e-07
900,1.5227560545593285e-08,8.628896463552141e-08,7.54201631348778e-09,2.1187290254523432e-11,1.5672874604936535e-07,4.210267723374189e-07,2.6506400513009815e-06,1.8848995899679778e-11,1.617926557019937e-05,1.413674694942084e-08,1.1504834442587778e-10,6.67966133039563e-07
1000,1.938620515898509e-08,1.0185507061067246e-07,9.643032317125649e-09,2.7215891314539842e-11,2.0194585723946253e-07,5.414858920030809e-07,3.1539443776487073e-06,2.242804943765634e-11,1.9096861875795154e-05,1.6821036875095153e-08,1.3581404085226344e-10,8.440560308080403e-07
1100,2.3544849772376884e-08,1.1742117658582344e-07,1.174404832076351e-08,3.3244492374556223e-11,2.4716296842955944e-07,6.619450116687432e-07,3.6572487039964352e-06,2.6007102975632904e-11,2.2014458181390922e-05,1.950532680076948e-08,1.5657973727864912e-10,1.0201459285765174e-06
1200,2.770349438576869e-08,1.3298728256097448e-07,1.3845064324401371e-08,3.927309343457261e-11,2.9238007961965664e-07,7.824041313344051e-07,4.160553030344163e-06,2.958615651360945e-11,2.4932054486986694e-05,2.2189616726443794e-08,1.773454337050348e-10,1.1962358263449948e-06
1300,3.18621389991605e-08,1.4855338853612548e-07,1.5946080328039232e-08,4.530169449458902e-11,3.375971908097536e-07,9.028632510000675e-07,4.663857356691891e-06,3.3165210051586015e-11,2.7849650792582476e-05,2.4873906652118104e-08,1.9811113013142043e-10,1.372325724113472e-06
1400,3.6020783612552306e-08,1.641194945112765e-07,1.8047096331677095e-08,5.13302955546054e-11,3.828143019998508e-07,1.0233223706657294e-06,5.167161683039617e-06,3.6744263589562577e-11,3.076724709817825e-05,2.7558196577792425e-08,2.1887682655780605e-10,1.5484156218819492e-06
1500,4.017942822594408e-08,1.7968560048642745e-07,2.0148112335314948e-08,5.7358896614621754e-11,4.280314131899476e-07,1.1437814903313914e-06,5.670466009387343e-06,4.032331712753913e-11,3.368484340377401e-05,3.024248650346673e-08,2.3964252298419165e-10,1.7245055196504256e-06
1600,4.4338072839335886e-08,1.9525170646157848e-07,2.2249128338952818e-08,6.338749767463816e-11,4.7324852438004465e-07,1.2642406099970532e-06,6.173770335735071e-06,4.3902370665515693e-11,3.660243970936978e-05,3.292677642914104e-08,2.604082194105773e-10,1.9005954174189027e-06
1700,4.8496717452727695e-08,2.1081781243672953e-07,2.4350144342590677e-08,6.941609873465454e-11,5.184656355701417e-07,1.3846997296627156e-06,6.677074662082799e-06,4.748142420349224e-11,3.9520036014965554e-05,3.561106635481536e-08,2.8117391583696294e-10,2.07668531518738e-06
1800,5.26553620661195e-08,2.263839184118805e-07,2.645116034622854e-08,7.544469979467093e-11,5.636827467602387e-07,1.5051588493283774e-06,7.180378988430524e-06,5.1060477741468804e-11,4.243763232056133e-05,3.8295356280489674e-08,3.019396122633486e-10,2.2527752129558573e-06
1900,5.681400667951128e-08,2.419500243870315e-07,2.8552176349866393e-08,8.14733008546873e-11,6.088998579503356e-07,1.6256179689940394e-06,7.68368331477825e-06,5.463953127944535e-11,4.53552286261571e-05,4.097964620616398e-08,3.227053086897342e-10,2.4288651107243343e-06
2000,6.097265129290307e-08,2.5751613036218243e-07,3.065319235350425e-08,8.750190191470366e-11,6.541169691404325e-07,1.7460770886597008e-06,8.186987641125976e-06,5.82185848174219e-11,4.827282493175286e-05,4.366393613183828e-08,3.4347100511611975e-10,2.604955008492811e-06
2100,6.513129590629488e-08,2.730822363373335e-07,3.2754208357142115e-08,9.353050297472008e-11,6.993340803305297e-07,1.8665362083253632e-06,8.690291967473705e-06,6.179763835539846e-11,5.1190421237348635e-05,4.63482260575126e-08,3.642367015425054e-10,2.7810449062612883e-06
2200,6.928994051968666e-08,2.8864834231248443e-07,3.485522436077997e-08,9.955910403473646e-11,7.445511915206267e-07,1.986995327991025e-06,9.19359629382143e-06,6.537669189337502e-11,5.41080175429444e-05,4.9032515983186916e-08,3.8500239796889105e-10,2.9571348040297652e-06
2300,7.344858513307847e-08,3.042144482876355e-07,3.6956240364417834e-08,1.0558770509475284e-10,7.897683027107237e-07,2.1074544476566875e-06,9.696900620169159e-06,6.895574543135159e-11,5.702561384854018e-05,5.171680590886123e-08,4.057680943952767e-10,3.1332247017982426e-06
2400,7.760722974647028e-08,3.1978055426278654e-07,3.90572563680557e-08,1.1161630615476924e-10,8.349854139008208e-07,2.2279135673223495e-06,1.0200204946516886e-05,7.253479896932813e-11,5.9943210154135954e-05,5.440109583453555e-08,4.2653379082166234e-10,3.30931459956672e-06
2500,8.176587435986208e-08,3.353466602379376e-07,4.115827237169356e-08,1.1764490721478563e-10,8.802025250909179e-07,2.348372686988012e-06,1.0703509272864611e-05,7.611385250730471e-11,6.286080645973174e-05,5.7085385760209865e-08,4.47299487248048e-10,3.485404497335197e-06
2600,8.592451897325386e-08,3.509127662130885e-07,4.325928837533142e-08,1.23673508274802e-10,9.254196362810147e-07,2.4688318066536735e-06,1.1206813599212338e-05,7.969290604528126e-11,6.57784027653275e-05,5.976967568588417e-08,4.680651836744335e-10,3.6614943951036736e-06
2700,9.008316358664566e-08,3.664788721882395e-07,4.536030437896928e-08,1.2970210933481836e-10,9.706367474711118e-07,2.5892909263193355e-06,1.1710117925560064e-05,8.327195958325781e-11,6.869599907092326e-05,6.245396561155848e-08,4.888308801008192e-10,3.8375842928721505e-06
2800,9.424180820003748e-08,3.820449781633905e-07,4.746132038260713e-08,1.3573071039483475e-10,1.0158538586612087e-06,2.7097500459849975e-06,1.2213422251907792e-05,8.685101312123437e-11,7.161359537651903e-05,6.513825553723279e-08,5.095965765272049e-10,4.013674190640628e-06
2900,9.840045281342928e-08,3.9761108413854154e-07,4.9562336386245e-08,1.4175931145485117e-10,1.061070969851306e-06,2.8302091656506595e-06,1.271672657825552e-05,9.043006665921093e-11,7.453119168211481e-05,6.782254546290712e-08,5.303622729535905e-10,4.189764088409105e-06
3000,1.0255909742682107e-07,4.1317719011369254e-07,5.1663352389882864e-08,1.4778791251486756e-10,1.1062880810414027e-06,2.950668285316322e-06,1.3220030904603245e-05,9.400912019718749e-11,7.744878798771059e-05,7.050683538858143e-08,5.511279693799762e-10,4.365853986177583e-06
3100,1.0671774204021286e-07,4.287432960888435e-07,5.3764368393520717e-08,1.538165135748839e-10,1.1515051922314997e-06,3.0711274049819835e-06,1.3723335230950972e-05,9.758817373516403e-11,8.036638429330633e-05,7.319112531425574e-08,5.718936658063617e-10,4.541943883946059e-06
3200,1.1087638665360467e-07,4.4430940206399454e-07,5.5865384397158576e-08,1.5984511463490031e-10,1.1967223034215967e-06,3.1915865246476455e-06,1.4226639557298697e-05,1.0116722727314059e-10,8.328398059890212e-05,7.587541523993004e-08,5.926593622327474e-10,4.718033781714536e-06
3300,1.1503503126699646e-07,4.5987550803914554e-07,5.7966400400796436e-08,1.658737156949167e-10,1.241939414611694e-06,3.3120456443133075e-06,1.4729943883646424e-05,1.0474628081111715e-10,8.620157690449788e-05,7.855970516560436e-08,6.13425058659133e-10,4.894123679483013e-06
3400,1.1919367588038826e-07,4.754416140142965e-07,6.00674164044343e-08,1.7190231675493307e-10,1.2871565258017909e-06,3.4325047639789695e-06,1.5233248209994153e-05,1.083253343490937e-10,8.911917321009366e-05,8.124399509127867e-08,6.341907550855186e-10,5.070213577251491e-06
3500,1.2335232049378005e-07,4.910077199894475e-07,6.216843240807216e-08,1.7793091781494946e-10,1.3323736369918879e-06,3.552963883644632e-06,1.573655253634188e-05,1.1190438788707026e-10,9.203676951568945e-05,8.392828501695299e-08,6.549564515119043e-10,5.246303475019968e-06
3600,1.2751096510717186e-07,5.065738259645984e-07,6.426944841171001e-08,1.839595188749658e-10,1.3775907481819847e-06,3.6734230033102935e-06,1.6239856862689606e-05,1.1548344142504681e-10,9.49543658212852e-05,8.661257494262729e-08,6.757221479382898e-10,5.422393372788445e-06
3700,1.3166960972056365e-07,5.221399319397495e-07,6.637046441534788e-08,1.8998811993498222e-10,1.4228078593720819e-06,3.7938821229759555e-06,1.674316118903733e-05,1.1906249496302337e-10,9.787196212688097e-05,8.92968648683016e-08,6.964878443646755e-10,5.598483270556921e-06
3800,1.3582825433395546e-07,5.377060379149005e-07,6.847148041898575e-08,1.960167209949986e-10,1.4680249705621789e-06,3.9143412426416176e-06,1.724646551538506e-05,1.2264154850099992e-10,0.00010078955843247673,9.198115479397591e-08,7.172535407910612e-10,5.7745731683253985e-06
3900,1.3359382935122328e-07,5.261069406457828e-07,6.734968289913838e-08,1.9282187707744254e-10,1.4441408258356506e-06,3.8506402071430316e-06,1.3675623208192712e-05,9.724889201503908e-11,9.861488760125725e-05,7.293666246050935e-08,7.017867360024187e-10,5.6789340301918216e-06
4000,1.3066394965392964e-07,5.115527420150759e-07,6.587729935400843e-08,1.8862368286036202e-10,1.4127396670227317e-06,3.766905751670259e-06,9.661584648948526e-06,6.870461766818686e-11,9.588626672540635e-05,5.152845675953018e-08,6.823784656296034e-10,5.553735501806042e-06
4100,1.277340699566358e-07,4.969985433843672e-07,6.440491580887844e-08,1.844254886432815e-10,1.3813385082098108e-06,3.683171296197486e-06,5.647546089703859e-06,4.0160343321336466e-11,9.315764584955534e-05,3.012025105855101e-08,6.629701952567871e-10,5.428536973420264e-06
4200,1.2480419025934215e-07,4.824443447536595e-07,6.293253226374843e-08,1.8022729442620123e-10,1.3499373493968903e-06,3.5994368407247134e-06,1.633507530459674e-06,1.1616068974484239e-11,9.042902497370446e-05,8.712045357571842e-09,6.435619248839718e-10,5.3033384450344845e-06
