milliseconds,Z1,Z2,Z3,Z4,E1,E2,E3,E4
0,0.5004854003920645,9.999983841698034,9.999994427833196,99.99998850388555,1.4746151301230665e-05,1.6014841982181936e-05,5.654110876224989e-06,1.1524407584460582e-05
100,0.5004854749188166,9.999983826714741,9.999994473262955,99.99998862686327,1.4992573967783812e-05,1.6230110028627586e-05,5.540938704151216e-06,1.1179481644787031e-05
200,0.500485625606442,9.999983975815656,9.999994424370247,99.99998894230077,1.4915595509322186e-05,1.5797719478052637e-05,5.4915360524268264e-06,1.1273731040371315e-05
300,0.5004860270431208,9.999984251451636,9.99999452509914,99.99998886500933,1.4718585510095701e-05,1.5987455672104478e-05,5.407546022662012e-06,1.0960226463938378e-05
400,0.5004859282396023,9.999984262972466,9.999994587265823,99.99998898195274,1.4489183226942467e-05,1.5749537330623177e-05,5.352974633809147e-06,1.0985477798063571e-05
500,0.500486160975379,9.999984227028019,9.999994624095551,99.99998892990803,1.4428545094609644e-05,1.5649173079885563e-05,5.43872029114057e-06,1.0975232775444528e-05
600,0.5004861569624979,9.999984472940525,9.999994579700886,99.99998911256677,1.4383513611524683e-05,1.5568355109155206e-05,5.292663752270857e-06,1.0708478994961308e-05
700,0.5004864351964672,9.999984597675542,9.999994662598192,99.999989191211,1.4349998062752884e-05,1.552580398521578e-05,5.297511465710882e-06,1.0782247741869057e-05
800,0.5004862900902808,9.999984726507806,9.999994784157888,99.9999892203527,1.3842399629730255e-05,1.5405345671722202e-05,5.326038994819101e-06,1.0788742157911531e-05
900,0.5004864188352781,9.99998475358374,9.99999470207505,99.99998945800782,1.3953697324891293e-05,1.508733430432517e-05,5.156792217249584e-06,1.0492007736903012e-05
1000,0.5004868328202889,9.999984969192393,9.999994831878412,99.9999895458468,1.390715899261603e-05,1.5086874798165584e-05,5.181441170954864e-06,1.0640361192642311e-05
1100,0.5004869230588259,9.999985065562628,9.999994801807674,99.99998947923497,1.3797643602205932e-05,1.4916370206497915e-05,5.20905786859405e-06,1.0314908972624883e-05
1200,0.5004867341782439,9.99998537694905,9.999994886238085,99.99998977195816,1.370420690436718e-05,1.471887550048739e-05,5.0754148695788684e-06,1.0314024248245625e-05
1300,0.5004870000474909,9.99998555130102,9.999994950072574,99.9999897705658,1.352148758239323e-05,1.4485597314422653e-05,5.063292132387322e-06,1.042216805253502e-05
1400,0.5004871997435559,9.999985357043794,9.999994976768003,99.99998972165956,1.3328166133402159e-05,1.4689018030757913e-05,5.085902356473331e-06,1.0231169776961174e-05
1500,0.5004872602004033,9.999985760035706,9.999994975855943,99.9999898288875,1.329286641395696e-05,1.4226676435593833e-05,4.936165940079951e-06,9.992310635438643e-06
1600,0.500487152042217,9.999985523445645,9.999995013950658,99.9999898814472,1.3119434751970727e-05,1.4370981832862511e-05,4.984135161073747e-06,1.0197803493874871e-05
1700,0.5004875292425074,9.999985639520098,9.999995098452446,99.99999011352566,1.3290934726922803e-05,1.4344954324359944e-05,4.8512851778163716e-06,9.960396913015365e-06
1800,0.5004873939478,9.999985899463026,9.999995114642108,99.9999901038812,1.3112209793749505e-05,1.391904541391716e-05,4.807424188190921e-06,1.004518223830075e-05
1900,0.500487733241015,9.99998620635957,9.999995188725025,99.99999025655022,1.3065416895867618e-05,1.3834328877054631e-05,4.7741043908096904e-06,9.762313965944234e-06
2000,0.500487574829876,9.999986152661052,9.999995250056925,99.99999027875077,1.2839424742754154e-05,1.3858854928925808e-05,4.866829567074267e-06,9.820657666798134e-06
2100,0.5004878815733649,9.999986148626919,9.999995255860881,99.9999904271027,1.2830674665143724e-05,1.3895903575137609e-05,4.692779354997681e-06,9.74573352422142e-06
2200,0.5004880899038392,9.999986332617016,9.999995329428444,99.9999904473992,1.2483430806623103e-05,1.3864554017895113e-05,4.788256792401156e-06,9.5771683845028e-06
2300,0.5004880805912607,9.999986504006092,9.999995278329228,99.99999038118698,1.2313262420399137e-05,1.3666931035316945e-05,4.754642103586753e-06,9.534684809897718e-06
2400,0.5004881231803383,9.999986329530545,9.999995323917485,99.99999062958553,1.2410448924973047e-05,1.3607831033817396e-05,4.656339425502031e-06,9.523920416194116e-06
2500,0.5004881039252432,9.999986720798207,9.999995388995126,99.99999053048957,1.2136037616643045e-05,1.3137814070070014e-05,4.606551891778215e-06,9.396558732035249e-06
2600,0.5004884601323295,9.999986931918574,9.99999536075826,99.99999063167515,1.2089812382560857e-05,1.3333129387507862e-05,4.651976130179811e-06,9.185055233794124e-06
2700,0.5004883778769055,9.999986870355842,9.999995403308247,99.9999908788047,1.2023643087480095e-05,1.2967138426837814e-05,4.490133557982741e-06,9.321401538948829e-06
2800,0.5004883588396497,9.999986846881237,9.999995513788594,99.99999080951963,1.1978661964337545e-05,1.3237536372144527e-05,4.458166761003983e-06,9.021825330224247e-06
2900,0.5004884060453817,9.999987269203066,9.999995558345741,99.99999103467567,1.199826748329768e-05,1.2978077532143515e-05,4.553888169850666e-06,9.252562628958358e-06
3000,0.5004887887452708,9.99998707036739,9.99999559845659,99.99999110452734,1.2063988763611763e-05,1.3009117523361768e-05,4.518649342481974e-06,8.867641232519833e-06
3100,0.5004885629102556,9.999987091921128,9.999995538806292,99.9999909869213,1.1680423772244577e-05,1.265784825266462e-05,4.421372608759677e-06,8.818638848811048e-06
3200,0.5004890013988961,9.999987274608934,9.999995685632197,99.99999115099278,1.1848640190254952e-05,1.2793509995621573e-05,4.320121173984791e-06,8.968386894927607e-06
3300,0.5004887036321185,9.999987628955699,9.999995673913256,99.99999117196079,1.159633890499138e-05,1.2434821256427401e-05,4.310358414917782e-06,8.937637808519826e-06
3400,0.500488833312318,9.99998743130818,9.99999565182533,99.99999111991404,1.1323724195350906e-05,1.236712700522093e-05,4.294907753702795e-06,8.600620423297233e-06
3500,0.5004890427852214,9.999987807715984,9.999995779862566,99.9999911581262,1.1485396901254776e-05,1.2160887953576497e-05,4.203848327303953e-06,8.812780163305064e-06
3600,0.5004890723941655,9.999987538879902,9.999995800548373,99.99999153545464,1.125123619915236e-05,1.2251676851674524e-05,4.1921725739185105e-06,8.736669754155738e-06
3700,0.5004893078271313,9.999987899297548,9.999995838350827,99.99999154506413,1.1393644064974951e-05,1.2289404074938315e-05,4.186261437045646e-06,8.610644637261749e-06
3800,0.5004893258153277,9.999987825294523,9.999995813870608,99.99999155060429,1.0949185707699994e-05,1.213720455040656e-05,4.165107677245198e-06,8.389110876445544e-06
3900,0.5004893630993655,9.99998811331203,9.99999586970041,99.99999170426457,1.1135370653775885e-05,1.2130374415928663e-05,4.169914274303145e-06,8.543052549467601e-06
4000,0.500489702903271,9.999988139346174,9.999995939600314,99.99999151779426,1.1075612639329344e-05,1.1993662034544376e-05,4.170213381475745e-06,8.496580115281707e-06
4100,0.5004896520878984,9.999988244546726,9.999995904839254,99.99999180319182,1.0745540350016948e-05,1.184772969570545e-05,4.019202499838195e-06,8.211761569861043e-06
4200,0.5004896304837431,9.999988504262951,9.999995924682061,99.99999170870484,1.0738542110900674e-05,1.1794460972606253e-05,3.997980909342837e-06,8.096242144408442e-06
4300,0.5004896061682493,9.999988270342225,9.99999604904821,99.99999188500676,1.0635666759594274e-05,1.1403048493808892e-05,4.0947949726158295e-06,8.096652707403381e-06
4400,0.5004898455005174,9.99998831581195,9.999995971429447,99.9999917515717,1.0843986707098817e-05,1.1356526932292895e-05,4.02754192432257e-06,8.225163578491667e-06
