milliseconds,UnInfected_Tumour_Cells_Xu,Infected_Tumour_Cells_Xi,Virus_Xv,Effector_Cytotoxic_CD8_TCells__Xe,M1_Macrophage_Xm1,M2_Macrophage_Xm2
0,500000.0,0.0,0.0,0.0,0.0,0.0
100,548268.2801772514,0.0,0.0,0.015813889037997585,0.15728195703772027,0.0021081772055756708
200,600386.2765628108,0.0,0.0,0.06447256025824855,0.32993979770502657,0.004445890150910633
300,655801.8858425968,0.0,0.0,0.14792301412088985,0.5190761094996474,0.007031756383723258
400,713931.949495539,0.0,0.0,0.26824222327681524,0.7256216499218437,0.009882605164001003
500,774276.0449469623,0.0,0.0,0.42759769491213784,0.9503432365007953,0.013013566207596517
600,836487.1430592324,0.0,0.0,0.6282128764589746,1.1938804562029564,0.016438545949228396
700,900382.20821394,0.0,0.0,0.8723451942538452,1.4567945698217992,0.020170881522458665
800,965921.9213199584,0.0,0.0,1.162273389806927,1.7396145871530924,0.02422397459736615
900,1033177.0197831184,0.0,0.0,1.5002935770553338,2.0428758561268463,0.028611841215450892
1000,1102292.3960293827,0.0,0.0,1.8887230849650363,2.3671479334293113,0.03334953283106724
1100,1173457.991202809,0.0,0.0,2.329909268694177,2.7130514741347826,0.03845342574113116
1200,1246890.9970588014,0.0,0.0,2.826239321567506,3.0812688417027676,0.04394143597077376
1300,1322823.6864754993,0.0,0.0,3.3801516054771215,3.4725508280140054,0.04983318855613629
1400,1401495.9071986666,0.0,0.0,3.994148074237617,3.88771999195155,0.056150151083459304
1500,1483150.9976471444,0.0,0.0,4.670806611071638,4.327672184118247,0.06291575328132927
1600,1568034.3657035301,0.0,0.0,5.4127928483229315,4.793377349943739,0.07015550635360833
1700,1656393.2889159704,0.0,0.0,6.222871726365413,5.285880191220473,0.07789712958914505
1800,1748477.3686936484,0.0,0.0,7.103918767316975,5.806300820302145,0.08617068876424559
1900,1844538.8206452467,0.0,0.0,8.058931244952868,6.3558355361088665,0.09500874016120585
2000,1944834.0934294923,0.0,0.0,9.091038759371278,6.9357577841895175,0.10444650348061593
2100,2049625.1078897656,0.0,0.0,10.203513669018111,7.547419570415646,0.11452205240207879
2200,2159180.287998379,0.0,0.0,11.399781537533773,8.192253263493283,0.12527652320900973
2300,2273775.6862558573,0.0,0.0,12.68343152882829,8.871773730282134,0.136754349150952
2400,2393696.0611128933,0.0,0.0,14.058226831193693,9.587580639352279,0.14900350854071423
2500,2519235.774792554,0.0,0.0,15.528115226670417,10.341361327102636,0.16207581619976244
2600,2650699.9344021627,0.0,0.0,17.097239765470587,11.13489364324534,0.17602723093752676
2700,2788405.412266467,0.0,0.0,18.76994960750546,11.970049218010963,0.19091819747951558
2800,2932681.8323498787,0.0,0.0,20.550811143536215,12.84879704107635,0.20681402508702448
2900,3083872.5638402607,0.0,0.0,22.444619278267098,13.773207180162244,0.22378528665557737
3000,3242335.6388966716,0.0,0.0,24.45640927281957,14.745455037085831,0.24190828611261986
3100,3408444.7253250363,0.0,0.0,26.591468803554264,15.767825609572185,0.2612655458320489
3200,3582590.1112728924,0.0,0.0,28.855350449858495,16.84271808879965,0.28194634888294823
3300,3765179.6992128612,0.0,0.0,31.253884623679895,17.97265072296717,0.3040473337026472
3400,3956640.018986799,0.0,0.0,33.79319282866761,19.16026586429593,0.32767312894382983
3500,4157417.2728236928,0.0,0.0,36.47970169853588,20.408335459178932,0.35293708456745604
3600,4367978.3926415015,0.0,0.0,39.32015731212653,21.719766646265477,0.3799620404308678
3700,4588812.139455702,0.0,0.0,42.321640146695024,23.097607676526213,0.4088811797599896
3800,4820430.237076622,0.0,0.0,45.49158057168573,24.54505409059671,0.43983895932319367
3900,5063368.540690547,0.0,0.0,48.8377748641436,26.065455139144692,0.472992115259238
4000,5318188.270181731,0.0,0.0,52.36840211878643,27.662320613593177,0.5085108056679162
4100,5585477.269378936,0.0,0.0,56.0920415218567,29.33932783539625,0.5465798206045432
4200,5865851.3234537365,0.0,0.0,60.01769041155722,31.10032899587404,0.5873999250873904
4300,6159955.52351833,0.0,0.0,64.15478293729659,32.94935875701948,0.6311893147560417
4400,6468465.687696074,0.0,0.0,68.51320943970343,34.890642166397754,0.6781852092418367
4500,6792089.8594096545,0.0,0.0,73.1033367541919,36.928602968111036,0.7286456397548849
4600,7131569.847612497,0.0,0.0,77.93602898093147,39.06787211385871,0.7828513548886326
4700,7487682.843422877,0.0,0.0,83.0226691373468,41.31329665410795,0.8411079351733518
4800,7861243.093487021,0.0,0.0,88.37518142234573,43.669948891727,0.903748073065534
4900,8253103.656412697,0.0,0.0,94.00605437635687,46.14313592104578,0.9711340968866239
5000,8664158.24534074,0.0,0.0,99.92836489784999,48.73840953697381,1.0436607689923818
