miliseconds,Arr,Arr_di,Arr_tetra,Ca2_buff,G_GTP,Ga_GDP,Ga_GTP,Ga_GTP_PDE_a_Ga_GTP,Ga_GTP_a_PDE_a_Ga_GTP,Gbg,Gt,Ops,Ops_G,Ops_G_GTP,Ops_Gt,PDE,PDE_Ga_GTP,PDE_a_Ga_GTP,R,R0,R0_G,R0_G_GTP,R0_Gt,R0_RKpre,R1,R1_Arr,R1_G,R1_G_GTP,R1_Gt,R1_RKpost,R1_RKpre,R2,R2_Arr,R2_G,R2_G_GTP,R2_Gt,R2_RKpost,R2_RKpre,R3,R3_Arr,R3_G,R3_G_GTP,R3_Gt,R3_RKpost,R3_RKpre,R4,R4_Arr,R4_G,R4_G_GTP,R4_Gt,R4_RKpost,R4_RKpre,R5,R5_Arr,R5_G,R5_G_GTP,R5_Gt,R5_RKpost,R5_RKpre,R6,R6_Arr,R6_G,R6_G_GTP,R6_Gt,R6_RKpost,R6_RKpre,RGS,RGS_Ga_GTP_a_PDE_a_Ga_GTP,RGS_PDE_a_Ga_GTP,RK,R_Gt,RecR_Ca,RecR_Ca_RK,RecT,cGMP,Ca2_free
0,32195095.476542,28684890.85624383,22773497.067326937,19.219900256907017,0.0,0.0,0.0,0.0,0.0,0.0,208184369.7812607,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506447902.7750044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14811.096174076496,47178244.416034244,13047241.890348183,5092441.311462209,237222931.47298083,6.494399981223645,0.009790030989794259
100,32195011.965259425,28685057.02302817,22773432.24408538,19.219948262299802,0.0,0.0,0.0,0.0,0.0,0.0,208184852.17859802,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.6234813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.82331377559,47177758.97460471,13047232.978135612,5092450.474473864,237222931.277948,6.494405974860676,0.009790030749177333
200,32194953.751102753,28685185.056290988,22773376.99773007,19.219949897098854,0.0,0.0,0.0,0.0,0.0,0.0,208184854.76114118,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448386.6649833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.775759883367,47177758.55499295,13047233.43945663,5092450.492299117,237222930.7421727,6.494406097081839,0.009790031436134909
300,32194911.41369939,28685286.37148531,22773336.03825004,19.219948628446545,0.0,0.0,0.0,0.0,0.0,0.0,208184855.50662076,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.548612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.840412380374,47177760.93857888,13047233.773890253,5092450.4769773735,237222930.32207415,6.494406108829173,0.009790030870847182
400,32194878.63101345,28685379.77848844,22773296.399065614,19.219947788252664,0.0,0.0,0.0,0.0,0.0,0.0,208184851.15936208,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.5473127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.753748914394,47177762.68718505,13047234.264216956,5092450.480209273,237222930.19160125,6.4944061249718015,0.009790030687863426
500,32194855.88610534,28685450.584850952,22773267.744201835,19.219948203272995,0.0,0.0,0.0,0.0,0.0,0.0,208184853.0790614,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.7912455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.760561252813,47177761.654507376,13047234.635475019,5092450.544885982,237222929.88467404,6.494406062509384,0.009790030819510834
600,32194842.31071559,28685504.294928122,22773247.58014646,19.219948346089915,0.0,0.0,0.0,0.0,0.0,0.0,208184850.49206883,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.3880754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.794977967907,47177758.28526767,13047234.980514819,5092450.468839779,237222929.54006776,6.494406110352848,0.009790030765608047
700,32194837.976054583,28685542.12370935,22773231.045944035,19.219948623768488,0.0,0.0,0.0,0.0,0.0,0.0,208184852.2144152,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448391.111667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.837930391983,47177759.55857612,13047235.022046553,5092450.466178146,237222929.3477115,6.4944060791617035,0.009790030980828226
800,32194828.640710734,28685588.074151054,22773206.85713346,19.219948494936297,0.0,0.0,0.0,0.0,0.0,0.0,208184853.6196848,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.6225405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.818580985751,47177761.43148154,13047235.685569102,5092450.523873868,237222928.72849727,6.494406116697329,0.009790030984447765
900,32194831.16760584,28685612.006921057,22773194.487458516,19.219948983766386,0.0,0.0,0.0,0.0,0.0,0.0,208184852.3252177,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.119488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.847976457999,47177763.88726097,13047235.726471644,5092450.501069347,237222928.44098243,6.494406072654499,0.009790030981256763
1000,32194830.355990537,28685631.681421615,22773186.51866583,19.219948932248677,0.0,0.0,0.0,0.0,0.0,0.0,208184852.6355965,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.016724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.851549621251,47177762.602935635,13047236.235915393,5092450.516981508,237222928.03881866,6.494406120050959,0.009790030979163783
1100,32194833.062146164,28685646.50942008,22773175.594335545,19.219948961076536,0.0,0.0,0.0,0.0,0.0,0.0,208184851.92310473,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.795498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.748209763415,47177758.761609875,13047236.649174254,5092450.448786888,237222927.89428386,6.4944060963646875,0.009790030984114744
1200,32194834.409561045,28685671.68770999,22773167.133464526,19.21994888229597,0.0,0.0,0.0,0.0,0.0,0.0,208184850.69046426,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448391.3279285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.824391640757,47177762.56907037,13047236.806872115,5092450.513326223,237222927.38746506,6.494406052260713,0.009790030985261012
