miliseconds,Arr,Arr_di,Arr_tetra,Ca2_buff,G_GTP,Ga_GDP,Ga_GTP,Ga_GTP_PDE_a_Ga_GTP,Ga_GTP_a_PDE_a_Ga_GTP,Gbg,Gt,Ops,Ops_G,Ops_G_GTP,Ops_Gt,PDE,PDE_Ga_GTP,PDE_a_Ga_GTP,R,R0,R0_G,R0_G_GTP,R0_Gt,R0_RKpre,R1,R1_Arr,R1_G,R1_G_GTP,R1_Gt,R1_RKpost,R1_RKpre,R2,R2_Arr,R2_G,R2_G_GTP,R2_Gt,R2_RKpost,R2_RKpre,R3,R3_Arr,R3_G,R3_G_GTP,R3_Gt,R3_RKpost,R3_RKpre,R4,R4_Arr,R4_G,R4_G_GTP,R4_Gt,R4_RKpost,R4_RKpre,R5,R5_Arr,R5_G,R5_G_GTP,R5_Gt,R5_RKpost,R5_RKpre,R6,R6_Arr,R6_G,R6_G_GTP,R6_Gt,R6_RKpost,R6_RKpre,RGS,RGS_Ga_GTP_a_PDE_a_Ga_GTP,RGS_PDE_a_Ga_GTP,RK,R_Gt,RecR_Ca,RecR_Ca_RK,RecT,cGMP,Ca2_free
0,32195096.046824653,28684882.312425155,22773489.615203843,19.219900213165392,0.0,0.0,0.0,0.0,0.0,0.0,208184374.93761617,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506447907.2763214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14811.054542013693,47178246.00286384,13047241.913758786,5092441.298843815,237222931.5846441,6.494400011197719,0.009790030996449418
100,32195011.968349364,28685059.63037439,22773432.621833056,19.219948582447206,0.0,0.0,0.0,0.0,0.0,0.0,208184851.6469565,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.5262427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.856890937746,47177761.27087139,13047233.15670366,5092450.455831794,237222931.02366576,6.494405920947713,0.009790030750138068
200,32194953.009812515,28685190.270026337,22773376.287344802,19.21994947740364,0.0,0.0,0.0,0.0,0.0,0.0,208184850.77286536,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.4182224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.852192377875,47177761.60108589,13047233.360939277,5092450.570730152,237222930.68004242,6.494406123353189,0.009790031442234795
300,32194910.05414137,28685284.241898194,22773335.139927235,19.21994817184711,0.0,0.0,0.0,0.0,0.0,0.0,208184853.17592224,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.681761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.81665573118,47177760.365021616,13047233.969600037,5092450.547911209,237222930.39901754,6.494406134185956,0.009790030875351031
400,32194880.792709112,28685382.974726263,22773302.281482775,19.219948068951098,0.0,0.0,0.0,0.0,0.0,0.0,208184852.56770054,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448390.8031855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.76816394842,47177763.87530861,13047234.207717478,5092450.47626197,237222930.10850075,6.494406072720536,0.009790030696484391
500,32194858.770819575,28685446.85511562,22773271.80416819,19.219948151238572,0.0,0.0,0.0,0.0,0.0,0.0,208184853.53893605,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448387.297744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.81901405808,47177758.90766353,13047234.550955348,5092450.513399639,237222929.76210997,6.494406100138013,0.009790030820262903
600,32194840.450921707,28685509.877199873,22773242.967198767,19.219948007868442,0.0,0.0,0.0,0.0,0.0,0.0,208184856.07850793,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448386.3480473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.814029405346,47177758.989061475,13047234.682097372,5092450.447554988,237222929.39229774,6.494406131307114,0.009790030766392092
700,32194837.710640736,28685536.46712865,22773224.225895237,19.219948583152718,0.0,0.0,0.0,0.0,0.0,0.0,208184852.09643587,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.7576838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.805905623272,47177764.13162187,13047235.07122173,5092450.541853242,237222929.2875879,6.494406130552168,0.0097900309768238
800,32194831.97283466,28685586.874941476,22773206.764616866,19.219948787292164,0.0,0.0,0.0,0.0,0.0,0.0,208184852.0149134,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.384814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.850170201134,47177761.295402974,13047235.63704313,5092450.477401178,237222928.7325582,6.4944061292349415,0.009790030977286797
900,32194828.72668918,28685605.881035395,22773197.46780322,19.2199483516003,0.0,0.0,0.0,0.0,0.0,0.0,208184850.44893017,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448387.937682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.780122413524,47177760.8616439,13047235.90615305,5092450.4848747095,237222928.54248562,6.494406084091301,0.009790030981367874
