miliseconds,Arr,Arr_di,Arr_tetra,Ca2_buff,G_GTP,Ga_GDP,Ga_GTP,Ga_GTP_PDE_a_Ga_GTP,Ga_GTP_a_PDE_a_Ga_GTP,Gbg,Gt,Ops,Ops_G,Ops_G_GTP,Ops_Gt,PDE,PDE_Ga_GTP,PDE_a_Ga_GTP,R,R0,R0_G,R0_G_GTP,R0_Gt,R0_RKpre,R1,R1_Arr,R1_G,R1_G_GTP,R1_Gt,R1_RKpost,R1_RKpre,R2,R2_Arr,R2_G,R2_G_GTP,R2_Gt,R2_RKpost,R2_RKpre,R3,R3_Arr,R3_G,R3_G_GTP,R3_Gt,R3_RKpost,R3_RKpre,R4,R4_Arr,R4_G,R4_G_GTP,R4_Gt,R4_RKpost,R4_RKpre,R5,R5_Arr,R5_G,R5_G_GTP,R5_Gt,R5_RKpost,R5_RKpre,R6,R6_Arr,R6_G,R6_G_GTP,R6_Gt,R6_RKpost,R6_RKpre,RGS,RGS_Ga_GTP_a_PDE_a_Ga_GTP,RGS_PDE_a_Ga_GTP,RK,R_Gt,RecR_Ca,RecR_Ca_RK,RecT,cGMP,Ca2_free
0,32195097.136964124,28684881.529151585,22773493.70884684,19.21990012911388,0.0,0.0,0.0,0.0,0.0,0.0,208184368.96495146,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506447906.129793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14811.082890281681,47178242.82968797,13047242.162673248,5092441.290171545,237222931.47211963,6.494400015956844,0.00979003082988069
100,32195015.499204244,28685060.768859323,22773432.708570696,19.219948173303088,0.0,0.0,0.0,0.0,0.0,0.0,208184854.97507975,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.281511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.755428665158,47177763.13140906,13047233.406823948,5092450.562707636,237222931.06402448,6.494405933170225,0.009790030673625605
200,32194954.257301606,28685194.397916935,22773379.55357605,19.219949611571685,0.0,0.0,0.0,0.0,0.0,0.0,208184856.7433804,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.0020957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.81101341217,47177763.67634578,13047233.394811437,5092450.525797814,237222930.76653042,6.494406059050855,0.009790031452921963
300,32194912.278833132,28685285.65089075,22773330.967986945,19.21994876751034,0.0,0.0,0.0,0.0,0.0,0.0,208184856.16932616,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.613028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.778599264062,47177763.11728267,13047233.720191,5092450.535769888,237222930.68376288,6.494406061618945,0.00979003105454404
400,32194881.518457096,28685377.15708332,22773301.02898325,19.21994832188523,0.0,0.0,0.0,0.0,0.0,0.0,208184855.55702266,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.7143273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.793891624335,47177760.42011976,13047234.240462936,5092450.510425146,237222930.3733524,6.494406088844773,0.009790030500404416
500,32194857.419711303,28685446.844605543,22773271.884279832,19.21994845884256,0.0,0.0,0.0,0.0,0.0,0.0,208184852.8810819,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.8939652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.735479750885,47177758.03805023,13047234.653502591,5092450.467408702,237222929.75225595,6.494406072815416,0.00979003060825748
600,32194844.235114425,28685503.239197303,22773248.734898448,19.21994834008826,0.0,0.0,0.0,0.0,0.0,0.0,208184852.31734848,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448386.898328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.837034557968,47177758.40616284,13047234.775498066,5092450.486829791,237222929.28714824,6.4944061147610945,0.009790030960156407
700,32194837.499077972,28685537.887524147,22773231.349739406,19.21994900548295,0.0,0.0,0.0,0.0,0.0,0.0,208184854.85486564,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.217928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.744342518676,47177764.22644781,13047235.374014579,5092450.516484715,237222929.01973212,6.494406126590109,0.009790031181277012
800,32194829.115304515,28685580.47364845,22773212.155221175,19.21994901656576,0.0,0.0,0.0,0.0,0.0,0.0,208184854.22005716,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.6206703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.81220970179,47177758.77969266,13047235.49702113,5092450.502050801,237222928.6366331,6.494406130703766,0.009790031190508178
900,32194829.50934988,28685605.8616895,22773194.84960039,19.219948406979125,0.0,0.0,0.0,0.0,0.0,0.0,208184852.11068186,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448391.108322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.85245002777,47177760.606433,13047235.970033752,5092450.5084978,237222928.2883538,6.4944060545156495,0.009790030906175383
1000,32194832.357984845,28685637.18749856,22773184.083018333,19.2199489991443,0.0,0.0,0.0,0.0,0.0,0.0,208184853.52144232,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448391.094818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.744302088444,47177764.461155236,13047236.142899314,5092450.469911172,237222927.98584417,6.494406061557023,0.009790031151113904
1100,32194834.351871334,28685658.850738153,22773178.648078393,19.21994839242939,0.0,0.0,0.0,0.0,0.0,0.0,208184852.0580664,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.3051567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.751935089549,47177763.75663328,13047236.70338691,5092450.481645909,237222927.87079546,6.494406117251278,0.009790030806289082
1200,32194836.254221614,28685671.10224764,22773170.78383977,19.219948416980557,0.0,0.0,0.0,0.0,0.0,0.0,208184855.77993196,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.584404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.742515146243,47177762.10675989,13047236.739238571,5092450.4824808035,237222927.62251922,6.4944060540652115,0.009790031021104125
1300,32194841.524970714,28685671.500598915,22773160.213137027,19.219948605668176,0.0,0.0,0.0,0.0,0.0,0.0,208184855.82136592,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.4399343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.740357488938,47177761.0327362,13047237.39182786,5092450.453351225,237222927.287087,6.494406059890791,0.009790031161429603
