milliseconds,Arr,Arr_di,Arr_tetra,Ca2_buff,G_GTP,Ga_GDP,Ga_GTP,Ga_GTP_PDE_a_Ga_GTP,Ga_GTP_a_PDE_a_Ga_GTP,Gbg,Gt,Ops,Ops_G,Ops_G_GTP,Ops_Gt,PDE,PDE_Ga_GTP,PDE_a_Ga_GTP,R,R0,R0_G,R0_G_GTP,R0_Gt,R0_RKpre,R1,R1_Arr,R1_G,R1_G_GTP,R1_Gt,R1_RKpost,R1_RKpre,R2,R2_Arr,R2_G,R2_G_GTP,R2_Gt,R2_RKpost,R2_RKpre,R3,R3_Arr,R3_G,R3_G_GTP,R3_Gt,R3_RKpost,R3_RKpre,R4,R4_Arr,R4_G,R4_G_GTP,R4_Gt,R4_RKpost,R4_RKpre,R5,R5_Arr,R5_G,R5_G_GTP,R5_Gt,R5_RKpost,R5_RKpre,R6,R6_Arr,R6_G,R6_G_GTP,R6_Gt,R6_RKpost,R6_RKpre,RGS,RGS_Ga_GTP_a_PDE_a_Ga_GTP,RGS_PDE_a_Ga_GTP,RK,R_Gt,RecR_Ca,RecR_Ca_RK,RecT,cGMP,Ca2_free
0,32195099.298085432,28684879.309087176,22773491.494824186,19.21989990967496,0.0,0.0,0.0,0.0,0.0,0.0,208184370.35808417,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506447907.5481415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14811.076652755377,47178245.60824631,13047241.886537898,5092441.322594214,237222931.36281472,6.494400029843234,0.00979003099193824
100,32195012.18770425,28685045.559080854,22773427.822464883,19.219948460849636,0.0,0.0,0.0,0.0,0.0,0.0,208184852.69428587,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448390.5578127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.848067447248,47177760.11396813,13047232.9872925,5092450.56009703,237222931.15953988,6.494405936883542,0.009790030746231809
200,32194951.489810973,28685189.904227134,22773379.050078988,19.21994992536946,0.0,0.0,0.0,0.0,0.0,0.0,208184857.14914262,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448387.3752193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.830897032238,47177764.36887497,13047233.345277838,5092450.524993607,237222930.6778984,6.49440605523527,0.009790031441756998
300,32194909.414180126,28685301.40643784,22773336.465226024,19.219948100439435,0.0,0.0,0.0,0.0,0.0,0.0,208184853.67568383,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.4006076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.735652466325,47177762.427008405,13047234.020888131,5092450.492837425,237222930.47179773,6.494406056748001,0.009790030872682359
400,32194879.06645921,28685378.339108136,22773296.895177104,19.21994771836551,0.0,0.0,0.0,0.0,0.0,0.0,208184850.5858546,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448387.5690985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.849674924053,47177760.7556469,13047234.157716308,5092450.455262806,237222930.35087472,6.49440609421569,0.009790030692844074
500,32194855.90118706,28685441.82721983,22773272.226936314,19.21994844441549,0.0,0.0,0.0,0.0,0.0,0.0,208184850.6830477,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448384.78854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.754114399266,47177761.988792956,13047234.55245801,5092450.5611907495,237222929.87020984,6.494406095220409,0.009790030818652215
600,32194842.634854242,28685510.33272064,22773248.583284315,19.219948027907183,0.0,0.0,0.0,0.0,0.0,0.0,208184854.3810857,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448385.39241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.742326699465,47177763.84240948,13047234.786033144,5092450.474843684,237222929.42073664,6.494406105079331,0.009790030768161697
700,32194834.522469524,28685551.929407153,22773225.920065846,19.219948410150153,0.0,0.0,0.0,0.0,0.0,0.0,208184852.3995409,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.291503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.801954528963,47177763.38534603,13047235.243277654,5092450.52167652,237222929.12040204,6.494406117580866,0.009790030976532275
800,32194830.041903432,28685579.52418945,22773214.045293476,19.219948959878057,0.0,0.0,0.0,0.0,0.0,0.0,208184852.51237094,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448389.7331853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.791461191724,47177763.80989847,13047235.700263973,5092450.44729513,237222928.8121703,6.4944060752142505,0.009790030977423692
900,32194831.351147592,28685601.17561216,22773195.615362808,19.219948643007807,0.0,0.0,0.0,0.0,0.0,0.0,208184855.56182915,0.0,0.0,0.0,0.0,51072522.98263534,0.0,0.0,2506448388.360929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553626.149131767,0.0,0.0,14801.747207899884,47177760.713861935,13047236.109225126,5092450.553851658,237222928.40991262,6.494406127757175,0.009790030984208135
