miliseconds,Ligand_EGF,Surface_Receptor_External,Receptor_Ligand_Complex,Internalised_receptors,Receptor_Ligand_Pit_Protein_complex,Free_pit_proteins,Internalised_Ligand
0,198730648281566.0,72988.41567976616,228.1515558344062,25079.043923529367,0.0,0.0,111.5545145378433
100,198730648203179.94,386.0163495496602,73445.05859317031,24789.33148126358,0.0,0.0,-144.73501535853094
200,198730648199513.62,337.865780662726,73266.30724370918,25305.683065036963,0.0,0.0,-59.07058399512573
300,198730648192388.88,34.209667538364315,72638.53266137454,24991.831816785827,0.0,0.0,840.7986099727635
400,198730648191173.9,4.529020009846117,72272.1218371645,25546.600584245403,0.0,0.0,558.1810460020664
500,198730648184963.3,-127.01817928183395,72597.53714990568,25535.75281097854,0.0,0.0,1511.0887697372698
600,198730648179107.9,-407.97410204876536,72515.48655095029,25557.908183104955,0.0,0.0,1836.6714600772016
700,198730648177320.62,-317.20458829447136,71978.1204269003,25628.683752019013,0.0,0.0,1702.173182837608
800,198730648170917.72,478.4165968701786,71763.31201695447,26187.44965770468,0.0,0.0,2100.3723731478926
900,198730648170021.38,-290.69101183084075,71784.437614285,26548.433815081964,0.0,0.0,2694.9837908042214
1000,198730648163171.72,179.74558254017913,71814.32977335273,26866.20241984421,0.0,0.0,2968.2934577641463
1100,198730648159622.56,13.590678344819416,71383.59819750987,27400.199217225152,0.0,0.0,3296.0952077204574
1200,198730648153549.16,371.86149383195453,70186.1710872895,27688.03407796937,0.0,0.0,4088.353292385388
1300,198730648153504.16,400.8230326304349,70494.96601987338,27790.55529688718,0.0,0.0,4780.624490652086
1400,198730648146674.06,131.6581886326012,70121.2073727264,28005.682166940474,0.0,0.0,4757.424388486569
1500,198730648141463.97,54.869110580620806,69359.80621137662,28691.94492875022,0.0,0.0,5401.99744516091
1600,198730648138145.66,-249.72144110263253,69319.15171450238,29123.385783993403,0.0,0.0,5707.778650227354
1700,198730648133570.12,-53.082526683865865,69152.79109116142,29313.408093842216,0.0,0.0,6718.476039882282
1800,198730648131813.72,432.0926761101937,68322.51635028358,29845.548082171586,0.0,0.0,7144.184254088898
1900,198730648128971.88,138.40489243415428,67424.1546219718,30022.158958747077,0.0,0.0,7541.004589307583
2000,198730648123417.84,1.8916791662290786,67660.32540944059,31069.35934994134,0.0,0.0,8634.09113905855
2100,198730648119098.16,303.5448383592014,67303.3348012634,31422.093417802367,0.0,0.0,8561.637541985123
2200,198730648117121.75,-82.37430222146008,66094.30870190887,31587.967393873365,0.0,0.0,9033.816649109469
2300,198730648109020.53,325.43301192116036,65310.935361122436,32464.849815544654,0.0,0.0,10334.983504757469
2400,198730648107972.4,293.6332261834695,65515.89173547048,32497.40397910736,0.0,0.0,10363.026649186757
2500,198730648102139.2,-132.21440677005887,64684.78888473617,33036.867574302465,0.0,0.0,11261.378781985779
2600,198730648097152.12,186.93789206870267,64397.48933373886,33704.5662783716,0.0,0.0,12360.117512472487
2700,198730648093961.75,19.24130827772707,63350.44991437487,33880.403825058725,0.0,0.0,12759.78803524005
2800,198730648094231.34,-0.511260988628567,63729.52989019149,34580.54352908592,0.0,0.0,13417.991298462353
2900,198730648088866.94,35.724414213860946,62813.86717267052,35062.84623922602,0.0,0.0,14315.63354494552
3000,198730648085127.3,-374.62603906882083,62372.60219800993,35898.63901892787,0.0,0.0,14703.691748070001
3100,198730648079118.7,-392.6036818980705,62413.752909499344,36108.704992580504,0.0,0.0,15614.724921391655
3200,198730648078814.72,-355.907019941056,61575.0151768648,36456.12093745416,0.0,0.0,15621.949612863316
3300,198730648069965.62,-57.50424473934158,61019.39896192666,37163.7096528129,0.0,0.0,16159.293123899608
3400,198730648067914.38,92.98761115421333,60776.29955066889,37385.44091510259,0.0,0.0,16970.58543046618
3500,198730648066527.38,-441.8297902985622,60053.79054384043,38477.26390687197,0.0,0.0,17678.77566859167
3600,198730648062430.78,-218.30966038551944,59353.858823869,38556.00844416443,0.0,0.0,18236.60115219917
3700,198730648057905.7,119.38214631097408,58807.35962997301,38961.832485592844,0.0,0.0,19167.24860951567
3800,198730648054235.62,-284.7038228475122,58695.51321549697,39803.895149430384,0.0,0.0,19745.503483691107
3900,198730648049171.34,10.976752991266679,57887.47862085352,40181.317434225086,0.0,0.0,20700.666210763342
4000,198730648049392.94,-251.05025439940593,57136.21845434419,40674.2821108883,0.0,0.0,20654.877761538522
4100,198730648043259.38,492.47739880574545,57055.50863410304,41455.89431770312,0.0,0.0,21474.556903507288
4200,198730648039176.84,194.74516876452736,56584.69590825095,41795.51944460537,0.0,0.0,22099.07312304055
4300,198730648036561.03,18.153551760181312,56275.04138373649,41929.97698708149,0.0,0.0,22818.827236559526
4400,198730648032639.94,442.18838923338683,54994.49490368405,42437.091434503134,0.0,0.0,23405.91187099751
4500,198730648031006.6,84.3130864336047,54942.92119491139,43153.88991653505,0.0,0.0,23940.81583565263
4600,198730648025238.06,-212.31312298721926,53930.580330880955,43871.15116205053,0.0,0.0,24894.363621684195
4700,198730648024853.62,456.05035970741903,54249.93846731633,43841.375435878566,0.0,0.0,25799.07576949696
4800,198730648020844.78,116.76028800655767,53525.57279274861,44505.28451880187,0.0,0.0,25822.429741092583
4900,198730648015349.16,189.39328805140292,53498.050053814666,44786.45708519104,0.0,0.0,26854.624952889186
5000,198730648013095.9,351.87524763691334,53065.77444148727,45195.85977314705,0.0,0.0,27076.07770828915
