miliseconds,Ligand_EGF,Surface_Receptor_External,Receptor_Ligand_Complex,Internalised_receptors,Receptor_Ligand_Pit_Protein_complex,Free_pit_proteins,Internalised_Ligand
0,198730648282740.03,73224.3536594,-180.4034421370593,25277.67898900613,0.0,0.0,115.92533380657099
100,198730648206655.9,367.4434121924064,73113.34472181722,25059.147566328647,0.0,0.0,-200.52900806309182
200,198730648200695.66,287.6234492904462,72722.73401306939,25195.657896628876,0.0,0.0,66.92492526226698
300,198730648194385.38,-23.891780081888612,72410.53556202009,25034.176687436036,0.0,0.0,352.9694515901107
400,198730648189267.9,307.9578019494003,72320.12712092546,25186.79241072463,0.0,0.0,983.0164541524313
500,198730648185269.25,-220.13171959187088,72973.38319843804,25408.97981158466,0.0,0.0,1136.0937958130125
600,198730648180920.44,461.9513862772144,71890.5763908594,25913.967052792454,0.0,0.0,1212.6847268131864
700,198730648176006.56,426.0037614195724,71611.79031643654,26125.925252601977,0.0,0.0,1894.585881920126
800,198730648173457.8,349.3951240669832,71473.07185219091,26008.217502487227,0.0,0.0,1779.0865325769635
900,198730648166008.53,-255.3133036737633,71441.8607318734,26384.665318543022,0.0,0.0,2462.32437946937
1000,198730648162962.22,503.50086784993846,71578.75946524984,26435.762416795274,0.0,0.0,3241.7308082456825
1100,198730648163476.06,-361.4884640467065,70453.7017924262,26968.960235488354,0.0,0.0,3652.8550565421697
1200,198730648155507.94,-137.62986665172696,70942.08063413578,27100.69234411896,0.0,0.0,4142.183802726644
1300,198730648152429.03,289.1342254410778,70737.69937751624,27468.858581385746,0.0,0.0,4548.378219685924
1400,198730648146490.34,-394.1905917059694,69348.74006223644,28153.371915285137,0.0,0.0,5034.401989450884
1500,198730648144112.53,354.96296255958055,69504.92808792496,28885.068394093792,0.0,0.0,5572.651496830562
1600,198730648141538.4,-439.49198032606444,68709.94461572688,28783.64099531804,0.0,0.0,5585.571471826247
1700,198730648132737.75,-292.4107309890591,68859.24660608244,29716.9250115486,0.0,0.0,6839.030767106195
1800,198730648129184.62,-264.19771225551415,68655.72914218288,30134.169008375236,0.0,0.0,7394.019737314998
1900,198730648128455.9,410.8617507642341,68113.0562251934,30404.023411616847,0.0,0.0,7746.819197552988
2000,198730648125242.9,374.8517514382812,67217.59973639801,30663.2164106133,0.0,0.0,7986.742895022744
2100,198730648119334.22,-398.4295503556191,66341.35314863146,31244.31884332472,0.0,0.0,9029.3799596175
2200,198730648114291.84,366.81706908729285,66501.38911737216,31632.982302998735,0.0,0.0,9499.38032546333
2300,198730648113848.84,-94.5935192354744,65984.86543061702,32390.47341644632,0.0,0.0,10319.374441134814
2400,198730648107649.56,123.57605797876823,65104.68128545399,32944.7224785882,0.0,0.0,10750.149804039043
2500,198730648104887.94,43.20637137441272,64492.4845625553,33412.01786439475,0.0,0.0,11608.293604535895
2600,198730648101705.0,254.76955331397775,64018.34346884284,33564.23999359011,0.0,0.0,12167.80022805781
2700,198730648095281.5,-152.62281414166085,63647.19386645846,34151.44845229569,0.0,0.0,12384.976460725307
2800,198730648092234.84,-392.2910031551327,63625.83377012864,34740.93965104697,0.0,0.0,12938.919057038382
2900,198730648089504.47,-245.92701505132962,62558.37340613368,35194.03181550083,0.0,0.0,13586.208379358499
3000,198730648082642.97,-401.04673803946616,61934.343167407664,35874.828618962674,0.0,0.0,14791.607643236712
3100,198730648082725.5,29.04512115117241,61341.570683061516,36182.329220150285,0.0,0.0,15204.698725798577
3200,198730648077777.38,-357.45242658892766,61543.65352732636,36852.21856335409,0.0,0.0,15918.847252601014
3300,198730648072089.5,-272.6722209528056,60312.96080476299,36938.85746751988,0.0,0.0,16201.988384710108
3400,198730648068163.0,455.80594307646385,60316.50975622446,37977.242392005064,0.0,0.0,16943.055631204013
3500,198730648062829.66,256.5403295374822,59461.63986776351,37879.77577948358,0.0,0.0,18104.006725978415
3600,198730648063487.56,-194.7806723356188,59799.86727191667,38755.94249421789,0.0,0.0,18131.102883350402
3700,198730648060389.03,351.38460331738366,58370.20882217312,39184.00240103548,0.0,0.0,18968.26908104593
3800,198730648054193.0,-253.86165393502733,57806.587361752674,39588.32951317394,0.0,0.0,19805.30030024482
3900,198730648049722.53,-321.60031732225895,58293.65988358666,40211.6433069158,0.0,0.0,20358.340582953704
4000,198730648044327.12,-53.714781418271215,57842.79642402515,40674.513997321636,0.0,0.0,21211.168457679185
4100,198730648042218.62,-367.64385827618094,56706.35890738032,41044.7614250087,0.0,0.0,21906.338872917087
4200,198730648041201.94,494.96229787612936,56108.17893893959,41866.87101318954,0.0,0.0,22320.50329528461
4300,198730648039717.53,139.82404150213256,56121.49466716743,42183.08001575852,0.0,0.0,23205.13851259717
4400,198730648032417.56,-322.0860415339626,55809.94689356214,42819.940940045926,0.0,0.0,23594.19867199455
4500,198730648030783.2,-281.9291782023183,55183.167457947144,43176.7799937558,0.0,0.0,24063.288766486807
4600,198730648028128.8,-72.47105326490008,54364.716714492795,43664.25029119909,0.0,0.0,25003.376222774255
4700,198730648025669.12,211.01892521924148,54112.79442612407,43811.11403474615,0.0,0.0,25982.690304923766
4800,198730648017948.66,160.58518396825605,53868.06249337977,44807.68819389803,0.0,0.0,25986.190860738472
4900,198730648015143.12,18.750791311776815,52858.221992445746,45161.7535211388,0.0,0.0,27087.083993088345
5000,198730648012280.06,-297.3720617738008,52757.9673899509,45691.80646160928,0.0,0.0,27677.71435395765
