milliseconds,Ligand_EGF,Surface_Receptor_External,Receptor_Ligand_Complex,Internalised_receptors,Receptor_Ligand_Pit_Protein_complex,Free_pit_proteins,Internalised_Ligand
0,198730648283350.03,73096.66184543468,388.77409477748154,24973.103322288567,0.0,0.0,-402.1490902958249
100,198730648201782.97,329.25830586514735,72968.08868913102,24783.93460706806,0.0,0.0,414.2750588258119
200,198730648199782.66,-99.28668577883766,72948.29952069452,25229.561811260977,0.0,0.0,64.99733194845345
300,198730648195509.25,317.1223116932322,73114.78388776041,25113.63895866934,0.0,0.0,239.10141611606247
400,198730648189181.28,1.9307151021962852,72597.61580827013,25307.192611296196,0.0,0.0,1128.5665956426437
500,198730648188321.88,-382.21989077447785,72737.83774945888,25395.334543282104,0.0,0.0,1480.9892506629074
600,198730648182630.3,286.68302849306986,72743.06116575736,26006.938243203076,0.0,0.0,1024.1126288188066
700,198730648177153.66,-378.40998568444724,72028.76608238839,25645.71754000936,0.0,0.0,1968.838287269043
800,198730648173020.94,150.6598271812205,72199.86201445365,26173.84901315311,0.0,0.0,2058.4493298825887
900,198730648167249.88,-178.409262916258,71428.7510225643,26599.46308269354,0.0,0.0,2634.1552439116203
1000,198730648165437.38,-238.50813849507657,70943.93865919817,26763.253148701675,0.0,0.0,3390.59738877118
1100,198730648160344.5,-150.73472487855327,71499.30474544755,26790.9133562823,0.0,0.0,3567.164231947855
1200,198730648159122.3,486.68289629256844,70907.30910249232,27149.811132650742,0.0,0.0,3923.263535980359
1300,198730648150435.03,-274.09362501724263,70727.89936048514,27782.700123708313,0.0,0.0,4148.041754359256
1400,198730648147115.0,481.30691342905493,70284.90513715033,28187.80229291034,0.0,0.0,5115.479027986604
1500,198730648141800.56,488.84448856796075,69151.28680695011,28542.707595437783,0.0,0.0,5635.7157999716865
1600,198730648138250.16,-220.24679347558836,69315.30357097193,28672.21231556907,0.0,0.0,5952.289776931278
1700,198730648138076.75,-497.07369934114,68430.61898190837,29294.138422704906,0.0,0.0,6251.946618688303
1800,198730648128787.8,289.892435824618,68255.7023772606,30112.689853200765,0.0,0.0,7445.30385455098
1900,198730648124876.16,-122.16118349055078,67820.65123855848,30518.434048536397,0.0,0.0,7770.050433634525
2000,198730648125193.72,-314.1571249027382,67178.10402524479,30811.630673008494,0.0,0.0,8087.2675443585495
2100,198730648118620.3,444.01164428640783,66692.44890711106,31021.20361555499,0.0,0.0,9147.02607015731
2200,198730648116786.2,-437.2260882841237,66188.8062327022,31785.443974219987,0.0,0.0,9362.991403914757
2300,198730648114104.5,-423.2717606504613,66397.78932631704,32005.523168247313,0.0,0.0,9944.600515986504
2400,198730648108705.2,372.5574564494531,65479.87164909612,32503.627193787648,0.0,0.0,10281.80890685078
2500,198730648104478.72,-375.86690170843116,65290.9338274306,33439.47171965551,0.0,0.0,11057.950736359247
2600,198730648099701.78,-160.22758254964833,64104.084948887736,33332.94256313204,0.0,0.0,11560.401232420007
2700,198730648096941.6,-185.24087863592376,64355.68927663504,34239.00798631055,0.0,0.0,12562.244355003117
2800,198730648089035.62,64.28162222372237,63208.916890820496,34608.957835927235,0.0,0.0,13601.146049943623
2900,198730648085194.25,15.693250462505523,63242.66070675122,35429.02738305564,0.0,0.0,13738.57511315667
3000,198730648085248.16,256.9912417925825,62741.87454832144,35548.30992706709,0.0,0.0,14232.89680105937
3100,198730648081744.6,-96.96640464991908,61518.75383157088,36228.04546512714,0.0,0.0,15402.395105408832
3200,198730648075620.7,139.8687148277886,61159.19915565041,36539.07848572808,0.0,0.0,16222.127281017514
3300,198730648069546.53,77.46376880792451,61388.402318596396,37283.46054212901,0.0,0.0,16199.77293516928
3400,198730648066096.0,-468.6643555624592,60515.8071246941,37769.134690173254,0.0,0.0,17247.479005009285
3500,198730648065263.7,323.6428720257621,59889.99892622246,38108.467304616905,0.0,0.0,17401.859040897532
3600,198730648061550.0,-414.3322455112151,59713.65754045415,38828.281399667445,0.0,0.0,18766.60757376862
3700,198730648059324.84,14.805368024621968,58956.31277096692,39112.564359998636,0.0,0.0,18705.845502606044
3800,198730648054281.88,-445.90229954745433,58420.657903744286,39796.81586322036,0.0,0.0,19361.525348252504
3900,198730648048655.3,-214.9620667775245,57574.04529095267,40197.03416636797,0.0,0.0,20596.637476518757
4000,198730648044947.1,165.4638387420042,57832.75232754927,40882.482912354244,0.0,0.0,20681.020927028978
4100,198730648045896.3,50.847941493542486,56626.55232672133,41003.7066328753,0.0,0.0,21529.626093703704
4200,198730648038735.06,492.65213479548476,56777.07568299308,41686.28410625759,0.0,0.0,22202.48465428358
4300,198730648039129.3,479.531316478899,55661.45976377817,42444.353934999184,0.0,0.0,23033.1496169142
4400,198730648034913.3,155.22347665964014,55540.46997643709,42674.39019074171,0.0,0.0,23288.961910378384
4500,198730648029873.72,-132.36832959531836,54541.912616853515,43125.22139817034,0.0,0.0,24586.82712524464
4600,198730648027504.22,252.77445328160624,54063.17345927312,43563.93070764431,0.0,0.0,24928.17183598689
4700,198730648021415.72,55.033717009104706,54321.32052147492,44102.35157556623,0.0,0.0,25577.74434972188
4800,198730648022239.28,-427.12606900932934,53990.160126149916,44637.05131486804,0.0,0.0,26361.11389206054
4900,198730648017115.2,245.45271325465853,52831.17598173896,44864.553117760566,0.0,0.0,26985.740430963055
5000,198730648012728.0,466.9892003415565,53036.84938870445,45194.886526203736,0.0,0.0,27855.516316257075
