miliseconds,Ligand_EGF,Surface_Receptor_External,Receptor_Ligand_Complex,Internalised_receptors,Receptor_Ligand_Pit_Protein_complex,Free_pit_proteins,Internalised_Ligand
0,198730648281225.25,72844.52694314164,150.44296136146298,25251.900852749928,0.0,0.0,62.10588149844621
100,198730648206217.72,-247.12161165323667,73221.77382457364,25114.916559766483,0.0,0.0,363.7644526245742
200,198730648200594.6,327.7568980377996,73350.78132886226,25114.40626709712,0.0,0.0,-102.36995326750309
300,198730648197518.1,79.50721074856001,72834.60283135647,24902.46284614764,0.0,0.0,759.613731442914
400,198730648191945.62,-199.11160365328791,72548.36033392494,25358.722725814318,0.0,0.0,453.140944520978
500,198730648188919.3,-299.5569198360424,72221.02182963393,25629.66078608388,0.0,0.0,854.9031349358014
600,198730648181719.28,132.27884031243698,72069.10648965715,25403.35453932908,0.0,0.0,1821.3207524806166
700,198730648177148.78,236.07404551633704,72617.40414005119,25717.220547897625,0.0,0.0,1461.4576002670765
800,198730648176379.38,273.47416897473056,72232.22149017408,25860.58974075595,0.0,0.0,2415.1086909080977
900,198730648169047.47,-343.9945726666991,71405.65404703842,26518.5945782302,0.0,0.0,2920.5430754301906
1000,198730648163238.47,-411.6189664391073,71422.64474134077,26812.926226057785,0.0,0.0,2615.6489560542013
1100,198730648162742.53,388.0753127903808,71153.14776519853,27235.662385131232,0.0,0.0,3341.123755647357
1200,198730648156128.8,-210.45135154025488,70870.84141879773,27631.473703638607,0.0,0.0,4237.530052165743
1300,198730648152210.06,-107.05130197600667,70348.17225516298,27612.57762785712,0.0,0.0,4656.429633299048
1400,198730648148001.16,364.42159736551395,69400.57981040407,28423.007150330955,0.0,0.0,4947.141067227998
1500,198730648142291.34,-0.3506214027644943,69488.10247467062,28676.316236388982,0.0,0.0,5314.252477691711
1600,198730648141589.9,-14.816016140693057,69089.10477746616,28656.332812933637,0.0,0.0,5928.466694968089
1700,198730648136591.6,497.702559350482,68624.23182519207,29119.069620493097,0.0,0.0,6777.447344563547
1800,198730648132448.06,478.2274804099931,68176.38648995735,29908.251038707283,0.0,0.0,6671.9668137786075
1900,198730648128749.03,232.72252788690446,67360.39614733432,30229.139321639734,0.0,0.0,7925.159717098099
2000,198730648120176.44,502.72572053888615,67729.10695536718,30698.1786794666,0.0,0.0,7814.905528672856
2100,198730648121765.97,-248.12975826908212,66985.36665958214,31192.809315223516,0.0,0.0,8877.931006488545
2200,198730648112363.84,309.8321796908112,65944.77907597412,31830.509968882558,0.0,0.0,9101.694009959496
2300,198730648109593.66,-47.84789207215248,65550.69498776096,32392.709473095376,0.0,0.0,9699.810871882699
2400,198730648109591.66,-166.35418874909317,65539.02252647514,32697.227876966717,0.0,0.0,10461.568491867474
2500,198730648100700.84,319.70686580764993,64587.52525023932,33210.94636183409,0.0,0.0,11508.55419378096
2600,198730648096965.9,252.03960256796114,63903.55153205145,33481.14035744371,0.0,0.0,12007.838140212365
2700,198730648096365.6,89.95015891111562,64418.00988779776,34241.28979582408,0.0,0.0,12781.19721963352
2800,198730648090268.16,-370.68087468353684,63201.1711375921,34533.42933281553,0.0,0.0,13611.007782030663
2900,198730648086885.06,-167.65289644834098,62671.73496429315,35091.568564373105,0.0,0.0,13591.211735515253
3000,198730648086822.3,502.89758053136717,62457.93213283506,35535.22255950111,0.0,0.0,14590.970755733746
3100,198730648077977.75,215.36993632984152,61883.75909878701,36474.07551923955,0.0,0.0,15295.881957873593
3200,198730648077066.34,-127.19308714436158,61601.013970624896,36945.9924069974,0.0,0.0,15425.710517009305
3300,198730648069839.8,-58.17868210362455,60974.00902373965,37335.5636354838,0.0,0.0,16130.454408089738
3400,198730648066945.94,-274.70036556535393,60776.39527423259,37810.07966040942,0.0,0.0,16842.616129710375
3500,198730648067889.28,214.7321995512056,60189.0567999883,38147.34823755302,0.0,0.0,18039.201764139205
3600,198730648060794.78,-401.9829540890189,59157.60088781375,38361.69940324846,0.0,0.0,18468.32530873273
3700,198730648057728.53,-472.4937497387453,58446.655429288854,39437.5831487517,0.0,0.0,19491.33152475262
3800,198730648051643.56,412.78795394813676,57810.94765227678,39382.77450187005,0.0,0.0,19713.280285311015
3900,198730648048110.75,490.78594945199126,57680.93928684472,39930.110831404934,0.0,0.0,20744.09974622613
4000,198730648049246.6,-90.36452583783759,57280.446776384786,40391.61121764814,0.0,0.0,20846.445148946226
4100,198730648045572.2,-150.91977570211222,56357.45477426297,41478.83780110044,0.0,0.0,21849.879275730043
4200,198730648038594.06,218.88491436057174,56732.150374508215,41368.25073029613,0.0,0.0,22351.052229864832
4300,198730648034800.97,-156.30093822715634,55631.73717389675,42171.694989354066,0.0,0.0,23321.91570058218
4400,198730648034036.84,53.6479147662817,54876.92482741467,42480.73757867088,0.0,0.0,23335.516128409177
4500,198730648029122.62,-243.4920003024038,54886.29792390022,42799.59505515072,0.0,0.0,24337.46227807239
4600,198730648026921.94,291.90147333970145,54668.06518583101,43820.99089014465,0.0,0.0,25023.087000241383
4700,198730648020584.34,473.68781637195224,54068.763145258396,44345.592493187316,0.0,0.0,25609.248448807783
4800,198730648021119.94,349.30540087901375,53825.169190752364,44787.55477695395,0.0,0.0,26292.518872904973
4900,198730648019622.66,22.84163457135133,53323.977480607886,44890.09597881363,0.0,0.0,27076.84735003605
5000,198730648010338.62,431.0079369284163,53006.24577431387,45185.55350344058,0.0,0.0,27293.290437705065
