milliseconds,m,h,c
0,3.65e-08,1.1e-05,0.023
100,3.6495074194752264e-08,1.1001526025468803e-05,0.02299223174953463
200,3.6490149071355765e-08,1.1003051248306901e-05,0.022984466422315216
300,3.6485224393560416e-08,1.1004575946612471e-05,0.02297670300548568
400,3.648030022226779e-08,1.100610004880603e-05,0.022968941759518087
500,3.6475376797820844e-08,1.1007623272405092e-05,0.02296118371234377
600,3.647045396735848e-08,1.1009145797072026e-05,0.02295342821018564
700,3.646553173088069e-08,1.101066762280683e-05,0.022945675253043696
800,3.6460610205818365e-08,1.1012188612464416e-05,0.022937925338154627
900,3.6455689349671846e-08,1.1013708815679245e-05,0.022930178285562482
1000,3.6450769136758594e-08,1.101522826244543e-05,0.022922433986519844
1100,3.6445849567078595e-08,1.101674695276297e-05,0.02291469244102672
1200,3.644093064063186e-08,1.1018264886631867e-05,0.022906953649083107
1300,3.6436012399101675e-08,1.1019782016922027e-05,0.022899217778325546
1400,3.6431094845498376e-08,1.1021298340229737e-05,0.022891484840860676
1500,3.6426177951200243e-08,1.1022813888916752e-05,0.022883754721581304
1600,3.642126171620729e-08,1.102432866298307e-05,0.02287602742048743
1700,3.6416346140519515e-08,1.1025842662428691e-05,0.022868302937579056
1800,3.641143122413691e-08,1.1027355887253616e-05,0.022860581272856176
1900,3.640651696705948e-08,1.1028868337457846e-05,0.022852862426318798
2000,3.640160336928723e-08,1.1030380013041379e-05,0.022845146397966917
2100,3.6396690430820146e-08,1.1031890914004215e-05,0.022837433187800533
2200,3.639177818762133e-08,1.1033401007577333e-05,0.022829722895506565
2300,3.638686661043975e-08,1.1034910320413828e-05,0.022822015440003403
2400,3.6381955697335805e-08,1.1036418854281024e-05,0.02281431081591466
2500,3.637704544830951e-08,1.1037926609178924e-05,0.02280660902324033
2600,3.6372135863360854e-08,1.1039433585107526e-05,0.022798910061980412
2700,3.6367226942489845e-08,1.1040939782066828e-05,0.022791213932134916
2800,3.636231868569648e-08,1.1042445200056833e-05,0.02278352063370383
2900,3.6357411092980753e-08,1.1043949839077541e-05,0.022775830166687164
3000,3.635250416434267e-08,1.1045453699128949e-05,0.02276814253108491
3100,3.634759789978224e-08,1.1046956780211061e-05,0.022760457726897075
3200,3.634269229929944e-08,1.1048459082323875e-05,0.022752775754123652
3300,3.633778736289429e-08,1.104996060546739e-05,0.022745096612764647
3400,3.6332883090566785e-08,1.1051461349641607e-05,0.022737420302820055
3500,3.632797948231692e-08,1.1052961314846526e-05,0.02272974682428988
3600,3.63230765381447e-08,1.1054460501082148e-05,0.02272207617717412
3700,3.631817426533214e-08,1.1055958935101738e-05,0.022714408192798144
3800,3.631327265743723e-08,1.1057456593238164e-05,0.022706743020379054
3900,3.630837171411146e-08,1.1058953474210947e-05,0.022699080667990045
4000,3.630347143535481e-08,1.1060449578020087e-05,0.02269142113563112
4100,3.6298571821167286e-08,1.1061944904665583e-05,0.022683764423302277
4200,3.629367287154889e-08,1.1063439454147435e-05,0.022676110531003515
4300,3.6288774586499624e-08,1.1064933226465644e-05,0.022668459458734833
4400,3.628387696601948e-08,1.106642622162021e-05,0.022660811206496236
4500,3.627898001010847e-08,1.1067918439611132e-05,0.02265316577428772
4600,3.6274083718766584e-08,1.106940988043841e-05,0.022645523162109285
4700,3.6269188091993826e-08,1.1070900544102045e-05,0.022637883369960934
4800,3.626429312979019e-08,1.1072390430602038e-05,0.02263024639784266
4900,3.625939883215568e-08,1.1073879539938386e-05,0.022622612245754473
5000,3.625450519909031e-08,1.1075367872111091e-05,0.02261498091369637
