milliseconds,H2O2_p,per3_p,coI_p,MLTH_p,coII_p,MLT_p,O2minus_p,H_p,O2_p,NADPH_c,O2_c,NADPplus_c,H2O2_c,NADP_c,O2minus_c,H_c,MLT_c,MLTH_c,coIII_p,NADP2_c
0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0
100,1.8515237209771004e-10,299.99949369480004,8.996791644453256e-10,299.9999999416434,6.704730045455845e-08,5.835671903744351e-08,2.627009325118701e-06,-2.712682422592287e-12,0.8030306472543377,2.4999744498765017,1.16698325444091,2.5549932280687357e-05,9.119859491404039e-08,1.9123846154710647e-10,1.694145051288789e-08,-3.868762837513514e-15,8.581824887901263e-10,299.9999999991419,0.0005062372531416689,1.8168016059331784e-20
200,1.3576487834191665e-09,299.9961556931544,6.629663275965239e-09,299.99999924384724,9.788159534350253e-07,7.561528979228562e-07,8.813237705647216e-06,-7.102768307217478e-11,1.9202752332007347,4.999806537750765,2.297126282282771,0.00019345799704271278,6.679729909409931e-07,4.252388553888433e-09,1.431234713263852e-07,-5.725093595846507e-13,1.1286083184465494e-08,299.99999998871397,0.003843321400156372,2.4983320147642148e-17
300,4.250331705242864e-09,299.98864463901964,2.0790689025607607e-08,299.99999683251644,4.55065689102202e-06,3.1674836350416285e-06,1.6385630078069346e-05,-3.937422555394643e-10,3.044009609251356,7.499428704163994,3.4211311490537666,0.0005712803750293963,2.0903660632966523e-06,1.546117107213544e-08,5.24907787265015e-07,-1.1034861593287266e-11,3.723514375893276e-08,299.9999999627649,0.011350789533030429,6.025837242896396e-16
400,9.400604116654304e-09,299.97630193940967,4.602426298702285e-08,299.99999156950827,1.3265402736086995e-05,8.430491891525664e-06,2.4863948892718695e-05,-1.2509762722598443e-09,4.162975751844467,9.998807374506951,4.540081289942945,0.0011925918060473083,4.62228500725793e-06,3.368719157830796e-08,1.4040637182100304e-06,-1.0035145173623436e-10,7.86403344662951e-08,299.99999992135974,0.023684749163489463,4.22632744969559e-15
500,1.72007912581861e-08,299.95863505475455,8.425926897556903e-08,299.9999824117939,2.9964189789262288e-05,1.758820617194324e-05,3.409478643457235e-05,-2.996268912412714e-09,5.2767679253037505,12.497917177136916,5.653990104173855,0.002082764337777849,8.456197695066818e-06,5.8525467850176574e-08,3.1215540942014893e-06,-5.985389621466117e-10,1.3462052386051836e-07,299.9999998653796,0.041334896796466285,1.699778817134129e-14
600,2.793618689780263e-08,299.93521261870006,1.3689835709112993e-07,299.9999684481894,5.763243996888149e-05,3.155181076415277e-05,4.401261951478239e-05,-6.054373408296342e-09,6.385366018675266,14.996735712259191,6.762838519772181,0.003264198271452463,1.3731789713760949e-05,8.946944622349054e-08,6.1060298311606576e-06,-2.687223592756566e-09,2.0398715959199358e-07,299.99999979601296,0.06472961196173883,4.989973027423894e-14
700,4.1814088399654895e-08,299.9056317653164,2.0496020273946238e-07,299.9999488953876,9.92562309755844e-05,5.110461254252865e-05,5.4584754539977894e-05,-1.0923156666526429e-08,7.4887599075143,17.49524192750268,7.866609325436494,0.004757946506503448,2.0550200015248204e-05,1.2599077707220479e-07,1.0858469486233607e-05,-9.785234479349752e-09,2.854914829466394e-07,299.9999997145086,0.09426877349252588,1.1962965559880847e-13
800,5.898657642865883e-08,299.8695049204418,2.891910974345632e-07,299.9999230815177,0.00015773033216431897,7.691848235643095e-05,6.579316433339434e-05,-1.8176884816447402e-08,8.586938197464976,19.99341546635027,8.965286973442032,0.006584366057703255,2.8985186828481604e-05,1.6759173615678517e-07,1.7936382892324372e-05,-3.030862594988658e-08,3.779487570644432e-07,299.9999996220513,0.13033706003511664,2.490703907820143e-13
900,7.95692709436863e-08,299.8264536161619,3.9015679319211015e-07,299.99989042641056,0.00023580512358547127,0.00010957358947566331,7.762721846440208e-05,-2.8470072806036486e-08,9.679888836631129,22.491236367170544,10.058856902886651,0.008763419007554493,3.9092318202856904e-05,2.1382118005386048e-07,2.7937946784028334e-05,-8.252672155301541e-08,4.802921418344419e-07,299.9999995197079,0.1733101885578769,4.675084551691452e-13
