milliseconds,bi,ci,ni,bl
0,15.0,60.0,14.0,32.0
100,14.999115397504417,59.99940385008955,13.931326257613048,31.9974215643537
200,14.99855602275312,59.99881322418187,13.867987430006213,31.99491904568494
300,14.998198621699096,59.998229926233535,13.809575641059531,31.992508815245515
400,14.99796042670112,59.997654972662,13.755672451271518,31.990199437135594
500,14.99779292007767,59.99708878044101,13.705894313865308,31.98799368448909
600,14.997666909634857,59.99653144364639,13.659895516302573,31.98589126931376
700,14.99756559399062,59.99598285527173,13.617364751695137,31.983890027718846
800,14.99748017542534,59.99544278345813,13.578021940452176,31.98198665880532
900,14.997405607523115,59.994910944618304,13.541612298005184,31.980177426624888
1000,14.997338858341905,59.9943870340375,13.50790406677601,31.978458455385397
1100,14.997278010092415,59.993870743048056,13.476688174895541,31.976825898766414
1200,14.997221536043126,59.99336176447032,13.447766546685191,31.975275959693413
1300,14.997168613740719,59.99285979453558,13.420961702734024,31.97380493953513
1400,14.997118675081147,59.9923645382352,13.39611142792641,31.972409274612925
1500,14.997071418642758,59.99187570720065,13.373066500733161,31.971085509201746
1600,14.99702661018543,59.9913930255924,13.35169153782442,31.969830357961815
1700,14.996983864836452,59.99091622904079,13.331856973781257,31.968640672551736
1800,14.996943310410208,59.99044505961336,13.313453293202425,31.967513430334613
1900,14.996904632749779,59.989979273005225,13.296369386210827,31.966445746167963
2000,14.996867812348482,59.98951863333229,13.280510032890595,31.96543486918492
2100,14.996832906309093,59.98906291397306,13.26578925581452,31.964478172264016
2200,14.996799580111206,59.98861189985861,13.25211706939983,31.96357313735741
2300,14.99676792725228,59.988165384484596,13.239424844278446,31.962717397987888
2400,14.996737741281803,59.98772316778925,13.227633736973884,31.96190862996794
2500,14.996708960263586,59.98728506191823,13.216682375647135,31.961144684730947
2600,14.996681503826123,59.9868508845794,13.206509083448907,31.960423473153377
2700,14.996655307499353,59.98642046049266,13.197055704849399,31.95974299077046
2800,14.996630291656059,59.98599362486205,13.18827212482561,31.959101366325353
2900,14.996606427690065,59.98557021547223,13.180107675900302,31.958496754323708
3000,14.99658366649697,59.9851500815655,13.172519842025986,31.957927454005837
3100,14.996561958252371,59.98473307590453,13.165466088906625,31.95739180133985
3200,14.996541264811844,59.984319058978244,13.158908531142462,31.956888227353744
3300,14.996521547368106,59.98390789740059,13.15281211737618,31.956415235989713
3400,14.996502742924672,59.98349946075524,13.147141018528385,31.955971360231246
3500,14.996484819601006,59.983093628779315,13.141866773256252,31.955555261479937
3600,14.996467740975497,59.98269028675782,13.136963074698592,31.955165665902253
3700,14.996451464628068,59.98228932237633,13.132403035376711,31.954801323085043
3800,14.99643593831219,59.981890623932095,13.12815752424564,31.954460982253686
3900,14.996421137524846,59.981494094779926,13.124208835972132,31.954143584943647
4000,14.996407033448639,59.981099640472536,13.120538572698301,31.95384809361562
4100,14.996393590244741,59.98070716709903,13.117126548946562,31.953573470552143
4200,14.996380764365906,59.980316580690506,13.113950310208157,31.953318670118726
4300,14.996368538944822,59.979927801254526,13.11099721483035,31.953082823324657
4400,14.996356891681225,59.97954074907395,13.108252696469668,31.952865057792458
4500,14.996345792534424,59.97915534619826,13.105701780973153,31.95266451952662
4600,14.996335205387709,59.97877151652964,13.103329166800851,31.952480373891728
4700,14.996325114930226,59.97838919054919,13.101122849880445,31.952311863140103
4800,14.996315499590407,59.9780083001162,13.099070165752503,31.952158242961453
4900,14.996306335646826,59.977628781095675,13.097160681106216,31.952018816831167
5000,14.996297598316485,59.97725057270102,13.095385441315855,31.951892927198713
