miliseconds,S,N,T
0,0.10037229109131587,0.19998599366644476,0.09986228898275412
100,0.10100886354514868,0.199801807405049,0.1000895350750327
200,0.10168105273774007,0.1994450259425507,0.1003804256362984
300,0.10301139607550125,0.1992727327418105,0.10043940825322498
400,0.10368036776401644,0.19893705758157584,0.10051754565360553
500,0.10401835749904872,0.19852265043905942,0.10058200547915785
600,0.10496364407652954,0.1984114225063461,0.10071191648736835
700,0.10627241673479719,0.1981649897568876,0.10099282598077639
800,0.10659829615301085,0.19789054542085613,0.10119478539428871
900,0.10730310401241179,0.19772405786831002,0.10123119905148185
1000,0.10819095724435203,0.19730124782518424,0.10134556091311642
1100,0.10889216202729841,0.19702972180624004,0.10156267212774511
1200,0.11041670351206952,0.19699938820144197,0.10180531656495236
1300,0.11057527003141121,0.19646295161103255,0.10186186506633581
1400,0.11173926450671387,0.19632023845676094,0.10209296094657992
1500,0.11285733246573847,0.1961403580173932,0.10213400706361914
1600,0.11330319397491806,0.19591331995692632,0.10240346857682461
1700,0.11427284482640408,0.19558648912222795,0.10243375204949695
1800,0.1145924066878798,0.19546973984348603,0.10265134684589731
1900,0.11542062776603053,0.19524036750228196,0.10294901976844552
2000,0.11660569397072425,0.19508419052799525,0.10304658637243388
2100,0.11657455186061579,0.1948125667475471,0.10327097279077001
2200,0.11709199487096252,0.19449129989678107,0.10336179238298497
2300,0.1179564098855727,0.19433265312273398,0.10376840945517742
2400,0.11883751749390174,0.19423819228556674,0.1038579723002748
2500,0.11970562447749847,0.1938527104546125,0.10422813385652942
2600,0.12011146093128394,0.19362739156390205,0.10439920138638631
2700,0.12110834044553834,0.19364841129413699,0.10448424642174786
2800,0.1220462058501855,0.19313884308473978,0.10483354667417538
2900,0.12250806750894024,0.19305452419060037,0.10510144215981844
3000,0.12247050936812169,0.1927964815271001,0.10521012282943379
3100,0.12356041249616649,0.1927587115611674,0.10549964739190551
3200,0.12362920636743395,0.19241275129964974,0.10565263002401067
3300,0.12520744778857273,0.19219879927556044,0.10585140743195559
3400,0.12487013389102741,0.19197817030835693,0.10613386723638477
3500,0.1255470545865637,0.19195647240225905,0.1064592504998156
3600,0.1265308574869668,0.19168443184633766,0.10663917077346227
3700,0.12686987736173722,0.19146212951696537,0.10683718698711361
3800,0.1275504785412626,0.19136001862081597,0.10699774545195509
3900,0.1284151435391814,0.19122724572333166,0.10716034530508527
4000,0.12855185100237257,0.19093337537118962,0.10766573566218807
4100,0.12986384626954472,0.1906845039779288,0.10771776882726945
4200,0.1303985247327898,0.19050380874269413,0.10792104139570798
4300,0.1304092658330503,0.19062465866733397,0.10830816137012189
4400,0.1314855014783595,0.19039894781291414,0.10862280505807682
4500,0.13106109365083843,0.1902345275357455,0.10878033629473564
4600,0.13210682094751053,0.19009519614880485,0.10921615235753952
4700,0.1328419375206961,0.18969639182085402,0.10952655193495
4800,0.13293570328448454,0.18969456411399788,0.10953810990852082
4900,0.1335741436301499,0.18952353490859983,0.1098642880413642
5000,0.13389815065989943,0.18927665297824778,0.11019501652325767
