miliseconds,S,N,T
0,0.10021915613929996,0.19990585348453022,0.10005323168477219
100,0.10090430010001893,0.19984669351505774,0.1002251443606974
200,0.10197997435035228,0.19946311901457495,0.10022494962609502
300,0.10255445576722086,0.1990358136141111,0.10047699946606584
400,0.10398848975548768,0.19885378822886615,0.10064561625758438
500,0.10482622598879378,0.19873376660794223,0.10072973585467544
600,0.10544012559413712,0.1983669948238524,0.10083359054951822
700,0.10617161294582249,0.19799201861044932,0.10086617604720997
800,0.10726154832209257,0.19776111323318624,0.10097603417777712
900,0.1073328427275464,0.1974730684160633,0.1012364197427398
1000,0.10815531253962898,0.19727987275962341,0.10124885066686501
1100,0.10954292383070778,0.19709945428905892,0.1015270376558501
1200,0.11057879662667063,0.19693864979521697,0.10171701198977619
1300,0.11083094073704762,0.19672698050864296,0.1017982118706404
1400,0.11209583552511904,0.19640718471511878,0.1019933323387058
1500,0.11259964510883926,0.19616605020352462,0.10231964681711345
1600,0.11297033315397857,0.1960658884757864,0.10233483331017353
1700,0.11387605825316932,0.19567609151510146,0.10268381650591223
1800,0.11444604086881227,0.1954571851918076,0.10259639985207349
1900,0.11562969440036554,0.1953146848368453,0.10306009597550665
2000,0.11657343812783537,0.19493565047632028,0.10323484463071084
2100,0.11691033089643872,0.19490568250448703,0.10344928518123689
2200,0.11768638523535291,0.19456267880193853,0.10339470628182572
2300,0.11787285058856864,0.19429921783564255,0.10371560473601127
2400,0.11866915724034481,0.19415157636940608,0.10380682860782027
2500,0.11923162888932465,0.1938733424992597,0.10396222724062357
2600,0.12060204043895034,0.19373286348952198,0.10430086821860214
2700,0.12057666476897223,0.19346067190204727,0.10451433555446726
2800,0.12182241839388232,0.19338248582591813,0.10473974704221342
2900,0.12261545511200037,0.19318567524762628,0.10496263660529338
3000,0.1225296562345408,0.19291117163657012,0.10526913562488137
3100,0.12397064424317907,0.19273716696513876,0.10536923105994739
3200,0.12411387263267419,0.19241105516955664,0.10576001554620924
3300,0.12429728255176348,0.19226056286201973,0.10575334352687309
3400,0.12542335080165193,0.19199971310216712,0.10611243138036514
3500,0.12564517928829946,0.19206018459729882,0.10622414731086252
3600,0.12671037534398047,0.1916385512886006,0.10659425989139637
3700,0.12757331158303117,0.19140899393798325,0.10673797022470383
3800,0.1281873480340811,0.19144240358259496,0.10703210916202385
3900,0.12825484444399876,0.19118941155658173,0.10736554812369914
4000,0.12856728183218263,0.19103763406691598,0.10746345085601217
4100,0.12913417405743333,0.1907961641559526,0.10788458526885782
4200,0.13029375764385775,0.19058185080562626,0.10817863905278756
4300,0.13034433790019373,0.1903649128222024,0.10842096678815581
4400,0.1309110292149125,0.19023893986744425,0.10856308847471118
4500,0.131421789353741,0.1902432306161917,0.10894063095533152
4600,0.1319756309393726,0.18987112578243415,0.1090363064227541
4700,0.13258504737403504,0.1897758408571144,0.1095140185030724
4800,0.13287468076862324,0.18949052972405153,0.10954796034333858
4900,0.1333562378118314,0.1893668246205,0.1099341988439343
5000,0.13435818657512957,0.18921435797332392,0.11027572693733056
