milliseconds,Cm,Ct,T
0,0.0,0.0,2001273.5172702656
100,0.0,0.0,2007175.0622897665
200,0.0,0.0,2040338.29361427
300,0.0,0.0,2041495.6424592605
400,0.0,0.0,2026949.474707423
500,0.0,0.0,2055962.2750817742
600,0.0,0.0,2081002.8766552785
700,0.0,0.0,2099741.2205460663
800,0.0,0.0,2084700.0919395785
900,0.0,0.0,2099497.3514555003
1000,0.0,0.0,2116478.5145909516
1100,0.0,0.0,2110145.94429913
1200,0.0,0.0,2139985.7185551818
1300,0.0,0.0,2166747.6320222826
1400,0.0,0.0,2164029.685437714
1500,0.0,0.0,2188281.371543061
1600,0.0,0.0,2173666.9916637507
1700,0.0,0.0,2203544.08549048
1800,0.0,0.0,2228091.0094612017
1900,0.0,0.0,2239241.4978543175
2000,0.0,0.0,2248272.3133371617
2100,0.0,0.0,2242326.106101113
2200,0.0,0.0,2253062.048965856
2300,0.0,0.0,2291713.690014144
2400,0.0,0.0,2291724.3437315733
2500,0.0,0.0,2299279.0411967714
2600,0.0,0.0,2314872.367462209
2700,0.0,0.0,2338091.654852589
2800,0.0,0.0,2340042.1924773185
2900,0.0,0.0,2374937.9706859286
3000,0.0,0.0,2354868.084817605
3100,0.0,0.0,2371156.447279819
3200,0.0,0.0,2395087.3979720026
3300,0.0,0.0,2406278.8591410704
3400,0.0,0.0,2422274.9181467677
3500,0.0,0.0,2435079.351675982
3600,0.0,0.0,2442017.3760181107
3700,0.0,0.0,2469854.7530438886
3800,0.0,0.0,2494707.711022987
3900,0.0,0.0,2504190.1745313304
4000,0.0,0.0,2491147.9382871804
4100,0.0,0.0,2524825.9923934788
4200,0.0,0.0,2538266.231243393
4300,0.0,0.0,2564893.216645198
4400,0.0,0.0,2556884.195876552
4500,0.0,0.0,2567288.513933596
4600,0.0,0.0,2577183.462047392
4700,0.0,0.0,2599834.7650118694
4800,0.0,0.0,2636528.038474566
4900,0.0,0.0,2638276.5929329656
5000,0.0,0.0,2640492.5050732973
