milliseconds,Cm,Ct,T
0,0.0,0.0,2013824.7750321028
100,0.0,0.0,2011339.2605610334
200,0.0,0.0,2004559.040330871
300,0.0,0.0,2029742.083691066
400,0.0,0.0,2029343.5960201672
500,0.0,0.0,2069498.4178228518
600,0.0,0.0,2066767.525110098
700,0.0,0.0,2098532.6460855925
800,0.0,0.0,2094286.0740702816
900,0.0,0.0,2090580.236361936
1000,0.0,0.0,2127117.969535644
1100,0.0,0.0,2111376.260483911
1200,0.0,0.0,2125070.387921669
1300,0.0,0.0,2144103.8285485827
1400,0.0,0.0,2155030.813464791
1500,0.0,0.0,2169065.346410629
1600,0.0,0.0,2197779.072883069
1700,0.0,0.0,2220608.8903879947
1800,0.0,0.0,2227556.745253273
1900,0.0,0.0,2244370.513067336
2000,0.0,0.0,2225955.4387959875
2100,0.0,0.0,2269014.819444458
2200,0.0,0.0,2255070.8212190634
2300,0.0,0.0,2269711.5545593994
2400,0.0,0.0,2307526.9458160517
2500,0.0,0.0,2285164.223704722
2600,0.0,0.0,2312301.879271394
2700,0.0,0.0,2329407.5517699756
2800,0.0,0.0,2349586.1879394646
2900,0.0,0.0,2339511.061624904
3000,0.0,0.0,2365247.550197752
3100,0.0,0.0,2376439.357968205
3200,0.0,0.0,2401416.0028851875
3300,0.0,0.0,2416388.1909760693
3400,0.0,0.0,2407906.69743242
3500,0.0,0.0,2445847.174450995
3600,0.0,0.0,2434488.5021067983
3700,0.0,0.0,2474461.348958407
3800,0.0,0.0,2490313.590707523
3900,0.0,0.0,2496829.614897567
4000,0.0,0.0,2521493.7997974446
4100,0.0,0.0,2506736.095038028
4200,0.0,0.0,2552412.9090622696
4300,0.0,0.0,2535756.5541056627
4400,0.0,0.0,2568187.810326811
4500,0.0,0.0,2590715.440711915
4600,0.0,0.0,2590880.511110695
4700,0.0,0.0,2590145.7122387732
4800,0.0,0.0,2620615.512513025
4900,0.0,0.0,2648267.911603309
5000,0.0,0.0,2643628.876748502
