milliseconds,Cm,Ct,T
0,0.0,0.0,2003428.390790575
100,0.0,0.0,2016722.9747794257
200,0.0,0.0,2037294.7876207673
300,0.0,0.0,2046185.1276047803
400,0.0,0.0,2043242.6694696406
500,0.0,0.0,2067906.2869058058
600,0.0,0.0,2079596.7762168022
700,0.0,0.0,2065876.4819713607
800,0.0,0.0,2074187.7484853766
900,0.0,0.0,2099063.092202569
1000,0.0,0.0,2115232.7305427413
1100,0.0,0.0,2144542.5529847834
1200,0.0,0.0,2158426.3463851344
1300,0.0,0.0,2160210.1469869977
1400,0.0,0.0,2179418.026331906
1500,0.0,0.0,2163431.9414854823
1600,0.0,0.0,2190949.065674258
1700,0.0,0.0,2219253.041850826
1800,0.0,0.0,2208669.2963297768
1900,0.0,0.0,2232707.451345963
2000,0.0,0.0,2222353.2733949977
2100,0.0,0.0,2252073.982597835
2200,0.0,0.0,2261955.3005083594
2300,0.0,0.0,2285032.442281633
2400,0.0,0.0,2290906.729517455
2500,0.0,0.0,2307607.6294563804
2600,0.0,0.0,2323874.0299932784
2700,0.0,0.0,2345494.476040213
2800,0.0,0.0,2351856.2815863285
2900,0.0,0.0,2358276.840523492
3000,0.0,0.0,2368053.702138331
3100,0.0,0.0,2364428.4006502293
3200,0.0,0.0,2393477.681910169
3300,0.0,0.0,2411436.744635846
3400,0.0,0.0,2430375.3537097396
3500,0.0,0.0,2441516.470928736
3600,0.0,0.0,2451350.8355123373
3700,0.0,0.0,2464829.9866158273
3800,0.0,0.0,2470621.8788196375
3900,0.0,0.0,2497015.8737879233
4000,0.0,0.0,2504718.7696925793
4100,0.0,0.0,2511149.2682175026
4200,0.0,0.0,2544239.0068750884
4300,0.0,0.0,2543108.3642516453
4400,0.0,0.0,2559522.8915743637
4500,0.0,0.0,2587815.484249849
4600,0.0,0.0,2594768.1481332965
4700,0.0,0.0,2607106.3482868876
4800,0.0,0.0,2619566.2806521645
4900,0.0,0.0,2655783.0519402535
5000,0.0,0.0,2638644.9203326674
