milliseconds,Cm,Ct,T
0,0.0,0.0,2018284.3166649842
100,0.0,0.0,2017056.4776923489
200,0.0,0.0,2030480.4292094766
300,0.0,0.0,2015674.7243487928
400,0.0,0.0,2029724.5858087547
500,0.0,0.0,2038736.4516597488
600,0.0,0.0,2052945.603467448
700,0.0,0.0,2066494.841289195
800,0.0,0.0,2104611.2563905222
900,0.0,0.0,2101938.4467761703
1000,0.0,0.0,2106111.544449893
1100,0.0,0.0,2139801.1548106074
1200,0.0,0.0,2138154.642630147
1300,0.0,0.0,2169128.755179681
1400,0.0,0.0,2172398.8231141395
1500,0.0,0.0,2169232.921009113
1600,0.0,0.0,2182039.6283351807
1700,0.0,0.0,2193365.1358119315
1800,0.0,0.0,2209994.159370288
1900,0.0,0.0,2225854.329108476
2000,0.0,0.0,2224554.1413415866
2100,0.0,0.0,2245149.3367424454
2200,0.0,0.0,2247336.631982576
2300,0.0,0.0,2261323.6389158373
2400,0.0,0.0,2301617.3723031995
2500,0.0,0.0,2306689.6765904822
2600,0.0,0.0,2326088.9209930087
2700,0.0,0.0,2340131.2980898214
2800,0.0,0.0,2359328.6939377864
2900,0.0,0.0,2353738.444038839
3000,0.0,0.0,2372157.5438197786
3100,0.0,0.0,2368288.842686542
3200,0.0,0.0,2395969.3209040225
3300,0.0,0.0,2416819.2262125937
3400,0.0,0.0,2405871.5235564327
3500,0.0,0.0,2420781.6016524634
3600,0.0,0.0,2462472.0273063798
3700,0.0,0.0,2474900.759599363
3800,0.0,0.0,2465565.441437687
3900,0.0,0.0,2476689.2213687343
4000,0.0,0.0,2488143.0821230365
4100,0.0,0.0,2524698.5902927006
4200,0.0,0.0,2518768.0583366365
4300,0.0,0.0,2548426.964232966
4400,0.0,0.0,2558372.339916483
4500,0.0,0.0,2572691.5495584346
4600,0.0,0.0,2585951.418804555
4700,0.0,0.0,2609598.9463679693
4800,0.0,0.0,2625944.938931233
4900,0.0,0.0,2628938.5864119586
5000,0.0,0.0,2671033.6067169462
