milliseconds,Cm,Ct,T
0,0.0,0.0,1988570.932258608
100,0.0,0.0,1997202.771479933
200,0.0,0.0,2006643.2919475478
300,0.0,0.0,2047199.6927559278
400,0.0,0.0,2052444.0064026783
500,0.0,0.0,2064703.6503542894
600,0.0,0.0,2074474.4939757653
700,0.0,0.0,2082742.345401091
800,0.0,0.0,2078167.3443298507
900,0.0,0.0,2093976.150099772
1000,0.0,0.0,2134104.1070553535
1100,0.0,0.0,2141538.054331601
1200,0.0,0.0,2133950.4179148544
1300,0.0,0.0,2147961.8921824936
1400,0.0,0.0,2145676.1351269563
1500,0.0,0.0,2172833.5520372977
1600,0.0,0.0,2207047.013508384
1700,0.0,0.0,2186783.477300725
1800,0.0,0.0,2209191.7135779234
1900,0.0,0.0,2213165.3355116127
2000,0.0,0.0,2250738.53777232
2100,0.0,0.0,2265367.9938621963
2200,0.0,0.0,2249180.125749519
2300,0.0,0.0,2260606.7112687007
2400,0.0,0.0,2296573.9542406313
2500,0.0,0.0,2303390.2018319108
2600,0.0,0.0,2305394.2346689184
2700,0.0,0.0,2336181.509978576
2800,0.0,0.0,2337397.598289251
2900,0.0,0.0,2345129.246870699
3000,0.0,0.0,2383568.7293367526
3100,0.0,0.0,2369522.565940331
3200,0.0,0.0,2399981.6320102448
3300,0.0,0.0,2420666.716310905
3400,0.0,0.0,2441556.2904697573
3500,0.0,0.0,2453496.788623115
3600,0.0,0.0,2466998.657450383
3700,0.0,0.0,2484386.302368393
3800,0.0,0.0,2483373.254647533
3900,0.0,0.0,2480579.942078264
4000,0.0,0.0,2497778.8151506344
4100,0.0,0.0,2530867.535730803
4200,0.0,0.0,2541639.725889306
4300,0.0,0.0,2555361.2948901597
4400,0.0,0.0,2555994.8602451594
4500,0.0,0.0,2583857.568164214
4600,0.0,0.0,2585095.444456582
4700,0.0,0.0,2610541.3071392546
4800,0.0,0.0,2617823.1475291997
4900,0.0,0.0,2632560.96791339
5000,0.0,0.0,2666522.083285481
