milliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,9.998490371363482e-11,1.0001143828473362e-10,-1.2042743438187016e-18,-4.4185611442938886e-15,-7.181169648848781e-19,9.751491317265753e-19,9.10841302038609e-22,-3.4905973084369355e-19,8.809836143986518e-24,-5.371102161245981e-16,-1.5091495312757091e-16,-3.700042295153131e-20,1.0638789190348396e-20,-2.0363824832854556e-17
100,9.750172959300953e-11,9.769773338177295e-11,9.56700915859608e-15,2.0711782888340524e-12,9.464865365383374e-15,1.7835414968043479e-16,8.962048074939518e-19,1.7886880764567527e-16,4.511905776505338e-21,1.015860262650214e-13,1.0174395001043807e-13,7.828687598840426e-20,7.867759676281411e-20,2.991207472288687e-17
200,9.761770350601814e-11,9.782054872650695e-11,9.566230781914399e-15,1.9598925087864234e-12,9.556189287493529e-15,1.8042379954879068e-16,1.0547421397549616e-18,1.7966780910117457e-16,4.607905157306889e-21,1.0707538175622795e-13,1.074599459858972e-13,1.385910349460685e-19,1.7354635182613778e-19,9.067726471519703e-17
300,9.76628912672448e-11,9.786572320294913e-11,9.588502978545891e-15,1.9072647239275704e-12,9.491989090474781e-15,1.7936868222817725e-16,8.401387167007008e-19,1.7849591550259715e-16,4.747366763631981e-21,1.0577296947658897e-13,1.0594423002468825e-13,2.3940044622842253e-19,2.1181274523956503e-19,1.698139323221539e-16
400,9.768077326399121e-11,9.789860093440797e-11,9.618483493946879e-15,1.888396744372259e-12,9.516192690905452e-15,1.745144447921046e-16,6.551493534528656e-19,1.7482693704270466e-16,4.8260011863116794e-21,1.0059830183392553e-13,1.0047255315933468e-13,2.9500437235974616e-19,3.2749695363760567e-19,1.7011447168123542e-16
500,9.769459460568032e-11,9.790830885028076e-11,9.612836912649153e-15,1.8841691185980804e-12,9.514985404223977e-15,1.7116127027426374e-16,5.537655880407423e-19,1.7165428801840853e-16,4.968362268964167e-21,9.803620195841246e-14,9.779686925964284e-14,4.259143178050614e-19,4.283791376550031e-19,2.739771579158099e-16
600,9.767502993757742e-11,9.786701023627198e-11,9.583248628753487e-15,1.9007441839698357e-12,9.609566060617609e-15,1.7571903319063897e-16,8.963274813165458e-19,1.7750357680902463e-16,4.8428045991959015e-21,1.0328242396178327e-13,1.0404894007774475e-13,4.9069233673323945e-19,5.236549894719359e-19,3.0914211467671074e-16
700,9.764294637636991e-11,9.785366285006619e-11,9.623358053997395e-15,1.9084295473970015e-12,9.579819150325842e-15,1.7787509384854277e-16,9.944065111552455e-19,1.7771744733872365e-16,5.0113953217506176e-21,1.0643110007872665e-13,1.0556550567759611e-13,5.491622526496113e-19,5.564263167398614e-19,3.253324183948796e-16
800,9.76521749993911e-11,9.785168602690756e-11,9.534147813297623e-15,1.9094699935341234e-12,9.494006345152714e-15,1.8203358266653353e-16,9.815211958773728e-19,1.8122728970539929e-16,5.2401832375577186e-21,1.0840633861281899e-13,1.0764537554144407e-13,7.200580149082649e-19,6.776969201878758e-19,3.9279640100052057e-16
900,9.762895886160368e-11,9.784032481688935e-11,9.619488242132846e-15,1.9033630596042275e-12,9.54495026743393e-15,1.8348096306241333e-16,9.706747627479581e-19,1.8347852385358882e-16,5.3935578518752675e-21,1.1066538147415073e-13,1.0957820204757598e-13,7.38707276645791e-19,7.125319754555399e-19,4.745656580751744e-16
1000,9.761423755695713e-11,9.783564712452494e-11,9.554346837740257e-15,1.9164912482530385e-12,9.598411966182822e-15,1.8536939248995566e-16,9.609765384134973e-19,1.8334821818421435e-16,5.583928258723582e-21,1.1131516547579265e-13,1.0987834510213478e-13,8.667826499444796e-19,8.180511463021157e-19,4.732732119772635e-16
