miliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,1.0000079367074183e-10,9.999195870628928e-11,2.975862619668006e-17,1.064522323395216e-14,-6.345302565411415e-17,-1.0964458192876463e-18,-6.9332989288618155e-22,3.6430833477024545e-19,2.2865984842086628e-23,-3.501925004218993e-16,-1.340059189166152e-16,-4.06542484885585e-20,-1.589079003743685e-20,-2.31006099184281e-17
100,9.750083987996902e-11,9.769562566449803e-11,9.543889732448279e-15,2.0665941193874716e-12,9.57286752371178e-15,1.7806851788096782e-16,9.064117638407191e-19,1.7656478673797048e-16,4.482389762861444e-21,1.0142240203823401e-13,1.0129897792840025e-13,4.862010896011616e-20,9.987107387279051e-20,2.4321825773233162e-17
200,9.760095525249923e-11,9.78063883970836e-11,9.533322263387122e-15,1.9524479978386912e-12,9.53104631000429e-15,1.805484097850694e-16,1.0565511444354723e-18,1.8141025665637903e-16,4.5168324552103656e-21,1.0709116669962505e-13,1.0685282564934918e-13,1.9456455050648936e-19,1.9454878496429858e-19,8.705053366324191e-17
300,9.766088649861154e-11,9.785585402640501e-11,9.529032782299951e-15,1.903868170046661e-12,9.574935603986116e-15,1.795286853123193e-16,8.435426543350562e-19,1.7910677533663796e-16,4.686426986948308e-21,1.0526870071038826e-13,1.055013060217586e-13,2.6814990514362103e-19,2.867826299410327e-19,1.7004409624108518e-16
400,9.767395786401097e-11,9.790391868731492e-11,9.596124826914339e-15,1.897979860316551e-12,9.548812249068253e-15,1.7454297603415728e-16,6.587762247709174e-19,1.7375981778572477e-16,4.887941358003947e-21,1.009947300153136e-13,1.0089968010118587e-13,3.4103788271672607e-19,3.094383345382264e-19,1.8508923819812398e-16
500,9.770603037514587e-11,9.791364521343841e-11,9.588387313508295e-15,1.891726618629877e-12,9.507488161041356e-15,1.7268697119977215e-16,5.601412917737139e-19,1.7247918118276146e-16,4.9922692012648076e-21,9.865048550258319e-14,9.825748675801243e-14,4.571348840113086e-19,4.1692153945760536e-19,2.7884735273125676e-16
600,9.765358603372985e-11,9.785925183367231e-11,9.536852723962606e-15,1.894145403573964e-12,9.602344713173171e-15,1.7600771605689688e-16,9.03729242453596e-19,1.7710546732041292e-16,4.8400894893497115e-21,1.0466126338920448e-13,1.0382069587256634e-13,5.341123988704853e-19,4.9839865615124545e-19,2.86954715447302e-16
700,9.765343734076267e-11,9.785532353707778e-11,9.568159426108991e-15,1.9087763828073787e-12,9.574969913428144e-15,1.7832404619719473e-16,9.910048321624213e-19,1.7902315103455834e-16,5.038477754120091e-21,1.0680796835151035e-13,1.0653311487247214e-13,5.588920617813771e-19,6.248745437517802e-19,3.490119049507196e-16
800,9.762863721898215e-11,9.784144493941164e-11,9.590577738552447e-15,1.917194523868314e-12,9.52255855297404e-15,1.7952371858766845e-16,9.776818948695991e-19,1.8048383568460202e-16,5.180105071437675e-21,1.07950803354619e-13,1.0793565131376831e-13,6.482332844376017e-19,6.325057660455166e-19,4.0714917751529643e-16
900,9.763268158608959e-11,9.783775168313812e-11,9.521994872848238e-15,1.91138086496452e-12,9.502622079889612e-15,1.836960766309748e-16,9.563120449467238e-19,1.8413571065665191e-16,5.414788293165615e-21,1.0989725466799514e-13,1.0951208594643522e-13,7.152270109519781e-19,7.60329314534805e-19,4.691130017709055e-16
1000,9.761136195094693e-11,9.784698983796939e-11,9.573769461752365e-15,1.919593200219838e-12,9.576591998356651e-15,1.8400524549139842e-16,9.613822373479158e-19,1.851459945108335e-16,5.4970466119807256e-21,1.1012719397861294e-13,1.1073507903354677e-13,8.699482582274054e-19,8.364210191784056e-19,4.898093718690635e-16
1100,9.760829999723446e-11,9.784031084025832e-11,9.610374665025295e-15,1.8976099308201155e-12,9.511123681536147e-15,1.8416237315986645e-16,9.585304744821099e-19,1.8410213289556632e-16,5.6905331522184546e-21,1.1145800308954294e-13,1.1119781154803483e-13,9.256976565785903e-19,8.960551277613112e-19,5.529630832703439e-16
1200,9.762522940635565e-11,9.785995718391126e-11,9.534011380267706e-15,1.9055815028128593e-12,9.61286899849886e-15,1.8647736353095044e-16,9.550146189598015e-19,1.8453180879240843e-16,5.747296170223029e-21,1.1100016665109761e-13,1.1198749968503464e-13,1.0265291700899989e-18,9.78537294945562e-19,5.870148544625796e-16
1300,9.762641422697769e-11,9.783484318236467e-11,9.490127153076927e-15,1.9059362899595546e-12,9.527616710445238e-15,1.854470570178833e-16,9.423016140550065e-19,1.8477676594048242e-16,5.952768154743438e-21,1.1159614247883712e-13,1.1132528623770053e-13,1.0930410077002802e-18,1.1143753919390597e-18,6.345280196739215e-16
1400,9.761366099429831e-11,9.783129879597303e-11,9.578300377722474e-15,1.9213090851142074e-12,9.537690112477693e-15,1.8532503634022626e-16,9.369743651688447e-19,1.8732153204392002e-16,5.942892964717606e-21,1.1093941893356774e-13,1.1170577236878806e-13,1.1515437087464993e-18,1.1436467385600107e-18,6.751049179296856e-16
1500,9.762282516523299e-11,9.786059969267268e-11,9.61212900043412e-15,1.91902141067516e-12,9.49958080420187e-15,1.8728977728463153e-16,9.361776131734116e-19,1.8525358693253793e-16,6.0568266283069035e-21,1.1140126053520706e-13,1.1181429187090832e-13,1.1836629182207352e-18,1.2600361133454134e-18,7.37775095687947e-16
1600,9.762817880680794e-11,9.785620079552097e-11,9.500285295578123e-15,1.8992684567283264e-12,9.608573873289887e-15,1.8700061533185923e-16,9.343346358416333e-19,1.8710425675567835e-16,6.14991423072808e-21,1.1152206948007136e-13,1.1241589373988634e-13,1.2815186253384737e-18,1.2371125710160159e-18,7.459754655806518e-16
1700,9.761146003449279e-11,9.784976526335481e-11,9.493426301934106e-15,1.899323817824929e-12,9.51430918513267e-15,1.8507165040693118e-16,9.354016079056205e-19,1.8609224220580305e-16,6.138543655241235e-21,1.1210912746783753e-13,1.1178002147326428e-13,1.306219114468888e-18,1.3063839905934952e-18,7.755256338707932e-16
1800,9.763587550852678e-11,9.785195952971935e-11,9.52540508824494e-15,1.9178493640918307e-12,9.547251455323294e-15,1.869217366810928e-16,9.390804483269452e-19,1.8634543192325385e-16,6.254784694433153e-21,1.1233829570494398e-13,1.1156275565328963e-13,1.3825323466435775e-18,1.3884475395619732e-18,8.477318119442954e-16
1900,9.760617679026645e-11,9.78484508288415e-11,9.497097305407335e-15,1.900359303857e-12,9.537567679722362e-15,1.8717416237526093e-16,9.442611700383715e-19,1.8524215040324054e-16,6.3587513249755195e-21,1.122925029227428e-13,1.1124260354014407e-13,1.434327015010319e-18,1.4208293096646327e-18,8.872227147077013e-16
2000,9.76338576103148e-11,9.786037211154034e-11,9.568952716448838e-15,1.9176336855335937e-12,9.560347511453501e-15,1.8517442342911887e-16,9.33810090233752e-19,1.8755047466357022e-16,6.462511703483856e-21,1.1116190691217687e-13,1.117714347568442e-13,1.510518586128087e-18,1.5317953923681308e-18,9.022815981664832e-16
2100,9.760909275319842e-11,9.78435977255189e-11,9.519215663408746e-15,1.9047404782606584e-12,9.549566816208364e-15,1.858445028554315e-16,9.331431016788215e-19,1.851357032928039e-16,6.477486052338215e-21,1.118331029276336e-13,1.1199238924975356e-13,1.6291020200661058e-18,1.5516668571597756e-18,9.290367766638025e-16
2200,9.762349687432604e-11,9.784255614913063e-11,9.615515452716004e-15,1.918478732013456e-12,9.538880565076101e-15,1.8561386636264879e-16,9.311670719120931e-19,1.8647295147879701e-16,6.5287875054469885e-21,1.1130939444955272e-13,1.1245394946148154e-13,1.6883878901705775e-18,1.6235662615837946e-18,9.838701950775023e-16
2300,9.761393553669809e-11,9.783711682806391e-11,9.547217585983687e-15,1.897271106913733e-12,9.497402254026866e-15,1.8627064931215813e-16,9.438362972179225e-19,1.8640852135683346e-16,6.599624584863509e-21,1.1163499084758882e-13,1.1149091245068781e-13,1.695918473690982e-18,1.7145005754660815e-18,1.0316746309967224e-15
2400,9.763034155844216e-11,9.784366760607379e-11,9.572566634236318e-15,1.9097037279717812e-12,9.532750874590393e-15,1.852264732739834e-16,9.312674096755283e-19,1.860881454994867e-16,6.779934204244707e-21,1.1136515335813451e-13,1.1158315111099648e-13,1.7355311699771277e-18,1.768785215552557e-18,1.027955420002106e-15
2500,9.762776367863917e-11,9.784613694617838e-11,9.59381081992112e-15,1.921666864596231e-12,9.538362410098831e-15,1.87308824049895e-16,9.425421993010725e-19,1.861155265790382e-16,6.750453721091617e-21,1.1114390542430438e-13,1.1148119529745248e-13,1.86347973301967e-18,1.7862948516649874e-18,1.1075239747436947e-15
2600,9.762521905313373e-11,9.785644775965906e-11,9.616660744227732e-15,1.916088455253495e-12,9.507795687797489e-15,1.8506608669927562e-16,9.397557251310571e-19,1.8653869644308022e-16,6.88634806036733e-21,1.1131296176682524e-13,1.1113538935904674e-13,1.88216160195739e-18,1.8922949983516455e-18,1.148376549014275e-15
2700,9.761917184064529e-11,9.784358790415234e-11,9.492150706730951e-15,1.9140890780425357e-12,9.565917317919175e-15,1.8701750347191195e-16,9.399497987776597e-19,1.8575766961220292e-16,7.009379663120764e-21,1.1173395819769074e-13,1.1227357309035337e-13,1.962922698721218e-18,1.946051911631704e-18,1.1543028149812083e-15
2800,9.763561965557305e-11,9.783504253714374e-11,9.53205610287387e-15,1.9164725691347814e-12,9.514937260562074e-15,1.8600910405049127e-16,9.419439143593464e-19,1.8612922722641667e-16,7.035485261389611e-21,1.1155587114684605e-13,1.1104118407081519e-13,2.00868315163012e-18,2.044845435077744e-18,1.2247397419742699e-15
2900,9.760807983622483e-11,9.784012040035681e-11,9.530098948338515e-15,1.9049258348653474e-12,9.592110938042757e-15,1.854901460291332e-16,9.437448850281351e-19,1.857994279604807e-16,7.068167544483797e-21,1.1252067634843254e-13,1.1206815866203247e-13,2.0432878292550713e-18,2.0701614322788434e-18,1.2485372045887119e-15
3000,9.762104281176018e-11,9.783750624380486e-11,9.555187129475544e-15,1.9189114578548505e-12,9.496024401403685e-15,1.8557053934516274e-16,9.413462204673399e-19,1.864868587036642e-16,7.139067224934399e-21,1.1153123454110371e-13,1.1106023893323328e-13,2.13630431110604e-18,2.089128714221584e-18,1.270218178329734e-15
3100,9.761099143811886e-11,9.78338901731054e-11,9.492455892886812e-15,1.9169099377220375e-12,9.522775216544894e-15,1.8621548355505945e-16,9.39086344961049e-19,1.8689829608208558e-16,7.337360182659002e-21,1.1141709092776892e-13,1.119067165220175e-13,2.2249751393048417e-18,2.1635752872925133e-18,1.3194715713890594e-15
