miliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,1.0000417056652138e-10,9.999082933198285e-11,4.1195080245360154e-17,5.433971369512547e-15,4.752757352705384e-17,1.0218482148473512e-18,-7.04519637949763e-21,-7.0554228443233455e-19,-2.0304899727503746e-23,1.731772931531111e-16,3.0368869128815365e-17,-3.3261084099345373e-20,1.3198373071288806e-20,2.198483093906636e-18
100,9.748306962753427e-11,9.771052237682909e-11,9.578941371898708e-15,2.0692316005624636e-12,9.527145649040907e-15,1.7861634579330754e-16,9.054741376181045e-19,1.787328560983756e-16,4.4945122717290046e-21,1.0090922546023784e-13,1.0199732647056949e-13,1.0344039563177504e-19,8.710405242790269e-20,5.3355676840811626e-17
200,9.7587408520579e-11,9.782255504370901e-11,9.530410992892892e-15,1.950132032980879e-12,9.499387798098986e-15,1.8163333563184161e-16,1.0553223742078902e-18,1.7985959527908657e-16,4.567353913941194e-21,1.0706667586059154e-13,1.0772382513570612e-13,2.003382645802384e-19,1.5377111711889162e-19,1.169419367718114e-16
300,9.763825235337464e-11,9.785850775839744e-11,9.493484667613186e-15,1.9005817224663362e-12,9.591953564953524e-15,1.7882756143833572e-16,8.447230074124544e-19,1.7921330511276412e-16,4.811685197590893e-21,1.0650609327917227e-13,1.0522677951869864e-13,2.5979299520350133e-19,2.4464528643145035e-19,1.4591441979894103e-16
400,9.76745889191115e-11,9.789395337485212e-11,9.522560849256241e-15,1.877941800291635e-12,9.553040411063774e-15,1.739536313790295e-16,6.449785486958352e-19,1.7450519168412574e-16,4.773829271635037e-21,1.0099725657114329e-13,1.0146411753866842e-13,3.0402057171317927e-19,2.935949505876622e-19,1.8569012291604203e-16
500,9.769502598511175e-11,9.78953213517718e-11,9.565415802056015e-15,1.877463116524062e-12,9.578783908760733e-15,1.7271353395889974e-16,5.598104336994047e-19,1.713500301050744e-16,4.8639732137292965e-21,9.838172167927062e-14,9.901638102076213e-14,4.1941421942037033e-19,4.357504103770852e-19,2.6283366565620463e-16
600,9.765802157357523e-11,9.785839737039006e-11,9.621935469133452e-15,1.8885559836963803e-12,9.536096370394054e-15,1.7720786807725929e-16,8.914894126726484e-19,1.754490677302701e-16,4.963070629374174e-21,1.0330280743406841e-13,1.0406087972814266e-13,5.081570093293433e-19,4.615555156016049e-19,2.780597050976929e-16
700,9.763317131368796e-11,9.786681537337068e-11,9.625084183777032e-15,1.8934215292716523e-12,9.57897397634344e-15,1.7956875012014347e-16,9.87005403724962e-19,1.7880046068349668e-16,4.986069031983017e-21,1.0574640822102549e-13,1.069142784804799e-13,6.028262650622153e-19,6.239444471611178e-19,3.489709230558943e-16
800,9.7632443169612e-11,9.786901330128343e-11,9.551561378127649e-15,1.895975729093169e-12,9.525291032501556e-15,1.7979143786618943e-16,9.751084478115577e-19,1.8128961771339807e-16,5.144964989144555e-21,1.0801632584829203e-13,1.0845863960283388e-13,6.405717856664688e-19,6.401762389996818e-19,4.106317059126746e-16
900,9.761661714135816e-11,9.784673559907876e-11,9.527979740185034e-15,1.9073928466870363e-12,9.497544971159278e-15,1.8410917394842593e-16,9.679950508749613e-19,1.8467670978820226e-16,5.345127928438831e-21,1.0927493754815377e-13,1.1078776356664796e-13,7.8524446206171405e-19,7.7700115088990725e-19,4.698058137039557e-16
1000,9.76092269202846e-11,9.785742226562514e-11,9.591023269873849e-15,1.910975020320478e-12,9.616979210912608e-15,1.856808497983057e-16,9.527499289086537e-19,1.841515951076404e-16,5.502769738990591e-21,1.1025682965108717e-13,1.0988404497735081e-13,8.100335106524206e-19,8.175078348935843e-19,4.99041551298062e-16
1100,9.760897783348238e-11,9.784487399129541e-11,9.510628701008785e-15,1.914186364597099e-12,9.527016305265122e-15,1.847075848228402e-16,9.51863714198024e-19,1.8509608893589148e-16,5.658225159079723e-21,1.1178120383842588e-13,1.1077878522603977e-13,9.159304359703942e-19,8.967998513160462e-19,5.336510964127895e-16
1200,9.763535045950899e-11,9.785764279237904e-11,9.57569547262354e-15,1.9060832424076845e-12,9.487136810920636e-15,1.8453561624487493e-16,9.436535551447091e-19,1.8633582393731127e-16,5.834410781990367e-21,1.1103136013306503e-13,1.1171139229234336e-13,9.999934311592777e-19,9.993116566144767e-19,5.732685299995307e-16
1300,9.760607283147307e-11,9.785923425451519e-11,9.523553715425508e-15,1.908667985495912e-12,9.525004994727291e-15,1.8582128199388503e-16,9.412714279289643e-19,1.8652453254375071e-16,5.914661768889403e-21,1.1229107788800416e-13,1.1127778154154422e-13,1.06453003020879e-18,1.0933934670812604e-18,6.745281314199887e-16
