miliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,9.999022180665742e-11,1.0001511100359623e-10,1.2978327504361809e-17,-4.139150747994938e-15,-2.5912132105922516e-17,-1.773924099032621e-19,-5.215358634799057e-21,6.47044211333124e-19,-5.444633154035375e-23,9.014037974184256e-17,2.9850047389084454e-16,1.836001342675405e-20,4.049135893332876e-20,5.027449564547704e-18
100,9.749628787510273e-11,9.769029765040813e-11,9.57823292498245e-15,2.076241073206339e-12,9.514352520082068e-15,1.7721499969353063e-16,9.059645055570284e-19,1.7754358316632696e-16,4.5137639621048525e-21,1.0162686917047739e-13,1.0124870694471248e-13,9.065631950656126e-20,1.0717129212722916e-19,3.657926311502049e-17
200,9.761709966063918e-11,9.782674223872542e-11,9.550400075458613e-15,1.94917004058434e-12,9.490446967195974e-15,1.8180715427996695e-16,1.0577691392407822e-18,1.8070916101144556e-16,4.4641051974586105e-21,1.076963449743476e-13,1.069755163971001e-13,1.2109347499520334e-19,1.5213855337265338e-19,9.8637215454856e-17
300,9.765376620812844e-11,9.786856845362228e-11,9.526870667015007e-15,1.8934926245192515e-12,9.58214036685556e-15,1.785670878612695e-16,8.394314321561674e-19,1.805308222192582e-16,4.7128570177549975e-21,1.0537824961188061e-13,1.0529344635425952e-13,2.264764897889245e-19,2.266721775427004e-19,1.4655769710583552e-16
400,9.76895933983747e-11,9.78879617810848e-11,9.491639742803901e-15,1.8881252533247043e-12,9.551783364070136e-15,1.7477744406227236e-16,6.554113104752851e-19,1.7574212841326477e-16,4.755365016544572e-21,1.0097271313481176e-13,1.005904621985828e-13,3.25942467339974e-19,3.055889294419984e-19,2.231524033877706e-16
500,9.771026701451507e-11,9.78990333632523e-11,9.580537445480494e-15,1.872942738627268e-12,9.550205041901859e-15,1.7101897308350582e-16,5.65684792949701e-19,1.7325004567423727e-16,4.9354597967528966e-21,9.916105991562535e-14,9.77857349775556e-14,4.25050849072086e-19,3.7975282882646946e-19,2.7773670566521835e-16
600,9.767161170403793e-11,9.78867500955851e-11,9.514644380423456e-15,1.9089687446068504e-12,9.586999236392089e-15,1.7776453425169823e-16,8.921285965113996e-19,1.759746656475759e-16,4.970897274291257e-21,1.0323787855473286e-13,1.0335709619074216e-13,4.592856182120172e-19,4.683335746140573e-19,2.7159124705631387e-16
700,9.765295209512066e-11,9.786438276779356e-11,9.516600683386848e-15,1.9163175832689973e-12,9.50336209931207e-15,1.782642972387527e-16,9.975281152733944e-19,1.7844871973020782e-16,4.956175640928539e-21,1.0688375873290185e-13,1.0596405171950998e-13,6.108675135444073e-19,5.957317642030655e-19,3.5589935493277115e-16
800,9.763994603309997e-11,9.786735957482404e-11,9.533277652753517e-15,1.9193306488394143e-12,9.568042670314204e-15,1.798839204785901e-16,9.83276827155393e-19,1.815175478360719e-16,5.192811273965893e-21,1.0782155402067795e-13,1.0835876037669354e-13,6.339983747414387e-19,6.972401929979409e-19,3.7765932622168623e-16
900,9.762476433885948e-11,9.78597378451529e-11,9.581517649455998e-15,1.898091450268053e-12,9.552727286240998e-15,1.8377467049473153e-16,9.69382269053445e-19,1.8330719731268947e-16,5.3444320380437966e-21,1.0969898224285016e-13,1.0998782952325777e-13,7.499370973095402e-19,7.483084158905586e-19,4.4184923189141157e-16
