milliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,1.0001665667795431e-10,1.0000488628298956e-10,-4.084534892706528e-17,1.131887846829553e-14,4.2526088147165635e-17,6.682557970804625e-19,-2.352253797053642e-21,3.1011482656437905e-19,2.6728565680439526e-23,3.732819482551678e-16,-5.525127864226644e-16,3.086339840385709e-20,-3.400972808215081e-20,2.075254712570642e-17
100,9.748449059371173e-11,9.770380372467974e-11,9.571611533120436e-15,2.0727584464956324e-12,9.559339236519803e-15,1.7772664180966508e-16,8.96189245720103e-19,1.7898653267293062e-16,4.386529102738464e-21,1.0130773052035925e-13,1.0150100031487536e-13,6.7697302434937e-20,7.656841933749064e-20,5.432890724823262e-17
200,9.761283619142567e-11,9.782894205086968e-11,9.539220960888277e-15,1.9350043220207497e-12,9.548846974884245e-15,1.814909252165181e-16,1.0637953344147612e-18,1.810149832103395e-16,4.561107361401424e-21,1.0754908228481117e-13,1.0664757092626936e-13,1.4136491082317744e-19,1.1804896046092246e-19,7.289554596811434e-17
300,9.766435363608137e-11,9.786960446058167e-11,9.494670684588568e-15,1.9012418171061338e-12,9.616751860222394e-15,1.8100398044920393e-16,8.401415555300965e-19,1.796139899021473e-16,4.66685650895843e-21,1.0553925129405156e-13,1.0654763960709265e-13,2.0792226450385658e-19,2.088258364013072e-19,1.6849312076804438e-16
400,9.76978450982479e-11,9.790515712185212e-11,9.575165929090457e-15,1.8890989796811568e-12,9.588765281723025e-15,1.7404718962952388e-16,6.560763522300715e-19,1.7395261376399187e-16,4.873551028115968e-21,1.0082462481768922e-13,1.0041193351066708e-13,3.527192971114364e-19,3.4276191741555466e-19,1.690076215605686e-16
500,9.770917638898735e-11,9.791900530597987e-11,9.592625967068048e-15,1.8853537881185114e-12,9.552946801566047e-15,1.7116017312124216e-16,5.575214438367881e-19,1.7284577329133434e-16,4.897362328161802e-21,9.798206411462464e-14,9.91883992061782e-14,4.638941688170925e-19,3.923955655536264e-19,2.3024633407716356e-16
600,9.76632558680265e-11,9.786916674128679e-11,9.523598469970936e-15,1.9123758682420968e-12,9.496567083588855e-15,1.753883777248706e-16,9.030546257710303e-19,1.7555939190446501e-16,4.9202131411813055e-21,1.0399940722450982e-13,1.0348696029542962e-13,5.200237246447403e-19,5.267728903901767e-19,3.0840596844370375e-16
700,9.765045949960026e-11,9.786248945103038e-11,9.554947566305992e-15,1.9154500569713917e-12,9.609989289649233e-15,1.7808381073555033e-16,9.944599517526335e-19,1.7943838325477076e-16,4.964468632769064e-21,1.0682930366975216e-13,1.0627548946691156e-13,5.861349350957396e-19,5.915814909354876e-19,3.448804067525062e-16
800,9.762910939351104e-11,9.785145754349956e-11,9.537243176031753e-15,1.918047136944386e-12,9.583831951761342e-15,1.8120669001127383e-16,9.839350950704873e-19,1.8184543934115293e-16,5.110833958334657e-21,1.0850339568589085e-13,1.0751930032133597e-13,6.456254488161589e-19,7.168395778314951e-19,3.8301929374030075e-16
900,9.764094472814875e-11,9.78407466241047e-11,9.488947672778047e-15,1.901316205001806e-12,9.501936534893467e-15,1.8424912124520727e-16,9.575360410776682e-19,1.8429745835572453e-16,5.461183921285013e-21,1.0951622902800304e-13,1.0978269472472992e-13,7.592308630736225e-19,7.151792399260636e-19,4.73996768972942e-16
1000,9.762090069639657e-11,9.784782397622496e-11,9.488439371426438e-15,1.9225622374893867e-12,9.577844412541503e-15,1.857760852148046e-16,9.59133995656903e-19,1.840040024517976e-16,5.453966535264345e-21,1.1102121972657649e-13,1.1002222165258903e-13,8.635672646157122e-19,8.006996019879701e-19,5.207048932441876e-16
1100,9.761017607132531e-11,9.783964722053593e-11,9.56498214216651e-15,1.91223247684185e-12,9.512480828832862e-15,1.860005310516495e-16,9.540912790366324e-19,1.841276202181856e-16,5.650413685779804e-21,1.1090384358168759e-13,1.1103732006155751e-13,9.151408568027792e-19,8.827776385957378e-19,5.439793420134098e-16
1200,9.762050783055025e-11,9.783997258305204e-11,9.515250285843183e-15,1.9185329785872646e-12,9.510940766952144e-15,1.8685449201281856e-16,9.451905638454807e-19,1.8601521831553857e-16,5.703102457193869e-21,1.1073733366508182e-13,1.109893914402537e-13,1.021030890961671e-18,9.72182983560952e-19,6.2380650527646095e-16
1300,9.761929655165965e-11,9.785163606965199e-11,9.60131269673573e-15,1.899794303626372e-12,9.589247370926902e-15,1.8532318897682e-16,9.479659025964416e-19,1.8509328027768315e-16,5.844901486352448e-21,1.123588572015647e-13,1.1219956763696179e-13,1.0680871334566105e-18,1.0799893684499814e-18,6.683459654879886e-16
1400,9.762208853524939e-11,9.785740867502795e-11,9.55274011576401e-15,1.9012670364649607e-12,9.558702539587968e-15,1.8562409331146313e-16,9.378014397463767e-19,1.8532958146632415e-16,5.999405726873298e-21,1.1241121922593525e-13,1.1130792477371623e-13,1.1404676600837597e-18,1.1657711781442478e-18,6.845587355793446e-16
1500,9.762459867209531e-11,9.785645082420111e-11,9.592251966376754e-15,1.918222857135255e-12,9.585305457785271e-15,1.8527636482982862e-16,9.334600716073285e-19,1.8607391832291847e-16,6.038090503080804e-21,1.1229586682074179e-13,1.123337409243495e-13,1.263794914712726e-18,1.2248810483000402e-18,7.005498793916926e-16
1600,9.761364208112986e-11,9.784342501004757e-11,9.502574148938787e-15,1.89716537452504e-12,9.591156257581286e-15,1.853169642363436e-16,9.388794354678826e-19,1.8597997968377026e-16,6.073346817993832e-21,1.11040215299474e-13,1.1249642856724417e-13,1.2835720264042638e-18,1.2524127372198007e-18,7.921237852304283e-16
1700,9.760775890907471e-11,9.785562767795406e-11,9.542481452274225e-15,1.904639284494116e-12,9.586382972263642e-15,1.860122854185107e-16,9.39201913343664e-19,1.8607350273441652e-16,6.167862609791801e-21,1.1105315637943378e-13,1.1245768874842544e-13,1.3122243874570134e-18,1.386232976585323e-18,8.163934927000226e-16
1800,9.760372837149207e-11,9.783646529053325e-11,9.511789364932369e-15,1.916561639599785e-12,9.612226378601198e-15,1.85702215530478e-16,9.397302507299898e-19,1.8628067002172705e-16,6.353098255323102e-21,1.1118487105807012e-13,1.1130938337988773e-13,1.4055957810773208e-18,1.4121589086643188e-18,8.204437296927272e-16
1900,9.762475049802854e-11,9.784800587027446e-11,9.594515975021738e-15,1.91388609580716e-12,9.49844770629063e-15,1.8701795923469564e-16,9.351500559182936e-19,1.8499558182565796e-16,6.378754117829088e-21,1.118826967096515e-13,1.1166057578344072e-13,1.503381254008369e-18,1.4353158209197933e-18,8.963778614074935e-16
