milliseconds,IPTG,ia1_ActiveTF,ia1_InactiveTF,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,ter1,ter2,ter3,ter4,ter5,ter6
0,10000.192802246487,100.86313962887009,99.64081951792254,10.0,10.0,10.0,10.0,10.0,10.0,0.08283435828324916,-0.06614149021263031,0.060366376522854134,-0.07093358803483253,0.018740192389847008,0.04596769438777608,10.0,10.0,10.0,10.0,10.0,10.0
100,9899.305468297669,0.16584979838144848,199.16111222578863,10.0,10.0,10.0,10.0,10.0,10.0,0.4620689939273031,0.6002654645893255,0.4783913569460442,0.058268156561545756,0.5828372879028839,0.6361118977551306,10.0,10.0,10.0,10.0,10.0,10.0
200,9899.14151486614,0.7815490370215732,199.6775439028929,10.0,10.0,10.0,10.0,10.0,10.0,0.759671142861588,0.8370280084641408,0.8645080001267315,0.20134812247878045,1.0969622749277317,1.03126216333155,10.0,10.0,10.0,10.0,10.0,10.0
300,9900.692263951363,1.225251710989168,199.0005373967161,10.0,10.0,10.0,10.0,10.0,10.0,1.2261315760184557,1.095382021536002,1.1904168764940863,0.29308252189627104,1.4077730971901974,1.3623613662425673,10.0,10.0,10.0,10.0,10.0,10.0
400,9899.165863190252,0.6752901685259164,200.0907533674968,10.0,10.0,10.0,10.0,10.0,10.0,1.4570933224215634,1.3375463475501639,1.4865398984953129,0.32422944836382545,1.6904762991728917,1.5049929011024221,10.0,10.0,10.0,10.0,10.0,10.0
500,9900.823750533245,0.725131279663754,200.7970289190243,10.0,10.0,10.0,10.0,10.0,10.0,1.7652253380660885,1.4795474462829414,1.5858304301839528,0.5283724641159122,1.8812179755109173,1.7677975229811593,10.0,10.0,10.0,10.0,10.0,10.0
600,9900.214558069829,-0.15681641262133764,198.85995390216192,10.0,10.0,10.0,10.0,10.0,10.0,2.2202158014628393,1.6536162711440257,1.7861204087800622,0.6439315781158511,1.9578136937604627,1.8917359138842607,10.0,10.0,10.0,10.0,10.0,10.0
700,9900.82591704319,1.192510407746343,200.6139154119175,10.0,10.0,10.0,10.0,10.0,10.0,2.3057637404889024,1.8439469152919152,1.8533713477741716,0.7134252517105695,2.1289483489844505,2.0305609024554943,10.0,10.0,10.0,10.0,10.0,10.0
800,9899.846338164836,-0.5845269043487666,201.39825219144328,10.0,10.0,10.0,10.0,10.0,10.0,2.547246795808288,1.8768727242928502,2.0373951510159825,0.7892531274267652,2.1803456492554925,2.0646377742314277,10.0,10.0,10.0,10.0,10.0,10.0
900,9900.247815810273,-0.07558005952081658,198.83889290203723,10.0,10.0,10.0,10.0,10.0,10.0,2.8555264618041405,1.974614973574699,2.0971469651224193,0.819977193845145,2.1647384695766734,2.3011110396438625,10.0,10.0,10.0,10.0,10.0,10.0
1000,9899.637133173828,-0.005330774732982349,198.6766725482637,10.0,10.0,10.0,10.0,10.0,10.0,3.138240112922632,2.1479550888099563,2.166459842250388,0.8549235544068543,2.2190761578714544,2.293994031283728,10.0,10.0,10.0,10.0,10.0,10.0
1100,9899.4804838809,0.0007960277856021965,198.87728740745908,10.0,10.0,10.0,10.0,10.0,10.0,3.200638784789074,2.119009427253094,2.295742192444151,0.9554254291113881,2.374190529407021,2.438503403703395,10.0,10.0,10.0,10.0,10.0,10.0
1200,9900.48264338132,0.7081089575759439,200.37045273195818,10.0,10.0,10.0,10.0,10.0,10.0,3.3811244737344444,2.269214694463674,2.385207377383923,1.0479864479034906,2.349750826730565,2.5433440813189714,10.0,10.0,10.0,10.0,10.0,10.0
1300,9900.76372988649,1.0866947232800412,200.19791565459192,10.0,10.0,10.0,10.0,10.0,10.0,3.60097499000668,2.3037906290985553,2.3486700716990256,1.2408854185237042,2.4553319887254452,2.65159545685218,10.0,10.0,10.0,10.0,10.0,10.0
1400,9901.18686815404,-0.19918769328960223,200.74770196869753,10.0,10.0,10.0,10.0,10.0,10.0,3.6597466259549276,2.3915105374690704,2.43719900462617,1.3922933850323946,2.474427159713597,2.7868557623768884,10.0,10.0,10.0,10.0,10.0,10.0
1500,9899.433194832194,1.3595549006025112,198.87948931570634,10.0,10.0,10.0,10.0,10.0,10.0,3.824037347763557,2.50326009468163,2.4986907560851406,1.4943535034328208,2.5419765199749302,2.794260071395352,10.0,10.0,10.0,10.0,10.0,10.0
1600,9901.188495636054,1.2045531607911864,200.06776680573972,10.0,10.0,10.0,10.0,10.0,10.0,3.8264725645151563,2.5630316709108123,2.487286246100783,1.4423599405878278,2.4740898450631175,2.825026864037842,10.0,10.0,10.0,10.0,10.0,10.0
1700,9900.243798446534,0.24272078685039708,201.26788906259495,10.0,10.0,10.0,10.0,10.0,10.0,3.902600396023518,2.5969033260861054,2.6497886537740127,1.6176507121165273,2.5314736064016707,2.845123525824065,10.0,10.0,10.0,10.0,10.0,10.0
1800,9900.516790627073,1.3712103309488461,199.0522509378519,10.0,10.0,10.0,10.0,10.0,10.0,3.846202479006032,2.5351426485693582,2.656786373104853,1.6503096510955653,2.5650112463337345,2.976594243492619,10.0,10.0,10.0,10.0,10.0,10.0
1900,9899.964929109665,-0.7556692296324037,201.01025118506124,10.0,10.0,10.0,10.0,10.0,10.0,4.042236763270002,2.626636641535818,2.6657629914951375,1.8045046359640045,2.648869930345334,2.9520299220005914,10.0,10.0,10.0,10.0,10.0,10.0
2000,9900.30511477065,-1.1893810682050585,199.13792784643536,10.0,10.0,10.0,10.0,10.0,10.0,4.03538387219496,2.631277972781264,2.6959968543342265,1.8938346588716115,2.655955497386706,3.018500306774324,10.0,10.0,10.0,10.0,10.0,10.0
2100,9900.397052350032,1.2114400933143663,199.87211269393083,10.0,10.0,10.0,10.0,10.0,10.0,4.202922330550062,2.7120392641099076,2.82113829893998,1.9250434688479656,2.6599824992034553,3.1118865711721986,10.0,10.0,10.0,10.0,10.0,10.0
2200,9899.058146088008,1.0683368437088194,199.254088520138,10.0,10.0,10.0,10.0,10.0,10.0,4.060997012304214,2.8111295452757945,2.901497515230197,2.0015635049096745,2.760358202312019,3.1868668260151845,10.0,10.0,10.0,10.0,10.0,10.0
