milliseconds,IPTG,ia1_ActiveTF,ia1_InactiveTF,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,ter1,ter2,ter3,ter4,ter5,ter6
0,10000.632891937272,101.08101171755693,100.00452255652121,10.0,10.0,10.0,10.0,10.0,10.0,-0.030909845608842933,-0.01348558388293227,-0.010812002585936478,-0.058307223028521434,-0.0016647100505177345,0.006492022800611791,10.0,10.0,10.0,10.0,10.0,10.0
100,9899.711796643965,0.05530031971509432,199.56838389034704,10.0,10.0,10.0,10.0,10.0,10.0,0.43334763834897083,0.46164989664743816,0.6177779040123437,0.1189590465143946,0.6165097500230016,0.4945093656388828,10.0,10.0,10.0,10.0,10.0,10.0
200,9899.801077526181,0.27566652021184523,199.86824429450647,10.0,10.0,10.0,10.0,10.0,10.0,0.8812405588085895,0.8875480586512222,0.9369920030012073,0.17698153724864374,1.1558817938978745,1.008795686769989,10.0,10.0,10.0,10.0,10.0,10.0
300,9900.976473457727,-1.1853815446717135,200.57169985405437,10.0,10.0,10.0,10.0,10.0,10.0,1.1920468200842398,1.0915195457753006,1.151966103969483,0.26780752656159806,1.4499177179079097,1.20815614109805,10.0,10.0,10.0,10.0,10.0,10.0
400,9900.082847768155,-0.1882500649031462,198.89003249650096,10.0,10.0,10.0,10.0,10.0,10.0,1.4468011659047004,1.2907511473547932,1.4787217062251632,0.29442097718342797,1.6409631489794558,1.5822730210785443,10.0,10.0,10.0,10.0,10.0,10.0
500,9898.892178815382,-0.42293515306124524,200.30034441377686,10.0,10.0,10.0,10.0,10.0,10.0,1.8025994666444891,1.562862007749661,1.5254034312137683,0.5209430486424561,1.7761267236373413,1.7757248584212204,10.0,10.0,10.0,10.0,10.0,10.0
600,9899.771619253444,0.7842089932555727,200.87459282755538,10.0,10.0,10.0,10.0,10.0,10.0,2.068637049880612,1.7153481516768003,1.7105941513800471,0.5709226559594694,1.968989386156622,1.8690878460583926,10.0,10.0,10.0,10.0,10.0,10.0
700,9901.07112232126,-0.5722850338752511,201.2639406283909,10.0,10.0,10.0,10.0,10.0,10.0,2.3494572617679235,1.787928006384581,1.8331218282440467,0.7375193522399099,2.086628862699284,1.9586859277362725,10.0,10.0,10.0,10.0,10.0,10.0
800,9899.207910504054,-0.3155403345833328,200.15732271515563,10.0,10.0,10.0,10.0,10.0,10.0,2.5963196551496677,1.8573925781389788,1.894096290005155,0.8524290073787479,2.10264291084764,2.1330909234812494,10.0,10.0,10.0,10.0,10.0,10.0
900,9898.651617396781,-0.7552495568714996,199.32031857011182,10.0,10.0,10.0,10.0,10.0,10.0,2.863302088365814,1.9473307520030572,2.116566687299117,0.8239130361057282,2.187725456900438,2.1799133420893524,10.0,10.0,10.0,10.0,10.0,10.0
1000,9899.129844570776,-0.2524327569213148,199.44938232569737,10.0,10.0,10.0,10.0,10.0,10.0,3.126107371894896,2.140268580574258,2.153002774356172,1.0402890060949677,2.2624158285277414,2.4431508035149427,10.0,10.0,10.0,10.0,10.0,10.0
1100,9899.483479500512,0.47549998340548943,199.15424829634608,10.0,10.0,10.0,10.0,10.0,10.0,3.2225697307392878,2.173844608980521,2.204984062031551,0.9662824621868745,2.353785063926548,2.4396910460683228,10.0,10.0,10.0,10.0,10.0,10.0
1200,9900.867737506125,1.268720404203384,199.92244758581376,10.0,10.0,10.0,10.0,10.0,10.0,3.2898344466715304,2.2527782536190992,2.3382541837939983,1.0653476527411907,2.4099591951799795,2.5034300438056634,10.0,10.0,10.0,10.0,10.0,10.0
1300,9898.853343593393,1.2827852924110783,200.1632486894634,10.0,10.0,10.0,10.0,10.0,10.0,3.3935065712160335,2.288125370159691,2.315611980340116,1.2697175842633266,2.3697573055891943,2.643617536213771,10.0,10.0,10.0,10.0,10.0,10.0
1400,9899.589051673434,1.3998765821374355,200.40225055496268,10.0,10.0,10.0,10.0,10.0,10.0,3.662193879569309,2.3369243725592996,2.4868151538481045,1.4272348406943347,2.4930658067436644,2.6162623153957867,10.0,10.0,10.0,10.0,10.0,10.0
1500,9899.67282032991,-0.5827615074859853,200.5386521404732,10.0,10.0,10.0,10.0,10.0,10.0,3.65437775014412,2.3650399813324787,2.4939640711404247,1.317566150270902,2.4724559085600575,2.7925086047258336,10.0,10.0,10.0,10.0,10.0,10.0
1600,9900.057962552857,1.2903428369668506,200.88872899147867,10.0,10.0,10.0,10.0,10.0,10.0,3.7964083246186195,2.494724271363095,2.525774144512738,1.5115189448504698,2.5546455325764423,2.788932257184572,10.0,10.0,10.0,10.0,10.0,10.0
1700,9900.170756086665,0.4926326732409623,198.6213021195742,10.0,10.0,10.0,10.0,10.0,10.0,3.9865147065476765,2.6109253403214585,2.6845663191197873,1.5761902377482022,2.5462120794748713,2.8974102274236624,10.0,10.0,10.0,10.0,10.0,10.0
1800,9901.289464682231,0.5857567293789768,199.56773022231957,10.0,10.0,10.0,10.0,10.0,10.0,3.859747085235048,2.6591133563914786,2.6883028313977495,1.7691743360629744,2.5459379484046782,3.0011306362837975,10.0,10.0,10.0,10.0,10.0,10.0
1900,9899.157041883176,-0.5607309978007318,200.9613607976975,10.0,10.0,10.0,10.0,10.0,10.0,3.960027900016001,2.7355852616637235,2.748767621449036,1.7433057964572038,2.5990263164556153,3.033913002574109,10.0,10.0,10.0,10.0,10.0,10.0
2000,9901.124721345854,-0.4683469007019819,199.6733944199567,10.0,10.0,10.0,10.0,10.0,10.0,4.065389105044592,2.6802366268120905,2.8183969130802065,1.9004622966484634,2.673217902309889,3.081595200088456,10.0,10.0,10.0,10.0,10.0,10.0
2100,9899.734104941606,0.7084458467109075,199.0644304559072,10.0,10.0,10.0,10.0,10.0,10.0,4.060834993578442,2.7296151647906206,2.8771341776619845,2.0224826754213527,2.737552510482512,3.1808981291802874,10.0,10.0,10.0,10.0,10.0,10.0
2200,9899.514015972309,0.9996905790403511,198.6628509847282,10.0,10.0,10.0,10.0,10.0,10.0,4.065798045059818,2.858071667849178,2.9046943218828583,1.9713120630129661,2.6416547611521737,3.175808717124088,10.0,10.0,10.0,10.0,10.0,10.0
2300,9899.581966044083,1.2017345001319286,200.23448595495256,10.0,10.0,10.0,10.0,10.0,10.0,4.081061958005376,2.9014023822101493,3.0004408278916483,2.0266081954401405,2.726725708833262,3.25420322229187,10.0,10.0,10.0,10.0,10.0,10.0
