milliseconds,IPTG,ia1_ActiveTF,ia1_InactiveTF,p1,p2,p3,pAUR1,pSLS1,pSLS4,proAUR1,proLACI,proLAMDAR,proSLS1,proSLS4,proTETR,ter1,ter2,ter3,ter4,ter5,ter6
0,9999.936835043638,99.75323544609725,99.31175223739356,10.0,10.0,10.0,10.0,10.0,10.0,0.01765620075883711,0.0666559222020851,-0.0377273766356155,0.10615788379392778,-0.031962343874723485,-0.0196400566132098,10.0,10.0,10.0,10.0,10.0,10.0
100,9899.644012132268,-1.2129801709745274,199.27962340369942,10.0,10.0,10.0,10.0,10.0,10.0,0.43931590319971925,0.5957180110751944,0.5144628203082586,0.17846578111879197,0.6153690227012598,0.5313084020820807,10.0,10.0,10.0,10.0,10.0,10.0
200,9898.796701301204,-0.5641444242814622,200.76013004509528,10.0,10.0,10.0,10.0,10.0,10.0,0.732961323110806,0.9385094879721276,1.0250824721529828,0.07882122997233486,1.1045796501805023,1.0070615200469408,10.0,10.0,10.0,10.0,10.0,10.0
300,9899.887623750692,0.03683674597984885,200.04767750390374,10.0,10.0,10.0,10.0,10.0,10.0,1.1907151025775748,1.1200566037855126,1.1616660252997164,0.391856558015142,1.376382006667742,1.309979129299166,10.0,10.0,10.0,10.0,10.0,10.0
400,9899.986560827065,0.3075426899918838,200.66875043938566,10.0,10.0,10.0,10.0,10.0,10.0,1.4413044340653742,1.3247016710537227,1.4184684048549054,0.4232822166179889,1.6478086256647255,1.4435944641086829,10.0,10.0,10.0,10.0,10.0,10.0
500,9901.012775942865,0.7053583976446071,200.58501365629164,10.0,10.0,10.0,10.0,10.0,10.0,1.9202271330358915,1.5466010156532046,1.5506203471608666,0.46553018945419966,1.8485129955282091,1.6741564749664375,10.0,10.0,10.0,10.0,10.0,10.0
600,9900.229696248894,0.8231103877222038,200.77776751137364,10.0,10.0,10.0,10.0,10.0,10.0,2.053399760045064,1.7100168390286463,1.657135581173822,0.48723534055617596,2.0316923914243263,1.9578376953395427,10.0,10.0,10.0,10.0,10.0,10.0
700,9899.089086701004,0.65872406133949,201.332481358928,10.0,10.0,10.0,10.0,10.0,10.0,2.4086915329735334,1.7706033935512722,1.8522535396301363,0.590670132361935,2.0883915070060675,2.0895387847664257,10.0,10.0,10.0,10.0,10.0,10.0
800,9899.25339462199,-0.5876399891816404,200.07986185738994,10.0,10.0,10.0,10.0,10.0,10.0,2.719730430928891,1.8309786292304369,1.9242317302774241,0.6697546004427677,2.13892203256886,2.125018158667525,10.0,10.0,10.0,10.0,10.0,10.0
900,9899.28571708205,0.3774663615791765,199.16072693100094,10.0,10.0,10.0,10.0,10.0,10.0,2.8548495987888276,1.9361731422540933,2.100507234308792,0.9925051751052485,2.262085872322703,2.2000614558033824,10.0,10.0,10.0,10.0,10.0,10.0
1000,9899.46254804794,1.2380072624412535,201.283252361963,10.0,10.0,10.0,10.0,10.0,10.0,3.1473338763495655,2.143092173465115,2.219586569499006,1.0716957129935112,2.3218409476924324,2.41191799253286,10.0,10.0,10.0,10.0,10.0,10.0
