milliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,1.0001458661875042e-10,9.997758451862265e-11,-1.207443123097316e-16,2.3236915044362064e-14,-1.0781091155946744e-16,-9.664895265432987e-20,-8.071176260082414e-21,-2.40197773102435e-18,1.0524099863177942e-22,-1.409176227540095e-15,1.4253815123838728e-15,-4.8005449005348216e-20,6.268186900349634e-20,7.989391914964005e-18
100,9.750219269472287e-11,9.769507843415073e-11,9.433216793832544e-15,2.0724803418928617e-12,9.518384050227507e-15,1.8034569712842198e-16,8.938586237878837e-19,1.7757651405506265e-16,4.541593505035074e-21,1.0259732607825215e-13,1.0153370610829963e-13,-2.829817004644947e-20,-2.46581069766678e-20,-2.2688658670370198e-17
200,9.763643740122842e-11,9.783067180809352e-11,9.561147318768745e-15,1.9310820631540877e-12,9.528795020536311e-15,1.795596561983295e-16,1.0486767112187024e-18,1.8000679162161983e-16,4.670438113391946e-21,1.0772306476303517e-13,1.0885910863635329e-13,8.781401547840416e-20,2.1846623958396915e-19,7.842562781250265e-17
300,9.765706057229372e-11,9.783951923007345e-11,9.426678883018247e-15,1.90003684233681e-12,9.4373427583168e-15,1.7813547179940854e-16,8.418255431570303e-19,1.7963107739047914e-16,4.705001664516023e-21,1.0549474509664055e-13,1.0536280325546668e-13,2.81998475575874e-19,1.8686707191763723e-19,1.675468551941414e-16
400,9.765867787021849e-11,9.789227350836866e-11,9.447750063954372e-15,1.8876789276590105e-12,9.661439171978021e-15,1.7702168952096363e-16,6.451758682540532e-19,1.734015133574867e-16,4.856863816772191e-21,1.0258930740777888e-13,1.0085717543184529e-13,2.479328629269516e-19,3.9209398636771917e-19,1.5997819419467199e-16
500,9.771795235029141e-11,9.792215739026673e-11,9.500842885517842e-15,1.8727815873314863e-12,9.537012425608703e-15,1.7411436869603448e-16,5.539730502944704e-19,1.7028575932077585e-16,4.939057153866007e-21,9.858276312544096e-14,9.801388203130677e-14,3.6897878172245833e-19,5.060935134139478e-19,2.5798928712384613e-16
600,9.765934486164054e-11,9.786091261669412e-11,9.474483339287036e-15,1.880372293376829e-12,9.427722937131988e-15,1.7619080001613528e-16,9.048095128253164e-19,1.768056148172486e-16,4.922721851719964e-21,1.051016095382088e-13,1.0349450834859812e-13,5.287304828973269e-19,5.085742798524024e-19,2.845401154756168e-16
700,9.764179353293804e-11,9.783858362364817e-11,9.681700361796932e-15,1.9221462085115125e-12,9.492570290617783e-15,1.795937689354007e-16,9.997437122391496e-19,1.7773226562399602e-16,4.8862640437294685e-21,1.050036850059368e-13,1.050608695798631e-13,5.252139918827325e-19,6.036791867461092e-19,3.4372674402298893e-16
800,9.761689080872565e-11,9.786108803680476e-11,9.439776738551088e-15,1.9028036762812564e-12,9.608272448370573e-15,1.8260537438467266e-16,9.94602176058172e-19,1.788696556406452e-16,5.183604067339225e-21,1.0924617694792467e-13,1.0635987590385265e-13,7.035852897104491e-19,6.984861042416686e-19,4.421682540356338e-16
900,9.761890877405437e-11,9.786518354536117e-11,9.619254877820776e-15,1.922447931320892e-12,9.423337230284464e-15,1.8608540127197988e-16,9.578047271189487e-19,1.834690791291681e-16,5.401756247513908e-21,1.1156821272793067e-13,1.114321571218782e-13,6.820687617074261e-19,7.127979284125291e-19,4.570989967854562e-16
