milliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,1.0003222289226904e-10,1.0000278348683267e-10,-2.536431244203691e-17,2.5292047768774313e-14,1.210135899344843e-16,1.7270616804188058e-18,-1.3952489511923466e-20,-1.8935026239878715e-18,6.49905881623053e-23,-1.5685246530588893e-15,1.5128709849117752e-16,-8.268256432182024e-20,-2.6799251143225158e-20,-3.4186205452893355e-18
100,9.749834415211017e-11,9.771633924365688e-11,9.56294915160145e-15,2.0781299753327295e-12,9.477642224184802e-15,1.7880832136740153e-16,8.998820375855113e-19,1.8035152826103377e-16,4.5628032021472444e-21,1.0141546868690138e-13,1.0095959073073121e-13,1.158288295267233e-19,9.13153703286794e-20,-1.8869409932721246e-17
200,9.76217697834244e-11,9.784169572821724e-11,9.431402505902597e-15,1.930240488303684e-12,9.604292785388155e-15,1.8280205671320168e-16,1.061328523392975e-18,1.8236110757730328e-16,4.518296458573136e-21,1.0717457768277691e-13,1.0603553872206418e-13,2.21271312181513e-19,1.0553131129064312e-19,3.551942655638791e-17
300,9.764892996880717e-11,9.787151586729546e-11,9.645661235045526e-15,1.89644722209359e-12,9.43653001087127e-15,1.8028244321318018e-16,8.494247890677692e-19,1.7955258785697847e-16,4.822013238380421e-21,1.071143327979327e-13,1.0515679583994026e-13,3.3948607351703435e-19,2.746613368636446e-19,8.628772699552178e-17
400,9.771976133735788e-11,9.790361840216193e-11,9.465893384744082e-15,1.8870173428780584e-12,9.519895861063332e-15,1.7491212400034388e-16,6.624153892783501e-19,1.7547204451841895e-16,4.838364815799532e-21,9.970689641015927e-14,1.0178829050702056e-13,3.91746708401638e-19,3.8753689016641247e-19,1.8939753701565962e-16
500,9.769601908716847e-11,9.790091198696618e-11,9.56597974275577e-15,1.876874660966401e-12,9.427217460925558e-15,1.6949700217158746e-16,5.558887055818524e-19,1.697286386981778e-16,4.999488810034695e-21,9.850463265848506e-14,9.738775844034032e-14,4.1204379768388656e-19,3.61182155324463e-19,2.3058095700215665e-16
600,9.76725362236367e-11,9.785278562117339e-11,9.502635010461245e-15,1.9201267797831795e-12,9.53063670641337e-15,1.7811980102127795e-16,8.9902571774317e-19,1.7592280449951797e-16,4.875597881750891e-21,1.0383890384140594e-13,1.0412141823411049e-13,5.340657511556035e-19,4.855650204596613e-19,2.571829081177451e-16
700,9.766683722305061e-11,9.785437081854857e-11,9.559657485779576e-15,1.9258771236653e-12,9.5848194659133e-15,1.7804229453136494e-16,9.978334794495571e-19,1.7851906118793002e-16,4.9130149715410866e-21,1.0617324722708629e-13,1.0537232705579863e-13,6.110971283962752e-19,6.693881515789288e-19,3.8456933986963593e-16
800,9.765150694910615e-11,9.784288985257549e-11,9.510426456770742e-15,1.8853700217207605e-12,9.428608957485224e-15,1.784821109503766e-16,9.710946041481588e-19,1.793195375403425e-16,5.2559756272656e-21,1.0899168518418406e-13,1.0671104099748778e-13,7.274674502156278e-19,6.112771105003194e-19,4.2768725833824903e-16
900,9.761434056594835e-11,9.785442543181495e-11,9.577896182003074e-15,1.897863128850816e-12,9.614235759829285e-15,1.824101991682983e-16,9.724169353937331e-19,1.8580791476007228e-16,5.241027182694509e-21,1.0966964093479991e-13,1.109314262232823e-13,8.3270128501251225e-19,6.912992888811458e-19,4.3479134520887515e-16
1000,9.764965124233412e-11,9.782330458022522e-11,9.624911189463499e-15,1.9046585692808e-12,9.512779723051057e-15,1.8269626937464565e-16,9.70601139419383e-19,1.853651906101459e-16,5.451436807850431e-21,1.0976367323033318e-13,1.1024651605685706e-13,8.79344110331851e-19,7.897961099145673e-19,4.530707218861176e-16
1100,9.759592263901345e-11,9.787077141760059e-11,9.461025223385499e-15,1.9040664231992984e-12,9.622904293890957e-15,1.839291365541558e-16,9.521025478240272e-19,1.8376260715147775e-16,5.497000101076215e-21,1.1134274125865678e-13,1.1001040822881556e-13,1.0021627795907744e-18,8.82425113974211e-19,5.188840009396064e-16
1200,9.764719413736993e-11,9.787376600023526e-11,9.442035112962359e-15,1.9252930128158742e-12,9.645358921905094e-15,1.8365312410064642e-16,9.561835671887477e-19,1.8455088539908616e-16,5.740738176270252e-21,1.1028970069170166e-13,1.1253989568633002e-13,9.399171731754196e-19,1.077350581482007e-18,5.996146267779244e-16
1300,9.760946163951112e-11,9.784257539336687e-11,9.462036166967045e-15,1.935401068783355e-12,9.463242508883605e-15,1.8383682464045571e-16,9.46953595069246e-19,1.864908531086167e-16,5.8635517041865705e-21,1.1231143250336396e-13,1.1155583346875286e-13,1.1429000638670597e-18,9.971996992071596e-19,6.675109979139344e-16
1400,9.762997179674699e-11,9.785726827503358e-11,9.423656454413571e-15,1.8869008607133235e-12,9.585049923506794e-15,1.8390872374341318e-16,9.535248819947445e-19,1.8371734393925494e-16,5.93833702939952e-21,1.1320372152180181e-13,1.1291351103229764e-13,1.1583706378040268e-18,1.2392702194125799e-18,6.97491204255762e-16
1500,9.764242261715858e-11,9.784893184584282e-11,9.529811329747264e-15,1.914652905782029e-12,9.676168849269079e-15,1.8656712241638818e-16,9.294054747832835e-19,1.845411561135547e-16,6.0684544817606296e-21,1.1024057056651608e-13,1.1326277833705606e-13,1.1768837170587433e-18,1.1462292844461433e-18,6.971745263372925e-16
1600,9.759067597242738e-11,9.784704921088432e-11,9.478253585325199e-15,1.9013827302600145e-12,9.431477225856246e-15,1.8464759003393058e-16,9.40664036046172e-19,1.860698687612692e-16,6.0002326193668395e-21,1.1315447792212121e-13,1.112693917271407e-13,1.3379495012688552e-18,1.2060687084595222e-18,7.415630752830276e-16
1700,9.764231745776276e-11,9.786025270113019e-11,9.599896813710164e-15,1.9132479289369574e-12,9.502781841516878e-15,1.854526678331703e-16,9.46225420813262e-19,1.8612706051123252e-16,6.1741990259333495e-21,1.121168065702673e-13,1.1308311651607247e-13,1.374731484838555e-18,1.4373190948815254e-18,7.632640565159434e-16
1800,9.758822871815536e-11,9.786042507724372e-11,9.5152140330123e-15,1.9018547679023254e-12,9.429235158721011e-15,1.885598854773138e-16,9.236466211422454e-19,1.8684834072386204e-16,6.303727265566008e-21,1.1234525110520909e-13,1.1292349941959256e-13,1.3767713370482572e-18,1.4078464004562566e-18,8.669155419886311e-16
1900,9.759561347324353e-11,9.787525515775135e-11,9.617131781314201e-15,1.8881213030701327e-12,9.531873406800892e-15,1.88781195204265e-16,9.349178190359851e-19,1.8549716215858884e-16,6.372107063638566e-21,1.1231130670927004e-13,1.1026058887893303e-13,1.4430133145012936e-18,1.4336527371866237e-18,8.446571178645834e-16
2000,9.762733859301389e-11,9.785588375280215e-11,9.556776918464732e-15,1.889454193108608e-12,9.457092318672118e-15,1.8552646677649903e-16,9.476079948374522e-19,1.8600401683129864e-16,6.476439151373066e-21,1.1193010094887353e-13,1.104883351549655e-13,1.4799485366353119e-18,1.4936502513220078e-18,8.632411555745457e-16
2100,9.758868302273685e-11,9.785933834729729e-11,9.510741637102617e-15,1.907495977795742e-12,9.47787307263016e-15,1.8726546108228971e-16,9.461450367134406e-19,1.8400289636652437e-16,6.6330499067821844e-21,1.1103239406376717e-13,1.1262311644101921e-13,1.5067872383621342e-18,1.6341692619088055e-18,9.600598657481207e-16
2200,9.762204269386134e-11,9.785198737306737e-11,9.606421112061803e-15,1.913750972361073e-12,9.653615794119683e-15,1.8515406534633185e-16,9.231697397328204e-19,1.876885287141856e-16,6.7286725659380354e-21,1.1218165788874597e-13,1.1135679570579151e-13,1.5512821479649638e-18,1.5952661714743488e-18,9.797569601868982e-16
2300,9.762913169749306e-11,9.784091536708674e-11,9.594406752916858e-15,1.9080134972312727e-12,9.53875566751191e-15,1.8608469585096553e-16,9.411634296694212e-19,1.8790171592456526e-16,6.697442596197815e-21,1.1325107468812027e-13,1.1240273623139333e-13,1.6284334194265808e-18,1.6347838571260146e-18,1.042060176348192e-15
2400,9.762808342365358e-11,9.783663250360633e-11,9.4875390462592e-15,1.9080831351074054e-12,9.484876709472538e-15,1.849521483800208e-16,9.493741380607321e-19,1.8820278494468455e-16,6.7717103945593495e-21,1.1209957627791809e-13,1.1229943626064056e-13,1.7148708998505774e-18,1.8099627728862636e-18,1.0800556837048054e-15
2500,9.761595929070918e-11,9.785729252173661e-11,9.466863011472642e-15,1.9116960691555123e-12,9.444148235910447e-15,1.8714433758207354e-16,9.255804797802793e-19,1.8370736772766542e-16,6.813802069823635e-21,1.1240793666318728e-13,1.1327894918666317e-13,1.7684258567545298e-18,1.7330555652821108e-18,1.053326062930779e-15
2600,9.759318911935343e-11,9.785225008722951e-11,9.593640523834431e-15,1.9320011186720636e-12,9.544000474232692e-15,1.8852426829434583e-16,9.31245432720733e-19,1.8601015825062963e-16,6.965253374187121e-21,1.126958185890718e-13,1.1262398828238457e-13,1.946835508627887e-18,1.837496905733587e-18,1.127745707805589e-15
2700,9.763183511237936e-11,9.786353164417614e-11,9.47109148688505e-15,1.935811470991378e-12,9.620850190726263e-15,1.8442222960336664e-16,9.320701290915078e-19,1.8551739811539587e-16,7.014216122957957e-21,1.1160859539449497e-13,1.1212145344639561e-13,1.871666935866732e-18,2.0306117264045315e-18,1.1551468285170472e-15
2800,9.759166262701896e-11,9.783876918541199e-11,9.670381091056861e-15,1.916021131184e-12,9.450507753725492e-15,1.859343360132664e-16,9.462443517203337e-19,1.847627668687868e-16,7.066912909586094e-21,1.116878773447951e-13,1.107828241922179e-13,1.9553178437397752e-18,1.992342371778507e-18,1.2316884545187978e-15
2900,9.760405252968189e-11,9.786158571869523e-11,9.492118535579551e-15,1.9248282544890956e-12,9.519162047929714e-15,1.8684328382617154e-16,9.328762955594116e-19,1.85979843318225e-16,7.017854791285644e-21,1.1211861621023853e-13,1.1203386127313478e-13,1.971858544080571e-18,2.1069215644618904e-18,1.2837147679242066e-15
3000,9.760312813745187e-11,9.785795963922481e-11,9.661685702078544e-15,1.9035473244775037e-12,9.67636741123684e-15,1.848452947990096e-16,9.278059998807179e-19,1.8710589538026675e-16,7.05469078586993e-21,1.1047666426482071e-13,1.1333194400431461e-13,2.1067672156405563e-18,2.223436408527237e-18,1.234339818684529e-15
3100,9.763662810590102e-11,9.787117376039996e-11,9.664526320011258e-15,1.9132728460757457e-12,9.60763917040032e-15,1.842871035698e-16,9.262942919381633e-19,1.8805773918751659e-16,7.219609374601697e-21,1.1219636476218953e-13,1.1178446306982654e-13,2.1109423552712613e-18,2.0978776899221387e-18,1.303279472326087e-15
3200,9.761443363664897e-11,9.781720970817112e-11,9.639640240092734e-15,1.93671481728565e-12,9.506660240235434e-15,1.8535601792725172e-16,9.342577537036686e-19,1.857539584438413e-16,7.427131044692328e-21,1.1134811684682272e-13,1.1070384991031705e-13,2.1837353708774307e-18,2.2554574553571673e-18,1.3635911456744575e-15
3300,9.758851603715552e-11,9.786229112923623e-11,9.439400016843994e-15,1.8963306480171926e-12,9.569547297983245e-15,1.838537068537782e-16,9.393980673402468e-19,1.8381562274891049e-16,7.444392805908091e-21,1.1070589580929206e-13,1.1054297798984606e-13,2.2601208986686575e-18,2.3116616645889127e-18,1.3371732448583924e-15
3400,9.758779938275593e-11,9.785677483993904e-11,9.649001660547293e-15,1.8951662298459457e-12,9.508575162252395e-15,1.8755327037219415e-16,9.36456421371258e-19,1.8400427037532602e-16,7.409099793562658e-21,1.1267937907310436e-13,1.1085344509284088e-13,2.4587846352405108e-18,2.4651748551131863e-18,1.4234376767970661e-15
3500,9.764635578904012e-11,9.785169031214076e-11,9.58374002851866e-15,1.912529882031233e-12,9.514677284387774e-15,1.861212910871999e-16,9.49630348676609e-19,1.8782096895920573e-16,7.63546597879381e-21,1.1147245828149195e-13,1.114566806722083e-13,2.5118093654564827e-18,2.4909122574110005e-18,1.4039050333544609e-15
3600,9.761135045030445e-11,9.787219647416456e-11,9.564373817888763e-15,1.931427647846906e-12,9.531549005096267e-15,1.8520600023535033e-16,9.497460857267344e-19,1.8390246661477248e-16,7.510488626771997e-21,1.129382158239828e-13,1.1301685168511357e-13,2.5406460725611198e-18,2.4837105798099776e-18,1.4825006847859385e-15
3700,9.75925579259824e-11,9.785195701310117e-11,9.682292020097683e-15,1.9197492831760605e-12,9.530511421976872e-15,1.8796168799115776e-16,9.328841375301987e-19,1.859963213707283e-16,7.743691984634134e-21,1.1274823591587584e-13,1.1190297046219235e-13,2.6259971695202236e-18,2.5560247051250754e-18,1.5855647904919092e-15
