milliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,9.997844341524415e-11,9.999109436239303e-11,6.118092047962846e-17,1.841090108458497e-14,1.2181586284040155e-16,2.188383270681789e-19,-3.513372214389646e-21,1.7674200711657482e-18,1.3948996033214384e-22,6.7623010571002e-16,8.087724119613427e-16,-5.979800046644608e-20,6.722597019447497e-21,6.257032331094276e-18
100,9.752200718214745e-11,9.767606427358061e-11,9.546688884840639e-15,2.0831948640405275e-12,9.5018241332882e-15,1.7707150439515329e-16,8.932515866954673e-19,1.8014773804646388e-16,4.398217033254455e-21,1.0128806102591568e-13,1.0258978655379591e-13,6.042768009109421e-20,9.157815115649777e-20,4.4324376204100035e-17
200,9.760050389231571e-11,9.779982365253463e-11,9.626753881927507e-15,1.9475457641078764e-12,9.503270049234431e-15,1.8132996960817598e-16,1.063289997094347e-18,1.814089712448822e-16,4.671564931063629e-21,1.0795420888218744e-13,1.0831948109443923e-13,2.203654822471463e-19,2.0721925517102053e-19,3.926697553063032e-17
300,9.766043421965164e-11,9.78551326620043e-11,9.541576566233815e-15,1.8821261572566855e-12,9.609912623943946e-15,1.7793064342529016e-16,8.5241165189222665e-19,1.8193681443184402e-16,4.70976024990395e-21,1.0542727653561831e-13,1.0690240859183004e-13,2.403241516184273e-19,2.209941288430709e-19,1.386835998323302e-16
400,9.770812913866284e-11,9.791875556499253e-11,9.441607872631881e-15,1.8713535237711466e-12,9.546515653046191e-15,1.7379934852041646e-16,6.649868479258419e-19,1.7343825142923695e-16,4.794928175815771e-21,1.0202528440049424e-13,1.0146105900257175e-13,4.254114852631902e-19,3.622591993921061e-19,1.6574341517041568e-16
500,9.773804884120326e-11,9.789851113191523e-11,9.619662778727946e-15,1.854022536535832e-12,9.522958758964182e-15,1.7392193936111183e-16,5.464190077407454e-19,1.7092099832127307e-16,4.807501039026124e-21,9.732541147385701e-14,9.803032389497257e-14,4.587335898212048e-19,4.322223864505174e-19,1.9989852550649813e-16
600,9.768219475372302e-11,9.789465522688152e-11,9.528387404869578e-15,1.9042592881692447e-12,9.598409025878422e-15,1.769156777402785e-16,9.099713388380902e-19,1.7821960839688218e-16,5.0163447235462434e-21,1.0475875668705166e-13,1.0538848848704166e-13,4.695345969437364e-19,4.762473287149894e-19,3.4915231626586847e-16
700,9.76382884521181e-11,9.783681849325864e-11,9.527031984761016e-15,1.931751354361716e-12,9.619591782992516e-15,1.7916124399495577e-16,9.971054259342039e-19,1.7971338760340006e-16,4.910493701219507e-21,1.0748341815316909e-13,1.0715030434226602e-13,5.575458890295425e-19,5.287781416821779e-19,2.997663854605309e-16
800,9.76711335426837e-11,9.788223773932349e-11,9.656584504798547e-15,1.903703128989755e-12,9.631228994983623e-15,1.798337026186732e-16,9.739210166237117e-19,1.7966908796060196e-16,5.263194581016699e-21,1.0758611506933269e-13,1.0827282461658936e-13,6.546173109784058e-19,6.886504279370235e-19,3.675632760814008e-16
900,9.762391233096648e-11,9.782289369139346e-11,9.420993007408846e-15,1.899698969134595e-12,9.443966378224983e-15,1.812418400604767e-16,9.741328402979778e-19,1.825180041325567e-16,5.273120777075665e-21,1.0863379178713145e-13,1.0932753956148982e-13,7.047987823091464e-19,8.369798229564608e-19,4.0654278459123184e-16
1000,9.760688099850748e-11,9.784123979475251e-11,9.477083689424596e-15,1.8919612140341113e-12,9.677065444122577e-15,1.8536874799135113e-16,9.517327099182446e-19,1.830024808891848e-16,5.650407036149622e-21,1.0973752506464355e-13,1.1205875150164448e-13,9.272367698130978e-19,8.512669505920516e-19,5.543285248906522e-16
1100,9.759070769349319e-11,9.785100025235609e-11,9.556741767671633e-15,1.8885344850027906e-12,9.590461043774213e-15,1.8674945560793001e-16,9.57918101031881e-19,1.8401781053996807e-16,5.768019928637173e-21,1.1126938519500954e-13,1.0972271005428017e-13,8.66745620549143e-19,9.925940051910062e-19,5.639388335138214e-16
1200,9.762373361689216e-11,9.782807520736772e-11,9.598035514313742e-15,1.8840556945402407e-12,9.550651368178784e-15,1.8585447934583925e-16,9.419815409686886e-19,1.8340578363495307e-16,5.631556798649181e-21,1.1147043603685968e-13,1.1257514269563702e-13,1.0089633728906552e-18,1.0793257908686657e-18,6.403038947751809e-16
1300,9.763027283469165e-11,9.78609983874458e-11,9.494761059859719e-15,1.9357027418556062e-12,9.487999583057571e-15,1.8505369479258583e-16,9.508765521220869e-19,1.8676138475767482e-16,5.84790258342771e-21,1.1091039572032781e-13,1.1038156463586715e-13,1.1320049829997949e-18,1.171282572149556e-18,6.171698800044191e-16
1400,9.758770934819198e-11,9.783543147173484e-11,9.544643506334098e-15,1.9215755894076023e-12,9.504989537751393e-15,1.8431593541890227e-16,9.295986669698886e-19,1.8803352815382005e-16,6.080512098293754e-21,1.1040564302036496e-13,1.1075397449526153e-13,1.0902364235730434e-18,1.1822861203753317e-18,7.369228820131978e-16
1500,9.759341263335194e-11,9.781702894552198e-11,9.43338610410903e-15,1.9352613736685684e-12,9.640440917757808e-15,1.881922950646478e-16,9.329384820957141e-19,1.8549932301264065e-16,5.988304068962502e-21,1.1089538481891884e-13,1.1316853786030929e-13,1.269594396359105e-18,1.2120599652738913e-18,7.0767743332595e-16
1600,9.76454234924621e-11,9.783227833001197e-11,9.507576414937362e-15,1.9122702397506947e-12,9.573373233728418e-15,1.8367657333772313e-16,9.24866918731104e-19,1.8416288144448857e-16,6.001347095258228e-21,1.1024845334545913e-13,1.1138412638339377e-13,1.367192827395987e-18,1.3037205269346459e-18,8.234935808075545e-16
1700,9.76086272295527e-11,9.781738982421236e-11,9.623506354601556e-15,1.9085037468120123e-12,9.511392702469104e-15,1.881388718015841e-16,9.468371351449795e-19,1.8600495011096543e-16,6.184519543631524e-21,1.1200228197400854e-13,1.1068320709016547e-13,1.3697466748898485e-18,1.2934365742749794e-18,8.08930468264031e-16
1800,9.760510170069805e-11,9.786941250763331e-11,9.516182679523299e-15,1.928231177271461e-12,9.684933154662175e-15,1.8501698082770515e-16,9.483597595616472e-19,1.8503809090541673e-16,6.168183773423782e-21,1.1028058897159235e-13,1.1048289426296511e-13,1.4398914215471798e-18,1.487562154733162e-18,8.849361612948192e-16
1900,9.763861137498411e-11,9.782228828384234e-11,9.668043649072966e-15,1.8975178743019732e-12,9.65260150250592e-15,1.8525189627934763e-16,9.379048947090886e-19,1.880799280992814e-16,6.465282258056187e-21,1.1290200811647051e-13,1.1107497334218435e-13,1.405187873776955e-18,1.4306711612976826e-18,9.058883696260883e-16
2000,9.760291214077467e-11,9.781907097119453e-11,9.6344358695661e-15,1.908756584251474e-12,9.55583565173901e-15,1.8482773823339366e-16,9.281610236914751e-19,1.8644680765081086e-16,6.284897530055825e-21,1.1255181880355251e-13,1.1144776431607785e-13,1.585184582681195e-18,1.5378306437946352e-18,8.754847101607973e-16
2100,9.763283986944381e-11,9.783414685913938e-11,9.684019109451421e-15,1.908810462621353e-12,9.503241017150025e-15,1.855511728165239e-16,9.42814577194287e-19,1.8799976646892797e-16,6.61279157155275e-21,1.1239921803318498e-13,1.1197314414854794e-13,1.4984838163861925e-18,1.6433095856630836e-18,9.941447828561703e-16
2200,9.758984529100792e-11,9.783829304540114e-11,9.599356354721073e-15,1.9046899082629062e-12,9.624465202204242e-15,1.8823508381173256e-16,9.344328494066303e-19,1.8376114514802474e-16,6.648080604440054e-21,1.1260248621836123e-13,1.1085397860978978e-13,1.6405977683554687e-18,1.709532367679496e-18,1.0361186170088978e-15
2300,9.76491238915375e-11,9.78367131209606e-11,9.501061445876317e-15,1.9169413365966025e-12,9.642428042028367e-15,1.876529585685212e-16,9.464745778635668e-19,1.8780123582514403e-16,6.674963012742342e-21,1.1158423575493825e-13,1.1198138512666403e-13,1.7176784411437304e-18,1.6349611548019968e-18,1.0746282953754303e-15
2400,9.759708647507473e-11,9.783217315064862e-11,9.602511144428259e-15,1.9231679421947167e-12,9.637931972744872e-15,1.859090347930137e-16,9.377462749408794e-19,1.8559043474882456e-16,6.629925904264227e-21,1.1239167914526473e-13,1.1067136045079568e-13,1.8066269673463485e-18,1.818393790329742e-18,1.041294213360936e-15
2500,9.76497235130313e-11,9.782316714810088e-11,9.52355562942643e-15,1.9087485623251804e-12,9.433339259203029e-15,1.8462592884112973e-16,9.484765964459275e-19,1.8427986753018348e-16,6.91728052422976e-21,1.1251347623120581e-13,1.1058107239336552e-13,1.883643067829122e-18,1.7575423806088384e-18,1.046174819361443e-15
2600,9.760568356414379e-11,9.784726880884051e-11,9.601856185771127e-15,1.886803525823426e-12,9.578241583339562e-15,1.8734319997106068e-16,9.337844398737847e-19,1.8750828598062703e-16,6.80490285240909e-21,1.1286939470570565e-13,1.1177477732643066e-13,1.9503578395002628e-18,1.8239323176847714e-18,1.1454708636751924e-15
2700,9.763308714600138e-11,9.786151935500237e-11,9.443473942855028e-15,1.9238903677845387e-12,9.42825908481531e-15,1.8436588778093933e-16,9.414428764691636e-19,1.8650211472686025e-16,7.005211282483636e-21,1.128357367737042e-13,1.116801169695969e-13,1.8685336024940153e-18,1.878870437064317e-18,1.2166640922624592e-15
2800,9.759952593769898e-11,9.784516246801454e-11,9.458953267353472e-15,1.888335328408982e-12,9.527932161438136e-15,1.876461014722207e-16,9.371320532247083e-19,1.846605105395429e-16,7.019653916043985e-21,1.1271903545031548e-13,1.1325484555080869e-13,2.0244576296747647e-18,2.028888008031993e-18,1.209338034762172e-15
2900,9.761781545361873e-11,9.783924321601959e-11,9.586642948867822e-15,1.8903185644681837e-12,9.47763251449622e-15,1.8678433830430533e-16,9.427522437332923e-19,1.8839149620716909e-16,7.204605102749849e-21,1.1070425829194398e-13,1.1043109039008702e-13,2.1258360407037267e-18,2.0372357510134194e-18,1.2520916832598469e-15
3000,9.763512871827055e-11,9.785560175625313e-11,9.672211780507494e-15,1.8873170442579157e-12,9.633087159113109e-15,1.8571032979671656e-16,9.383759945258547e-19,1.876883279391127e-16,7.05964977924382e-21,1.110528572133425e-13,1.1191428262545266e-13,2.1588995553311857e-18,2.095633138438948e-18,1.255723937364209e-15
3100,9.762979353780481e-11,9.783974502612633e-11,9.514719728415773e-15,1.9318940564828843e-12,9.554616178178143e-15,1.8641388460195543e-16,9.29593750577967e-19,1.8570822862467543e-16,7.13936360494642e-21,1.1267495975853963e-13,1.1065521934744691e-13,2.197488204222254e-18,2.2170068020092544e-18,1.3016796398707948e-15
3200,9.758646257409799e-11,9.781522353226825e-11,9.485821196542144e-15,1.8848624648917337e-12,9.463606797699345e-15,1.8491710423930935e-16,9.364131126364269e-19,1.8689603479755437e-16,7.479259087687667e-21,1.1028662903698908e-13,1.1146668350772847e-13,2.2875771336801684e-18,2.2161756446427833e-18,1.402637609669539e-15
3300,9.762189389066892e-11,9.783018655013098e-11,9.633530423798675e-15,1.928451197051091e-12,9.54133871608056e-15,1.887184936174277e-16,9.4358383668636e-19,1.8652111221208055e-16,7.523654574610378e-21,1.1179852563529601e-13,1.1300017933880286e-13,2.3511451596428277e-18,2.2271453573322308e-18,1.3550689824699416e-15
3400,9.760892245054725e-11,9.786914892155593e-11,9.43028005729261e-15,1.9269506505210793e-12,9.453554557943483e-15,1.8616902988478963e-16,9.213579412020015e-19,1.8386754012611378e-16,7.594705743041845e-21,1.1220023531918306e-13,1.1323264725109389e-13,2.4111964586779386e-18,2.4094143414236726e-18,1.371120403097727e-15
3500,9.763750949549763e-11,9.786548068706751e-11,9.46188231290565e-15,1.896471115017512e-12,9.565369251594221e-15,1.871300642429611e-16,9.342622222726977e-19,1.8823559362014902e-16,7.542185470476105e-21,1.1059135525386699e-13,1.1170047134291006e-13,2.3342621803654902e-18,2.502273426922462e-18,1.500069334300839e-15
3600,9.759056625304127e-11,9.787202641201327e-11,9.669191386918848e-15,1.9296666445746232e-12,9.453144917684563e-15,1.8559693973196395e-16,9.266593314189837e-19,1.8543085833210003e-16,7.720634837727807e-21,1.1318674262357428e-13,1.1045317348856117e-13,2.5178068497062344e-18,2.5613647109042615e-18,1.4797325262535335e-15
3700,9.758660393111312e-11,9.787429288888896e-11,9.666026516762261e-15,1.894594477182341e-12,9.645271074850358e-15,1.842582543126304e-16,9.381399511983684e-19,1.8770993061577182e-16,7.774129137697757e-21,1.1234568034152135e-13,1.1099342553512951e-13,2.542622175880195e-18,2.5298193233821152e-18,1.5244331613284627e-15
3800,9.759370489346686e-11,9.784402377381883e-11,9.677216923374858e-15,1.8889324149541906e-12,9.525698792402127e-15,1.851768732847089e-16,9.391464379589258e-19,1.880304970512223e-16,7.862820773784124e-21,1.1156137722887092e-13,1.1106398061688511e-13,2.631150863826162e-18,2.5161414096362477e-18,1.5463629569641694e-15
3900,9.758884122596176e-11,9.786770260966792e-11,9.479998378769156e-15,1.906432727849438e-12,9.623618917381029e-15,1.8437570174041672e-16,9.33901626702578e-19,1.8609390434586551e-16,7.975554442826101e-21,1.1041396399547937e-13,1.1258881116531154e-13,2.743798681036517e-18,2.616202714313143e-18,1.6469414369214088e-15
4000,9.759637483769563e-11,9.784185208872592e-11,9.62866821640338e-15,1.9067746487892825e-12,9.673084720448852e-15,1.8640697325638635e-16,9.319325350647755e-19,1.8416665323353827e-16,8.02429216125011e-21,1.1179055584202226e-13,1.1051060327186093e-13,2.7282848123233207e-18,2.7608030299273298e-18,1.6273639689343489e-15
4100,9.759440770325656e-11,9.785461125563481e-11,9.583258104391383e-15,1.9053879261291947e-12,9.557458866302422e-15,1.8597808097324187e-16,9.368794933003056e-19,1.846343867568424e-16,8.044645064795182e-21,1.1064937470332506e-13,1.1288315596240088e-13,2.885906966356957e-18,2.700729031485607e-18,1.6630556651385591e-15
