milliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,9.999479945729706e-11,9.998083669832061e-11,-1.1853782866987453e-16,2.1788254545556196e-14,6.354167345708893e-17,2.096044354956792e-18,-1.1247404405960973e-20,-6.40192751555598e-19,3.0554766611231786e-23,-4.870933192740316e-16,-5.111880315382638e-16,3.791891073370173e-20,5.378831467746617e-20,-3.796014615087801e-17
100,9.752001937790793e-11,9.77225151973171e-11,9.533527900260497e-15,2.0942648581193658e-12,9.653279993650556e-15,1.771068923530285e-16,9.10311728381857e-19,1.8007293695070025e-16,4.5992240635146915e-21,1.0153778617568287e-13,1.004254945953658e-13,1.2552036168264946e-19,-3.443192396121258e-20,-2.1410178926392224e-17
200,9.758783465482472e-11,9.78364215549498e-11,9.672069100227922e-15,1.920469860810192e-12,9.680821594988598e-15,1.809235711969404e-16,1.0717333722922853e-18,1.7923614650748325e-16,4.5417317478344945e-21,1.079232932972471e-13,1.0746754112055957e-13,1.7483010341150794e-19,9.227371159438758e-20,1.2796789759313442e-16
300,9.764300822944827e-11,9.788958342393779e-11,9.574647714526402e-15,1.916908285002367e-12,9.460329762462985e-15,1.7903479406995885e-16,8.518554342557393e-19,1.7735671184532652e-16,4.839440304210435e-21,1.0454279962732e-13,1.0738476935347196e-13,1.5571773529356266e-19,2.749179917149156e-19,1.7219649759487123e-16
400,9.771101612801113e-11,9.79045931899035e-11,9.459804399816483e-15,1.9020183382832506e-12,9.558667501756289e-15,1.7581198845254444e-16,6.395006729141252e-19,1.74676846400476e-16,4.6888578866345115e-21,1.0028082221924802e-13,1.0015033611597795e-13,2.9868890871035627e-19,3.6588289909261145e-19,2.1015140940601024e-16
500,9.772363369764323e-11,9.79310169793008e-11,9.468501524023488e-15,1.891457134950602e-12,9.502723111546569e-15,1.7432552968455013e-16,5.6038658429700145e-19,1.7234726901417705e-16,4.844744818480872e-21,9.7044006574029e-14,9.89155825377493e-14,4.974683365554807e-19,4.184694642914933e-19,2.1782281923841876e-16
600,9.767475602273177e-11,9.785033925978962e-11,9.48872904696929e-15,1.9117395375570648e-12,9.520234680877053e-15,1.7631927568167412e-16,9.089174447866776e-19,1.7871082712574866e-16,4.827846757992774e-21,1.0289097876388118e-13,1.0539518291506365e-13,5.582951921786583e-19,4.2901391465642675e-19,3.3084214145376936e-16
700,9.761471815101864e-11,9.78854650166523e-11,9.455901068285147e-15,1.9002971462256765e-12,9.489296239123003e-15,1.7848491404263211e-16,9.837072616132042e-19,1.8117132741334536e-16,5.0413588484659935e-21,1.0572326862331667e-13,1.0728093825139517e-13,6.315140649154967e-19,5.8534774411599645e-19,3.430273738625929e-16
800,9.76230347428664e-11,9.78395169505629e-11,9.566419364254926e-15,1.886203046981926e-12,9.522371876591405e-15,1.813497739895379e-16,9.703984010805603e-19,1.8172223797018643e-16,5.2308610809736964e-21,1.0763186174638093e-13,1.0795024355244729e-13,7.044069158431189e-19,7.532852125140544e-19,4.0412634585196725e-16
900,9.762026661085199e-11,9.786627701988314e-11,9.593691593519266e-15,1.8972138026367956e-12,9.671272102176809e-15,1.851247567936866e-16,9.538143852559537e-19,1.8310560617021831e-16,5.402202157400955e-21,1.08519735554579e-13,1.098025265469388e-13,7.195921812726119e-19,8.016383872697133e-19,4.294777759072201e-16
1000,9.761260481353671e-11,9.783745023398252e-11,9.650034103438222e-15,1.9077939576402817e-12,9.546000430136153e-15,1.8332713808878042e-16,9.661697186373826e-19,1.8637077486570757e-16,5.64415670869417e-21,1.1077696039634752e-13,1.0936027734261325e-13,8.519567101374161e-19,8.377309341455455e-19,4.706695122954836e-16
1100,9.76396953358121e-11,9.786657472956219e-11,9.522083368327626e-15,1.9115400222359402e-12,9.486742691651903e-15,1.8460592536622941e-16,9.441598374726203e-19,1.8585347953874267e-16,5.669522179464355e-21,1.1131783296836243e-13,1.1016230224129912e-13,8.841386744252833e-19,9.923870189437628e-19,5.723873348430845e-16
