milliseconds,S1,DNA_000,DNA_100,DNA_010,DNA_001,DNA_110,DNA_101,DNA_011,DNA_111,DNA_1B10,DNA_01B1,DNA_1B11,DNA_11B1,DNA_1B1B1
0,9.997295056865343e-11,9.997586303186794e-11,-1.1630078068867002e-16,8.529041828165422e-15,-5.492982143824504e-17,1.1761064855611552e-18,-7.454632707766574e-21,1.4246221955407993e-18,-1.0532067560617435e-22,-7.910410559562425e-16,-1.2488200316244104e-16,-1.3855440723345693e-20,6.514341996537952e-20,-4.90576959594947e-17
100,9.7473101355226e-11,9.771817179267695e-11,9.53253468156928e-15,2.101516541689998e-12,9.536404872487097e-15,1.7913380714705514e-16,8.927336231216502e-19,1.7631216594404688e-16,4.388090994854132e-21,1.014761495893253e-13,1.0085766429636958e-13,6.64496741168335e-20,8.718106441060902e-20,6.411651634843084e-17
200,9.76063152815054e-11,9.779865387158418e-11,9.538365691728661e-15,1.9494899068605338e-12,9.546892049742079e-15,1.8251822457271892e-16,1.0740667582930645e-18,1.8038260685627529e-16,4.623479598091385e-21,1.08584335728621e-13,1.0822938471382171e-13,5.882952110679866e-20,2.3658812261312937e-19,9.130301680300403e-17
300,9.766222217319079e-11,9.789454784444094e-11,9.55044681141728e-15,1.916294835104218e-12,9.576739526104724e-15,1.7927230194548867e-16,8.39654540058371e-19,1.7872006342856439e-16,4.7463387921964315e-21,1.0671123902995043e-13,1.0450586530293135e-13,2.6640189323519672e-19,2.796018983693862e-19,1.010461982201055e-16
400,9.766937009188485e-11,9.790841286953348e-11,9.562726444323681e-15,1.9127585970864243e-12,9.602104421291587e-15,1.7563502616995316e-16,6.548507009237967e-19,1.7497511882295936e-16,4.9148208436626e-21,1.0207041257666404e-13,1.0071306462906297e-13,3.3201972501057015e-19,4.049303191569387e-19,1.9394310853586147e-16
500,9.771427520045131e-11,9.792144505713339e-11,9.497344773631328e-15,1.869709622252631e-12,9.423832022943378e-15,1.7432212945077258e-16,5.509094719234115e-19,1.7195935580325457e-16,4.991813426836096e-21,9.890122764510013e-14,9.87129210077398e-14,3.3796142645149496e-19,3.2936212828247214e-19,2.2685463955971773e-16
600,9.767075545058478e-11,9.788531770634363e-11,9.621908585217363e-15,1.8781166404076095e-12,9.445741868687918e-15,1.7614406745052503e-16,8.926994374336668e-19,1.7439610147475682e-16,4.931555595265597e-21,1.0535870397639216e-13,1.0543372753744608e-13,4.590685069214605e-19,5.022972938627179e-19,3.243491079132878e-16
700,9.767955617373363e-11,9.788740740586708e-11,9.674419970620658e-15,1.919987175949542e-12,9.53416538754068e-15,1.7880069978347996e-16,1.0042950812817169e-18,1.8096972640634736e-16,5.124978377106209e-21,1.0650033437107906e-13,1.0761329706167785e-13,5.471625250778543e-19,5.334766272678515e-19,3.833700799024483e-16
800,9.76111051199408e-11,9.782641174070086e-11,9.549206279261524e-15,1.8818029792886193e-12,9.492688422185859e-15,1.7953059204282244e-16,9.825296260445608e-19,1.7949568536628295e-16,5.216086126874715e-21,1.0667318250717065e-13,1.0922333216693725e-13,6.83076005039093e-19,6.036875708227332e-19,4.3730775677996515e-16
900,9.762765336561184e-11,9.78683910739047e-11,9.643583956641525e-15,1.902090447442478e-12,9.536182615771283e-15,1.816327432002304e-16,9.7090539248493e-19,1.829180477828707e-16,5.525097262848817e-21,1.0906294361913448e-13,1.114998346681935e-13,8.3937125766298695e-19,7.653390182482048e-19,4.516907289937675e-16
