milliseconds,N,I,Q
0,20000000000.0,50000000.0,0.0
100,17715168581.6751,46414229.264059864,706.8179982131912
200,14299256271.753511,40113061.673034206,616.430531200775
300,12185868108.313541,36323355.30097011,406.64612464087503
400,10882945135.088049,34045900.85594262,268.25532414169686
500,10064533775.131285,32645868.063099302,176.96200925976967
600,9543843485.658188,31776996.54186453,116.73786187616076
700,9210024714.973166,31239153.69773767,77.00934565704635
800,8995352050.404678,30911708.149288293,50.80133667377722
900,8857497060.957891,30719762.02464026,33.51250238633598
1000,8769555067.414078,30615850.137703583,22.10744707666204
1100,8714217140.6127,30569468.345885694,14.583786562379434
1200,8680253592.114649,30560826.99306962,9.6205963430951
1300,8660336509.458506,30577005.736821383,6.346491262556146
1400,8649665407.052172,30609533.57035879,4.186637721631982
1500,8645087227.129257,30652840.995860606,2.7618308921277688
1600,8644527384.741426,30703259.477411736,1.8219178599062409
1700,8646619272.987043,30758369.58877229,1.2018783644787694
1800,8650461965.947527,30816574.41781896,0.7928522294647313
1900,8655461232.749434,30876819.38376903,0.5230268039277016
2000,8661225000.89572,30938407.81258447,0.3450290315949311
2100,8667494522.564575,31000879.360885665,0.22760790068211592
2200,8674099012.54113,31063929.800448824,0.15014781974340993
2300,8680925733.80892,31127358.05486101,0.09904914569623903
2400,8687900262.622982,31191031.215610404,0.06534049928061024
2500,8694973465.651552,31254861.42782778,0.04310366307819655
2600,8702112904.789879,31318790.615548674,0.028434519813687064
2700,8709297163.693789,31382780.386621967,0.018757613899569137
2800,8716512102.475397,31446805.36011333,0.012373976458673983
2900,8723748385.179497,31510848.75581311,0.008162834290691407
3000,8730999847.481728,31574899.47886493,0.0053848384593076365
3100,8738262419.027836,31638950.192621205,0.003552257063720314
3200,8745533411.949394,31702996.044740546,0.0023433443192046833
3300,8752811051.128656,31767033.8250918,0.0015458517586550168
3400,8760094164.067894,31831061.409096003,0.0010197636917671897
3500,8767381976.138184,31895077.3897633,0.0006727151964351253
3600,8774673975.390604,31959080.834444825,0.000443775101366233
3700,8781969823.304764,32023071.124044154,0.00029274846587215423
3800,8789269295.861956,32087047.846730217,0.00019311958943411334
3900,8796572244.639809,32151010.727678128,0.00012739665957073922
4000,8803878571.125917,32214959.582626093,8.40407203685321e-05
4100,8811188209.758982,32278894.287175607,5.543977987488647e-05
4200,8818501116.732067,32342814.756498117,3.6572377285527474e-05
4300,8825817262.600275,32406720.9319209,2.4125975614666982e-05
4400,8833136627.399971,32470612.772059917,1.591536410280162e-05
4500,8840459197.426472,32534490.246958688,1.0499008232121989e-05
4600,8847784963.10657,32598353.334214043,6.925960028940783e-06
4700,8855113917.593914,32662202.016415175,4.5689004625127105e-06
4800,8862446055.84164,32726036.279450923,3.014001257235779e-06
4900,8869781373.990093,32789856.111390788,1.9882690121505825e-06
5000,8877119868.96258,32853661.50174538,1.3116148984196596e-06
