milliseconds,M,Mp,Mpp,MAPKK,MKP3,M_MAPKK,Mp_MAPKK,Mpp_MKP3,Mp_MKP3_dep,Mp_MKP3,M_MKP3
0,500.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
100,465.30368805046623,0.015941008140024974,0.0001459573629194726,20.44022726128682,94.87954775462605,29.5594543147484,0.00031842393682347955,1.5201101437290637e-05,0.0005537260561877281,0.0005464461656798924,5.119336872043159
200,450.82177701488496,0.04480782404222743,0.0008082400579797821,10.583882788622084,90.28351029030217,39.41536024773956,0.0007569636109842297,0.00018960158169052722,0.003152207729641386,0.0030665408325220383,9.71008135954059
300,443.0877286477372,0.07520597800646894,0.0016728873840760187,7.119648640551859,86.0449588725211,42.87937958245475,0.000971776971163339,0.0006362784555658241,0.007902621374991583,0.007573671943311158,13.938928555692042
400,437.8770512556442,0.10414568742145776,0.0025450390595889217,5.886842184107248,82.09689979806211,44.112032734526615,0.0011250813500244849,0.0013272393669352214,0.01435189923148487,0.013545636665791224,17.87387542675221
500,433.72728037577286,0.13112953666903363,0.003458967515356957,5.4572863445572315,78.40458253548107,44.54140760195253,0.0013060534723273226,0.0022156089981043257,0.022000992793019834,0.020447313197438446,21.550753549646853
600,430.10510008935745,0.1564029161176211,0.004484880202777597,5.321047043437004,74.94494084231451,44.67743123789957,0.0015217186434508998,0.0032818585776671697,0.0304324691906848,0.027851919743440777,24.99349291028469
700,426.8061695513604,0.18036751610724036,0.005663813737591361,5.2924060387108085,71.69979484256632,44.70583606148,0.0017578997887865327,0.004525174636200979,0.03932685327673273,0.03544903345574697,28.22090409617476
800,423.74598970072446,0.20339469446706615,0.007011148935362346,5.302914963463996,68.65348058073471,44.69508218981959,0.0020028466959946204,0.00594975178719331,0.04844842444800148,0.04302346960469561,31.2490977735351
900,420.88481427579285,0.22577997823778598,0.008530663371840025,5.327160649180968,65.79196426829257,44.6705888502388,0.0022505005597107256,0.007558112993229777,0.057626116704451315,0.05043114282318588,34.092420359295524
1000,418.2001230779793,0.24774405950858888,0.010223381938672962,5.355623360087254,63.102467159410466,44.64187804879628,0.002498591095944097,0.009349570782053057,0.06673687496132907,0.057578954049746514,36.763867440905386
1100,415.67651192279595,0.2694462866299648,0.012091151182776563,5.384775130827339,60.57327422985249,44.61247816936925,0.0027466997828778164,0.011320809742536918,0.07569284529697326,0.06440968532669127,39.27530242989027
1200,413.30178578873813,0.2909989666599817,0.014137470898474214,5.413312117718809,58.19361010864892,44.58369278061066,0.002995101650000111,0.01346688352037022,0.08443194907373981,0.07089109838065429,41.637599960485325
1300,411.0654794188904,0.3124793733337068,0.016367267067185692,5.4407808076286175,55.95354525173386,44.55597495367704,0.0032442386738151864,0.015782052520915132,0.09291105947045333,0.07700820701872305,43.86075342936513
1400,408.95823085546846,0.3339390591408584,0.01878639259545594,5.467039746279834,53.84391656099615,44.529465760855125,0.0034944928445153063,0.018260342690343528,0.10110105115282914,0.08275780553161799,45.95396423973819
1500,406.9715217177493,0.35541069129138475,0.021401169751620323,5.492075275948452,51.85625830291501,44.50417858750669,0.003746136524323871,0.020895851814089646,0.10898326877613669,0.08814469223174941,47.92571788437217
1600,405.09753037904426,0.3769130834126167,0.02421806197422477,5.5159212520623555,49.982740272439926,44.480079430886214,0.003999317030908193,0.02368290423075092,0.11654694001092579,0.09317900548122082,49.783850877946335
1700,403.32903675189215,0.3984549544558166,0.027243426346109805,5.53862307945318,48.216112053312095,44.45712284743594,0.004254073090355599,0.02661612155994723,0.12378723401578934,0.09787431271102194,51.53561027851033
1800,401.6593588168367,0.4200377653873175,0.030483347066675444,5.560227649032293,46.54965228032974,44.435261990133775,0.004510360813404789,0.029690438619861363,0.13070377918856727,0.10224622717261324,53.18770727479855
1900,400.08230851169645,0.44165760386733477,0.0339435578064331,5.58078598934982,44.97712368409183,44.41444592087156,0.00476808975809981,0.0329010800371263,0.13729963907457876,0.10631154125334681,54.74636405565254
2000,398.59214735464514,0.46330663511499526,0.0376293792838935,5.600350592054175,43.49273277706132,44.39462230200598,0.005027105919327892,0.03624354055600458,0.14358053069496673,0.11008762760236629,56.2173555241949
2100,397.18354451365997,0.4849741625364587,0.04154567954049288,5.618971340528059,42.09109301528036,44.37574142823607,0.005287231215355204,0.03971356213296287,0.14955420636767125,0.11359199668845159,57.60604721964016
2200,395.8515391895613,0.5066476289882519,0.0456968320094347,5.636692739866766,40.76719091076371,44.357759003428164,0.005548256684549783,0.04330712626657006,0.15522989203429916,0.11684190989418611,58.91743016115083
2300,394.59151302531023,0.5283132526529493,0.050086700983978515,5.6535571263077715,39.516355852710866,44.34063291132809,0.005809962343618018,0.047020436256743035,0.16061789737293886,0.11985416697383622,60.156151646795216
2400,393.3991648465328,0.5499564251610266,0.05471865066335006,5.669607013243381,38.33423290918531,44.32432086045713,0.006072126278974973,0.050849895654880115,0.1657293482082001,0.12264501258687875,61.32654283447436
2500,392.2704833471132,0.5715620711990523,0.05959554620141105,5.684882890632566,37.21675807395262,44.3087825933991,0.006334515947819004,0.05479209985424017,0.1705759513211617,0.12523006001289874,62.43264381496873
2600,391.2017235464132,0.5931149745477751,0.06471973885517457,5.699422310546762,36.16013594934087,44.29398079573431,0.006596893698416528,0.05884383855774866,0.17516978049959125,0.12762421916508274,63.47822621254634
2700,390.1893866428926,0.6146000200846496,0.07009306418527536,5.713260878678363,35.16081884855563,44.27988009151051,0.006859029790608455,0.06300209327757529,0.17952310190459067,0.12984165725715555,64.46681429911465
2800,389.2302028058704,0.6360023367441545,0.07571686023830812,5.726433050535908,34.21548895238836,44.26644625212208,0.007120697321499156,0.06726402733363633,0.18364826245495672,0.13189580608066273,65.4017029518519
2900,388.3211090655413,0.6573075308077059,0.08159196641424438,5.738970498767071,33.32103806406744,44.25364782701206,0.0073816742003587656,0.0716269846006124,0.1875575255945622,0.13379932692243515,66.28597809892443
3000,387.45924052317895,0.6785015951648746,0.08771876123737969,5.750905265327874,32.4745556143245,44.241452978715174,0.007641755936445763,0.07608847729151913,0.1912630790651177,0.13556420066106697,67.12252862876724
3100,386.64191347602207,0.6995710464810334,0.09409716477752224,5.762267529374991,31.673314157976762,44.22983172860863,0.007900741995874075,0.08064619400068103,0.19477694043844637,0.13720172055505292,67.9140609871385
3200,385.8666108057742,0.7205030428848981,0.10072664550931884,5.773085795850678,30.914754698388887,44.218755766158296,0.008158437970528119,0.08529799765102185,0.1981108670523846,0.13872249429457348,68.66311394272257
3300,385.1309716627311,0.7412854057563725,0.10760623081684968,5.7833866083313845,30.196476691044072,44.208198739409255,0.008414652238858737,0.09004192970033313,0.20127632798997924,0.14013647342744753,69.37206857794762
3400,384.4327797852633,0.7619067159002685,0.1147345125965941,5.793194986975568,29.5162260268558,44.19813580641662,0.008669206587304404,0.09487620402177581,0.20428443259281492,0.1414529513025837,70.04316038533653
3500,383.7699540096971,0.782356269805862,0.12210968578928627,5.802535063456239,28.871884901907194,44.18854299834181,0.00892193818144984,0.09979919256475371,0.20714592674722357,0.1426806182910688,70.67848936059931
3600,383.1405381859992,0.8026241198757985,0.12972956515258904,5.81143005907298,28.261461812025896,44.17939724058271,0.009172700323817925,0.10480941929189305,0.20987115528031108,0.14382757904958945,71.28003003446187
3700,382.54269426479885,0.8227009865336234,0.1375916386964127,5.819902455275092,27.683084434825005,44.170676189269415,0.009421355434994045,0.10990553878647683,0.21247009056544994,0.14490141511063825,71.84963852082193
3800,381.9746930044654,0.8425783345241598,0.14569306139285595,5.827973176184571,27.134991224268973,44.16235905367033,0.009667770124601285,0.115086346458764,0.2149522879249496,0.14590918114507712,72.38906096031167
3900,381.4349066307503,0.862248346168736,0.1540306812811552,5.835662069591689,26.61552358867957,44.15442611132603,0.009911819061776387,0.12035076947773343,0.21732688349512047,0.14685744153234925,72.89994131692463
4000,380.92180280286743,0.8817039615851072,0.16260102967093545,5.842987596291621,26.123120197903,44.14685901653912,0.010153387148758056,0.12569787909274127,0.21960257324647087,0.14775226885152884,73.38382708101572
4100,380.4339388162771,0.9009388270229486,0.1714003640522656,5.8499677724810715,25.656310234942453,44.13963985019681,0.010392377301619371,0.13112686735597526,0.22178762272742078,0.1485992844240284,73.84217599065967
4200,379.96995514211056,0.9199472824595323,0.1804247015879825,5.856619748879238,25.213707377350126,44.13275154821118,0.010628702889084825,0.13663703075257308,0.22388986824542434,0.14940368304888518,74.27636204071258
4300,379.52857071094843,0.9387243136791602,0.189669864726015,5.862960160642242,24.794004728782614,44.1261775511768,0.010862288160458491,0.14222774343216535,0.22591673332683665,0.1501702665451366,74.68768052802281
4400,379.10857735539673,0.9572655404757353,0.19913150681063427,5.869004415716881,24.395969987037375,44.11990252632087,0.011093057941754102,0.14789844534748117,0.22787523513769006,0.15090346481120115,75.07735286777577
4500,378.7088354352456,0.9755672145361479,0.2088050978252068,5.874767127115585,24.01844062056247,44.1139119255597,0.011320947304214833,0.15364866107954123,0.22977198095417703,0.1516073470984117,75.44653139041489
4600,378.3282692801946,0.9936261912139498,0.21868595079760778,5.880261959752632,23.660319462524768,44.108192142495696,0.011545897731171968,0.15947798829734985,0.23161318002096073,0.15228564579348128,75.79630372347299
4700,377.9658642199747,1.0114399164136634,0.228769206731825,5.88550221840854,23.320571124782983,44.102729913691924,0.011767867879032352,0.16538611836203743,0.23340464689519425,0.15294176591240327,76.127696344157
4800,377.620662397516,1.0290063710465585,0.23904991774964424,5.890500619459609,22.99821806692399,44.0975125579576,0.011986822562293161,0.17137277682468688,0.23515182643922225,0.15357881979831964,76.44167851012344
4900,377.2917591617271,1.0463240580592734,0.24952305129583893,5.895269366467872,22.692336904685686,44.09252789785056,0.012202735661076368,0.17743772593982177,0.2368597998336714,0.1541996402871183,76.73916592936334
5000,376.9782998866246,1.063391955913694,0.2601835619302562,5.89981983900869,22.402055565531164,44.08776458044626,0.012415580524557684,0.18358070989874925,0.23853330916376086,0.15480680785843132,77.02102360765751
