milliseconds,M,C1,C2,A,T
0,38314058.628458366,5588840.864297615,3765828.4799889917,2003878.1479113023,709071.6719744977
100,34408293.3431252,6328273.976504243,3704498.019891399,2031892.5709646037,658633.0187443044
200,32829854.461370494,7070068.6545453975,3679541.3364010565,2080044.7619095882,630227.1016667491
300,31529643.074790973,7586362.222100353,3639751.646323217,2096086.3081876684,607615.6652930957
400,30042238.138187274,8010017.83685747,3606660.851614083,2135123.1444961284,585843.8897067357
500,26705540.808693018,8438313.716708671,3596558.3132582717,2137042.825570126,567266.0300222478
600,25460560.021831803,8918226.931850541,3568871.067364456,2162869.506508259,525497.5725897767
700,24610137.38444265,9191554.305171965,3558507.383029565,2183656.077371656,506858.6545006696
800,22704310.703421813,9628797.757461542,3526349.826793978,2187827.922550182,498657.397524688
900,20311753.147378866,10048225.369892294,3503075.205988352,2230794.014577128,486498.59540437604
1000,19424112.144261234,10102164.403204774,3482598.3904257775,2264498.651245192,455737.2824732838
1100,19604057.248331517,10442991.625593834,3463459.592326296,2285037.1466804184,436427.9747845313
1200,17704342.23831616,10629706.881887715,3474056.070063197,2279697.4803888923,440028.44155614293
1300,15692887.472005535,10873683.792021483,3459523.481327342,2323842.2495981804,396503.1736838018
1400,16155568.185455931,10964368.930869604,3449902.0304258014,2358142.2263627322,397533.814631118
1500,14982708.260956135,11022033.746334136,3433119.899979325,2364226.0413338584,391442.33976715367
1600,13821047.741711333,11244236.525302008,3420742.2146260277,2390874.291733933,379635.3189457827
1700,13893666.089924159,11168300.523319729,3422029.2148416084,2378518.7119553876,363551.0207683553
1800,12515277.443101333,11324807.406657716,3387690.6231751284,2403449.4057066375,354543.6892402515
1900,11126153.906994814,11415355.434022803,3387780.8393003894,2427104.4573570234,328696.82175739383
2000,10943527.754665593,11486116.213710748,3374057.608054699,2430631.5204267018,317660.90626622335
2100,10791119.854974192,11430822.201240283,3371743.204322495,2442992.189417354,324936.5696222718
2200,9057373.504870074,11386202.247426936,3379190.014728446,2492814.7299663597,294657.0489167973
2300,9268347.740715487,11410934.818139274,3359276.6562088775,2519758.4002136867,282762.8342626882
2400,8970545.329003608,11354010.861275584,3371919.2591792447,2501748.2044512196,278427.199659026
2500,8894384.141437791,11367730.731571846,3335039.179559398,2525755.237893903,293584.6647625444
2600,7609620.786804049,11272789.947014488,3356438.0976975625,2546975.362998659,286575.72854770033
2700,7236759.663864669,11334622.368860934,3331776.707256651,2548688.124413471,271312.15566444804
2800,6213100.090675866,11134457.847071137,3316054.6452681357,2589191.060865227,260920.52094145943
2900,6246959.323138658,11102772.298144316,3318916.3415392786,2580622.661796275,252106.28497846774
3000,6213004.622977745,11172746.148530334,3301421.7815921493,2618498.5066783773,250366.27262734724
3100,6670060.013199881,10850256.375319898,3311519.2673268947,2606160.239867731,232444.7742574944
3200,6514477.183263783,10854802.340394644,3313449.268404156,2622161.458918345,225875.2897014508
3300,4957197.335979619,10834391.115591306,3298700.514970882,2634679.5043961853,221628.6199505844
3400,4623512.557560871,10710819.525291914,3277678.010166818,2657730.71491259,237849.3461807963
3500,4301820.9986936655,10648152.60786356,3286306.60323062,2700716.342324919,234808.50634881767
3600,4458249.310109869,10451115.973238502,3275654.5663397796,2705307.252481466,210675.55867713026
3700,3619615.0121756257,10527642.72897898,3248429.361324164,2721305.092745603,224536.80084600716
3800,3787539.688946067,10197190.991702437,3246860.8686286393,2712900.4347757907,204872.6454960104
3900,3183484.2634834247,10214995.763770238,3220896.617037464,2717416.413282834,208738.1546443226
4000,2912899.0782531435,10205633.162376588,3221658.736614448,2770622.4607278225,216041.64000225381
4100,3943478.703969538,9927151.211061897,3199894.0466323346,2752044.3872419475,198986.87822200006
4200,3036514.9499510904,9927438.91291112,3199087.5033450173,2783542.1547957542,206351.23816329776
4300,3409213.5375337168,9701693.519099543,3173112.1220118594,2785255.041314988,213171.45473641477
4400,4044616.964805457,9720466.615541138,3179048.04643825,2779375.9617954744,195755.11522483884
4500,2158401.545165782,9423307.345919976,3150160.795513253,2822728.289918604,200124.63404319418
4600,3463414.8202594416,9452780.721148076,3162924.525541299,2833504.9683593665,190723.59208022655
4700,3024171.7652366012,9273320.434578178,3149449.0246425904,2837022.8886279967,179304.2489208331
4800,1748388.537193666,9149883.464807661,3127009.5488939346,2840764.553945168,194494.8731923408
4900,1716951.146072049,8957386.154159404,3101612.930370683,2832187.03376395,192499.6129892127
5000,3335979.9541839985,9078230.464679316,3103844.465436404,2866869.462310915,196085.36399190006
