milliseconds,M,C1,C2,A,T
0,38253820.72388881,5540886.852837109,3769337.954019208,1988630.3249598222,700938.0740205572
100,34971731.294300884,6415830.21886387,3704451.778212569,2053250.0333279318,677137.7333727864
200,34032226.82104811,6872763.138369407,3673300.52671923,2035617.5232891287,641086.3124921221
300,31857765.074819654,7503688.60654562,3638430.7512337533,2078931.561949942,627176.9116018161
400,29270230.10632794,7903145.941861229,3603231.0605750512,2095299.8795486807,597221.1538277697
500,26523052.8625422,8537336.067401811,3593192.336472821,2157169.8761864332,565944.164189935
600,25886987.025909893,8978872.750306617,3564436.2690590005,2183661.4072240796,548773.3345484191
700,24019592.840640154,9207786.236937214,3550203.3932381766,2199134.7369423364,518586.42125571007
800,22731560.450732008,9488274.790906107,3540704.482986055,2212066.9399421415,489494.20221757755
900,20675878.435635146,9977123.836261528,3495132.443335391,2235690.756743866,467266.4942540884
1000,20542710.29658208,10283981.119230088,3479461.8790917913,2278328.607107945,447356.8292592561
1100,19331847.550792117,10491379.239825094,3474458.1460962626,2250247.7881386187,452150.623165147
1200,16695370.784484072,10536072.355396125,3474608.900402614,2306191.5582164302,418206.7263150096
1300,16402586.035016226,10691391.156885343,3455131.8544977815,2312283.534140214,417185.34830020176
1400,16238809.882038157,10880585.867242252,3451451.8969166987,2354178.5571742468,405483.1184747275
1500,15142925.201885195,10991631.989806252,3415727.1784741306,2359500.171790893,396491.26170809055
1600,13013642.310169932,11158201.693974767,3416045.051470124,2369943.373176485,371306.510611672
1700,13324642.86777556,11217859.02162482,3413710.2146263216,2370995.1143183527,345036.837767812
1800,11919204.260296034,11328134.706294766,3407433.0150410663,2407777.526403326,358228.82162034273
1900,11428470.75194485,11402178.878269121,3385083.4170166072,2419630.8933747015,337003.8097071085
2000,10061700.41418531,11453268.970567819,3396376.0540335346,2439195.248966352,316712.23881014547
2100,9831289.734425291,11480123.8388846,3390260.003904292,2442415.1283163154,308581.68423115666
2200,10265801.801774591,11283206.379638484,3385938.5907328185,2491971.7679265887,306871.19945494673
2300,9529877.319128852,11335668.09865874,3372791.5219797073,2483822.7203783398,302738.9537532101
2400,9323302.875246055,11461443.096476607,3347759.5006067,2497868.278320558,295153.3163631455
2500,8567102.435237825,11257888.986749837,3343291.971328044,2552459.442162492,274398.3344597089
2600,7944484.336347433,11415934.65395949,3356370.478032072,2533692.2890679818,263954.9424091228
2700,6961257.77715394,11247518.897672633,3329421.2511529205,2584533.43503146,279986.18002317304
2800,6727415.758245173,11311378.294441773,3336352.808894806,2583148.1070452174,274359.68377406104
2900,6841306.759301612,11011763.553581905,3310037.032242895,2584114.5508302613,241536.72309273365
3000,5769982.802763311,11062909.34243541,3324631.7783533013,2603843.916816303,247607.64047826876
3100,5436372.741449432,10911698.574628133,3310326.139417793,2624132.4607175514,234917.0363197827
3200,5571294.472391063,10765291.106867142,3313139.355040685,2658550.6558115557,246050.5615262254
3300,4964408.106843373,10865337.392503861,3303995.587749322,2637334.8106949055,246260.94743686036
3400,5381803.6834938275,10646439.536242137,3266461.612459696,2651872.141757966,238063.39904263683
3500,3935842.7469335026,10681436.461786099,3277686.7601668495,2682543.889949913,230263.90330596134
3600,5292723.977573794,10423107.456375128,3269625.550982657,2708280.152629564,218959.0443034434
3700,4283473.750393862,10531592.189322574,3254617.5624174424,2687326.373363614,205961.34008936232
3800,4998841.221535155,10182945.650803374,3251051.380801633,2732203.134873457,219368.25122434075
3900,3702793.5723175085,10249500.07176594,3240272.932209936,2709119.892474826,219641.30566160596
4000,4363062.009230152,10137076.468827711,3208491.1704231976,2728814.1422726274,202821.53663892348
4100,3001765.660188239,10031731.145868294,3224752.492624918,2774069.566273142,195558.83326784827
4200,3329660.443472962,9864155.918065552,3203811.5237352517,2782090.923522787,200464.92471434778
4300,2708952.152147256,9672244.745542496,3188976.5152870254,2765488.3680187752,196171.60514249722
4400,3547758.284620658,9732767.384056898,3177950.036879238,2791909.349743975,209956.81888079923
4500,2234995.2870206772,9546299.394459095,3155568.917064767,2814979.040180207,206357.79237036698
4600,3165861.6688417117,9357937.857547507,3137078.3198983944,2803970.9423153736,192057.468144679
4700,3109870.8096234337,9259695.804709198,3152729.1942637046,2856841.226617684,193659.8216653128
4800,2881736.938640429,9148233.29836326,3118736.5657404605,2863673.564591972,186533.1006801465
4900,2439013.7736691595,9121953.558053061,3122570.542287988,2872150.0191623787,196381.90735506255
5000,2551922.1253897334,8827011.640685417,3093314.394925505,2865058.381469405,198022.02845985643
