milliseconds,M,C1,C2,A,T
0,37082237.8809217,5625588.782157456,3762671.3080842644,2015144.493371009,689255.9868503934
100,36109415.956983455,6438329.959708253,3730563.9197436743,2027028.982015943,675301.5446004948
200,32219683.143430777,7083769.217131542,3669933.246216586,2033107.5808183479,652917.0556210976
300,30838263.172736175,7535326.393869223,3660801.000004783,2091225.5134627824,623369.2947361906
400,29997163.81663829,7923479.595176351,3633965.0417585224,2086076.4100701436,573748.1715959242
500,27243048.91366955,8457873.837469013,3595871.8478513355,2155335.9742426057,567387.2935778119
600,26593332.46022244,8844362.229849873,3550831.842996713,2161677.104095931,539644.2635688685
700,23240952.92707945,9152265.744174695,3560413.2890062537,2191441.1504462454,529880.6809528996
800,23366063.60840657,9608149.34069371,3516736.6228147275,2215168.3367166677,512076.45747131377
900,20269944.798838373,10050859.67139122,3514430.7778606927,2243891.6036006594,467625.423893794
1000,20017001.055957954,10052772.930427786,3502970.877189174,2260015.471651059,468228.12160486483
1100,18108788.449499622,10285393.977005014,3476162.335884868,2255798.76622587,429364.736212298
1200,18376018.490377486,10622606.908982256,3462153.4594189334,2297018.8901431765,435490.24532320705
1300,16257654.0268005,10665372.28362769,3449383.266992555,2321857.9287968455,396778.29160264716
1400,14976338.319481844,10976040.125319546,3430638.4547360134,2331827.3547681486,382759.6177124499
1500,13741337.484560022,11011897.7709964,3436355.213533101,2368035.639176766,392473.1272686381
1600,14259062.908479005,11121267.1269097,3432243.0820079157,2351692.883498861,370181.5193869286
1700,12491480.587223513,11339044.62652203,3396327.653334801,2371368.2744059693,346183.0719089127
1800,11864398.921915658,11413247.407171847,3412396.7186215464,2423482.8825699333,332447.24523405544
1900,11046030.922668861,11236736.041347545,3397778.1372350114,2408192.9191978313,324157.65864006017
2000,10203177.328586578,11257091.767021386,3371876.9965023124,2462926.332990452,311176.16080078715
2100,10898919.319454385,11436607.487644117,3388657.1859981567,2489737.932774973,323470.8026948821
2200,9970911.69133797,11454953.818493105,3371432.3391821827,2499253.4775121673,309436.0354678357
2300,9907313.212657645,11356263.551511798,3368982.7782661268,2484933.8851242256,305579.77501162724
2400,8721782.020543296,11279572.513969548,3371239.7336550294,2493412.8765926184,300443.365240321
2500,7890534.508126878,11428923.976379158,3364115.8994243885,2526324.8539415235,289261.8392712188
2600,7693357.187958415,11166975.845755821,3339042.184488853,2538372.7557531344,276491.658350131
2700,6843013.705001524,11149468.651950793,3351501.8841788867,2546392.2459482895,265058.21377009695
2800,6013995.164391031,11140262.592072148,3318231.0974337864,2574221.550959562,254052.0162542911
2900,6732845.477204537,11141751.997971762,3324170.7548012882,2585663.604502513,242027.3092593558
3000,6774829.696396932,10939640.80074711,3318313.8932275088,2618097.6169934724,248634.1054093624
3100,5038946.434195779,11064412.667739475,3322274.820482982,2626116.1001860388,233304.96008621628
3200,4639774.234821467,10760729.06170512,3305639.134683122,2641569.7338186014,234118.74538721866
3300,4835342.24617201,10664495.226101413,3279708.3473772327,2645376.79397672,220105.64631076154
3400,4526395.371701104,10696270.562686961,3293706.783237099,2659971.427865451,217288.12078003064
3500,4312825.459886403,10530077.233620191,3267711.9592566127,2665850.708775423,236628.3663972308
3600,4034942.375870445,10556962.77185962,3277989.5575512163,2715704.1299584107,218520.32353440786
3700,3595859.0698937755,10424092.37828588,3251171.9062523767,2725859.324798198,216461.85594638062
3800,4405495.982145075,10379484.35300776,3239447.835229017,2697491.4907887024,223853.47377638597
3900,3740688.45854876,10274334.54716534,3237788.225496429,2740482.23013377,207180.03678142026
4000,3517872.0136179063,10004872.099714898,3230420.414748678,2764059.7652055686,222259.86003362472
4100,2971679.726903934,9937001.867670685,3207528.2632009364,2750193.746658554,198749.27125394935
4200,3508375.8601186667,9985557.616608167,3205115.5959555036,2779653.7986548855,205780.1432784065
4300,3265996.0326171634,9855219.16673359,3187536.421073121,2786289.815042602,204280.3181172026
4400,3050249.118690459,9624607.182399822,3160751.295443557,2774642.5330809415,207932.5047189647
4500,3511156.467023714,9662735.12143581,3156806.736821039,2822437.9545465154,199929.56690648542
4600,2799355.1115296697,9284046.157079948,3155556.6609172896,2832378.8485836633,205587.18509926044
4700,2567178.3771785204,9264645.440501275,3129508.996577257,2835287.818852078,198880.8997523736
4800,3275850.406591902,9275952.16621901,3115170.552794446,2853095.029540369,200918.8020885081
4900,2878926.4497755133,9056362.735197203,3101943.0033692727,2833408.3581070458,183505.1345413504
5000,2423284.5952474377,9033407.765624532,3083551.3480749875,2856276.680272599,184444.88919759038
