milliseconds,M,C1,C2,A,T
0,37483509.53326933,5585038.913801859,3769361.5966842505,2019338.5760708884,691120.5079919355
100,34643433.38238107,6310573.061186998,3726802.408711662,2030313.7392336614,670506.4116802328
200,32592002.732348613,6913413.592631738,3680154.2464840626,2049611.639525959,636653.458441807
300,30899027.223357737,7494931.564135909,3648281.903330783,2074408.5320306374,608909.4086025626
400,29377945.175173372,7975133.259075469,3619924.42901022,2104094.184676069,581749.0636781019
500,26750404.14181763,8528077.20088535,3603121.058149585,2124093.0846553696,564129.4523625554
600,26593964.000702523,8972579.479231965,3558212.2670613015,2173105.1541441814,539098.7428785227
700,24592439.25025632,9241243.190879634,3538710.251094324,2204697.112823662,530916.1908255864
800,21679979.61779577,9613415.43323649,3512022.073914348,2217264.9339009738,486302.8304981966
900,20380089.02696453,9884247.93159722,3493710.7989615975,2224550.106000294,484740.69783316395
1000,19604116.42708285,10155453.669127086,3485810.2666399595,2274392.8013564073,452722.513335127
1100,18455751.782171916,10297245.54885028,3464731.040041835,2276436.419238617,436688.355378543
1200,18493031.08789868,10566489.74557218,3448248.0429749433,2293834.7586988094,420287.8763780062
1300,16388973.136736562,10725043.100602634,3449198.0346395937,2297123.5953640044,411375.7740280593
1400,14767449.153243715,10912548.038025578,3448997.6227870574,2337257.1510265935,392179.27485614497
1500,15322557.50291522,11076778.161527226,3442953.1823892593,2341951.7493625074,387248.4858445469
1600,13672308.360020645,11264603.728230938,3423051.6030237125,2370808.0600449126,382555.94280626177
1700,13916166.28916677,11262922.725291936,3407921.5013606865,2393900.259892621,359953.52876402193
1800,11315792.847297987,11397284.191290958,3396919.7144247317,2434727.4238288915,344729.73879702954
1900,11094676.881909791,11327470.982190557,3383707.1127884965,2412577.770375265,328389.14088371146
2000,11704599.307791375,11323529.889720263,3376642.8587570493,2463955.6109949416,318366.354550963
2100,10491682.528085662,11483042.986816874,3375842.048833541,2484315.2697777897,308507.80737734475
2200,8869725.408460023,11499880.801501974,3355874.540405049,2502531.631741418,308633.18859613297
2300,10080606.86176126,11321810.224133076,3372369.3123083157,2505809.017043477,309750.3777609078
2400,8857594.890718771,11369926.396983536,3353305.995438235,2523113.165666317,283318.9529229792
2500,8174892.087984053,11377249.832258468,3350032.474407407,2517986.5536133684,287418.6613679285
2600,7945066.270051923,11329052.062877584,3345019.585147798,2529516.037968802,286913.1593865721
2700,6641595.50879772,11242001.596043784,3348073.2440338563,2579261.931905964,258544.41409996198
2800,7093686.961279265,11242984.303638306,3318000.7592013427,2597960.1248775907,256614.56089768594
2900,7090702.324255822,11032237.90898144,3327002.4019177896,2589329.870843747,256538.38292000987
3000,6652048.556473164,10916608.254073758,3307174.9213348944,2601483.2828006195,253616.0888567039
3100,5387001.8010063525,11086326.526988039,3296964.29353482,2624336.2034112727,235008.8688485721
3200,5128973.845312351,10866509.955299446,3288513.323498083,2647743.782121655,239232.7365609479
3300,5861029.430187035,10670142.746391864,3303329.974357439,2664412.779091827,244977.7670170853
3400,5697956.618199802,10777626.962232871,3269871.6959793516,2667434.927577265,221122.9056091364
3500,4404039.06788876,10667303.403374854,3264465.7100215154,2669847.6695312145,233676.50455167663
3600,3878425.2581911236,10611763.908243766,3268943.3295896733,2688098.1372696594,226436.07912649467
3700,4313682.747059994,10298459.832737746,3250989.0177063826,2711414.5315449275,227534.08455940022
3800,4576292.91970359,10318523.014663367,3246940.1913338136,2720425.411931599,201499.93160948704
3900,3938845.1722233235,10249016.985732974,3248769.2919969233,2714309.045611492,225581.43389300583
4000,2835446.961641526,9985830.653356807,3212355.8621487827,2726297.9386513103,198778.6741406685
4100,3581345.415887436,9963184.769234238,3198170.1443232447,2766779.665882763,214869.01304704318
4200,3758642.520645901,9913608.9249829,3210947.7969068945,2756888.447656563,188770.8760569002
4300,3250434.7061490263,9802432.875237105,3185775.620327321,2788805.3204746903,200135.98215603243
4400,2392026.6797440182,9694474.518071279,3192568.214085607,2773536.1845356897,204855.95508360286
4500,2371148.313820161,9543300.01464117,3160377.205271375,2786381.888783894,181490.4626218325
4600,3252402.7209824906,9454945.797290992,3167857.8334710314,2799055.9817240965,189758.57850970404
4700,2945874.571328587,9273453.92860489,3140580.558029658,2834932.5596584543,202628.0553263494
4800,2045069.00026947,9286349.513250433,3134222.815397797,2838891.7106414763,182064.01248658122
4900,3334595.149275154,8998412.09709016,3104801.2479217616,2873793.485447199,178555.94133254144
5000,2357900.5378198936,9015152.04121487,3089223.110264676,2886724.2984627006,175637.5752273385
