milliseconds,M,C1,C2,A,T
0,36752520.18253323,5679804.4303630525,3769371.293123678,2011966.8188083067,692848.1806386947
100,34763535.873525605,6240454.531921586,3731461.254639764,2037440.4778149372,665355.0058767505
200,32433427.782606978,6925359.341630578,3667354.1441541594,2049546.736955679,653492.6049922338
300,31316186.88998499,7430598.533785973,3644955.03015466,2108540.0775845996,617859.474547204
400,29534513.18606167,7991215.01328898,3632144.9906074386,2107963.8769719,580691.8234982897
500,28140729.735781357,8585931.508322997,3601763.0701071224,2126620.777918268,550305.8491953916
600,25149706.29782345,8812008.192877438,3579911.4270649245,2184893.382016245,554503.1397099693
700,23455846.786282178,9343034.597709578,3537872.912097716,2193376.958648227,510219.9449972775
800,23391112.734226115,9509753.875153298,3518042.8544292934,2232793.547459536,493166.02526550903
900,21975806.982081436,9808095.179919194,3512646.1781856287,2222219.5396448695,486244.506712818
1000,19698073.112102084,10088565.524856651,3501396.0632008477,2276307.7710340503,446805.256465501
1100,17838800.049583953,10496215.032789659,3468228.5273704305,2273423.054591797,430369.84506904194
1200,18452000.05175912,10569966.104966763,3469380.7186271143,2307998.8593389336,423959.0522079941
1300,17284713.7898187,10671949.462832067,3446756.2779007494,2318695.098855772,402558.8139078274
1400,16163084.416186197,10872625.914348392,3442114.102999444,2350098.7687925585,383224.206629702
1500,15584061.375927975,10984253.146641608,3443357.5549437744,2338048.482238837,387376.83796915965
1600,13740528.899636505,11198905.524124887,3406048.4247381454,2381733.1106476937,369495.14759446745
1700,13042859.634815702,11124005.864312122,3396720.3239672594,2374492.771283868,358895.30440708576
1800,12966995.50296791,11345415.127803102,3398116.5111355986,2406708.6337355915,352364.52945199894
1900,12062155.569531115,11475386.957104875,3408564.9312552908,2427615.31086159,341694.31149324635
2000,11424958.149632266,11392229.102886178,3384923.8478268897,2466169.2286322364,321527.1955860981
2100,10139331.327737074,11332118.538580474,3376539.365035897,2455322.7174890246,314277.7735626962
2200,10295203.199632578,11461118.030180993,3368908.774688802,2500514.4610869926,295871.69047323795
2300,9496549.961584393,11496645.41050112,3365890.5636651036,2503225.728009777,301388.6365497281
2400,9130597.731815819,11442195.419816937,3353337.1382985944,2513645.3784711417,287583.84375071124
2500,8505533.044277273,11437117.079715272,3359582.900317711,2531924.672146497,294357.9657654716
2600,7971689.213263809,11214288.428774698,3327962.49560379,2537841.419348784,268364.0255294773
2700,6491240.216751515,11142625.859113518,3334569.7637684126,2574584.833602835,269970.1889369527
2800,6003046.885203615,11158796.914579045,3314213.1383387623,2582980.1624308303,250048.2697704612
2900,6867198.11858756,11236189.906505834,3328349.7434173822,2578235.7183526224,243258.40170028454
3000,6725079.644597458,10917215.632951638,3325870.7338221157,2608545.769322905,238148.05024598754
3100,6252170.320352292,10988363.196338622,3313104.391144211,2621615.7306424775,239625.55398409144
3200,5805542.8989601,11007037.085313808,3307033.600287669,2625107.3942567194,230713.17526668654
3300,4604911.952088888,10835444.590358295,3298980.886778326,2666288.120462729,225048.0206353328
3400,4454966.608118487,10765192.105013132,3283463.7826216305,2648024.2712672376,228167.85578243443
3500,4397662.5978633445,10509183.067974621,3271725.17609902,2659697.763086272,221031.45602511853
3600,3610782.918061979,10542031.75200922,3270481.026676487,2682036.5676637096,213850.84355125515
3700,4449046.897799648,10452369.191767879,3262200.7215182693,2710945.4091658373,203475.76510602285
3800,4828182.185431879,10195546.42931571,3239933.220848122,2719172.4217200405,221280.35302819882
3900,4374708.88913084,10324365.257205253,3234084.012800885,2735109.9903401886,208630.5316564227
4000,3449903.70656202,10194261.296512604,3228898.362888629,2770848.143015867,194645.5268494211
4100,3990582.605058375,10098069.641390685,3208678.070215166,2779461.4637245163,204855.43419709615
4200,2848568.313877236,9900595.443898099,3188091.3366713636,2753503.8646244537,210039.83395834328
4300,3229142.868570008,9719274.278926678,3191073.137416426,2789767.816905749,203326.79883025866
4400,3933186.6632473227,9704716.69214614,3179984.228635795,2806699.4537028815,194223.65874837196
4500,2900603.777364123,9551004.470884647,3176851.774901033,2784048.2328424263,193221.4388238971
4600,2785290.707036179,9344296.111669498,3152929.9991628854,2797779.988681766,202579.34557481133
4700,2916104.7656863118,9184133.070780491,3147435.37890841,2830192.472048491,186436.73546222693
4800,3606708.8155842586,9099443.850131242,3113169.914705282,2843523.7300679064,181684.7839453258
4900,2728439.836861293,9145783.531244842,3117297.692349289,2858694.5641980763,177386.62299670363
5000,3331003.8463904704,8902968.58838912,3084447.1615967234,2854382.7277745917,193864.27291253526
