milliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,-6.179675275932735e-06,-8.191748489343034e-07,-7.68232565069465e-11,-3.801611709942528e-10,3.510754673922426e-14,-1.1856081645684831e-11,6.044562487545244e-13,-9.964961658994735e-14,-1.6910384204271113e-06,-2.8278989022296044e-07,-7.444756035905224e-08,0.09997091969298307
100,9.000644168645814e-05,-4.5633141201690963e-07,6.369917560184019e-11,9.060342604160187e-09,-1.773267435174343e-14,-7.103981316695426e-12,-8.49350549406591e-13,9.616662005639973e-14,9.59417835886423e-06,-1.2111784163036134e-08,9.555730297580366e-07,0.0996188785184924
200,0.00020233443208886776,7.501709692358293e-07,-4.056879523791945e-11,1.7723036155192378e-08,2.976352904440614e-14,8.214363532343127e-12,-3.065960419312168e-12,-1.8511624535581378e-14,2.0334422445933353e-05,-5.4687203126693776e-08,1.717138786593233e-06,0.09919106803301742
300,0.00030105519932709416,6.944169257063572e-07,1.0370083542999317e-10,2.4553213755781585e-08,2.342592588870537e-14,-5.9265688812543e-12,-2.996707417797889e-12,1.0713915989141906e-13,2.9782525749316492e-05,8.022442116607158e-08,2.570538063663779e-06,0.09882027447591972
400,0.0003831886360094603,2.2852693667029683e-06,1.2381980174862583e-10,2.990317054246347e-08,-2.5488941514904478e-14,-1.9004711617881737e-12,-3.4085961836225683e-12,-5.942315261156771e-14,3.9734614454602273e-05,1.869595050192185e-07,3.4988470771064e-06,0.0983795156690016
500,0.0004889725530963772,2.719007216541169e-06,-5.7070370151850725e-11,3.5369087352216226e-08,3.622186671994037e-14,1.1420434557714204e-11,2.3568067324185722e-12,9.93982516814808e-14,4.814703142076995e-05,1.1156251937333994e-07,4.196331481374345e-06,0.09817333627207478
600,0.0005720777750547537,2.595031946402919e-06,-7.98322276121334e-12,3.9005379760499184e-08,-2.0397916840507095e-14,4.978935823252217e-12,3.726012427403515e-12,9.624655471176415e-14,5.1528465590304834e-05,5.709547348521541e-07,4.850281768949411e-06,0.09787963422634648
700,0.0006229519051948133,4.22056631638383e-06,1.8561689296014e-10,4.350602136338387e-08,-2.3267035554533467e-14,5.121260260208694e-12,-3.305735505416433e-12,-3.526394149141873e-14,6.550670435334145e-05,7.744411266632807e-07,5.621030250713627e-06,0.09755856012537582
800,0.0007209979440745593,7.425851095423259e-06,2.5533420844595813e-10,4.702559818794481e-08,-2.306834217400112e-15,-8.618324350998299e-13,-8.884549302719536e-13,-8.911621806613988e-14,6.947032464122805e-05,9.846533247149741e-07,5.984528565208214e-06,0.09737170908556753
900,0.0008014297874523295,8.024392642014435e-06,2.621497027285278e-10,4.940718550546557e-08,4.337345971802184e-14,-1.0186091809920695e-11,2.8813155498882142e-12,-6.594702494957037e-14,7.895232501867541e-05,1.3120539846895425e-06,6.84769342487792e-06,0.09705141477933839
1000,0.0008743759116243789,1.2024836771699745e-05,2.5102725480234874e-10,5.134286158082899e-08,-4.5141478990571524e-17,9.072107248252502e-12,-2.6716358781841394e-13,-7.921564613311666e-14,8.508773933191025e-05,1.514538408496559e-06,7.088960967158682e-06,0.0968623799911081
1100,0.0009249651096694749,1.0710527946713312e-05,3.8126798996810713e-10,5.38533666655142e-08,5.2455974400959416e-14,-7.825920321558011e-12,2.9213032589417327e-12,-8.904636339945232e-14,9.357937151853509e-05,2.006385848592057e-06,7.632590975106815e-06,0.0967829399379075
1200,0.0010227135418741714,1.4819735925719676e-05,5.158716969414096e-10,5.561133061196732e-08,3.9205382198322726e-14,3.085880441869084e-12,1.5398527242627152e-12,-5.4162180313762494e-14,9.999019754456625e-05,2.0655326781605086e-06,8.078850787727395e-06,0.09653330248874742
1300,0.0011127023365972864,1.7660354480430503e-05,5.038043361883838e-10,5.701534192929687e-08,3.571316335063297e-14,-3.5111313448170395e-12,-2.6737724001987625e-12,-5.92048946239557e-14,0.00010804563607235841,2.562809841729447e-06,8.645262240016482e-06,0.0963960611344893
1400,0.0011720982234441082,1.6847274184044155e-05,6.281146117758144e-10,5.818161826482817e-08,6.094585379102371e-14,1.5744528713840075e-11,2.9943318862520907e-12,-6.282650937966266e-14,0.00011346056273245334,2.4928981075758383e-06,8.873698984394372e-06,0.0962501262938972
1500,0.0012352515724480871,1.8972333465864023e-05,8.059630427076959e-10,5.981644135740053e-08,1.2062691715788982e-13,6.947222683594523e-12,3.5721405961574695e-12,2.8140067310062638e-14,0.00012228630752077373,3.280869991476792e-06,9.378242476096841e-06,0.0961686049757282
1600,0.0012647460591183103,2.2844022314630477e-05,7.502920571231223e-10,6.076275819082213e-08,9.506525585489985e-14,5.0492260122306025e-12,7.955213073050408e-13,1.0328159840837959e-13,0.00012689961064795265,3.174137526921071e-06,9.505901938455447e-06,0.09601123286129087
1700,0.0013794935454976452,2.58155718217513e-05,9.425680634448561e-10,6.143516210104922e-08,1.4446157710483374e-13,2.624108411154311e-11,3.940479628092494e-12,-2.643978041476835e-14,0.0001335658562719527,3.817950699066754e-06,9.933979661284633e-06,0.09599030446478908
1800,0.0013971571526094377,2.9180134684661734e-05,9.42628131263184e-10,6.121544932871186e-08,1.7593989705973297e-13,1.7000517294432332e-11,5.807571573909374e-12,1.2293418451424448e-13,0.0001405337139340725,4.552525424391341e-06,1.022812858431578e-05,0.09595751133234041
1900,0.00144841855544289,3.1789501729067476e-05,1.202497350252298e-09,6.257249374641606e-08,1.508680062096122e-13,2.872342216005206e-11,4.431825640177561e-12,1.5213383839368342e-14,0.00014582827690233426,4.935292377405314e-06,1.0404720688799388e-05,0.09585469179398787
