miliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,-1.305490882259426e-05,1.3113770920355296e-06,-2.211969124659544e-11,-5.364223488335882e-10,1.9791067276205763e-14,1.1660207482611189e-11,1.6264083139389208e-12,3.7500227710657906e-14,1.6532990155439184e-06,-3.3495985552611824e-07,1.574875211550144e-08,0.09996725297756366
100,6.72495475924285e-05,1.5524317265326432e-06,1.1541338227577044e-10,9.347556344022226e-09,1.4148286126901335e-14,-7.666084621452407e-12,1.9531273610766155e-12,4.626351397891235e-16,1.0705643310049696e-05,6.660561221620252e-08,8.466196311459466e-07,0.09961510991630249
200,0.00017850537530345815,-3.18372256698112e-07,-2.5516254770785825e-11,1.734344325002931e-08,3.163535209425006e-14,-1.7215711676157817e-13,8.219688543128636e-13,-2.7864173076741762e-14,1.924806527785017e-05,2.558534739742153e-07,1.8099431414991344e-06,0.09910944732694728
300,0.0003074215394936177,1.1591320898274966e-06,-8.335248305170069e-12,2.4600988165826415e-08,-3.3292566921238e-14,-4.062114705037754e-13,1.7985380025074756e-12,1.0288707900656059e-13,3.1723631619126326e-05,2.3222570859797917e-07,2.8578087210516662e-06,0.09874128617234326
400,0.00037225016335627525,1.1806332170019243e-06,-3.918800413950774e-11,2.9733845483917434e-08,2.1493080232863762e-14,-1.0379281094950364e-11,1.9513861147620635e-12,-5.307477772639467e-14,3.418183824599623e-05,4.957735559391507e-07,3.593540075659808e-06,0.09837741903429591
500,0.0004944006004688106,4.378226848675753e-06,-6.994766821030929e-11,3.4768021707646106e-08,-7.732826288207728e-15,-9.55968990166442e-12,-9.692689979384722e-13,-3.220794854010715e-14,4.3523827488828086e-05,6.24496959914393e-07,4.140421573228631e-06,0.09807451422548175
600,0.0005407334876509402,5.80502351520103e-06,1.3441678879653592e-10,3.879990215969772e-08,1.7128649715570018e-14,1.157534835776059e-11,2.2633569197587873e-12,-2.771140284572563e-15,5.5544655534044645e-05,8.761608519305725e-07,4.948913421905483e-06,0.09776780549446056
700,0.0006227298478111821,7.583919179230011e-06,1.3789010043267704e-10,4.259306473752386e-08,-2.6393227294782352e-14,-1.174619575400837e-11,-2.9831006355646406e-12,-1.052911480446335e-13,6.21474352079885e-05,4.6141287142205194e-07,5.608020570098191e-06,0.0976071902818392
800,0.0006915861400272572,6.40569142696628e-06,2.413634749022858e-10,4.6244724075429726e-08,-2.018075935171148e-14,-7.606105447298758e-12,-1.7799820510931648e-12,4.392734619180417e-14,6.941514884720279e-05,1.1006020711597177e-06,6.069364440377754e-06,0.09733958786436335
900,0.0007787040658867125,8.391499754404038e-06,2.983596396172767e-10,4.962407934926281e-08,4.223840255117077e-16,-1.1874066640460082e-12,2.323360599392097e-12,-7.901721703080228e-14,7.990588409693469e-05,1.4298735003131204e-06,6.761145681092348e-06,0.09712425922173096
1000,0.0008452520633757765,9.542379071605693e-06,1.6107153499237208e-10,5.161579692563879e-08,2.0217880348538237e-14,1.4501446338133458e-12,-1.6052481342080409e-12,-1.3788620915321584e-14,8.769651592850349e-05,1.4060419599906015e-06,7.3631440808210075e-06,0.09688288744093024
1100,0.000964009443359265,1.4036622059985849e-05,2.8504157075539425e-10,5.36641911698678e-08,3.202173229922928e-14,-4.567740606475687e-12,2.7875986483096487e-12,-5.582611299594613e-14,8.986140879400316e-05,1.8366746325853443e-06,7.650822269465077e-06,0.09677985942844673
1200,0.0009894438387449461,1.5979296305792925e-05,4.3092568986319783e-10,5.507775351401893e-08,6.108054628247218e-14,1.5961135220650453e-11,-1.612894622137727e-12,-2.3582041952087057e-14,0.00010253117059179451,1.7520787917286558e-06,8.21928506620066e-06,0.0965742552165174
1300,0.0010818853275192455,1.5735471244313548e-05,6.130847041146527e-10,5.735122819706231e-08,7.96868174268814e-14,1.555209622538781e-11,3.162785246775879e-12,-4.689324843417574e-14,0.00010849637178604155,2.0024376562571117e-06,8.629203475429538e-06,0.09647063404356891
1400,0.001163901929496016,2.0456257717757473e-05,6.033274629836212e-10,5.861227762656296e-08,8.220443245838749e-14,2.7941486217060826e-12,2.4240577050705925e-12,8.981507217805003e-14,0.00011196347235230026,2.78322773739758e-06,9.040355551763128e-06,0.09630877421089867
1500,0.001257600634425938,2.2505120672296214e-05,7.693227315315863e-10,5.988401364116571e-08,1.0543953834679009e-13,1.526983387649305e-11,-7.826346000888461e-13,5.843896262044314e-14,0.00011830250947338032,3.011964414182377e-06,9.16235189771191e-06,0.09615184460976896
1600,0.0012644784085765835,2.206600792052902e-05,9.118961532356838e-10,6.035202719362353e-08,8.716018775695951e-14,1.2422853159761814e-11,4.058660404073241e-12,1.0763551990388574e-13,0.00012206171228033024,3.069175482002083e-06,9.555390261922287e-06,0.09606571879420978
1700,0.001326541519784569,2.6740338822334967e-05,9.506670483821394e-10,6.119090523692263e-08,9.848075505110758e-14,1.1066912912050776e-11,3.204342318514729e-12,4.6269901231066056e-14,0.00013272609098802595,3.7324339729888064e-06,9.891356987035636e-06,0.09598059699229944
1800,0.0014172067917019133,2.8228612028616587e-05,1.1186187188442195e-09,6.228412937558587e-08,1.4313900223981475e-13,2.5548481789993216e-11,4.379965123858548e-12,-8.19717982102121e-14,0.00013842894841275088,4.037976611074992e-06,1.0316480198793515e-05,0.09590903601575358
1900,0.0014581977312014512,2.912912309690804e-05,1.0960423065260679e-09,6.177926723593068e-08,1.5814065183402364e-13,1.9569748526020217e-11,1.5195636685886343e-12,-3.106543212575863e-14,0.00014194500350009898,4.886897037328568e-06,1.0576100172813272e-05,0.09579070716146847
2000,0.0015286005398366912,3.2595117832913276e-05,1.3709043849504025e-09,6.313924920657331e-08,1.8714635092494492e-13,3.291991085055967e-11,8.07983275001181e-12,-4.150423412736778e-14,0.00014855574457462543,5.305815432425231e-06,1.0815204353975127e-05,0.09579182354602714
2100,0.001603155033340431,3.475675394735837e-05,1.3257246589093838e-09,6.228468997455862e-08,2.1571742180113285e-13,4.85171191189802e-11,7.201756793649742e-12,1.311370804275359e-13,0.00015354331556406188,5.276043705846418e-06,1.1066552168739262e-05,0.09568991971949141
2200,0.0016322095078580587,3.704249811760499e-05,1.4981072862573585e-09,6.349075080135535e-08,2.9409995526748124e-13,5.900422422503548e-11,5.414273630712225e-12,9.059280855763987e-14,0.0001594691001752103,6.040297694141512e-06,1.1068865574808126e-05,0.09569317439533553
2300,0.00165783256183256,4.058658505734681e-05,1.6545100417970605e-09,6.339788064692481e-08,3.2966904009069585e-13,5.621545667148272e-11,1.0893063500986625e-11,1.2276413227540663e-14,0.0001619088064566464,6.483049220089467e-06,1.1373596979632797e-05,0.09565324178933483
2400,0.0017458292465185226,4.553150273786569e-05,1.780396684920631e-09,6.343836525573599e-08,3.7756669268848487e-13,7.808194913090677e-11,1.4249875184895703e-11,1.470088879101804e-13,0.00016700190132450297,7.258655512403809e-06,1.1609338060381236e-05,0.09563213547759486
2500,0.0017818053479758237,4.614729699661464e-05,2.0230674267292952e-09,6.257892758761122e-08,4.036281273060117e-13,9.20086706870619e-11,1.1746399974019576e-11,2.665355277216431e-13,0.00017440250609314695,7.533092420920272e-06,1.1502681457716647e-05,0.09562013489479186
2600,0.0018209137884220366,4.835319474834098e-05,2.178227042091166e-09,6.277618558195263e-08,4.815562687769753e-13,9.340228168361839e-11,1.6551145209613718e-11,2.47393470878025e-13,0.00017736245525939935,7.996523957511927e-06,1.1870727736887997e-05,0.09557580041661339
2700,0.0018530729130609427,5.062788714910917e-05,2.4921475651419638e-09,6.200937116038047e-08,5.111028467862228e-13,1.0834103257560078e-10,2.206234406480546e-11,3.4544033146861926e-13,0.00018175890963337968,8.556345038538953e-06,1.1749311544497332e-05,0.09548455303252085
2800,0.0019092546636231692,5.373975613915495e-05,2.53401852933853e-09,6.153134782261636e-08,5.627149663985038e-13,1.2551916938589594e-10,2.0553080473833648e-11,3.965578037060067e-13,0.00018623065245727528,9.00922145718535e-06,1.1815716128534481e-05,0.09547117606358689
