miliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,-1.2596737626522335e-05,1.38828819404333e-06,7.431925188522554e-12,-8.964604560456127e-11,3.100078029813033e-14,-1.1867809697512092e-11,2.516670673128395e-12,1.0620487779527557e-13,-1.9351322711648815e-06,1.8320568343339038e-09,-5.4005365547337186e-08,0.09999222077484543
100,9.955415003974761e-05,-4.726054255974961e-07,-4.975835955421448e-11,9.11646579547857e-09,-2.533139967765705e-14,-9.62362988139014e-12,3.378722305348125e-12,-8.229499592142895e-14,1.1790647051823326e-05,3.2106071323296845e-07,1.0502850466744664e-06,0.0996125751108664
200,0.00017300685941366249,-1.9671353452080152e-07,-3.980291799287095e-11,1.682094779839807e-08,-1.3776185814418477e-14,1.1774124385989003e-11,3.5223004649132525e-12,6.825714933340487e-14,2.2548076260429295e-05,-4.497348051336263e-08,1.7677571277101129e-06,0.09919862538690925
300,0.00026482958427664465,2.9050137564554696e-06,3.434471296597968e-11,2.417764863409135e-08,-1.578086997928561e-14,-9.929302538408575e-12,-3.839467280768603e-12,9.992641880743182e-15,2.771916406780121e-05,3.184917206781269e-07,2.6729111250679323e-06,0.0987944819635389
400,0.0003956979633010342,2.8157903955344526e-06,-8.795834617641945e-11,3.0476684347839116e-08,-3.1361510981730225e-14,-9.037950095927725e-12,-1.974737819301324e-12,-9.972008734801382e-14,3.839620175413731e-05,5.135164059219415e-07,3.3398345338811993e-06,0.09843198582528306
500,0.00047654906270010855,1.4434410096432961e-06,-6.5047278390271364e-12,3.519649046042501e-08,2.6785289604294538e-14,-3.9698142452201276e-12,2.5634876107690033e-13,4.5234240758333207e-14,4.463200043101242e-05,1.084663164986467e-07,4.188525543506409e-06,0.09809756224847906
600,0.000573366538181921,4.746661313890993e-06,1.30342524605507e-10,4.00888725528164e-08,1.1193581124285644e-14,-7.729834519294684e-12,3.357557527005691e-12,6.098473858305784e-14,5.6467732101022674e-05,8.020003242488751e-07,4.763211619913708e-06,0.09788355987808829
700,0.00062681790689753,5.608432566317271e-06,3.870185206274597e-11,4.3129399221045225e-08,3.1364276547862376e-15,-5.98589104678144e-12,-1.0270839589043064e-12,2.8359609599802592e-14,6.198401863690882e-05,4.913398153037253e-07,5.608316562088331e-06,0.09756693760967204
800,0.000740475274538795,8.291113475134617e-06,1.5067229703070066e-10,4.632292260784321e-08,3.874704283239914e-14,-8.014780324439218e-12,-1.0170000769390334e-12,-4.6781128191148996e-14,6.927394099924608e-05,1.1372046583692694e-06,6.079688780009869e-06,0.09732413010210193
900,0.000784177963961092,1.0148747929006346e-05,1.23198207432105e-10,4.9755024297036256e-08,2.0809903999189758e-14,-2.4121172522206953e-12,4.864829789384206e-13,-4.482790294997393e-15,7.679977903252319e-05,1.0757948174123525e-06,6.725246671131466e-06,0.0970938284183304
1000,0.0008551871924848072,9.550177207422457e-06,1.8208317256306122e-10,5.150410211225765e-08,-1.0137113726932936e-15,-3.187454061387848e-12,-3.642744210739822e-12,-8.509783381839778e-14,8.5752602279749e-05,1.4697252765697858e-06,7.068057950495251e-06,0.09695953247456213
1100,0.0009184336419986361,1.4301222317863762e-05,3.2832543876337455e-10,5.348835987790899e-08,5.975768524781226e-14,9.031180755033648e-12,1.0963715430304692e-12,4.8524813577295165e-14,9.579711865320496e-05,1.8968563180737035e-06,7.715518322319174e-06,0.0966846455065103
1200,0.0009899308436212323,1.476678513113332e-05,4.035274148846095e-10,5.5369344320934e-08,1.2687540998225361e-14,2.0592278696115806e-13,-9.317312627458617e-13,-2.400994436579437e-14,9.748177868188632e-05,2.0990219054871827e-06,8.130089492857367e-06,0.09653168161796832
1300,0.0010717810116625207,1.4863034592010915e-05,4.4479947228405176e-10,5.757204779218327e-08,4.91150923869692e-14,1.5493959332570118e-11,-1.5937503721327044e-12,5.833316613751231e-14,0.00010868779539775163,2.262026346254037e-06,8.447783093272623e-06,0.0964841503478816
1400,0.001128152044147286,1.7352116194018694e-05,6.4136770574497e-10,5.882897461375708e-08,4.2881885932459096e-14,7.63407985312476e-12,-1.6128691008739556e-12,-4.7091883622846194e-14,0.00011001437882139406,2.7986852721742803e-06,8.910568966460264e-06,0.09625497700523668
1500,0.001254152070626635,1.897817765048263e-05,7.178989697628207e-10,5.923560533185251e-08,7.759583570366637e-14,1.2003625986397558e-11,1.9940864208194122e-12,3.3849506004133116e-16,0.0001218044441260429,2.7375746533184002e-06,9.237989129635628e-06,0.09617285233318104
1600,0.0012812856847674646,2.2262865192688013e-05,7.217426719289985e-10,5.99384807255151e-08,1.185424811978745e-13,2.5841751212304733e-11,-1.4095609007861881e-12,1.0739120193915109e-13,0.00012654703474996332,3.1596057307709288e-06,9.5350370540166e-06,0.09608644783644077
1700,0.001320806985591931,2.627165613996524e-05,1.026945874815774e-09,6.12925505345495e-08,1.0702951334243998e-13,1.7015902708054186e-11,1.5525854317286823e-12,-6.405389651628719e-14,0.0001281512421516516,3.813440174594569e-06,9.873621139659118e-06,0.09595024509278934
1800,0.001431481453089802,2.912255386412543e-05,1.0328324838606131e-09,6.197886856615805e-08,1.309853886284823e-13,2.2081883686654163e-11,4.136989305668293e-12,-1.4568371902005942e-14,0.0001362980184622929,4.00243148555463e-06,1.0230876442957782e-05,0.09594156292610455
1900,0.0014749174340197015,3.0671109827618616e-05,1.1791006859049662e-09,6.228020258414509e-08,1.583193734262718e-13,3.6713253733726935e-11,4.636199407426144e-12,1.6051835420059984e-14,0.00014327582337109776,4.819485664470574e-06,1.0405303983051023e-05,0.09585874498467153
2000,0.0015084962865995716,3.1388662867386406e-05,1.2537029098690716e-09,6.314446575268535e-08,1.9965431327727329e-13,4.1389079919761475e-11,7.456274313376816e-12,-4.74641790943422e-14,0.00015138042747814964,4.7635771854153665e-06,1.0852813335493753e-05,0.09573498368208956
2100,0.001573830580011919,3.497530525683272e-05,1.4962409267630342e-09,6.299710891056546e-08,2.760591454268842e-13,4.4855554568572766e-11,9.385500439086352e-12,5.1105588510876314e-14,0.00015057390570491293,5.225706559624732e-06,1.1022841680519237e-05,0.09575050022052341
2200,0.0016275184961803207,3.764879900071961e-05,1.6246204019451655e-09,6.30784148928129e-08,2.7128748291438065e-13,6.419727025181478e-11,7.344444976661653e-12,3.314807704521794e-14,0.0001605550474743022,6.4310407817068655e-06,1.1067730617234631e-05,0.09564386922359368
2300,0.0016880552091678614,4.083394862789355e-05,1.8238270643122102e-09,6.287311946318367e-08,3.5825843912043585e-13,5.941139925720922e-11,1.1633979799702832e-11,1.21039448875208e-13,0.0001653307999384388,6.60718799264913e-06,1.1254890424250494e-05,0.09559853805768541
2400,0.0017052280370764056,4.2139342390922754e-05,1.7897623844811822e-09,6.259262934121145e-08,3.351162152346096e-13,7.424739754987439e-11,1.2994743272601757e-11,2.438470597330558e-13,0.00016744264947312783,7.107449267624276e-06,1.1496820180488275e-05,0.09565257308961411
2500,0.0018004409082428452,4.6816721302780824e-05,1.966810295260832e-09,6.286833262715699e-08,4.353390179818494e-13,7.726899169976912e-11,1.67922877284881e-11,1.4056247086990187e-13,0.00017492722623413547,7.869992322494915e-06,1.1471340546621861e-05,0.09553329967780211
2600,0.0017883866582260857,5.0492753925824925e-05,2.1178241038001878e-09,6.272912402781016e-08,4.618157915103512e-13,1.0394375326062776e-10,1.909996862786929e-11,3.162451507057798e-13,0.00017743834416177463,8.283764146232185e-06,1.1798286020304837e-05,0.09554798136553042
2700,0.0018593350740359735,5.178893922362278e-05,2.419213177097524e-09,6.254742398703627e-08,5.087045282738176e-13,1.0820054139140233e-10,2.386013045696588e-11,1.7095087601254853e-13,0.00017959668429014388,8.326122437898935e-06,1.1774400637047024e-05,0.0955454581849384
2800,0.0019185463157338181,5.6223427706715294e-05,2.5756462310758326e-09,6.092953570701349e-08,5.235077013198977e-13,1.249412543526504e-10,2.0866775674749518e-11,2.567095527632241e-13,0.00018352908676570618,9.397623418616665e-06,1.1829907955160043e-05,0.09547068943246874
2900,0.0019229617362066089,5.696725553191934e-05,2.666438379007453e-09,6.092024752131028e-08,6.199736105689141e-13,1.6383439813860555e-10,2.791352735261658e-11,4.997435742752221e-13,0.0001920127797370029,1.019834245388002e-05,1.1771231104457348e-05,0.09551293032354279
3000,0.0019323439323991288,6.161730493938482e-05,3.015020246651443e-09,5.978111751666e-08,6.390899390890886e-13,1.7841793085257087e-10,3.0812569984185986e-11,5.663859575842839e-13,0.00019534374611958243,1.02162060969417e-05,1.2068838974987771e-05,0.0954813845374019
3100,0.0019939046950635973,6.542396356552332e-05,3.078030078046496e-09,5.894212984735703e-08,7.066822215836713e-13,2.0018843668158836e-10,4.13613098672229e-11,5.14955781482891e-13,0.0001979555666812733,1.1142636468038856e-05,1.1819639049845142e-05,0.09549971235061881
3200,0.0019803456631385698,6.774195775005922e-05,3.3775771246906218e-09,5.815224305591223e-08,7.762010749054932e-13,2.2794888262898937e-10,4.4728305214623805e-11,8.23490906423581e-13,0.00019603209131221905,1.1303495249117327e-05,1.2040288126030782e-05,0.09550055951209098
3300,0.002003457967991631,7.122752132814102e-05,3.5668436347941567e-09,5.7657638642138076e-08,8.849596997047235e-13,2.495554190019905e-10,5.08843244677123e-11,8.769868898620031e-13,0.00020155625959650326,1.2261775596578673e-05,1.1715486643201048e-05,0.09547483279712977
3400,0.0020742527155659584,7.119343585409374e-05,3.680206314932474e-09,5.657319421609236e-08,9.409182364954307e-13,2.708361486025479e-10,6.116520984409312e-11,1.1498461042439133e-12,0.00020815977304185392,1.284084258725589e-05,1.1910634767052904e-05,0.09546248776111264
3500,0.002051533912536102,7.767045406524548e-05,3.997328772075648e-09,5.621267833609938e-08,1.0012096528845678e-12,2.8660640732978203e-10,6.310936431431923e-11,1.2237325047390101e-12,0.0002070558098803018,1.3297768076607017e-05,1.1688883792647063e-05,0.09545655066770242
3600,0.002110334404776239,7.924422400985154e-05,4.107235375712292e-09,5.5075180318473006e-08,1.0862962284568203e-12,3.222090444096005e-10,7.289224278499146e-11,1.3652132217818902e-12,0.0002117760277434269,1.4446546720784188e-05,1.1787847863397034e-05,0.09547358421981193
3700,0.0021044261071855182,8.300880800478059e-05,4.400052919837772e-09,5.391718563189349e-08,1.1697927083039502e-12,3.473767265333796e-10,8.081914394276959e-11,1.7689806192616948e-12,0.0002128811662487462,1.4594448224177785e-05,1.151669382805102e-05,0.09540458585554575
3800,0.002086675575498947,8.341917395313451e-05,4.606927581173124e-09,5.275216628725821e-08,1.2538888821151578e-12,3.723144525687197e-10,9.237902474017736e-11,1.9454276224679286e-12,0.00021514608590999577,1.5601349064496673e-05,1.1557798201135577e-05,0.09533515923800676
3900,0.002130531236770106,8.721802050356256e-05,4.768772059952452e-09,5.14845739025326e-08,1.2829557057728411e-12,4.121989291684226e-10,1.0700008380851547e-10,2.1362405807759733e-12,0.00021541215079504394,1.610535290974064e-05,1.1124508208891095e-05,0.0952851916045492
4000,0.0021462056475755795,9.083474748341782e-05,4.8988299195074005e-09,4.913815358089955e-08,1.372434211720853e-12,4.2607653914222486e-10,1.1864747268595548e-10,2.478600047663294e-12,0.00021977667897010567,1.661105731208274e-05,1.107120140857067e-05,0.09533215432036901
4100,0.002147402647729754,9.489755648054918e-05,5.15361921968979e-09,4.858239740065393e-08,1.4946218836187753e-12,4.685757900008321e-10,1.251044229861771e-10,2.8961734444671655e-12,0.00021824594618170782,1.775210279369933e-05,1.0849831239341833e-05,0.09520070751982987
4200,0.002149173662034584,9.74507759413552e-05,5.3914494170657736e-09,4.784480945606417e-08,1.5582444226774971e-12,5.047256026698625e-10,1.3786569758594127e-10,3.3211064486681053e-12,0.0002196628818746914,1.8403979636508954e-05,1.0745205211174528e-05,0.09519600404774314
4300,0.002123799400750819,0.00010160439403087207,5.6766496837850805e-09,4.537511048791821e-08,1.6097717182411503e-12,5.254152402379009e-10,1.5369848356308736e-10,3.744462325582264e-12,0.00022233751136713196,1.8606167559508136e-05,1.0526346937137524e-05,0.09512457378400631
4400,0.0020841530597898728,0.00010467197253925552,5.939424142938176e-09,4.5048132461612935e-08,1.7444109516224715e-12,5.629935034251388e-10,1.7009201131741994e-10,4.14862102848381e-12,0.00022173325928179422,1.973783513722087e-05,1.0569671559453915e-05,0.09509028841163894
4500,0.002110362899887455,0.00010647138215797034,6.097111098505182e-09,4.2997434486950444e-08,1.8554019284674695e-12,5.893760410213519e-10,1.8259569601461454e-10,4.848083966023831e-12,0.00022433473041343175,1.9991258760931246e-05,1.0237179855690574e-05,0.09507915508099667
4600,0.00212704558188296,0.0001090328704574371,6.310633773430311e-09,4.248627697826108e-08,1.9172901324578776e-12,6.3615069073886e-10,1.9457804279597244e-10,5.2961610780680954e-12,0.00022202407159168392,2.066170530022927e-05,1.014212330002629e-05,0.09489454201686734
4700,0.0021001074519910166,0.00011441978152216743,6.661771383757078e-09,4.108997331889361e-08,2.0278284228642695e-12,6.768858154057512e-10,2.1591852390682735e-10,6.015867908096023e-12,0.0002252903895401366,2.1785940330628456e-05,1.0076347462078916e-05,0.09492691420648323
4800,0.0021234210967063525,0.00011752235903753399,6.8885027775305874e-09,4.093386928952827e-08,2.113858150515772e-12,6.972521097641418e-10,2.35299836058562e-10,6.601641700648125e-12,0.00022511807183778738,2.21980831371676e-05,9.730804090824374e-06,0.09476025288410245
4900,0.0020957115641081414,0.0001199652710851214,7.0210886206531355e-09,3.9311231911991737e-08,2.2230035044895427e-12,7.534396581198908e-10,2.5162549184660716e-10,7.437914328975898e-12,0.00022346453862223884,2.2999726894142e-05,9.644943370916298e-06,0.09469658894005963
5000,0.0021053035810935854,0.000123422413521056,7.295386279501672e-09,3.796238239396537e-08,2.340660326010734e-12,7.88059316608272e-10,2.653030127091653e-10,8.017958605473497e-12,0.00022569326689660067,2.337171197023098e-05,9.507198702422455e-06,0.09459186907850609
