milliseconds,L,R,flip,pC8,C8,C6,BAR,pC3,C3,Bid,tBid,pC6,XIAP,C3_Ub,PARP,CPARP,Smac,Bcl2c,Bax,Bax_hash,Bcl2,L_R,R_hash,flip_R_hash,R_hash_pC8,C6_pC8,BAR_C8,C8_pC3,pC3_Apop,Apop,C8_Bid,C3_pC6,XIAP_C3,PARP_C3,Apop_XIAP,Smac_XIAP,Bcl2c_tBid,Bax_tBid,Baxm_Bcl2,Bax4,Bax2_Bcl2,Bax4_Bcl2,M,Bax4_M,M_hash,Smacm,M_hash_Smacm,Smacr,CytoCm,M_hash_CytoCm,CytoCr,CytoC,Apaf,CytoC_Apaf,Apaf_hash,pC9,Baxm,Bax2
0,2999.9904573135136,200.00842933823566,100.00000000002963,20000.000000000582,-1.6132896895902567e-09,5.8674950519614964e-15,999.9999999999917,10000.000000000005,-1.866571115792897e-12,39999.99999999998,-1.4286220062028289e-11,10000.0,100000.0,1.3150556100428068e-14,1000000.0,-2.111427118998173e-13,1.73286505306771e-70,20000.0,100000.0,3.304616140060696e-14,20000.0,-0.006991075257124311,4.322325387451762e-07,1.2372950586798119e-11,-4.014627292196719e-09,1.8549437273045125e-18,-7.073054044779881e-12,-4.107934567803869e-12,-3.5842173616439055e-80,7.907926770008467e-76,-2.45273069359432e-12,3.594428949771268e-15,-1.5136576179937976e-13,1.530497008146191e-13,-8.190572888872479e-77,1.941457860509561e-71,-2.248701552890434e-13,-3.826335079601528e-14,-3.880231127451305e-17,-7.250768039517639e-68,5.17856971655827e-37,-1.1449940826708219e-68,500000.0,5.1928766643613685e-67,-8.473244057171314e-69,100000.0,6.326233675219088e-69,3.474733739312672e-69,500000.0,-6.677669320012842e-68,-2.0382999292473794e-67,4.515292291788477e-70,100000.0,-4.933266224673767e-72,1.4099895304847324e-72,100000.0,-1.4846043633462825e-16,1.9457638899481967e-35
100,2999.9814870705695,199.97427353170278,99.99999999999108,20000.00000000879,-5.393652541517774e-09,4.693568898893708e-15,1000.0000000000075,9999.999999999995,1.7157056756960996e-12,39999.99999999998,-1.5111062089287203e-11,10000.0,100000.0,-1.0380603326635265e-14,1000000.0,3.4639393163252085e-13,1.2879808241970966e-72,20000.0,100000.0,-3.797710397848158e-15,20000.0,0.026937392215520235,2.5863886743379396e-07,4.629347841992955e-11,4.579726306862188e-09,2.130337254658673e-18,8.460936072475628e-13,-3.983332397846363e-14,1.6323167441584865e-80,1.1861417303140478e-75,2.1223838084718464e-12,9.240166021218204e-15,-1.1712842223397475e-13,2.2762134387476736e-13,2.9761100758606746e-77,8.322802117932703e-72,1.6704788222883968e-13,-2.599091958759973e-14,3.3068443493839616e-18,3.7684187975162904e-67,1.0830849544893657e-37,-2.2201261593880657e-68,500000.0,-2.5299092679825008e-67,-5.06322628172505e-68,100000.0,-5.478758231366146e-69,2.4938787595444335e-68,500000.0,-5.550791641484902e-68,-6.712390789676524e-69,-6.283658160816665e-70,100000.0,5.686398983646453e-73,4.100228804009968e-73,100000.0,1.3701770667727103e-16,6.28504490341161e-36
200,2999.963288464665,199.96067378642692,99.99999999996345,20000.00000000127,-1.0306730535856922e-09,-4.714633229823439e-15,1000.0000000000076,9999.999999999993,1.2255785747543222e-13,39999.999999999985,-1.4876913871658805e-11,10000.0,100000.0,6.010245055077042e-15,1000000.0,-6.609642380486248e-13,1.3550103006790547e-70,20000.0,100000.0,4.7991815766859264e-15,20000.0,0.04414724047293833,8.410435019132703e-08,-7.202656541098621e-11,3.64537087301583e-09,6.558819491807386e-19,1.4378865843408636e-12,1.4458697715617988e-12,-3.1759208295832777e-80,-3.3663152314815644e-75,9.149015184258926e-12,-7.5224725984291e-15,1.2642119903032376e-13,-6.727940231799418e-13,-3.611889026640224e-77,5.939830040263622e-72,-3.1514291018398105e-14,-1.4533076506092058e-14,-3.639925986164763e-17,-7.921393754161589e-68,-4.4693728430008995e-37,-9.951919180591725e-69,500000.0,7.75295435127459e-67,3.2947611466754024e-68,100000.0,-1.6910789596819501e-68,-1.1800055226483884e-68,500000.0,-2.8935884902397633e-68,8.391300482960497e-69,-2.6995914643704312e-70,100000.0,-7.319586412626465e-73,2.671267814848233e-72,100000.0,2.683587377202228e-16,-1.8478828418387418e-35
300,2999.926457122527,199.94163604205883,100.00000000001894,19999.999999991378,9.249125266092535e-10,6.228266951731547e-15,1000.0000000000047,10000.000000000005,-2.4377068693609994e-12,40000.00000000002,-2.0538888274320483e-12,10000.0,100000.0,1.0495538260011373e-14,1000000.0,6.617963566011593e-13,1.1016181885453812e-70,20000.0,100000.0,-3.421571527463986e-14,20000.0,0.05734336090351981,2.3197741559088966e-07,-4.887184929641856e-11,5.714963766229331e-09,1.6432957238707358e-18,7.135308320453187e-12,-3.5948130030475977e-12,-2.6403402487350143e-80,1.9167495990290927e-75,1.7761172151491205e-11,1.0395637500604534e-14,-7.677777077717606e-14,1.046227122828127e-12,-1.894190094841576e-76,1.5984840404917161e-71,1.6808168438425311e-13,7.179108534792168e-14,-4.2446465870000426e-17,-4.0572327320283915e-67,1.2426795172315789e-36,1.7265675551403375e-68,500000.0,3.8730813929487944e-67,-3.4773100872243153e-69,100000.0,1.6265245874092612e-68,-7.0245827492780225e-68,500000.0,-1.2910742781106e-68,-1.8956674313749223e-67,9.715263879274803e-70,100000.0,6.716868291753698e-72,2.888940191913719e-72,100000.0,1.5458241939793795e-16,1.7223717718711005e-35
400,2999.916647531789,199.90079112704487,100.00000000006035,19999.999999996864,-2.5592588883762394e-10,-3.235258075868903e-15,1000.0000000000063,9999.999999999993,-1.3360842384496903e-12,40000.000000000015,1.1245027671622712e-11,10000.0,100000.0,-2.3020765696354352e-14,1000000.0,8.086845487549367e-13,6.953254557333026e-71,20000.0,100000.0,1.718804896731704e-14,20000.0,0.09421969175332835,2.79855577707616e-07,-9.543606793838278e-12,5.09434176473226e-10,6.962629873616543e-19,8.562457680202822e-12,-3.617507820058731e-12,5.686131560034663e-81,-1.6946057809045042e-75,-1.66472190981396e-11,6.219809794014265e-15,-1.6870633305500412e-13,-6.262238968311478e-13,7.002307608262367e-77,2.3297906856357706e-72,-6.919796029703324e-14,3.7821381259660484e-14,-4.4028497556565256e-17,-2.6395680836175257e-67,7.57507987862858e-37,1.355494559985562e-68,500000.0,-3.894216888942271e-67,-2.8721370722254114e-68,100000.0,-2.0339203361783586e-68,-5.516999680943605e-68,500000.0,-3.0157468518329164e-68,6.4057678386494606e-68,-5.920258397960194e-70,100000.0,-7.399326995962956e-72,-4.333913998540901e-73,100000.0,-1.2380435158237495e-16,-8.970050565244513e-36
500,2999.874060413814,199.88434613417692,100.00000000001037,19999.999999987493,5.9847632915146276e-09,-2.663274618599747e-15,1000.0000000000014,10000.000000000007,1.8076607605056736e-12,39999.99999999999,1.6348726724228704e-11,10000.0,100000.0,-1.2042991382671177e-14,1000000.0,6.228749375673782e-13,-1.6914363889851262e-70,20000.0,100000.0,3.188705545563075e-14,20000.0,0.11579501264182682,2.567076687290383e-07,2.943892143795983e-11,-4.439548129761158e-09,3.3702647185632234e-19,1.319123532451618e-12,-2.314414670712383e-12,-7.026030061485627e-81,2.502184513856333e-75,-1.4248320917174071e-12,3.2811006494520098e-15,1.7689603266215e-13,-1.7314441201011892e-13,-1.8067811857640578e-77,2.5028902405069025e-71,-7.339040370641847e-15,7.226274995211057e-14,1.6627610913263657e-17,8.269504040261363e-68,-1.5993060136798203e-36,-1.2593454410898523e-68,500000.0,-4.547934420552665e-67,8.748039260952736e-68,100000.0,-2.402982072211765e-69,6.505556267237114e-68,500000.0,1.9049424129903979e-69,-1.93242879810056e-67,-7.050546181101265e-70,100000.0,1.059170108105174e-71,6.116740490523372e-73,100000.0,5.2233643237236465e-17,1.8641817487975132e-35
600,2999.870730518984,199.87281291312428,100.00000000002868,19999.999999992142,4.067695339284461e-09,-1.6850278860847919e-15,999.9999999999947,10000.000000000002,2.011448331087849e-12,39999.999999999985,-5.962285000468769e-12,10000.0,100000.0,1.1858219317423537e-14,1000000.0,-3.6289242431189026e-13,1.1942795896028642e-71,20000.0,100000.0,-3.3866786730323926e-14,20000.0,0.1596168068130877,5.599078845837723e-07,7.875694269694684e-11,5.902758568011481e-09,1.7283449419307754e-18,8.167953818845615e-12,-9.354536674909434e-13,-4.409243917145161e-80,-3.5993149397513695e-75,3.923902706053429e-12,-7.949168008718903e-15,-1.480037559245851e-13,-3.343382256909954e-13,1.561327030953461e-76,-1.31841538190197e-71,2.1922078869086932e-13,-4.089988512501098e-14,-4.330486668886655e-17,-2.9848624509119406e-67,1.6885086703775595e-36,3.3289382748406504e-68,500000.0,5.595123019876467e-67,1.0045412235592107e-67,100000.0,9.870942233833497e-69,-5.506918148383699e-68,500000.0,-8.695647179129708e-68,1.5609203171309852e-67,-1.2357154215060568e-70,100000.0,9.969099482941865e-72,3.5626651743753324e-73,100000.0,-2.0639995669230425e-16,8.157964873907687e-36
700,2999.8452430262887,199.83240417696945,99.99999999996318,20000.000000008404,4.454856144614765e-09,-3.972535641743448e-15,999.9999999999951,10000.000000000007,-1.7838320593943612e-13,39999.99999999999,1.851047155398104e-12,10000.0,100000.0,2.5899072990449228e-14,1000000.0,4.860312491355863e-13,1.2945847190855586e-70,20000.0,100000.0,-1.2606024736706954e-14,20000.0,0.15492420847413158,9.154550448244158e-07,-7.1060991638358936e-12,7.829701890071592e-09,1.1641494864740235e-18,-1.3071694564498126e-12,2.9273282085811854e-12,1.1906790288516925e-80,4.0834334402024127e-75,-5.147969941701085e-12,-9.114986480780307e-15,-2.3878831638999412e-14,-1.3988652737504613e-13,-1.2869033203496566e-76,2.56888598235936e-71,3.862931592522435e-14,7.235119201155049e-14,2.7736694793339627e-17,-4.433119927004007e-68,-5.3950148153675556e-37,5.878107786329625e-69,500000.0,4.5307599343869233e-67,6.935042848997765e-68,100000.0,2.248076963441339e-68,-5.667539357664557e-68,500000.0,-4.849032071668711e-68,-1.4458190938762967e-67,-9.467757152144024e-70,100000.0,6.39559920336657e-72,7.626994960756668e-73,100000.0,-1.8243532063028218e-16,1.6841260843390417e-35
800,2999.820777025634,199.8053171415682,100.00000000003912,19999.99999998466,4.238606777215941e-10,-5.2813860970722015e-15,999.9999999999932,9999.999999999993,1.753374704644273e-12,40000.00000000001,1.5113612830912663e-12,10000.0,100000.0,-2.4245076311042984e-14,1000000.0,-5.519499794947459e-13,-8.213543727273263e-72,20000.0,100000.0,2.0680811744721537e-14,20000.0,0.19177575242365427,3.2294832889623327e-07,-2.8791416549819342e-11,8.122114092504711e-09,-1.064017638215697e-18,-6.1555450841787474e-12,3.2554581453236023e-12,2.9493541122666144e-80,-1.2589326773189385e-75,-3.788772009394581e-12,-1.0129345555291602e-15,-1.2405052184924324e-14,-9.39529716001294e-13,-2.107216219249433e-76,-2.0300196223510274e-71,1.6867755122857045e-13,2.2562679851346525e-14,2.838341238516789e-18,-7.644681293030079e-68,1.3898788325124624e-36,-2.7126961813362633e-68,500000.0,6.612776801239796e-67,-7.565358768351707e-68,100000.0,-8.834632209148494e-69,-4.8624288053003876e-68,500000.0,3.2518053516511466e-68,-1.3860342873478105e-67,-9.027551735413894e-70,100000.0,-1.0188384013770413e-71,-1.2726001538413104e-72,100000.0,-1.5372797291921888e-16,1.670167933443868e-35
900,2999.784388244451,199.7687944295856,99.99999999997402,20000.000000004038,-8.072283221212491e-10,2.663116798697823e-16,999.9999999999977,9999.999999999998,1.272330954044992e-12,40000.000000000015,1.3681631758148076e-11,10000.0,100000.0,-2.4056840893395055e-14,1000000.0,-3.2301766365603725e-13,1.5232654084633863e-70,20000.0,100000.0,3.522107177183138e-14,20000.0,0.22309329214718324,6.18603007159039e-07,5.551460267783657e-12,5.020041793163461e-09,6.32003168508607e-19,3.812549686866146e-12,8.774171194259887e-14,-2.8538292159002e-80,9.75019822999858e-77,-1.6473599316998994e-11,1.1923109625639406e-14,-3.7486940251967616e-13,-8.87153517476204e-13,-1.7330898832349973e-76,-1.2478002043611721e-71,1.8429304094412754e-13,-6.997813838466284e-14,1.5208956385455962e-18,-6.488332597825311e-68,3.3869686506495694e-38,-3.906530013544592e-68,500000.0,3.4890091993875016e-67,1.4291525129446423e-68,100000.0,2.0238231204409132e-68,-4.018809830366951e-68,500000.0,3.5726794139045723e-68,-3.3005585507420534e-67,-6.7075699129672144e-71,100000.0,-6.00101628568138e-72,-3.443857169617206e-72,100000.0,2.543063858118911e-16,3.756851760871856e-36
