miliseconds,L,R,flip,pC8,C8,C6,BAR,pC3,C3,Bid,tBid,pC6,XIAP,C3_Ub,PARP,CPARP,Smac,Bcl2c,Bax,Bax_hash,Bcl2,L_R,R_hash,flip_R_hash,R_hash_pC8,C6_pC8,BAR_C8,C8_pC3,pC3_Apop,Apop,C8_Bid,C3_pC6,XIAP_C3,PARP_C3,Apop_XIAP,Smac_XIAP,Bcl2c_tBid,Bax_tBid,Baxm_Bcl2,Bax4,Bax2_Bcl2,Bax4_Bcl2,M,Bax4_M,M_hash,Smacm,M_hash_Smacm,Smacr,CytoCm,M_hash_CytoCm,CytoCr,CytoC,Apaf,CytoC_Apaf,Apaf_hash,pC9,Baxm,Bax2
0,2999.9959696958585,199.98683797096348,100.00000000003574,20000.000000002397,-2.7608802598976344e-11,6.611171243701211e-15,1000.0000000000024,9999.999999999995,-5.609257832889255e-13,39999.99999999999,-7.839533813252654e-12,10000.0,100000.0,-2.0051942774162067e-14,1000000.0,9.335616957079373e-14,8.466464127104047e-71,20000.0,100000.0,-3.446392294572176e-14,20000.0,0.013828584115471849,3.898444781288481e-07,-4.428058625495388e-11,4.04458528286731e-09,-1.4540953009670952e-18,-9.854417169036112e-13,3.7427804158975274e-12,-2.1129830058746535e-80,-2.434529831945307e-75,-1.791753315078923e-11,1.0920570402924534e-14,-2.832256940628151e-13,-5.862136132888319e-13,-2.1508357954362067e-76,-2.6178096581572448e-71,-2.529064678804831e-13,-1.3124689924881438e-14,-1.7145695790508368e-17,1.4734323521271352e-67,-1.4155819849201343e-36,-2.0279033090590843e-68,500000.0,2.9555283877674122e-67,4.80721608177736e-69,100000.0,1.3573721934313272e-68,-9.883653323446907e-69,500000.0,-1.0671187891342485e-67,-2.7388562855719854e-68,-5.393376623020555e-70,100000.0,2.5978882937627975e-72,2.515145425913093e-73,100000.0,2.6025315465933156e-16,-1.896023614469356e-35
100,2999.960673712544,199.96641328636647,99.99999999999778,20000.000000006377,9.761057628366498e-10,-8.505776213656062e-15,1000.0000000000084,10000.000000000002,-1.8692355559022964e-12,40000.00000000001,7.2409057478450774e-12,10000.0,100000.0,-1.2044461487390771e-14,1000000.0,-4.9961445918680767e-14,2.4608972875032623e-71,20000.0,100000.0,-9.494716456179729e-15,20000.0,0.032424819273469116,-3.152178152385283e-07,2.5676791940611067e-11,-2.3768680785207695e-09,-7.985725910636556e-19,8.308626326751398e-13,-4.070118361272156e-12,-2.973790236218268e-80,2.2626087355904807e-75,-7.713485560343846e-12,5.553084357431874e-15,-3.5156488502915735e-13,-1.393530248614378e-13,-1.4757134401051459e-77,-3.039454614438692e-71,1.486761066355435e-13,-6.96679099131801e-14,1.267066793287146e-17,-2.601866925635531e-67,-1.6021061397794774e-36,-3.786025759729871e-68,500000.0,-4.7938535963773426e-67,-3.4328034666955495e-68,100000.0,6.778133752557139e-69,1.8020165642351364e-68,500000.0,5.799922450852718e-68,-1.877759216945525e-67,6.220022779184726e-70,100000.0,-1.2292571178018087e-72,-1.8099142942338e-73,100000.0,2.667548894179047e-16,1.1273143797384837e-35
200,2999.960041549327,199.93921784091208,100.0000000000545,19999.999999998512,-4.7821748802528915e-09,4.0211067049446923e-16,999.9999999999953,10000.000000000005,-1.0365410465567657e-12,40000.00000000001,-1.59732734775033e-11,10000.0,100000.0,-1.2281915389036602e-14,1000000.0,8.067286939034142e-13,1.2735789839298775e-70,20000.0,100000.0,-4.453757966902353e-15,20000.0,0.03249126692813881,-2.7307252737880976e-07,5.894984850522469e-11,-7.888739714999144e-10,1.2798525408834832e-18,-2.3719498230973664e-12,-3.7382436189210954e-12,2.87513187490966e-80,1.0776456322291824e-75,-4.581992924691472e-12,-8.806347766573094e-16,2.958510191422202e-13,-6.602337532972621e-13,-4.654065862112646e-77,-1.120581327537509e-71,1.3597234616277512e-13,1.734385808214713e-14,-4.207408138631286e-17,5.79680413536571e-68,-1.840291327821249e-37,-4.1070845876389116e-68,500000.0,-6.885390585317293e-67,-1.5462067003290285e-68,100000.0,-5.504083173725155e-69,-2.5612403174790797e-68,500000.0,-9.669652113503623e-68,-7.637990150030043e-68,1.0428163407301158e-69,100000.0,8.09142373070853e-72,-1.0220015797843204e-72,100000.0,-1.4706151949945032e-16,-1.1879896269824761e-35
300,2999.942547735886,199.9358174222143,100.00000000001832,19999.999999993266,-5.180351491963034e-09,6.5812174037370185e-15,999.9999999999935,9999.999999999993,-1.3647780127734775e-12,40000.00000000003,-8.960196888449597e-12,10000.0,100000.0,-1.1890182402047506e-14,1000000.0,-4.706365427795516e-13,-1.2123160957706541e-70,20000.0,100000.0,3.32517922861528e-14,20000.0,0.05665040095536134,3.3699039571604076e-08,-5.217599107333136e-11,-5.5624851304614575e-09,1.4787645107692142e-18,-5.505494801831191e-12,-2.009363023807767e-12,-4.382818504881359e-80,2.0139574478977915e-75,2.3987591618517708e-12,-7.994902282767542e-15,-1.3539710135631779e-13,4.61775809963291e-13,4.082349203445817e-77,-6.947652724913556e-72,7.671942647586761e-14,-8.195579719227609e-15,-4.419261921767485e-18,1.2934725249669168e-67,9.502930493869233e-37,-3.970933179132465e-68,500000.0,-3.020716083141365e-67,-9.87858439711437e-68,100000.0,-5.411668912941639e-69,7.050110492284722e-68,500000.0,7.756240039303713e-68,-2.3637030871437334e-67,-4.190772366999634e-70,100000.0,-1.1422791020463773e-71,-1.1216352176185001e-72,100000.0,-6.048627630079975e-17,4.702318208271429e-36
400,2999.903586834532,199.90323600481048,100.0000000000617,19999.999999995,-3.184128303323746e-09,1.1269890338166721e-15,999.9999999999932,10000.000000000002,1.386127387306571e-13,39999.99999999996,-6.816911097442077e-12,10000.0,100000.0,-1.4374190602330573e-15,1000000.0,-3.829582509847069e-13,-6.963339543368906e-71,20000.0,100000.0,-3.005938599350063e-14,20000.0,0.07989274151487233,2.352938734256693e-07,2.8100244751112557e-11,2.325324331615043e-09,-1.2575767297684965e-18,6.544560166626513e-12,-1.775679567529139e-12,-4.151337610622022e-80,-7.947874769311925e-76,-6.67569318447444e-12,2.734291971742841e-15,-1.5183457054992069e-13,8.384311652781944e-13,-6.4505435197828016e-77,5.421393368595055e-72,-2.285267055720326e-13,-6.140980055139175e-14,-3.394509979217284e-17,-4.1613560732837134e-67,-2.961378925139161e-37,-9.130124384333251e-69,500000.0,-2.1268594684354302e-67,-1.2469792790343073e-68,100000.0,3.4642342135809017e-69,-4.617825477550904e-68,500000.0,-1.5619558941980072e-68,-1.7527983466195797e-67,1.0152600638551305e-69,100000.0,-9.107684409159122e-72,2.357658478854493e-72,100000.0,-1.8634458032941158e-16,2.0538256580878226e-35
500,2999.8844435958745,199.87423849049736,99.99999999993985,19999.9999999907,1.6665103859151947e-11,-8.852256205484774e-15,999.9999999999972,9999.999999999995,-1.9142377550203821e-13,40000.000000000015,-7.970187647083619e-12,10000.0,100000.0,-1.689119868009726e-14,1000000.0,-6.265714040420176e-13,-1.5250193211746725e-70,20000.0,100000.0,1.6789910410179636e-15,20000.0,0.1358206293094325,1.0517835572922017e-07,-1.998402616546956e-11,-1.4695188822221813e-09,-1.4730966413211446e-19,-6.041107713355031e-13,3.0616462427396555e-12,4.248591809400941e-80,-8.315625215057316e-76,1.4811815220530735e-11,-1.4731115587812128e-15,2.141996242249845e-13,-1.1155306935268013e-13,2.1532050663409867e-76,6.259120085289528e-72,2.3759580527746594e-13,3.985579797115665e-14,-3.385159002211454e-17,1.7156367556523468e-67,1.2676340575607203e-36,-2.791976203698333e-68,500000.0,2.5861217746749195e-68,8.40210481086196e-68,100000.0,-1.428975991976404e-69,-5.89524424111149e-68,500000.0,-1.7056654792699639e-68,-7.347382983833401e-68,6.76329366111871e-70,100000.0,3.2267619313949114e-72,1.7234663300238178e-72,100000.0,-1.3965966103973255e-16,-1.0435399299430749e-35
600,2999.864547430478,199.85517197626365,99.99999999995985,19999.99999999722,-7.66844537294538e-09,-5.017711854258575e-15,999.9999999999918,10000.000000000002,-1.0658846818969053e-12,39999.99999999997,1.291776743534735e-11,10000.0,100000.0,2.04133300278124e-14,1000000.0,5.019117464999621e-14,7.625841675933537e-72,20000.0,100000.0,-2.20724868388196e-14,20000.0,0.13611435130786845,1.5102085760777512e-07,8.095476610391922e-11,-2.8611722127863675e-09,7.419687259017366e-19,2.6271965522355158e-12,-4.3957230033537e-12,1.871983502131219e-80,1.6571867027091009e-75,6.492937924820558e-12,3.1276036125872823e-15,-3.4036881882660086e-13,-8.251510245341233e-13,1.0629730874200394e-77,-2.6543722215479683e-71,1.2340550546787686e-13,-3.302968954143501e-14,2.4022088930772077e-17,-1.9077516079588644e-67,-1.5938080523697904e-38,2.846226170814573e-68,500000.0,-3.567239046620238e-67,7.91488335647781e-68,100000.0,-2.275443989799903e-68,-1.163599969758298e-69,500000.0,7.432359166021303e-68,-3.3431655066640156e-67,-4.732573831796603e-71,100000.0,1.0176853918832003e-71,2.481450848514728e-72,100000.0,-1.406774758597399e-16,1.5384481930229325e-35
700,2999.83347845761,199.83934893986412,99.99999999998137,19999.999999984375,5.699965773690721e-09,-6.845615863895536e-15,1000.0000000000056,10000.0,1.5160706761341973e-12,40000.000000000015,-1.0703852889318792e-11,10000.0,100000.0,-2.4995427829709635e-14,1000000.0,-7.598983056534165e-13,-1.3243295526576958e-70,20000.0,100000.0,2.4729742657947494e-15,20000.0,0.1840486594477745,7.16245295531212e-07,2.4807474413868302e-11,3.1580255481440813e-09,4.666159664783251e-19,3.2103208409637607e-12,7.281457104842125e-13,-4.741651203940362e-81,1.8746480284186816e-75,-1.1701328300324463e-11,-3.768950591617061e-15,1.4333863264522122e-13,-9.203666895784908e-13,-5.584218822206454e-77,2.4701843526571806e-71,-7.657484721714989e-14,3.004584800413334e-15,3.964435898135551e-17,-2.8227576707457948e-67,3.6435932287690577e-37,-2.0423239838346193e-68,500000.0,-1.970983362581607e-67,-1.0094491095311756e-67,100000.0,-3.557943460063129e-70,2.4480166416589387e-69,500000.0,5.317379190072841e-68,2.7917406969930007e-67,1.1081554182811883e-69,100000.0,2.053069755514496e-73,-5.052849886921839e-73,100000.0,-1.6752227195322923e-16,-9.912309705651225e-36
800,2999.799754667146,199.80813886266972,99.99999999997249,19999.99999999992,7.371378247642504e-09,-6.951883516248758e-15,999.9999999999915,10000.000000000005,-2.1144842241903373e-12,39999.99999999998,1.0505278174664706e-11,10000.0,100000.0,3.957109836505197e-15,1000000.0,6.908927247001946e-13,1.0177760645097249e-70,20000.0,100000.0,-2.8173825719601017e-14,20000.0,0.20778121490405507,7.171278501843549e-07,4.087302245324814e-11,2.202653150304126e-09,-1.489427548054501e-18,-8.182376449884917e-12,-2.4839458550041824e-13,3.1395916207854076e-80,5.153383675193474e-76,1.0701699681031075e-11,-7.632281449052464e-16,-2.7370766064926653e-14,4.842580532941137e-13,-3.1945897154224333e-77,9.02330469683461e-72,-1.46989914989592e-13,-3.442600868166987e-14,2.814668881608824e-17,2.8028368131957653e-67,4.993114784810945e-37,-2.9404357884864385e-68,500000.0,-1.9727354514217577e-67,9.573131336046827e-68,100000.0,1.4062626110635611e-68,2.979953562157024e-68,500000.0,-2.611929072038403e-68,-9.359949274523577e-68,-1.0724615906839226e-69,100000.0,1.0217069347610236e-71,8.576513078682742e-73,100000.0,1.1655330933372977e-16,-1.7450782921566262e-35
900,2999.76814174339,199.78413903498205,100.00000000000767,19999.999999998214,-4.535852600280634e-09,4.7140788778419066e-15,999.9999999999989,9999.999999999998,-1.784889696032657e-12,40000.00000000001,-8.714102106219364e-12,10000.0,100000.0,1.4185431475616989e-14,1000000.0,1.0639889600388597e-13,1.5887452443578537e-70,20000.0,100000.0,4.537661840287941e-15,20000.0,0.20057482884607597,5.417933828100638e-07,9.313246082981277e-12,4.861907348058281e-09,-5.008004648533694e-19,1.1871774257888521e-12,2.768701863631965e-12,-1.11006209639728e-80,2.9590454835180473e-75,2.730207553933045e-12,8.961565221733898e-15,2.041812743553413e-13,8.812244476673975e-13,4.4562840527340585e-77,2.0048910282214605e-71,1.370279966398946e-13,-5.6121373375401566e-14,-1.9923895193923184e-17,-3.859494165020071e-67,1.2311330936286705e-36,-2.4145008117222666e-68,500000.0,6.64000921235757e-67,2.651514019388634e-68,100000.0,2.2069343322648144e-68,3.0811959466595643e-68,500000.0,1.1655875577692627e-67,-1.228273613328815e-67,-6.050784328221705e-70,100000.0,-1.1150963209157077e-71,-1.40023165802051e-73,100000.0,-5.555438297347048e-17,5.300539661153154e-36
