miliseconds,L,R,flip,pC8,C8,C6,BAR,pC3,C3,Bid,tBid,pC6,XIAP,C3_Ub,PARP,CPARP,Smac,Bcl2c,Bax,Bax_hash,Bcl2,L_R,R_hash,flip_R_hash,R_hash_pC8,C6_pC8,BAR_C8,C8_pC3,pC3_Apop,Apop,C8_Bid,C3_pC6,XIAP_C3,PARP_C3,Apop_XIAP,Smac_XIAP,Bcl2c_tBid,Bax_tBid,Baxm_Bcl2,Bax4,Bax2_Bcl2,Bax4_Bcl2,M,Bax4_M,M_hash,Smacm,M_hash_Smacm,Smacr,CytoCm,M_hash_CytoCm,CytoCr,CytoC,Apaf,CytoC_Apaf,Apaf_hash,pC9,Baxm,Bax2
0,2999.98953663908,200.01474666564812,100.00000000000394,19999.999999998927,7.247641737687978e-09,8.58289899263178e-15,999.9999999999915,9999.999999999996,-2.1650106833654963e-12,39999.99999999997,4.969870563108866e-12,10000.0,100000.0,2.1121459306755592e-14,1000000.0,-5.90749254347239e-13,-2.268935933021916e-72,20000.0,100000.0,-4.5473625643640433e-14,20000.0,0.014648373904216697,3.7026239603862623e-07,4.572106299665492e-11,1.6259829592579761e-09,-1.150631334596634e-18,-6.498394043641918e-12,-1.8912304768527857e-12,1.3010240801828956e-80,-1.2617300524150327e-75,3.346154522602585e-12,3.883120576270046e-15,2.1904619150660018e-13,1.185272215315218e-12,7.238105487750734e-77,3.1653464292149308e-71,1.6643868147198588e-13,-8.917667936107768e-15,3.079873433383032e-17,2.228553611937353e-67,-1.0259204295504935e-36,-1.4144848361468802e-68,500000.0,-7.156513445855335e-67,9.64784515923908e-68,100000.0,-2.296752643665818e-68,7.84928828941508e-70,500000.0,-1.0015240712633608e-67,-3.0300133883079095e-67,7.186055630797338e-70,100000.0,4.50276358808111e-72,-1.0817320375356989e-72,100000.0,-1.141262214013173e-16,-1.8607931474370667e-35
100,2999.9741678577375,199.963780841556,100.00000000002042,20000.000000004264,-6.4969554553227915e-09,-5.1797502573913464e-15,999.9999999999939,10000.0,-2.0406393789014617e-12,40000.00000000002,7.877993218725393e-12,10000.0,100000.0,8.354809615467691e-16,1000000.0,2.3363314577344315e-13,1.210103165537079e-70,20000.0,100000.0,-5.3252626250913147e-14,20000.0,0.01070058899610156,-3.3888717793714536e-07,-7.224289269251796e-11,4.328823872268031e-09,7.434703749991722e-19,3.5391042282207995e-12,1.6118356979034458e-12,-2.285112255582975e-80,-2.818305432069045e-75,-1.4337147034477064e-11,5.902728773940977e-15,1.535930851325753e-13,2.6854400449452455e-13,-8.396068636757911e-77,1.9926108205008195e-71,-1.632484797691236e-13,1.953229460636521e-15,2.9135776685737582e-18,3.034078133019133e-67,-2.451479805816071e-38,-2.5263903517849795e-68,500000.0,-1.2291621054682842e-67,2.025051086204774e-68,100000.0,8.704906445423225e-69,-2.7880195715494174e-68,500000.0,-6.325142131043882e-68,-2.220703962681696e-67,-8.50344444572959e-71,100000.0,9.28868810760723e-72,7.189132521684423e-73,100000.0,7.616708188348699e-17,3.2450651357014566e-36
200,2999.966718597752,199.95802778755782,99.9999999999308,20000.000000011853,7.810595482897976e-09,-1.5940150545316755e-15,999.9999999999985,9999.999999999996,-3.361705889177e-13,40000.00000000003,-2.0700538908654722e-12,10000.0,100000.0,-8.128767531680883e-15,1000000.0,7.747409311593552e-13,-4.181164527711704e-71,20000.0,100000.0,-4.389207702862138e-14,20000.0,0.04935015213527061,-6.066769821839679e-08,-2.52313128566356e-11,-1.8393314762559385e-09,-6.34666914104829e-19,3.2049950343015464e-12,-9.320107525717532e-13,-4.9766802268702096e-82,-4.298424481354308e-76,1.368685390644774e-11,1.1650158478062544e-14,-5.735954634263513e-14,-5.906902026563029e-13,2.2606152293538648e-76,-2.8609346549086836e-71,-2.0253344377182895e-13,-5.1132419680918195e-14,-3.218988736442452e-17,3.150270919753352e-67,-3.4639452327207407e-37,4.5661623168186977e-69,500000.0,4.2298916517639e-67,7.215492874458685e-68,100000.0,7.872479249375884e-69,-1.3627069449766814e-68,500000.0,-2.9455848106080368e-68,2.9624037875840038e-67,4.143613528839075e-70,100000.0,4.0266012882867035e-73,-2.125282374602681e-72,100000.0,-7.203859663127168e-17,-1.3752832535787858e-35
300,2999.9291449131806,199.93375984041867,99.99999999995002,20000.00000000334,8.208623723027062e-09,4.083728683382966e-15,1000.0000000000036,9999.999999999998,-1.732380576343126e-12,40000.00000000001,-1.695952231339018e-12,10000.0,100000.0,2.652172998507673e-15,1000000.0,-5.354685655822856e-13,-1.4214520539880414e-70,20000.0,100000.0,-4.8403355409952164e-14,20000.0,0.06987481862979915,-3.0513522996166334e-07,-6.460837724830404e-11,3.1976564481472697e-09,9.617969574693501e-19,8.62402245369616e-13,-3.59982306668035e-12,7.293413426843227e-81,2.7307371030789284e-75,3.0062983398290834e-12,8.999922986548704e-15,-1.119559294782043e-13,9.8179683401613e-13,-3.602796147186285e-77,-2.4606877878970863e-71,-2.2687699736836383e-13,4.809626035867288e-14,-7.75855685851232e-18,-2.8693172986320925e-67,-9.402165475675725e-37,3.541317131459655e-68,500000.0,7.314243962258061e-67,6.893088372700565e-68,100000.0,1.583966021637068e-68,6.96925127623789e-68,500000.0,-4.012608302552151e-68,-2.2875317492523245e-67,-1.4747351457729936e-70,100000.0,-4.927392073580857e-72,-3.6591881829209737e-73,100000.0,-2.3351878193089094e-19,-1.753455231754846e-35
400,2999.9207598878097,199.92138482628548,100.00000000003156,20000.000000007643,-3.0613259764234444e-09,1.3068034437227291e-15,1000.0000000000083,10000.000000000007,-5.67097329731585e-13,40000.0,-1.6145388843659892e-12,10000.0,100000.0,-5.7957744921391114e-15,1000000.0,-9.739020979705195e-14,-1.7206538328270423e-70,20000.0,100000.0,-4.200289292667147e-14,20000.0,0.08590637325671908,4.879910333957316e-07,6.391782445178632e-11,5.894284692338251e-09,-1.2928392252707374e-18,-8.416704119115542e-12,1.6156139601017381e-12,-3.69513192083613e-80,-6.731910092201226e-76,1.2024149988174546e-11,5.483666541456852e-15,2.3331198271832175e-13,6.933396494702724e-13,1.500713103759004e-76,1.4145926013552963e-71,-1.8075349763561026e-13,4.638146645621017e-14,7.049381014419171e-18,2.036630114319037e-67,-2.9514654805687683e-38,3.738415220815413e-68,500000.0,-1.1307013333644524e-67,-9.739188303772357e-68,100000.0,-6.697149863746872e-69,5.892554832662156e-68,500000.0,-8.67577112269454e-68,-2.6607044306330828e-67,9.31398531179717e-70,100000.0,1.229292532667452e-71,2.102643614704875e-72,100000.0,-8.571199328750514e-17,-1.8202292199146322e-35
500,2999.8652292990773,199.8814807007939,99.99999999995336,19999.999999990097,-7.731037492778338e-09,-8.692959420674821e-15,1000.0000000000013,9999.999999999998,-1.9503704389908167e-12,39999.99999999998,1.1124476137096262e-11,10000.0,100000.0,2.250367708591916e-15,1000000.0,-6.18885827259547e-13,1.0460377534266148e-70,20000.0,100000.0,1.066519946727037e-14,20000.0,0.11811116206074805,2.5377271265435325e-07,6.205414777427784e-11,-3.4980366946657755e-09,-1.178595795181236e-18,3.912430334273397e-12,-3.4446135445154636e-12,1.1183182057952674e-80,-3.5879309156795285e-76,-3.4202298032325133e-12,-9.190868645690255e-16,2.2696393320582726e-13,5.75119624682084e-14,-2.1934652590715076e-76,-1.0488791306072708e-71,-5.5483739543289284e-14,-4.870003919095618e-14,2.5525928525858706e-17,-1.1162924668488269e-67,6.970959048344887e-37,-2.8218083886903295e-68,500000.0,6.931273561355217e-67,6.693327904012955e-68,100000.0,-1.5558467732536886e-68,1.486760716507161e-68,500000.0,4.760964399436349e-69,-3.698721354307092e-67,-5.437927413046374e-70,100000.0,1.0280327187207325e-72,-2.37332934435566e-72,100000.0,-2.2143299932807306e-16,-2.566022982005074e-36
600,2999.8628086079725,199.84227626531882,100.00000000003645,19999.999999995973,-7.469898162583698e-09,-2.3240632758701246e-15,1000.000000000006,10000.00000000001,5.220058418526451e-13,40000.000000000015,-1.327818490628023e-11,10000.0,100000.0,-2.6651200559053825e-14,1000000.0,-4.892910186982407e-13,-3.4733156533875466e-71,20000.0,100000.0,-9.713596731344695e-15,20000.0,0.13848053574248462,7.729296887759537e-07,2.9978739598868435e-11,6.3809457739338914e-09,-1.2781270555543466e-18,4.339843241465707e-12,4.161800259527633e-12,-1.729797476666433e-80,-5.8756911527302e-76,-4.565092159293263e-12,8.132760438607551e-15,-2.893461439372835e-13,6.681943697993786e-13,-7.383189398548801e-77,-3.0242767570652e-71,-2.321422125077617e-13,4.61331957370356e-14,3.6976420166583063e-17,-3.4683055871331745e-67,1.1111478487151204e-36,2.6030994024205607e-68,500000.0,3.595532736059644e-68,-7.029819455483832e-69,100000.0,-1.7408789794381307e-68,-3.7888706308915145e-68,500000.0,-4.9395047611410485e-68,-1.7582956634789033e-67,-1.3512100954707223e-70,100000.0,-8.309332869513389e-72,2.68857115730668e-72,100000.0,-2.5481332799566333e-16,1.0066535836557092e-36
700,2999.8278192071834,199.84149955799742,99.99999999998576,20000.000000010474,-1.114450807916268e-09,-6.609313798745293e-15,999.9999999999968,10000.000000000002,1.4046815392480222e-13,40000.0,9.02153869472458e-12,10000.0,100000.0,7.879892742698288e-15,1000000.0,-3.517329089240071e-13,1.1912791483958383e-70,20000.0,100000.0,2.4674870471076192e-14,20000.0,0.17717121255998222,1.0196162228457509e-06,5.3054335951476315e-11,2.4087251550866813e-09,-7.014728228790767e-19,7.745589024698565e-13,-1.59274295282591e-12,2.4907494386142053e-80,-3.664202709605111e-76,-1.299116767829264e-11,4.645612200545074e-15,2.509374535055637e-13,9.348968559833e-14,1.5640220515053312e-77,3.5515424227498973e-71,7.372346347789817e-14,3.440672847964736e-14,-3.284111314702089e-17,2.1119680973580033e-67,-1.797763565345829e-36,2.339527976469322e-68,500000.0,4.0596348626274474e-67,-6.562866471062962e-68,100000.0,-2.88823664016391e-70,-6.194119617111129e-68,500000.0,5.0118976163471416e-68,-1.2208645952238901e-67,-3.660321723214679e-70,100000.0,-1.339463594054577e-72,2.9297505449740164e-72,100000.0,-7.947701055603594e-17,-2.0129408437596995e-35
800,2999.8137683911036,199.80233776745294,100.00000000000618,19999.99999999114,5.951733984985006e-10,5.870245912581628e-15,1000.000000000003,9999.999999999993,-2.1928873324087565e-13,40000.00000000003,1.3633475424225316e-11,10000.0,100000.0,-2.3463897718391516e-14,1000000.0,3.142474812324386e-13,-4.8713483853122586e-71,20000.0,100000.0,-1.3802667995519438e-14,20000.0,0.1768419240873825,9.345895612798608e-07,3.732998788628492e-11,9.333062611415382e-09,-9.161004182556288e-19,6.3397934385021705e-12,4.453341421729775e-12,4.249270554742135e-80,4.867169071685278e-76,1.6085510220382796e-12,4.579724073284102e-15,3.622204892238027e-13,1.0089313037496382e-12,4.361739943671509e-77,-3.2287273239842694e-71,-1.0536322290100993e-13,1.9685138977464112e-14,-3.6960840122130253e-17,-2.764022424273038e-68,8.2109691638198e-37,-7.612130330259758e-69,500000.0,-3.027761295965766e-68,6.541130767385243e-68,100000.0,-1.0531236903511023e-68,-2.013462779447916e-68,500000.0,-5.051740961194446e-68,8.677325177057692e-68,-6.478087226691803e-70,100000.0,1.2547965086947063e-71,-1.365376794857675e-72,100000.0,-2.3045069731021225e-17,-1.3499687372179002e-35
900,2999.7813586270954,199.7917594251258,99.99999999991326,20000.000000005366,8.5950877240952e-09,-7.961617077058166e-15,999.9999999999998,10000.000000000007,9.991851171784912e-13,40000.00000000001,-7.29161089733348e-12,10000.0,100000.0,2.2040369871037284e-14,1000000.0,-4.986787134271882e-13,-7.599415968542941e-71,20000.0,100000.0,2.054507205896087e-14,20000.0,0.22680661327569232,9.631616366068725e-07,-3.18489005608051e-11,3.6648722758843465e-09,1.649622171525817e-18,7.643837547004466e-12,3.954088009494633e-12,-2.009193699904099e-80,-4.061248766310517e-75,1.2788925647031745e-11,6.0593303919966556e-15,1.008763666847201e-13,2.290279131434454e-13,2.274603205227807e-76,5.373820244761297e-72,2.356196580034087e-14,2.416256859425631e-14,2.1770129750116702e-17,-1.4824126945609195e-68,3.283308869923047e-37,8.102543148725224e-69,500000.0,-8.093448184717767e-68,1.0422674164892937e-67,100000.0,-2.4340189883333103e-68,-7.33388498445861e-68,500000.0,1.0067870118715486e-67,1.5463995427913337e-67,1.0345117950862616e-69,100000.0,1.2132708932053283e-71,2.484670165871197e-72,100000.0,-4.4906034784748644e-17,1.2105910266461655e-35
