miliseconds,CD95,FADD,p55free,Bid,PrNES_mCherry,PrER_mGFP,DISC,DISCp55,p30,p43,p18,p18inactive,tBid,PrNES,mCherry,PrER,mGFP,CD95L
0,116.0,92.97087953704651,154.9960747187159,236.00000692417663,973.0000600588171,5177.999995619829,0.1329463718705963,0.04147981810476686,0.0005556922016480483,-5.386246895711185e-05,1.7965204005797578e-06,1.4929737445679882e-08,-6.158054511570671e-06,4.163666371416069e-05,-1.4582175114907694e-05,6.366666095860833e-06,7.259369509432351e-06,16.6
100,116.0,92.71741220787652,155.03049680181465,235.99999481125366,973.0000261515613,5178.000001585213,0.29948505533669584,-0.00034799768632641677,0.0004814314714783393,-1.2884762464213749e-05,-1.456906560674163e-07,-9.689905889364913e-08,-3.7048159781279026e-06,6.443380303159169e-05,5.602085695429651e-05,4.397394428277915e-06,1.4993872064424207e-06,16.6
200,116.0,92.02874539033026,155.00281291432188,235.9999994721175,973.0000238484214,5178.000000956691,1.0118711729004792,0.013899209804049038,-0.0001244579390493306,4.367449797587678e-05,5.0221516938893766e-08,7.550945367319886e-08,-5.296615874593191e-06,-3.866677112003162e-05,5.854547822884877e-05,-7.827334925391625e-06,3.216027164418821e-06,16.6
300,116.0,91.6082218885672,154.98440364566054,236.00000407876064,973.0000366022432,5177.999990716387,1.3183116381744797,0.06296120109560013,0.0004298942385974861,-1.9909434124708876e-07,-1.622030005207108e-06,-6.570389512742603e-09,6.400933202050771e-06,1.767543401706662e-05,-9.205125338560921e-05,-5.356849708178406e-06,1.7811268407512182e-06,16.6
400,116.0,91.24685630780998,154.97803021961803,235.99999798793138,972.999995677077,5178.000010036599,1.6741060307319005,0.02420328071775151,-0.00020773196326215212,-3.7557779843261676e-05,8.915495522877066e-07,9.568583246087149e-08,-2.184367968568401e-06,-7.394447328508432e-05,8.393864456859875e-05,-4.525111259651509e-06,8.138481442415185e-06,16.6
500,116.0,90.80105266373806,154.95333306614944,236.00000318314855,972.9999042358562,5177.999996699955,2.204559756662696,0.07753843977424721,0.0010325626863012891,4.856946596533911e-05,-3.064647281225425e-07,-4.6850562189202e-08,9.859967958967797e-07,-4.2778332983815044e-05,-2.2621149814004456e-05,-3.3644118178985316e-06,-7.255186820333034e-07,16.6
600,116.0,90.45048672837015,154.92019021721072,235.99999688417276,972.9999309706277,5178.000003346392,2.849184438299414,0.02242765171364486,3.785904393246058e-05,1.943152703649721e-05,-1.7213860495178635e-06,-8.553689102724539e-08,4.671347433412523e-07,9.35486163090568e-05,-9.402991458651772e-05,4.58758877654632e-06,5.325504012616673e-06,16.6
700,116.0,89.90278444770145,154.93229876879232,236.00000484528803,972.9999777290309,5178.000007399826,3.0037397694543975,0.047789862655451314,0.0010353370512052383,1.351006642507416e-05,1.1812407930063884e-06,-1.1706138869401716e-07,1.7820130565283556e-06,1.4215107367160801e-05,8.950372477834209e-05,1.9386988191801514e-06,-1.2490615456814405e-06,16.6
800,116.0,89.28972487663438,154.88986781999782,236.0000065735287,972.999995210366,5177.999997933381,3.5220113660013412,0.09295560710240626,-0.0003581935712344589,-3.188534442176403e-05,-4.030448042845529e-07,8.057171882249129e-08,-4.417766966986308e-06,-8.399799571662669e-05,-9.952540601634383e-06,5.579720293964566e-06,8.63234091700386e-06,16.6
900,116.0,88.94873981032184,154.90598032850326,236.0000048459941,973.0000581648299,5177.999995173872,3.858421978273976,0.17915398778709885,0.0011294498218808074,-7.448889522513675e-05,8.692295076277711e-07,-3.4598006587942495e-08,4.3361019249737004e-06,3.848169068808394e-05,-9.110919655099026e-05,8.553358301899895e-06,9.670113287879158e-06,16.6
