miliseconds,Susceptible,Exposed,Infected,Recovered,Deceased,Total_population
0,9979600.994519955,19754.570510787355,163.74482390364244,21.275624609060028,-5.488050648070997,10000000.0
100,9979278.202328436,19238.64216118963,595.3103877575943,58.57982725476868,-2.1627996379879826,10000000.0
200,9979688.808572447,18721.13359619594,1511.374493598392,120.92721188497354,-3.34933598356854,10000000.0
300,9980026.963304993,18235.745925633506,2190.384032233908,149.02356212792324,3.4764644019472253,10000000.0
400,9978870.999562738,17660.883286440934,2286.6341914985687,75.94031609061744,5.739026453102191,10000000.0
500,9978783.137657862,17687.87976011243,3360.0105889232523,-0.7052207739266976,4.76941154767435,10000000.0
600,9978841.534916712,17115.364657526432,3573.9412812769897,39.66141750048736,3.1322068260756555,10000000.0
700,9979264.838067196,16914.897530929582,4373.25199104721,151.6735026951672,11.45600392342854,10000000.0
800,9977616.902670583,16726.62364530008,4370.977951718181,177.6319332989714,14.199897978339068,10000000.0
900,9977624.140126461,16821.163490355135,5023.9326518418175,245.26900713047087,18.892733985164213,10000000.0
1000,9977856.145782795,16565.0289544645,5335.189261839888,442.5057884830395,15.558740437479392,10000000.0
1100,9977849.90176222,16695.197992085228,5940.343507735037,557.843862873094,19.81919806613047,10000000.0
1200,9976127.075986698,16491.132962786876,6414.265439433817,586.8906791785198,25.670796510978736,10000000.0
1300,9976299.169730742,16474.855852835484,6639.095016908525,487.6724099254781,27.35275872261561,10000000.0
1400,9975809.154431328,16619.349490418474,7574.389083247264,642.6290654948262,32.582343005806166,10000000.0
1500,9975190.136917215,16448.71199653857,7699.036999248734,861.5634854128048,42.40342216148918,10000000.0
1600,9974143.458881881,16754.84675484511,8021.413719068776,868.2224406828141,46.312658875356725,10000000.0
1700,9972870.077426974,16993.15490813738,8869.471113661171,988.0477980192411,47.724666215142825,10000000.0
1800,9972372.464208486,17268.090849823577,9065.970622858868,1118.846877844993,57.105544411889596,10000000.0
1900,9972085.867240345,17421.276990778097,9256.75598312087,1255.836503587552,58.91200814956282,10000000.0
2000,9970423.34910435,17453.75993706515,10109.375699799848,1240.5634505630403,58.8326694008052,10000000.0
2100,9970149.715191517,17842.591601919743,10798.952645394404,1574.244233521297,71.53073882907911,10000000.0
2200,9969869.239475487,17971.707259484087,11044.81503183334,1730.0830298366923,77.23061626715662,10000000.0
2300,9967779.787102608,18554.830956818525,11595.76380150034,1782.1712368308692,86.25637427741279,10000000.0
2400,9967066.093446162,18485.574769595456,11683.149796051095,1909.9348663546086,91.5092126255718,10000000.0
2500,9966981.642686032,19165.82415490578,12096.978714139732,2012.842445308748,100.97716172093347,10000000.0
2600,9965092.033507267,19387.536193931264,12546.678613267188,2119.5383692461182,102.62368565167483,10000000.0
2700,9964990.586757686,19738.122979796564,13480.956036911844,2294.5323279996405,112.63827374199208,10000000.0
2800,9963056.274231361,20434.822495666867,13710.213586027132,2483.388454619027,119.95973048249994,10000000.0
2900,9962363.959373944,21050.430387609387,14117.101231409191,2799.2815026181415,126.83283013026987,10000000.0
3000,9961282.9246485,21500.604955232295,15171.386231541817,2887.5043130378835,138.49233482463194,10000000.0
3100,9958780.423458803,21769.483801839324,15306.891420170468,3127.9242686616662,152.4325497857559,10000000.0
3200,9958074.617011873,22293.74504845314,15625.257723766696,3314.253624075089,161.66620298325108,10000000.0
3300,9957057.26050065,23055.89076779852,16596.242906777676,3450.0160922203045,163.0887298514867,10000000.0
3400,9955793.361826977,23860.851249821273,16786.94286460528,3733.777451955762,175.89769877769047,10000000.0
3500,9953341.480549563,24475.847866124917,17524.489785574515,3960.7611720288605,184.13372651366976,10000000.0
3600,9953090.916297566,25119.788713861362,18395.11842050076,4083.670096481667,196.3287487919084,10000000.0
3700,9951006.328230426,25923.90776777822,18439.261403635737,4319.103618969163,206.66569459485933,10000000.0
3800,9949553.443394165,26390.160690508703,19432.110682067767,4675.829014615858,217.3757514191385,10000000.0
3900,9947060.826622518,27000.3051162609,19654.45030226258,4939.515611704633,237.90895083830148,10000000.0
4000,9946822.36733304,27803.48057990785,20321.520496219262,5013.270827911918,245.50132154928167,10000000.0
4100,9943776.382595949,28497.109995623676,21376.515704886137,5301.0002586375585,261.66002775459043,10000000.0
4200,9942922.502295025,29391.233554352268,22372.873671105477,5734.036505970935,274.451592276842,10000000.0
4300,9941522.27108105,30274.831901241803,22495.567070384728,5842.978481840725,284.54510047380836,10000000.0
4400,9938591.423548274,31527.545117098958,23180.058183411144,6271.316895148974,299.5669752765605,10000000.0
4500,9936775.32868615,32123.002500961422,24218.98586417534,6518.27062037883,306.9306457832583,10000000.0
4600,9935188.241148083,33390.949467567676,24742.64647075633,6783.258253568095,323.59366634367353,10000000.0
4700,9932808.909787342,33787.44298295265,25736.384480964167,7020.1541460726585,341.6083149008176,10000000.0
4800,9930329.272759128,35131.73429561548,26346.63953540056,7339.386858366966,354.8142696887107,10000000.0
4900,9928644.770326609,36383.04224496175,27309.788613314526,7829.894167456578,378.499823925854,10000000.0
5000,9926791.592994923,37497.78447628394,28340.45859496933,8128.043311901955,389.29151377928787,10000000.0
