milliseconds,C1,C2,M1,X1,M2,X2
0,1.998975812237929,-6.517006335847666e-05,0.9842063328572749,0.989880973491614,0.0003001841788517882,5.5981847966586794e-06
100,1.9988775735274134,-5.364926213378423e-05,0.9840872015682098,0.9898807925684778,7.14117913835103e-05,4.3821782975295266e-06
200,2.0027975511052345,7.898557700938827e-05,0.9839941386056162,0.9898801808570813,1.905420411755977e-05,3.071526852998519e-06
300,2.006402364989556,0.000493176003659675,0.9839324284726202,0.9898794468489742,1.804940784184008e-05,1.9919056274248227e-06
400,2.006651479044579,0.00040446793614316455,0.9839057664101744,0.9898785304326116,1.2444444067439722e-05,1.4812294296150194e-06
500,2.011335230980799,0.0007343039967381143,0.9838767262971126,0.989877658139972,2.5126756155305355e-05,1.124857636246586e-06
600,2.015592075984549,0.0008078688596246943,0.983859710734518,0.9898772666923502,2.981373124026966e-05,8.368100497387843e-07
700,2.0147660926003987,0.0008853670339609012,0.9838621148846256,0.9898764906804925,4.268127065626942e-05,8.334518804740887e-07
800,2.0202091690078747,0.001251640846768811,0.9838590447189504,0.9898759242019692,4.733354671321426e-05,6.655243325138567e-07
900,2.017742845871264,0.001245406506858562,0.9838501817402947,0.9898756532798922,5.008503328269617e-05,9.488565625078239e-07
1000,2.0267007207981163,0.001485827157927516,0.9838611913499874,0.9898752240167293,6.0590951771628505e-05,8.112502284260307e-07
1100,2.0278760771991284,0.0014137928271516268,0.9838718851401551,0.9898752067530199,5.342636456000864e-05,1.0223885442571009e-06
1200,2.026285659003575,0.0016018117948189948,0.9838638467557344,0.9898752205383957,6.619063741594254e-05,1.155019264696056e-06
1300,2.0322383368042054,0.001772059238863118,0.9838825564775189,0.9898748214128589,6.63405181020642e-05,1.2135073261806114e-06
1400,2.035550735072576,0.0018831145960616,0.9838942671388766,0.9898747578472691,8.298904481715076e-05,1.207824668516382e-06
1500,2.037245371092244,0.0020480757338608604,0.983904309945487,0.9898748997114045,7.664662682926044e-05,1.4494236976764855e-06
1600,2.0358053791648074,0.0024657658846603094,0.9839090760143467,0.9898750872250831,9.530006570946893e-05,1.679437047642608e-06
1700,2.0372266760569633,0.002666650398342924,0.9839168888924001,0.9898751993130661,9.628168319893529e-05,1.540972393552486e-06
1800,2.044823166751655,0.0024889914226537773,0.9839293170721991,0.9898753985079856,0.00011015147596600521,1.6652087685464728e-06
1900,2.0445221436211853,0.0026279629427689915,0.9839209991196303,0.9898755214396264,0.00010614142309816807,2.041136700540884e-06
2000,2.048020476458668,0.003123287519889168,0.983949899825241,0.9898756686397241,0.00011427830636716741,2.167757272664407e-06
